BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,MISO,SOCO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AEC,01Jul2015,Central,N,"28,581","14,183","18,905","4,722",,,,,,,,,,"1,639","3,083",,,,,,,,,,,,,,,
AEC,02Jul2015,Central,N,"27,652","13,357","18,749","5,392",,,,,,,,,,"2,846","2,546",,,,,,,,,,,,,,,
AEC,03Jul2015,Central,N,"28,933","14,857","20,380","5,523",,,,,,,,,,"2,923","2,600",,,,,,,,,,,,,,,
AEC,04Jul2015,Central,N,"26,785","13,804","19,017","5,213",,,,,,,,,,"3,028","2,185",,,,,,,,,,,,,,,
AEC,05Jul2015,Central,N,"25,204","11,258","16,394","5,136",,,,,,,,,,"2,943","2,193",,,,,,,,,,,,,,,
AEC,06Jul2015,Central,N,"25,984","13,572","18,703","5,131",,,,,,,,,,"2,739","2,392",,,,,,,,,,,,,,,
AEC,07Jul2015,Central,N,"28,452","15,066","22,231","7,165",,,,,,,,,,"2,371","4,794",,,,,,,,,,,,,,,
AEC,08Jul2015,Central,N,"29,717","15,077","21,142","6,065",,,,,,,,,,"2,219","3,846",,,,,,,,,,,,,,,
AEC,09Jul2015,Central,N,"29,923","15,002","20,856","5,854",,,,,,,,,,"2,346","3,508",,,,,,,,,,,,,,,
AEC,10Jul2015,Central,N,"30,043","15,376","22,268","6,892",,,,,,,,,,"2,351","4,541",,,,,,,,,,,,,,,
AEC,11Jul2015,Central,N,"30,486","15,982","21,938","5,956",,,,,,,,,,"3,317","2,639",,,,,,,,,,,,,,,
AEC,12Jul2015,Central,N,"31,569","16,177","20,621","4,444",,,,,,,,,,"2,686","1,758",,,,,,,,,,,,,,,
AEC,13Jul2015,Central,N,"32,251","15,959","21,235","5,276",,,,,,,,,,"2,182","3,094",,,,,,,,,,,,,,,
AEC,14Jul2015,Central,N,"32,601","16,336","24,424","8,088",,,,,,,,,,"2,320","5,768",,,,,,,,,,,,,,,
AEC,15Jul2015,Central,N,"32,804","16,798","20,334","3,536",,,,,,,,,,"2,094","1,442",,,,,,,,,,,,,,,
AEC,16Jul2015,Central,N,"32,462","16,152","22,101","5,949",,,,,,,,,,"2,080","3,869",,,,,,,,,,,,,,,
AEC,17Jul2015,Central,N,"32,824","15,875","20,750","4,875",,,,,,,,,,"2,337","2,538",,,,,,,,,,,,,,,
AEC,18Jul2015,Central,N,"32,481","16,205","18,108","1,903",,,,,,,,,,"2,134",-231,,,,,,,,,,,,,,,
AEC,19Jul2015,Central,N,"32,896","15,355","18,238","2,883",,,,,,,,,,"1,522","1,361",,,,,,,,,,,,,,,
AEC,20Jul2015,Central,N,"32,719","16,012","20,912","4,900",,,,,,,,,,"2,013","2,887",,,,,,,,,,,,,,,
AEC,21Jul2015,Central,N,"32,601","16,260","22,248","5,988",,,,,,,,,,"1,867","4,121",,,,,,,,,,,,,,,
AEC,22Jul2015,Central,N,"32,823","16,032","19,760","3,728",,,,,,,,,,"1,666","2,062",,,,,,,,,,,,,,,
AEC,23Jul2015,Central,N,"31,873","15,606","20,056","4,450",,,,,,,,,,"1,733","2,717",,,,,,,,,,,,,,,
AEC,24Jul2015,Central,N,"31,924","15,074","20,064","4,990",,,,,,,,,,"2,614","2,376",,,,,,,,,,,,,,,
AEC,25Jul2015,Central,N,"30,803","15,266","20,886","5,620",,,,,,,,,,"2,368","3,252",,,,,,,,,,,,,,,
AEC,26Jul2015,Central,N,"30,659","15,205","20,928","5,723",,,,,,,,,,"1,710","4,013",,,,,,,,,,,,,,,
AEC,27Jul2015,Central,N,"31,779","15,846","23,675","7,829",,,,,,,,,,"1,804","6,025",,,,,,,,,,,,,,,
AEC,28Jul2015,Central,N,"32,363","16,869","23,577","6,708",,,,,,,,,,"1,290","5,418",,,,,,,,,,,,,,,
AEC,29Jul2015,Central,N,"32,355","16,275","21,646","5,371",,,,,,,,,,"1,704","3,667",,,,,,,,,,,,,,,
AEC,30Jul2015,Central,N,"31,388","16,145","21,235","5,090",,,,,,,,,,"2,277","2,813",,,,,,,,,,,,,,,
AEC,31Jul2015,Central,N,,"15,465","21,177","5,712",,,,,,,,,,"2,135","3,577",,,,,,,,,,,,,,,
AEC,01Aug2015,Central,N,"29,565","15,224","20,615","5,391",,,,,,,,,,"2,959","2,432",,,,,,,,,,,,,,,
AEC,02Aug2015,Central,N,"30,232","15,491","20,344","4,853",,,,,,,,,,"2,779","2,074",,,,,,,,,,,,,,,
AEC,03Aug2015,Central,N,"31,436","16,174","20,591","4,417",,,,,,,,,,"2,572","1,845",,,,,,,,,,,,,,,
AEC,04Aug2015,Central,N,"31,964","16,207","21,644","5,437",,,,,,,,,,"2,398","3,039",,,,,,,,,,,,,,,
AEC,05Aug2015,Central,N,"31,143","14,966","20,404","5,438",,,,,,,,,,"2,944","2,494",,,,,,,,,,,,,,,
AEC,06Aug2015,Central,N,"29,770","15,418","19,395","3,977",,,,,,,,,,"3,263",714,,,,,,,,,,,,,,,
AEC,07Aug2015,Central,N,"31,181","15,696","19,504","3,808",,,,,,,,,,"2,500","1,308",,,,,,,,,,,,,,,
AEC,08Aug2015,Central,N,"31,218","14,790","18,953","4,163",,,,,,,,,,"2,315","1,848",,,,,,,,,,,,,,,
AEC,09Aug2015,Central,N,"31,543","15,639","20,287","4,648",,,,,,,,,,"2,020","2,628",,,,,,,,,,,,,,,
AEC,10Aug2015,Central,N,"31,584","16,435","20,961","4,526",,,,,,,,,,"1,642","2,884",,,,,,,,,,,,,,,
AEC,11Aug2015,Central,N,"30,259","15,819","20,475","4,656",,,,,,,,,,"1,724","2,932",,,,,,,,,,,,,,,
AEC,12Aug2015,Central,N,"30,193","16,071","21,163","5,092",,,,,,,,,,"2,219","2,873",,,,,,,,,,,,,,,
AEC,13Aug2015,Central,N,"30,199","14,910","19,755","4,845",,,,,,,,,,"2,193","2,652",,,,,,,,,,,,,,,
AEC,14Aug2015,Central,N,"29,333","14,347","16,078","1,731",,,,,,,,,,"2,480",-749,,,,,,,,,,,,,,,
AEC,15Aug2015,Central,N,"27,541","14,046","18,132","4,086",,,,,,,,,,"2,021","2,065",,,,,,,,,,,,,,,
AEC,16Aug2015,Central,N,"26,707","13,116","17,946","4,830",,,,,,,,,,"2,194","2,636",,,,,,,,,,,,,,,
AEC,17Aug2015,Central,N,"26,453","13,384","17,167","3,783",,,,,,,,,,"2,083","1,700",,,,,,,,,,,,,,,
AEC,18Aug2015,Central,N,"27,153","14,412","17,418","3,006",,,,,,,,,,"1,417","1,589",,,,,,,,,,,,,,,
AEC,19Aug2015,Central,N,"27,815","14,242","16,315","2,073",,,,,,,,,,"1,530",543,,,,,,,,,,,,,,,
AEC,20Aug2015,Central,N,"28,144","14,395","16,322","1,927",,,,,,,,,,"2,033",-106,,,,,,,,,,,,,,,
AEC,21Aug2015,Central,N,"28,000","14,676","16,307","1,631",,,,,,,,,,"1,981",-350,,,,,,,,,,,,,,,
AEC,22Aug2015,Central,N,"28,749","15,337","20,155","4,818",,,,,,,,,,"2,458","2,360",,,,,,,,,,,,,,,
AEC,23Aug2015,Central,N,"29,215","15,865","20,129","4,264",,,,,,,,,,"2,417","1,847",,,,,,,,,,,,,,,
AEC,24Aug2015,Central,N,"29,977","15,840","19,977","4,137",,,,,,,,,,"2,464","1,673",,,,,,,,,,,,,,,
AEC,25Aug2015,Central,N,"27,643","14,471","18,663","4,192",,,,,,,,,,"2,151","2,041",,,,,,,,,,,,,,,
AEC,26Aug2015,Central,N,"25,014","12,600","18,016","5,416",,,,,,,,,,"1,855","3,561",,,,,,,,,,,,,,,
AEC,27Aug2015,Central,N,"25,757","13,270","17,996","4,726",,,,,,,,,,"1,828","2,898",,,,,,,,,,,,,,,
AEC,28Aug2015,Central,N,"26,331","13,991","19,737","5,746",,,,,,,,,,"1,974","3,772",,,,,,,,,,,,,,,
AEC,29Aug2015,Central,N,"25,172","12,835","18,731","5,896",,,,,,,,,,"2,484","3,412",,,,,,,,,,,,,,,
AEC,30Aug2015,Central,N,"26,186","13,466","19,299","5,833",,,,,,,,,,"2,401","3,432",,,,,,,,,,,,,,,
AEC,31Aug2015,Central,N,,"14,365","18,558","4,193",,,,,,,,,,"1,063","3,130",,,,,,,,,,,,,,,
AEC,01Sep2015,Central,N,"28,685","14,829","18,202","3,373",,,,,,,,,,703,"2,670",,,,,,,,,,,,,,,
AEC,02Sep2015,Central,N,"29,850","15,520","21,605","6,085",,,,,,,,,,390,"5,695",,,,,,,,,,,,,,,
AEC,03Sep2015,Central,N,"29,397","14,443","18,998","4,555",,,,,,,,,,342,"4,213",,,,,,,,,,,,,,,
AEC,04Sep2015,Central,N,"29,365","14,666","20,872","6,206",,,,,,,,,,"1,036","5,170",,,,,,,,,,,,,,,
