BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,MISO,SPA,SWPP,TVA,WAUE,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AECI,01Jul2015,Central,N,"54,157","56,448","56,387",-61,,,,,,,,,,"6,037","-9,289",-563,"3,671",,,,,,,,,,,,,,,,
AECI,02Jul2015,Central,N,"53,227","54,750","56,132","1,382",,,,,,,,,,"2,041","-4,786",21,"3,936",,,,,,,,,,,,,,,,
AECI,03Jul2015,Central,N,"47,568","52,783","51,449","-1,334",,,,,,,,,,229,"-5,274",-252,"3,395",,,,,,,,,,,,,,,,
AECI,04Jul2015,Central,N,"50,835","54,167","51,122","-3,045",,,,,,,,,,-179,"-5,158",-964,"3,136",,,,,,,,,,,,,,,,
AECI,05Jul2015,Central,N,"55,258","58,804","52,207","-6,597",,,,,,,,,,"3,923","-7,658","-5,935","3,467",,,,,,,,,,,,,,,,
AECI,06Jul2015,Central,N,"59,351","60,892","57,895","-2,997",,,,,,,,,,"5,766","-7,921","-4,780","4,026",,,,,,,,,,,,,,,,
AECI,07Jul2015,Central,N,"50,552","50,072","53,358","3,286",,,,,,,,,,"8,458","-6,143","-4,253","5,151",,,,,,,,,,,,,,,,
AECI,08Jul2015,Central,N,"46,309","47,004","52,015","5,011",,,,,,,,,,"4,070","-5,358",550,"5,316",,,,,,,,,,,,,,,,
AECI,09Jul2015,Central,N,"47,607","48,496","53,444","4,948",,,,,,,,,,"3,660","-2,397","-2,204","5,135",,,,,,,,,,,,,,,,
AECI,10Jul2015,Central,N,"55,325","55,044","57,037","1,993",,,,,,,,,,"4,349","-4,829","-3,359","5,214",,,,,,,,,,,,,,,,
AECI,11Jul2015,Central,N,"60,577","62,607","59,797","-2,810",,,,,,,,,,"5,255","-8,798","-4,450","4,917",,,,,,,,,,,,,,,,
AECI,12Jul2015,Central,N,"64,881","66,381","62,777","-3,604",,,,,,,,,,"4,650","-8,767","-4,035","4,013",,,,,,,,,,,,,,,,
AECI,13Jul2015,Central,N,"70,006","71,536","76,327","4,791",,,,,,,,,,"8,453","-9,294","1,438","3,422",,,,,,,,,,,,,,,,
AECI,14Jul2015,Central,N,"69,649","69,825","72,261","2,436",,,,,,,,,,"7,695","-10,421",978,"3,755",,,,,,,,,,,,,,,,
AECI,15Jul2015,Central,N,"65,554","66,292","73,283","6,991",,,,,,,,,,"10,086","-9,785","1,954","4,352",,,,,,,,,,,,,,,,
AECI,16Jul2015,Central,N,"64,861","68,102","78,018","9,916",,,,,,,,,,"10,430","-9,057","3,309","4,957",,,,,,,,,,,,,,,,
AECI,17Jul2015,Central,N,"67,206","71,205","81,042","9,837",,,,,,,,,,"9,486","-10,374","6,037","3,937",,,,,,,,,,,,,,,,
AECI,18Jul2015,Central,N,"67,852","69,448","76,145","6,697",,,,,,,,,,"11,851","-8,842","-1,561","4,791",,,,,,,,,,,,,,,,
AECI,19Jul2015,Central,N,"67,383","67,178","73,111","5,933",,,,,,,,,,"6,485","-7,262","1,277","4,921",,,,,,,,,,,,,,,,
AECI,20Jul2015,Central,N,"66,744","64,991","75,087","10,096",,,,,,,,,,"9,798","-7,032","1,891","4,912",,,,,,,,,,,,,,,,
AECI,21Jul2015,Central,N,"56,493","57,611","66,957","9,346",,,,,,,,,,"8,784","-10,723","6,594","3,507",,,,,,,,,,,,,,,,
AECI,22Jul2015,Central,N,"52,836","56,587","58,866","2,279",,,,,,,,,,"4,359","-11,084","4,650","3,337",,,,,,,,,,,,,,,,
AECI,23Jul2015,Central,N,"55,411","62,426","62,452",26,,,,,,,,,,"8,200","-12,423","1,350","2,333",,,,,,,,,,,,,,,,
AECI,24Jul2015,Central,N,"62,453","66,914","75,006","8,092",,,,,,,,,,"15,525","-10,871",-816,"3,621",,,,,,,,,,,,,,,,
AECI,25Jul2015,Central,N,"66,542","66,352","69,746","3,394",,,,,,,,,,"13,037","-10,823","-3,311","3,522",,,,,,,,,,,,,,,,
AECI,26Jul2015,Central,N,"66,077","67,414","73,041","5,627",,,,,,,,,,"12,376","-9,751","-2,118","4,398",,,,,,,,,,,,,,,,
AECI,27Jul2015,Central,N,"68,435","71,575","78,323","6,752",,,,,,,,,,"12,780","-9,024","-2,096","4,553",,,,,,,,,,,,,,,,
AECI,28Jul2015,Central,N,"69,193","73,178","80,119","6,941",,,,,,,,,,"15,939","-10,510","-3,713","4,863",,,,,,,,,,,,,,,,
AECI,29Jul2015,Central,N,"65,666","69,246","76,900","7,654",,,,,,,,,,"14,146","-9,560","-2,838","5,194",,,,,,,,,,,,,,,,
AECI,30Jul2015,Central,N,"59,988","61,906","68,799","6,893",,,,,,,,,,"9,917","-10,480","1,879","4,894",,,,,,,,,,,,,,,,
AECI,31Jul2015,Central,N,"59,743","62,131","71,588","9,457",,,,,,,,,,"14,737","-12,171","1,833","3,940",,,,,,,,,,,,,,,,
AECI,01Aug2015,Central,N,"61,264","61,887","66,570","4,683",,,,,,,,,,"9,061","-9,565",763,"3,797",,,,,,,,,,,,,,,,
AECI,02Aug2015,Central,N,"62,029","63,443","65,005","1,562",,,,,,,,,,"9,334","-10,644",-890,"3,527",,,,,,,,,,,,,,,,
AECI,03Aug2015,Central,N,"64,497","64,702","71,761","7,059",,,,,,,,,,"8,306","-9,948","4,376","3,668",,,,,,,,,,,,,,,,
AECI,04Aug2015,Central,N,"59,140","60,514","66,254","5,740",,,,,,,,,,"10,549","-9,675",119,"4,163",,,,,,,,,,,,,,,,
AECI,05Aug2015,Central,N,"55,297","54,546","63,529","8,983",,,,,,,,,,"11,883","-9,252","1,255","4,315",,,,,,,,,,,,,,,,
AECI,06Aug2015,Central,N,"56,522","59,949","62,919","2,970",,,,,,,,,,"6,989","-8,618",300,"3,863",,,,,,,,,,,,,,,,
AECI,07Aug2015,Central,N,"57,906","64,712","65,528",816,,,,,,,,,,"4,881","-8,439",-142,"3,471",,,,,,,,,,,,,,,,
AECI,08Aug2015,Central,N,"62,592","62,768","61,149","-1,619",,,,,,,,,,"3,507","-7,814","-2,056","3,898",,,,,,,,,,,,,,,,
AECI,09Aug2015,Central,N,"66,618","66,377","65,134","-1,243",,,,,,,,,,"2,888","-7,832","-1,230","4,101",,,,,,,,,,,,,,,,
AECI,10Aug2015,Central,N,"63,182","62,608","66,154","3,546",,,,,,,,,,"5,256","-7,426",622,"4,301",,,,,,,,,,,,,,,,
AECI,11Aug2015,Central,N,"55,698","59,131","71,617","12,486",,,,,,,,,,"13,054","-7,125","1,249","4,437",,,,,,,,,,,,,,,,
AECI,12Aug2015,Central,N,"52,231","55,873","60,728","4,855",,,,,,,,,,"5,608","-7,633","1,442","4,609",,,,,,,,,,,,,,,,
AECI,13Aug2015,Central,N,"53,631","56,242","60,657","4,415",,,,,,,,,,"2,596","-6,677","3,252","4,409",,,,,,,,,,,,,,,,
AECI,14Aug2015,Central,N,"54,584","57,149","61,793","4,644",,,,,,,,,,"6,138","-7,870",938,"4,206",,,,,,,,,,,,,,,,
AECI,15Aug2015,Central,N,"56,161","58,272","59,484","1,212",,,,,,,,,,"4,912","-6,482","-2,408","4,225",,,,,,,,,,,,,,,,
AECI,16Aug2015,Central,N,"57,333","59,971","62,846","2,875",,,,,,,,,,"7,821","-5,627","-4,324","4,290",,,,,,,,,,,,,,,,
AECI,17Aug2015,Central,N,"59,258","61,395","67,198","5,803",,,,,,,,,,"8,909","-6,049","-1,342","3,728",,,,,,,,,,,,,,,,
AECI,18Aug2015,Central,N,"54,448","57,610","62,235","4,625",,,,,,,,,,"8,276","-4,796","-2,312","2,967",,,,,,,,,,,,,,,,
AECI,19Aug2015,Central,N,"45,147","45,215","49,505","4,290",,,,,,,,,,"12,671","-4,267","-8,729","4,675",,,,,,,,,,,,,,,,
AECI,20Aug2015,Central,N,"44,670","46,373","49,511","3,138",,,,,,,,,,"9,073","-5,302","-5,590","4,491",,,,,,,,,,,,,,,,
AECI,21Aug2015,Central,N,"46,386","48,193","52,238","4,045",,,,,,,,,,"14,870","-5,081","-9,388","4,123",,,,,,,,,,,,,,,,
