BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PACW,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AVRN,31Jul2018,Pacific,Y,,,"12,734","12,734",,,,,0,0,"12,734",,,"12,734",,,,,,,,85,85,0,85,,"12,734",0,0.01,
AVRN,01Aug2018,Pacific,Y,,,"14,013","14,013",,,,,0,0,"14,013",,,"14,013",,,,,,,,93,93,0,93,,"14,013",0,0.01,
AVRN,02Aug2018,Pacific,Y,,,"15,302","15,302",,,,,0,0,"15,302",,,"15,302",,,,,,,,102,102,0,102,,"15,302",0,0.01,
AVRN,03Aug2018,Pacific,Y,,,"15,343","15,343",,,,,0,0,"15,343",,,"15,343",,,,,,,,102,102,0,102,,"15,343",0,0.01,
AVRN,04Aug2018,Pacific,Y,,,"1,390","1,390",,,,,0,0,"1,390",,,"1,390",,,,,,,,9,9,3,9,,"1,415",25,0.01,
AVRN,05Aug2018,Pacific,Y,,,876,876,,,,,0,0,876,,,876,,,,,,,,6,6,2,6,,888,12,0.01,
AVRN,06Aug2018,Pacific,Y,,,135,135,,,,,0,0,135,,,135,,,,,,,,1,1,5,1,,166,31,0.01,
AVRN,07Aug2018,Pacific,Y,,,775,775,,,,,0,0,775,,,775,,,,,,,,5,5,1,5,,786,11,0.01,
AVRN,08Aug2018,Pacific,Y,,,647,647,,,,,0,0,647,,,647,,,,,,,,4,4,4,4,,670,23,0.01,
AVRN,09Aug2018,Pacific,Y,,,"2,043","2,043",,,,,0,0,"2,043",,,"2,043",,,,,,,,14,14,2,14,,"2,068",25,0.01,
AVRN,10Aug2018,Pacific,Y,,,"12,316","12,316",,,,,0,0,"12,316",,,"12,316",,,,,,,,82,82,0,82,,"12,316",0,0.01,
AVRN,11Aug2018,Pacific,Y,,,"17,838","17,838",,,,,0,0,"17,838",,,"17,838",,,,,,,,119,119,0,119,,"17,838",0,0.01,
AVRN,12Aug2018,Pacific,Y,,,"2,561","2,561",,,,,0,0,"2,561",,,"2,561",,,,,,,,17,17,2,17,,"2,577",16,0.01,
AVRN,13Aug2018,Pacific,Y,,,"1,306","1,306",,,,,0,0,"1,306",,,"1,306",,,,,,,,9,9,1,9,,"1,314",8,0.01,
AVRN,14Aug2018,Pacific,Y,,,90,90,,,,,0,0,90,,,90,,,,,,,,1,1,6,1,,127,37,0.01,
AVRN,15Aug2018,Pacific,Y,,,11,11,,,,,0,0,11,,,11,,,,,,,,1,1,12,1,,99,88,0.01,
AVRN,16Aug2018,Pacific,Y,,,"4,552","4,552",,,,,0,0,"4,552",,,"4,552",,,,,,,,30,30,0,30,,"4,552",0,0.01,
AVRN,17Aug2018,Pacific,Y,,,"12,141","12,141",,,,,0,0,"12,141",,,"12,141",,,,,,,,81,81,0,81,,"12,141",0,0.01,
AVRN,18Aug2018,Pacific,Y,,,"2,150","2,150",,,,,0,0,"2,150",,,"2,150",,,,,,,,14,14,2,14,,"2,167",17,0.01,
AVRN,19Aug2018,Pacific,Y,,,"1,140","1,140",,,,,0,0,"1,140",,,"1,140",,,,,,,,8,8,0,8,,"1,145",5,0.01,
AVRN,20Aug2018,Pacific,Y,,,"4,146","4,146",,,,,0,0,"4,146",,,"4,146",,,,,,,,28,28,0,28,,"4,146",0,0.01,
AVRN,21Aug2018,Pacific,Y,,,"4,774","4,774",,,,,0,0,"4,774",,,"4,774",,,,,,,,32,32,0,32,,"4,774",0,0.01,
AVRN,22Aug2018,Pacific,Y,,,"3,311","3,311",,,,,0,0,"3,311",,,"3,311",,,,,,,,22,22,0,22,,"3,311",0,0.01,
AVRN,23Aug2018,Pacific,Y,,,"16,472","16,472",,,,,0,0,"16,472",,,"16,472",,,,,,,,109,109,0,109,,"16,472",0,0.01,
AVRN,24Aug2018,Pacific,Y,,,"15,905","15,905",,,,,0,0,"15,905",,,"15,905",,,,,,,,106,106,0,106,,"15,905",0,0.01,
AVRN,25Aug2018,Pacific,Y,,,"8,522","8,522",,,,,0,0,"8,522",,,"8,522",,,,,,,,57,57,0,57,,"8,522",0,0.01,
AVRN,26Aug2018,Pacific,Y,,,"12,296","12,296",,,,,0,0,"12,296",,,"12,296",,,,,,,,82,82,0,82,,"12,296",0,0.01,
AVRN,27Aug2018,Pacific,Y,,,"2,157","2,157",,,,,0,0,"2,157",,,"2,157",,,,,,,,14,14,1,14,,"2,165",8,0.01,
AVRN,28Aug2018,Pacific,Y,,,-60,-60,,,,,0,0,-60,,,-60,,,,,,,,0,0,10,0,,15,75,0.01,
AVRN,29Aug2018,Pacific,Y,,,"8,049","8,049",,,,,0,0,"8,049",,,"8,049",,,,,,,,54,54,1,54,,"8,053",4,0.01,
AVRN,30Aug2018,Pacific,Y,,,"10,529","10,529",,,,,0,0,"10,529",,,"10,529",,,,,,,,70,70,0,70,,"10,529",0,0.01,
AVRN,31Aug2018,Pacific,Y,,,"11,295","11,295",,,,,0,0,"11,295",,,"11,295",,,,,,,,75,75,0,75,,"11,295",0,0.01,
AVRN,01Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,02Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,03Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,04Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,05Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,06Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,07Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,08Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,09Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,10Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,11Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,12Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,13Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,14Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,15Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,16Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,17Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,18Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,19Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,20Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,21Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,22Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,23Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,24Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,25Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,26Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,27Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,28Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,29Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,30Sep2018,Pacific,Y,,,0,0,,,,,0,0,0,,,0,,,,,,,,0,0,0,,,0,0,,
AVRN,01Oct2018,Pacific,Y,,,"1,553","1,553",,,,,0,0,"1,553",,,"1,553",,,,,,,,10,10,3,10,,"1,568",15,0.01,
