BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,CISO,GRMA,IID,LDWP,PACE,PNM,SRP,TEPC,WACM,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AZPS,01Jul2015,Arizona,N,"124,791","118,439","160,890","42,451",,,,,,,,,,"20,601","-33,359",-695,"25,002","-5,580","8,776",969,"12,245","-7,340","21,832",,,,,,,,,,,,,,,
AZPS,02Jul2015,Arizona,N,"121,197","120,204","171,782","51,576",,,,,,,,,,"22,053","-32,788",-450,"25,965","-5,649","10,451","2,123","12,855","-6,335","23,351",,,,,,,,,,,,,,,
AZPS,03Jul2015,Arizona,N,"117,962","108,134","169,243","61,109",,,,,,,,,,"23,312","-33,284",-485,"26,696","-7,278","12,535","7,789","13,406","-3,809","22,227",,,,,,,,,,,,,,,
AZPS,04Jul2015,Arizona,N,"116,328","108,770","163,812","55,043",,,,,,,,,,"21,479","-27,967",-739,"25,413","-8,317","11,211","7,083","12,199","-5,271","19,952",,,,,,,,,,,,,,,
AZPS,05Jul2015,Arizona,N,"114,311","106,234","167,238","61,004",,,,,,,,,,"21,676","-23,383",-659,"25,035","-6,915","9,569","9,260","11,303","-6,880","21,998",,,,,,,,,,,,,,,
AZPS,06Jul2015,Arizona,N,"116,736","111,480","166,725","55,245",,,,,,,,,,"22,228","-30,268",-324,"25,920","-6,059","10,934","2,718","12,818","-5,531","22,809",,,,,,,,,,,,,,,
AZPS,07Jul2015,Arizona,N,"112,943","115,836","174,065","58,229",,,,,,,,,,"21,764","-31,027",-732,"25,698","-7,136","11,424","6,725","12,919","-4,089","22,683",,,,,,,,,,,,,,,
AZPS,08Jul2015,Arizona,N,"113,069","112,681","178,385","65,705",,,,,,,,,,"22,245","-27,275",-822,"25,876","-7,315","10,707","8,815","13,784","-3,749","23,439",,,,,,,,,,,,,,,
AZPS,09Jul2015,Arizona,N,"106,986","99,999","169,903","69,904",,,,,,,,,,"22,009","-25,966",-755,"24,950","-7,807","11,768","11,605","13,193","-2,744","23,651",,,,,,,,,,,,,,,
AZPS,10Jul2015,Arizona,N,"103,004","100,607","166,356","65,740",,,,,,,,,,"20,530","-24,721",-698,"24,230","-8,352","11,183","12,338","13,588","-2,691","20,333",,,,,,,,,,,,,,,
AZPS,11Jul2015,Arizona,N,"103,718","104,798","170,149","65,351",,,,,,,,,,"20,011","-26,989",-685,"23,859","-9,343","12,261","12,497","14,348","-1,427","20,819",,,,,,,,,,,,,,,
AZPS,12Jul2015,Arizona,N,"103,034","104,153","170,142","65,989",,,,,,,,,,"18,241","-15,961",-612,"22,077","-9,859","12,829","8,672","14,017","-1,316","17,901",,,,,,,,,,,,,,,
AZPS,13Jul2015,Arizona,N,"111,938","116,771","172,020","55,251",,,,,,,,,,"19,098","-25,833",-731,"23,344","-9,447","13,164","5,077","13,170",-677,"18,086",,,,,,,,,,,,,,,
AZPS,14Jul2015,Arizona,N,"112,964","119,556","175,570","56,014",,,,,,,,,,"18,832","-27,827",-590,"22,853","-8,781","14,033","5,796","13,675","-1,689","19,712",,,,,,,,,,,,,,,
AZPS,15Jul2015,Arizona,N,"114,735","118,529","178,577","60,048",,,,,,,,,,"19,602","-29,164",-676,"23,194","-6,934","13,502","9,300","12,879","-2,371","20,716",,,,,,,,,,,,,,,
AZPS,16Jul2015,Arizona,N,"115,189","119,546","176,435","56,892",,,,,,,,,,"19,849","-31,381",-613,"22,870","-9,702","11,704","14,962","13,480","-4,544","20,267",,,,,,,,,,,,,,,
AZPS,17Jul2015,Arizona,N,"111,146","114,790","174,270","59,480",,,,,,,,,,"20,727","-27,380",-588,"24,139","-9,203","11,599","11,516","12,520","-3,531","19,681",,,,,,,,,,,,,,,
AZPS,18Jul2015,Arizona,N,"105,897","100,467","161,885","61,422",,,,,,,,,,"19,593","-25,641",-113,"23,768","-9,128","12,127","12,672","12,353","-4,412","20,203",,,,,,,,,,,,,,,
AZPS,19Jul2015,Arizona,N,"97,668","98,181","166,663","68,482",,,,,,,,,,"19,831","-17,714",-384,"23,345","-5,203","11,374","10,685","13,368","-4,375","17,555",,,,,,,,,,,,,,,
AZPS,20Jul2015,Arizona,N,"106,003","110,773","177,308","66,536",,,,,,,,,,"20,385","-24,779",-900,"24,083","-5,992","14,214","9,542","14,771","-3,009","18,221",,,,,,,,,,,,,,,
AZPS,21Jul2015,Arizona,N,"111,643","115,699","179,076","63,377",,,,,,,,,,"20,760","-27,104",-643,"24,185","-8,521","10,366","15,597","14,933","-7,432","21,236",,,,,,,,,,,,,,,
AZPS,22Jul2015,Arizona,N,"113,766","113,079","173,522","60,443",,,,,,,,,,"21,076","-27,071",-740,"23,883","-7,903","9,377","14,329","14,471","-8,409","21,430",,,,,,,,,,,,,,,
AZPS,23Jul2015,Arizona,N,"112,399","111,851","175,054","63,203",,,,,,,,,,"21,117","-22,992",-674,"25,013","-9,237","10,317","13,836","13,339","-7,857","20,341",,,,,,,,,,,,,,,
AZPS,24Jul2015,Arizona,N,"113,282","115,075","173,425","58,349",,,,,,,,,,"32,206","-29,649",-802,"23,872","-9,620","11,044","4,002","14,552","-7,098","19,842",,,,,,,,,,,,,,,
AZPS,25Jul2015,Arizona,N,"115,394","111,700","177,309","65,608",,,,,,,,,,"33,074","-27,806",-732,"24,016","-10,378","12,591","6,651","14,702","-5,687","19,177",,,,,,,,,,,,,,,
AZPS,26Jul2015,Arizona,N,"118,040","109,776","170,236","60,460",,,,,,,,,,"27,781","-26,254",-887,"22,673","-9,151","12,247","5,399","14,617","-4,623","18,658",,,,,,,,,,,,,,,
AZPS,27Jul2015,Arizona,N,"121,666","117,974","175,199","57,225",,,,,,,,,,"31,624","-28,238",-968,"24,953","-9,328","11,953","-3,060","14,979","-5,920","21,230",,,,,,,,,,,,,,,
