BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,CISO,TIDC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
BANC,01Jul2015,Pacific,N,"70,710","69,470","44,170","-25,300",,,,,,,,,,"-12,844","-8,413","-4,044",,,,,,,,,,,,,,,
BANC,02Jul2015,Pacific,N,"68,050","64,608","41,405","-23,203",,,,,,,,,,"-10,116","-9,086","-4,001",,,,,,,,,,,,,,,
BANC,03Jul2015,Pacific,N,"62,845","59,427","40,816","-18,611",,,,,,,,,,"-16,949","1,734","-3,396",,,,,,,,,,,,,,,
BANC,04Jul2015,Pacific,N,"53,141","59,441","41,723","-17,718",,,,,,,,,,"-22,465","7,132","-2,385",,,,,,,,,,,,,,,
BANC,05Jul2015,Pacific,N,"55,134","52,759","36,972","-15,787",,,,,,,,,,"-19,584","6,773","-2,976",,,,,,,,,,,,,,,
BANC,06Jul2015,Pacific,N,"58,160","55,436","39,392","-16,044",,,,,,,,,,"-13,614",103,"-2,533",,,,,,,,,,,,,,,
BANC,07Jul2015,Pacific,N,"55,774","54,311","36,998","-17,313",,,,,,,,,,"-16,516","1,653","-2,450",,,,,,,,,,,,,,,
BANC,08Jul2015,Pacific,N,"57,656","50,196","36,651","-13,545",,,,,,,,,,"-13,788","2,734","-2,491",,,,,,,,,,,,,,,
BANC,09Jul2015,Pacific,N,"48,908","45,605","36,323","-9,282",,,,,,,,,,"-14,255","8,323","-3,350",,,,,,,,,,,,,,,
BANC,10Jul2015,Pacific,N,"51,222","47,045","33,852","-13,193",,,,,,,,,,"-21,521","10,850","-2,522",,,,,,,,,,,,,,,
