BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AVA,AVRN,BANC,BCHA,CHPD,CISO,DOPD,GCPD,GRID,IPCO,LDWP,NEVP,NWMT,PACW,PGE,PSEI,SCL,TPWR,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
BPAT,01Jul2015,Pacific,N,"155,338","155,338",,"105,895",,,,,,,,,,"18,956",,"12,844",,"-13,397","24,741","-5,556","-2,659","-13,356",-628,"7,172","1,775","-29,318","36,874","32,172","37,777","12,905","8,590",,,,,,,,,,,,,,,
BPAT,02Jul2015,Pacific,N,"154,892","159,005","255,659","96,654",,,,,,,,,,"17,019",,"10,116",,"-12,138","21,644","-5,635","-8,001","-13,556",-824,920,"1,774","-21,981","40,653","30,995","36,411","13,109","9,173",,,,,,,,,,,,,,,
BPAT,03Jul2015,Pacific,N,"152,027","151,682","271,574","119,892",,,,,,,,,,"18,037",,"16,949",,"-10,983","35,527","-4,909","-4,205","-13,531",-279,0,"1,994","-18,151","32,814","30,617","35,131","12,011","9,409",,,,,,,,,,,,,,,
BPAT,04Jul2015,Pacific,N,"141,252","146,789","275,144","128,355",,,,,,,,,,"15,111",,"22,465",,"-11,355","46,478","-5,475","-4,247","-12,205",-461,0,"1,991","-17,011","27,202","30,591","34,644","11,359","9,765",,,,,,,,,,,,,,,
BPAT,05Jul2015,Pacific,N,"143,673","147,023","244,694","97,671",,,,,,,,,,"15,726",,"19,584",,"-11,575","40,164","-6,191","-9,059","-13,151","-1,034",0,"2,548","-22,456","26,633","29,469","32,516","11,958","9,319",,,,,,,,,,,,,,,
BPAT,06Jul2015,Pacific,N,"156,086","151,987","254,495","102,508",,,,,,,,,,"16,275",,"13,614",,"-9,612","27,868","-3,628","-4,646","-13,176",-749,0,"2,589","-24,462","33,643","30,359","35,125","15,531","10,254",,,,,,,,,,,,,,,
BPAT,07Jul2015,Pacific,N,"152,744","152,145","274,597","122,452",,,,,,,,,,"17,381",,"16,516",,"-8,068","33,941","-2,446","-1,378","-13,177",-806,0,"2,738","-26,232","29,831","29,648","32,856","16,209","10,249",,,,,,,,,,,,,,,
BPAT,08Jul2015,Pacific,N,"154,067","154,695","249,777","95,082",,,,,,,,,,"18,857",,"13,788",,"-11,089","28,505","-3,578","-1,918","-13,060","-1,480",0,"2,180","-29,482","26,062","29,571","33,633","13,982","10,197",,,,,,,,,,,,,,,
BPAT,09Jul2015,Pacific,N,"154,200","153,425","251,429","98,004",,,,,,,,,,"17,990",,"14,255",,"-9,634","29,183","-3,261","-3,429","-13,114","-1,579",0,"2,159","-28,948","26,130","28,604","31,506","15,964","9,855",,,,,,,,,,,,,,,
BPAT,10Jul2015,Pacific,N,"149,862","148,507","282,159","133,652",,,,,,,,,,"17,504",,"21,521",,"-6,399","43,486","-1,508",-858,"-13,187",-430,"14,570","2,149","-26,871","21,955","26,918","26,968","14,823","9,308",,,,,,,,,,,,,,,
BPAT,11Jul2015,Pacific,N,"138,517","135,927","259,556","123,629",,,,,,,,,,"12,302",,"22,493",,"-4,962","45,927","-1,843","-1,217","-13,141",-547,"19,735","2,057","-30,933","13,366","24,260","29,084","11,979","9,087",,,,,,,,,,,,,,,
BPAT,12Jul2015,Pacific,N,"135,918","136,164","248,444","112,280",,,,,,,,,,"10,482",,"21,939",,"-7,304","44,301","-2,594",368,"-13,192",-594,"15,935","2,092","-33,357","17,200","20,979","23,616","10,683","9,003",,,,,,,,,,,,,,,
BPAT,13Jul2015,Pacific,N,"145,582","146,366","267,613","121,247",,,,,,,,,,"15,096",,"22,753",,"-9,561","46,000","-5,070","-7,691","-13,327",-34,"19,835",976,"-26,415","24,404","26,911","27,851","13,836","8,812",,,,,,,,,,,,,,,
BPAT,14Jul2015,Pacific,N,"147,001","147,119","277,788","130,669",,,,,,,,,,"16,931",,"21,811",,"-10,565","43,742","-5,024","-4,739","-13,588",140,"19,899","1,461","-24,800","28,253","26,355","28,323","13,927","9,373",,,,,,,,,,,,,,,
BPAT,15Jul2015,Pacific,N,"146,340","148,036","299,268","151,232",,,,,,,,,,"12,959",,"26,511",,"-11,036","53,005","-6,484","-8,746","-13,437",521,"20,464","1,919","-12,886","28,707","26,493","27,287","13,361","9,830",,,,,,,,,,,,,,,
BPAT,16Jul2015,Pacific,N,"145,579","146,453","303,728","157,302",,,,,,,,,,"14,157",,"28,562",,"-11,158","57,226","-6,811","-10,507","-13,065",28,"22,629","2,154","-11,579","24,720","30,009","28,263","13,623","9,653",,,,,,,,,,,,,,,
BPAT,17Jul2015,Pacific,N,"145,563","145,485","254,861","109,429",,,,,,,,,,"12,522",,"24,878",,"-12,948","49,474","-5,909","-4,959","-13,151",-741,"17,532","2,257","-19,377","23,124","27,361","29,690","13,572","9,885",,,,,,,,,,,,,,,
