BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AVA,BPAT,DOPD,PSEI,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
CHPD,01Jul2015,Pacific,N,"10,905","11,175","25,200","14,025",,,,,,,,,,-19,"13,126","-2,059","2,977",,,,,,,,,,,,,,,
CHPD,02Jul2015,Pacific,N,"10,970","11,116","24,648","13,532",,,,,,,,,,-81,"11,978","-1,287","2,922",,,,,,,,,,,,,,,
CHPD,03Jul2015,Pacific,N,"10,777","11,235","23,192","11,957",,,,,,,,,,-132,"10,714","-1,356","2,731",,,,,,,,,,,,,,,
CHPD,04Jul2015,Pacific,N,"10,789","11,125","23,218","12,093",,,,,,,,,,-102,"10,967","-1,561","2,789",,,,,,,,,,,,,,,
CHPD,05Jul2015,Pacific,N,"10,568","10,799","23,338","12,539",,,,,,,,,,-430,"11,694","-1,575","2,850",,,,,,,,,,,,,,,
CHPD,06Jul2015,Pacific,N,"10,838","10,955","20,885","9,930",,,,,,,,,,-210,"9,739","-2,230","2,631",,,,,,,,,,,,,,,
CHPD,07Jul2015,Pacific,N,"10,882","11,048","18,875","7,827",,,,,,,,,,-278,"8,128","-2,460","2,437",,,,,,,,,,,,,,,
CHPD,08Jul2015,Pacific,N,"10,888","11,102","21,961","10,859",,,,,,,,,,-238,"10,694","-2,239","2,642",,,,,,,,,,,,,,,
CHPD,09Jul2015,Pacific,N,"10,935","11,227","21,188","9,961",,,,,,,,,,17,"9,240","-1,766","2,470",,,,,,,,,,,,,,,
CHPD,10Jul2015,Pacific,N,"10,782","11,064","17,186","6,122",,,,,,,,,,63,"6,269","-2,296","2,086",,,,,,,,,,,,,,,
CHPD,11Jul2015,Pacific,N,"10,393","10,497","15,201","4,704",,,,,,,,,,-72,"4,485","-1,763","2,054",,,,,,,,,,,,,,,
CHPD,12Jul2015,Pacific,N,"10,073","10,134","16,345","6,211",,,,,,,,,,-414,"7,266","-2,899","2,258",,,,,,,,,,,,,,,
CHPD,13Jul2015,Pacific,N,"10,263","10,447","21,265","10,818",,,,,,,,,,-258,"9,706","-1,506","2,876",,,,,,,,,,,,,,,
CHPD,14Jul2015,Pacific,N,"10,347","10,514","22,197","11,683",,,,,,,,,,-247,"10,760","-2,019","3,189",,,,,,,,,,,,,,,
CHPD,15Jul2015,Pacific,N,"10,385","10,468","23,657","13,189",,,,,,,,,,-220,"11,308","-1,283","3,384",,,,,,,,,,,,,,,
CHPD,16Jul2015,Pacific,N,"10,231","10,314","23,533","13,219",,,,,,,,,,-101,"11,047","-1,141","3,414",,,,,,,,,,,,,,,
CHPD,17Jul2015,Pacific,N,"10,331","10,468","23,921","13,453",,,,,,,,,,-33,"12,571","-2,184","3,099",,,,,,,,,,,,,,,
CHPD,18Jul2015,Pacific,N,"10,342","10,497","21,977","11,480",,,,,,,,,,-53,"11,592","-2,871","2,812",,,,,,,,,,,,,,,
CHPD,19Jul2015,Pacific,N,"10,467","10,667","22,832","12,165",,,,,,,,,,-305,"12,169","-2,608","2,909",,,,,,,,,,,,,,,
CHPD,20Jul2015,Pacific,N,"10,599","10,906","21,944","11,038",,,,,,,,,,-182,"9,952","-1,623","2,891",,,,,,,,,,,,,,,
CHPD,21Jul2015,Pacific,N,"10,374","10,622","18,913","8,291",,,,,,,,,,-235,"7,746","-1,782","2,562",,,,,,,,,,,,,,,
CHPD,22Jul2015,Pacific,N,"10,233","10,397","18,122","7,725",,,,,,,,,,-175,"8,220","-2,564","2,244",,,,,,,,,,,,,,,
CHPD,23Jul2015,Pacific,N,"10,237","10,397","20,247","9,850",,,,,,,,,,-181,"9,396","-1,955","2,590",,,,,,,,,,,,,,,
CHPD,24Jul2015,Pacific,N,"10,200","10,359","22,096","11,737",,,,,,,,,,-147,"10,585","-1,650","2,949",,,,,,,,,,,,,,,
CHPD,25Jul2015,Pacific,N,"9,835","9,882","22,726","12,844",,,,,,,,,,-158,"10,039",-384,"3,347",,,,,,,,,,,,,,,
CHPD,26Jul2015,Pacific,N,"9,578","9,672","18,546","8,874",,,,,,,,,,-493,"7,212",-962,"3,117",,,,,,,,,,,,,,,
CHPD,27Jul2015,Pacific,N,"9,841","10,097","19,060","8,963",,,,,,,,,,-194,"8,224","-1,780","2,713",,,,,,,,,,,,,,,
CHPD,28Jul2015,Pacific,N,"10,073","10,223","19,955","9,732",,,,,,,,,,-143,"9,867","-2,469","2,477",,,,,,,,,,,,,,,
CHPD,29Jul2015,Pacific,N,"10,363","10,481","22,513","12,032",,,,,,,,,,-310,"11,464","-1,877","2,755",,,,,,,,,,,,,,,
CHPD,30Jul2015,Pacific,N,"10,596","10,662","21,929","11,267",,,,,,,,,,-336,"11,219","-2,325","2,709",,,,,,,,,,,,,,,
CHPD,31Jul2015,Pacific,N,"10,654","10,821","21,962","11,141",,,,,,,,,,-323,"10,892","-2,165","2,737",,,,,,,,,,,,,,,
CHPD,01Aug2015,Pacific,N,"10,489","10,691","19,449","8,758",,,,,,,,,,-392,"8,756","-2,062","2,456",,,,,,,,,,,,,,,
CHPD,02Aug2015,Pacific,N,"10,405","10,529","18,767","8,238",,,,,,,,,,-403,"9,294","-2,923","2,270",,,,,,,,,,,,,,,
CHPD,03Aug2015,Pacific,N,"10,492","10,602","19,823","9,221",,,,,,,,,,-446,"8,169","-1,284","2,782",,,,,,,,,,,,,,,
CHPD,04Aug2015,Pacific,N,"10,315","10,617","21,366","10,749",,,,,,,,,,-399,"9,871",-736,"2,013",,,,,,,,,,,,,,,
CHPD,05Aug2015,Pacific,N,"10,136","10,254","23,377","13,123",,,,,,,,,,-325,"10,312",11,"3,125",,,,,,,,,,,,,,,
