BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,BANC,BPAT,CEN,CFE,IID,LDWP,NEVP,PACW,SRP,TIDC,WALC,Subregion PGAE,Subregion SDGE,Subregion SCE,Subregion VEA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
CISO,01Jul2015,Pacific,N,"842,989","792,448","688,368","-104,081",,,,,,,,,,"-20,601","8,413","-24,741",,827,"-5,830","-22,715","7,350","-1,166","-48,971","7,185","-4,011",,,,,,,,,,,,,,,,,,,
CISO,02Jul2015,Pacific,N,"802,098","779,516","679,356","-100,161",,,,,,,,,,"-22,053","9,086","-21,644",,723,"-5,733","-21,374","7,186",-871,"-47,289","6,879","-4,776",,,,,,,,,,,,,,,,,,,
CISO,03Jul2015,Pacific,N,"712,775","718,350","588,551","-129,801",,,,,,,,,,"-23,312","-1,734","-35,527",,"1,760","-5,678","-22,223","6,215",-802,"-51,120","6,204","-4,521",,,,,,,,,,,,,,,,,,,
CISO,04Jul2015,Pacific,N,"679,143","676,297","530,410","-145,894",,,,,,,,,,"-21,478","-7,132","-46,478",,"2,014","-4,866","-25,269","4,729","-1,356","-45,923","5,005","-5,509",,,,,,,,,,,,,,,,,,,
CISO,05Jul2015,Pacific,N,"658,085","648,961","502,954","-146,011",,,,,,,,,,"-21,676","-6,773","-40,164",,"1,353","-5,786","-28,338","4,404","-1,278","-45,210","5,095","-6,226",,,,,,,,,,,,,,,,,,,
CISO,06Jul2015,Pacific,N,"725,663","704,840","578,663","-126,180",,,,,,,,,,"-22,228",-103,"-27,868",,536,"-5,877","-24,646","5,561","-1,181","-48,143","4,859","-7,192",,,,,,,,,,,,,,,,,,,
CISO,07Jul2015,Pacific,N,"717,302","708,011","574,217","-133,796",,,,,,,,,,"-21,764","-1,653","-33,941",,250,"-5,705","-25,867","4,766",-302,"-46,706","4,755","-7,353",,,,,,,,,,,,,,,,,,,
CISO,08Jul2015,Pacific,N,"689,982","684,983","555,438","-129,544",,,,,,,,,,"-22,245","-2,734","-28,505",,649,"-6,643","-29,622","6,631",67,"-45,766","4,583","-6,671",,,,,,,,,,,,,,,,,,,
CISO,09Jul2015,Pacific,N,"661,990","667,107","519,016","-148,092",,,,,,,,,,"-22,009","-8,323","-29,183",,-7,"-7,773","-35,848","5,910","-1,240","-48,027","4,799","-7,194",,,,,,,,,,,,,,,,,,,
CISO,10Jul2015,Pacific,N,"657,969","667,997","495,867","-172,132",,,,,,,,,,"-20,530","-10,850","-43,486",,888,"-8,785","-45,035","6,593","-1,600","-46,673","4,306","-7,230",,,,,,,,,,,,,,,,,,,
CISO,11Jul2015,Pacific,N,"630,222","644,682","472,333","-172,356",,,,,,,,,,"-20,011","-7,324","-45,927",,885,"-8,314","-50,620","6,869","-1,620","-46,277","4,729","-4,879",,,,,,,,,,,,,,,,,,,
CISO,12Jul2015,Pacific,N,"620,456","639,961","475,382","-164,579",,,,,,,,,,"-18,241","-8,193","-44,301",,-1,"-7,444","-44,169","6,575","-1,551","-43,207","3,709","-6,732",,,,,,,,,,,,,,,,,,,
