BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,DUK,PJM,SC,SCEG,YAD,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
CPLE,01Jul2015,Eastern,N,"198,284","188,146","201,059","12,913",,,,,,,,,,"-9,946","25,675","1,289","-4,139",34,,,,,,,,,,,,,,,
CPLE,02Jul2015,Eastern,N,"190,053","190,266","188,684","-1,582",,,,,,,,,,"-14,421","11,531","4,701","-3,368",-25,,,,,,,,,,,,,,,
CPLE,03Jul2015,Eastern,N,"171,435","164,217","168,777","4,560",,,,,,,,,,"-9,715","9,561","6,275","-1,628",67,,,,,,,,,,,,,,,
CPLE,04Jul2015,Eastern,N,"174,712","172,264","166,939","-5,325",,,,,,,,,,"-11,826","3,370","5,061","-1,893",-37,,,,,,,,,,,,,,,
CPLE,05Jul2015,Eastern,N,"169,766","181,898","184,575","2,677",,,,,,,,,,"-7,635","7,755","4,662","-2,134",29,,,,,,,,,,,,,,,
CPLE,06Jul2015,Eastern,N,"192,769","198,001","205,734","7,733",,,,,,,,,,"-5,891","14,034","2,344","-2,916",162,,,,,,,,,,,,,,,
CPLE,07Jul2015,Eastern,N,"208,470","208,249","208,529",280,,,,,,,,,,"-18,228","22,816",-268,"-3,878",-162,,,,,,,,,,,,,,,
CPLE,08Jul2015,Eastern,N,"222,557","211,045","215,114","4,069",,,,,,,,,,"-14,178","20,064","1,710","-3,496",-31,,,,,,,,,,,,,,,
CPLE,09Jul2015,Eastern,N,"221,234","220,020","216,915","-3,105",,,,,,,,,,"-15,132","13,472","1,510","-2,919",-36,,,,,,,,,,,,,,,
CPLE,10Jul2015,Eastern,N,"218,580","224,632","224,905",273,,,,,,,,,,"-9,650","9,854","2,662","-2,653",60,,,,,,,,,,,,,,,
CPLE,11Jul2015,Eastern,N,"215,862","205,416","213,404","7,988",,,,,,,,,,"-2,345","5,349","6,360","-1,628",252,,,,,,,,,,,,,,,
CPLE,12Jul2015,Eastern,N,"195,766","184,382","192,667","8,285",,,,,,,,,,"-4,224","7,151","6,208","-1,007",157,,,,,,,,,,,,,,,
CPLE,13Jul2015,Eastern,N,"211,678","189,814","207,048","17,234",,,,,,,,,,"3,175","8,854","6,456","-1,626",377,,,,,,,,,,,,,,,
CPLE,14Jul2015,Eastern,N,"205,823","197,082","208,664","11,582",,,,,,,,,,"-11,664","20,991","4,788","-2,524",-9,,,,,,,,,,,,,,,
CPLE,15Jul2015,Eastern,N,"205,044","209,316","207,291","-2,025",,,,,,,,,,"-22,179","23,681",893,"-4,139",-281,,,,,,,,,,,,,,,
CPLE,16Jul2015,Eastern,N,"204,254","202,536","201,661",-875,,,,,,,,,,"-18,549","19,107","2,335","-3,564",-204,,,,,,,,,,,,,,,
