BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,DUK,PJM,TVA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
CPLW,01Jul2015,Eastern,N,"13,271","12,520","4,571","-7,949",,,,,,,,,,"-1,853","-4,572","-1,524",,,,,,,,,,,,,,,
CPLW,02Jul2015,Eastern,N,"12,956","12,147","5,886","-6,261",,,,,,,,,,-520,"-4,390","-1,351",,,,,,,,,,,,,,,
CPLW,03Jul2015,Eastern,N,"12,009","11,786","3,114","-8,672",,,,,,,,,,"-2,553","-4,837","-1,282",,,,,,,,,,,,,,,
CPLW,04Jul2015,Eastern,N,"11,499","11,309","2,987","-8,322",,,,,,,,,,"-2,766","-4,460","-1,096",,,,,,,,,,,,,,,
CPLW,05Jul2015,Eastern,N,"11,259","11,741","4,687","-7,054",,,,,,,,,,-861,"-4,824","-1,371",,,,,,,,,,,,,,,
CPLW,06Jul2015,Eastern,N,"13,340","13,314","6,743","-6,571",,,,,,,,,,-107,"-4,733","-1,730",,,,,,,,,,,,,,,
CPLW,07Jul2015,Eastern,N,"13,907","13,985","6,218","-7,767",,,,,,,,,,-145,"-5,566","-2,058",,,,,,,,,,,,,,,
CPLW,08Jul2015,Eastern,N,"14,598","14,615","7,479","-7,154",,,,,,,,,,810,"-6,058","-1,905",,,,,,,,,,,,,,,
CPLW,09Jul2015,Eastern,N,"14,720","15,038","9,186","-5,870",,,,,,,,,,"1,653","-5,591","-1,931",,,,,,,,,,,,,,,
CPLW,10Jul2015,Eastern,N,"14,520","14,791","8,343","-6,448",,,,,,,,,,817,"-5,565","-1,700",,,,,,,,,,,,,,,
CPLW,11Jul2015,Eastern,N,"13,872","13,835","6,106","-7,750",,,,,,,,,,-112,"-6,250","-1,388",,,,,,,,,,,,,,,
CPLW,12Jul2015,Eastern,N,"13,419","13,340","3,761","-9,600",,,,,,,,,,"-1,570","-6,566","-1,465",,,,,,,,,,,,,,,
