BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,SRP,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
DEAA,01Jul2015,Arizona,Y,,,"10,501","10,501",,,,,,,,,,"10,501",,,,,,,,,,,,,,,
DEAA,02Jul2015,Arizona,Y,,,"9,753","9,753",,,,,,,,,,"9,753",,,,,,,,,,,,,,,
DEAA,03Jul2015,Arizona,Y,,,"9,588","9,588",,,,,,,,,,"9,588",,,,,,,,,,,,,,,
DEAA,04Jul2015,Arizona,Y,,,"9,504","9,504",,,,,,,,,,"9,504",,,,,,,,,,,,,,,
DEAA,05Jul2015,Arizona,Y,,,"9,336","9,336",,,,,,,,,,"9,336",,,,,,,,,,,,,,,
DEAA,06Jul2015,Arizona,Y,,,"9,945","9,945",,,,,,,,,,"9,945",,,,,,,,,,,,,,,
DEAA,07Jul2015,Arizona,Y,,,"10,292","10,292",,,,,,,,,,"10,292",,,,,,,,,,,,,,,
DEAA,08Jul2015,Arizona,Y,,,"9,716","9,716",,,,,,,,,,"9,716",,,,,,,,,,,,,,,
DEAA,09Jul2015,Arizona,Y,,,"8,938","8,938",,,,,,,,,,"8,938",,,,,,,,,,,,,,,
DEAA,10Jul2015,Arizona,Y,,,"10,176","10,176",,,,,,,,,,"10,176",,,,,,,,,,,,,,,
DEAA,11Jul2015,Arizona,Y,,,"9,063","9,063",,,,,,,,,,"9,063",,,,,,,,,,,,,,,
DEAA,12Jul2015,Arizona,Y,,,"10,243","10,243",,,,,,,,,,"10,243",,,,,,,,,,,,,,,
DEAA,13Jul2015,Arizona,Y,,,"9,860","9,860",,,,,,,,,,"9,860",,,,,,,,,,,,,,,
DEAA,14Jul2015,Arizona,Y,,,"10,754","10,754",,,,,,,,,,"10,754",,,,,,,,,,,,,,,
DEAA,15Jul2015,Arizona,Y,,,"9,138","9,138",,,,,,,,,,"9,138",,,,,,,,,,,,,,,
DEAA,16Jul2015,Arizona,Y,,,"9,799","9,799",,,,,,,,,,"9,799",,,,,,,,,,,,,,,
DEAA,17Jul2015,Arizona,Y,,,"9,393","9,393",,,,,,,,,,"9,393",,,,,,,,,,,,,,,
DEAA,18Jul2015,Arizona,Y,,,"8,481","8,481",,,,,,,,,,"8,481",,,,,,,,,,,,,,,
DEAA,19Jul2015,Arizona,Y,,,"10,021","10,021",,,,,,,,,,"10,021",,,,,,,,,,,,,,,
DEAA,20Jul2015,Arizona,Y,,,"9,842","9,842",,,,,,,,,,"9,842",,,,,,,,,,,,,,,
DEAA,21Jul2015,Arizona,Y,,,"9,977","9,977",,,,,,,,,,"9,977",,,,,,,,,,,,,,,
DEAA,22Jul2015,Arizona,Y,,,"8,496","8,496",,,,,,,,,,"8,496",,,,,,,,,,,,,,,
DEAA,23Jul2015,Arizona,Y,,,"9,482","9,482",,,,,,,,,,"9,482",,,,,,,,,,,,,,,
DEAA,24Jul2015,Arizona,Y,,,"9,226","9,226",,,,,,,,,,"9,226",,,,,,,,,,,,,,,
DEAA,25Jul2015,Arizona,Y,,,"9,445","9,445",,,,,,,,,,"9,445",,,,,,,,,,,,,,,
DEAA,26Jul2015,Arizona,Y,,,"5,326","5,326",,,,,,,,,,"5,326",,,,,,,,,,,,,,,
DEAA,27Jul2015,Arizona,Y,,,"10,137","10,137",,,,,,,,,,"10,137",,,,,,,,,,,,,,,
DEAA,28Jul2015,Arizona,Y,,,"10,641","10,641",,,,,,,,,,"10,641",,,,,,,,,,,,,,,
DEAA,29Jul2015,Arizona,Y,,,"9,806","9,806",,,,,,,,,,"9,806",,,,,,,,,,,,,,,
DEAA,30Jul2015,Arizona,Y,,,"10,056","10,056",,,,,,,,,,"10,056",,,,,,,,,,,,,,,
DEAA,31Jul2015,Arizona,Y,,,"9,565","9,565",,,,,,,,,,"9,565",,,,,,,,,,,,,,,
DEAA,01Aug2015,Arizona,Y,,,"9,987","9,987",,,,,,,,,,"9,987",,,,,,,,,,,,,,,
DEAA,02Aug2015,Arizona,Y,,,"10,165","10,165",,,,,,,,,,"10,165",,,,,,,,,,,,,,,
DEAA,03Aug2015,Arizona,Y,,,"10,860","10,860",,,,,,,,,,"10,860",,,,,,,,,,,,,,,
DEAA,04Aug2015,Arizona,Y,,,"10,975","10,975",,,,,,,,,,"10,975",,,,,,,,,,,,,,,
DEAA,05Aug2015,Arizona,Y,,,"10,997","10,997",,,,,,,,,,"10,997",,,,,,,,,,,,,,,
