BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,CHPD,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
DOPD,01Jul2015,Pacific,N,"5,285","4,884","12,787","7,903",,,,,,,,,,"5,556","2,688",,,,,,,,,,,,,,,
DOPD,02Jul2015,Pacific,N,,"4,967","12,172",,,,,,,,,,,"5,635","2,296",,,,,,,,,,,,,,,
DOPD,03Jul2015,Pacific,N,"5,275","5,006","11,596","6,590",,,,,,,,,,,,,,,,,,,,,,,,,,
DOPD,04Jul2015,Pacific,N,"5,194","4,790","12,058","7,268",,,,,,,,,,"5,475","1,868",,,,,,,,,,,,,,,
DOPD,05Jul2015,Pacific,N,"5,091","4,527","12,427","7,900",,,,,,,,,,"6,191","2,253",,,,,,,,,,,,,,,
DOPD,06Jul2015,Pacific,N,"5,325","4,648","10,776","6,128",,,,,,,,,,"3,628","2,827",,,,,,,,,,,,,,,
DOPD,07Jul2015,Pacific,N,"5,361","4,807","9,955","5,148",,,,,,,,,,,,,,,,,,,,,,,,,,
DOPD,08Jul2015,Pacific,N,"5,334","4,860","10,891",,,,,,,,,,,"3,578","2,690",,,,,,,,,,,,,,,
DOPD,09Jul2015,Pacific,N,"5,367","4,954","10,219",,,,,,,,,,,"3,261","2,365",,,,,,,,,,,,,,,
DOPD,10Jul2015,Pacific,N,,"4,758","8,334","3,576",,,,,,,,,,"1,508","2,849",,,,,,,,,,,,,,,
DOPD,11Jul2015,Pacific,N,"4,813","4,169","7,500","3,331",,,,,,,,,,"1,843","1,855",,,,,,,,,,,,,,,
DOPD,12Jul2015,Pacific,N,"4,656","3,911","9,287","5,376",,,,,,,,,,"2,594","2,908",,,,,,,,,,,,,,,
DOPD,13Jul2015,Pacific,N,"4,743","4,200","10,912","6,712",,,,,,,,,,"5,070","2,138",,,,,,,,,,,,,,,
DOPD,14Jul2015,Pacific,N,"4,661","4,308","11,622","7,314",,,,,,,,,,"5,024","2,470",,,,,,,,,,,,,,,
DOPD,15Jul2015,Pacific,N,,"4,314","12,234","7,920",,,,,,,,,,"6,484","1,982",,,,,,,,,,,,,,,
DOPD,16Jul2015,Pacific,N,"4,605","4,114","12,205","8,091",,,,,,,,,,"6,811","2,132",,,,,,,,,,,,,,,
DOPD,17Jul2015,Pacific,N,"4,659","4,186","12,555","8,369",,,,,,,,,,"5,909","2,736",,,,,,,,,,,,,,,
DOPD,18Jul2015,Pacific,N,,"4,205","11,446",,,,,,,,,,,,,,,,,,,,,,,,,,,
DOPD,19Jul2015,Pacific,N,"4,716","4,346","12,177","7,831",,,,,,,,,,"5,037","3,206",,,,,,,,,,,,,,,
DOPD,20Jul2015,Pacific,N,"4,985","4,729","11,275","6,546",,,,,,,,,,"5,044","2,343",,,,,,,,,,,,,,,
DOPD,21Jul2015,Pacific,N,,"4,369","9,581","5,212",,,,,,,,,,"3,448","2,571",,,,,,,,,,,,,,,
DOPD,22Jul2015,Pacific,N,"4,490","4,240","9,601","5,361",,,,,,,,,,"2,729","3,174",,,,,,,,,,,,,,,
DOPD,23Jul2015,Pacific,N,"4,476","4,203","10,388","6,185",,,,,,,,,,"4,367","2,174",,,,,,,,,,,,,,,
DOPD,24Jul2015,Pacific,N,"4,524","4,165","11,483","7,318",,,,,,,,,,"5,702","2,428",,,,,,,,,,,,,,,
DOPD,25Jul2015,Pacific,N,"4,245","3,726","11,755",,,,,,,,,,,"7,737","1,140",,,,,,,,,,,,,,,
DOPD,26Jul2015,Pacific,N,"3,809","3,522","9,954","6,432",,,,,,,,,,"5,467","1,374",,,,,,,,,,,,,,,
DOPD,27Jul2015,Pacific,N,"4,301","3,815","10,087","6,272",,,,,,,,,,"4,339","2,777",,,,,,,,,,,,,,,
DOPD,28Jul2015,Pacific,N,"4,449","4,087","11,016","6,929",,,,,,,,,,"4,213","2,545",,,,,,,,,,,,,,,
DOPD,29Jul2015,Pacific,N,"4,744","4,324","12,043","7,719",,,,,,,,,,"5,556","2,377",,,,,,,,,,,,,,,
DOPD,30Jul2015,Pacific,N,"4,935","4,498","11,868","7,370",,,,,,,,,,"4,754","2,697",,,,,,,,,,,,,,,
DOPD,31Jul2015,Pacific,N,"5,040","4,587","11,669","7,082",,,,,,,,,,,,,,,,,,,,,,,,,,
DOPD,01Aug2015,Pacific,N,"4,880","4,400","10,470","6,070",,,,,,,,,,"3,702","2,575",,,,,,,,,,,,,,,
DOPD,02Aug2015,Pacific,N,"4,737","4,268","10,589","6,321",,,,,,,,,,,,,,,,,,,,,,,,,,
DOPD,03Aug2015,Pacific,N,"4,828","4,348","10,839","6,491",,,,,,,,,,"5,104","2,295",,,,,,,,,,,,,,,
DOPD,04Aug2015,Pacific,N,"4,662","4,309","11,769","7,460",,,,,,,,,,"6,638","1,300",,,,,,,,,,,,,,,
DOPD,05Aug2015,Pacific,N,"4,405","4,036","12,896","8,860",,,,,,,,,,"8,725",638,,,,,,,,,,,,,,,
