BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,CPLE,CPLW,PJM,SC,SCEG,SEPA,SOCO,TVA,YAD,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
DUK,01Jul2015,Eastern,N,"324,178","308,300","303,694","-4,606",,,,,,,,,,"9,946","1,853","-3,298","-8,779","-1,984",33,"2,326","-3,431","-1,272",,,,,,,,,,,,,,,
DUK,02Jul2015,Eastern,N,"316,186","296,634","304,083","7,449",,,,,,,,,,"14,421",520,"-2,316","-7,807",-999,769,"7,223","-3,052","-1,310",,,,,,,,,,,,,,,
DUK,03Jul2015,Eastern,N,"283,525","264,279","274,271","9,992",,,,,,,,,,"9,715","2,553",942,"-7,674","-1,174","1,482","8,354","-3,166","-1,040",,,,,,,,,,,,,,,
DUK,04Jul2015,Eastern,N,"277,174","266,257","281,446","15,189",,,,,,,,,,"11,826","2,766",697,"-5,875",-468,"1,978","7,923","-2,912",-746,,,,,,,,,,,,,,,
DUK,05Jul2015,Eastern,N,"262,820","274,776","281,516","6,740",,,,,,,,,,"7,635",861,"1,710","-6,612",-980,"1,806","6,896","-3,746",-830,,,,,,,,,,,,,,,
DUK,06Jul2015,Eastern,N,"316,326","321,284","321,102",-182,,,,,,,,,,"5,891",107,"2,142","-7,230","-1,824",653,"6,304","-5,256",-969,,,,,,,,,,,,,,,
DUK,07Jul2015,Eastern,N,"342,238","343,686","349,137","5,451",,,,,,,,,,"18,228",145,"2,027","-8,488","-1,209",37,"1,681","-6,428",-542,,,,,,,,,,,,,,,
DUK,08Jul2015,Eastern,N,"358,522","350,814","351,817","1,003",,,,,,,,,,"14,178",-810,"-1,238","-9,274",-852,396,"5,389","-6,105",-681,,,,,,,,,,,,,,,
DUK,09Jul2015,Eastern,N,"361,092","366,431","372,496","6,065",,,,,,,,,,"15,132","-1,653","-2,016","-7,261",747,680,"7,371","-6,259",-676,,,,,,,,,,,,,,,
DUK,10Jul2015,Eastern,N,"356,542","363,757","368,611","4,854",,,,,,,,,,"9,650",-817,"-1,071","-7,574",714,"1,488","9,278","-6,040",-774,,,,,,,,,,,,,,,
DUK,11Jul2015,Eastern,N,"344,926","332,068","331,609",-459,,,,,,,,,,"2,345",112,"-2,796","-6,671",-195,"2,266","10,237","-4,793",-964,,,,,,,,,,,,,,,
DUK,12Jul2015,Eastern,N,"320,622","308,934","315,688","6,754",,,,,,,,,,"4,224","1,570","-2,507","-6,024",617,"2,245","12,187","-4,690",-868,,,,,,,,,,,,,,,
DUK,13Jul2015,Eastern,N,"359,756","350,637","345,312","-5,325",,,,,,,,,,"-3,175","1,966","-7,402","-7,936",447,"1,251","13,202","-2,593","-1,085",,,,,,,,,,,,,,,
DUK,14Jul2015,Eastern,N,"354,805","320,561","327,614","7,053",,,,,,,,,,"11,670",-366,"-5,952","-9,291",163,938,"13,623","-3,037",-695,,,,,,,,,,,,,,,
DUK,15Jul2015,Eastern,N,"344,668","338,479","357,590","19,111",,,,,,,,,,"22,179","1,475","-4,725","-8,000",-208,"1,240","10,094","-2,336",-608,,,,,,,,,,,,,,,
DUK,16Jul2015,Eastern,N,"338,222","335,654","347,823","12,169",,,,,,,,,,"18,549",457,"-5,687","-7,320",100,"1,348","8,911","-3,685",-504,,,,,,,,,,,,,,,
DUK,17Jul2015,Eastern,N,"329,872","341,252","355,433","14,181",,,,,,,,,,"10,730","2,093",-612,"-6,185",-437,"1,437","11,202","-3,192",-855,,,,,,,,,,,,,,,
DUK,18Jul2015,Eastern,N,"336,159","324,449","340,855","16,406",,,,,,,,,,"17,508","1,567","-1,649","-5,978",-525,"2,205","7,293","-3,026",-989,,,,,,,,,,,,,,,
DUK,19Jul2015,Eastern,N,"334,787","319,630","334,413","14,783",,,,,,,,,,"25,865",345,"-3,576","-6,139",-785,"1,658","2,808","-4,531",-862,,,,,,,,,,,,,,,
DUK,20Jul2015,Eastern,N,"379,298","371,830","378,246","6,416",,,,,,,,,,"25,225",-240,-635,"-8,025","-1,313",-455,"-1,565","-5,718",-858,,,,,,,,,,,,,,,
DUK,21Jul2015,Eastern,N,"380,085","366,068","373,316","7,248",,,,,,,,,,"24,240","-1,091",-285,"-9,084",-101,-65,-103,"-5,538",-725,,,,,,,,,,,,,,,
DUK,22Jul2015,Eastern,N,"358,543","356,135","359,547","3,412",,,,,,,,,,"12,875",-145,605,"-8,881",-207,479,"4,520","-5,122",-712,,,,,,,,,,,,,,,
DUK,23Jul2015,Eastern,N,"337,258","344,332","342,123","-2,209",,,,,,,,,,"6,110","2,009","1,486","-7,832",-814,125,"2,231","-5,283",-241,,,,,,,,,,,,,,,
DUK,24Jul2015,Eastern,N,"330,612","330,201","333,799","3,598",,,,,,,,,,"4,032","2,727","5,787","-9,244","-2,010",578,"6,961","-4,652",-581,,,,,,,,,,,,,,,
DUK,25Jul2015,Eastern,N,"312,498","311,136","304,803","-6,333",,,,,,,,,,"-4,064","1,717","5,729","-6,735","-3,237","1,051","4,342","-3,933","-1,203",,,,,,,,,,,,,,,
DUK,26Jul2015,Eastern,N,"308,306","316,214","303,467","-12,747",,,,,,,,,,-609,330,"5,293","-6,887","-3,350",66,"-1,232","-5,106","-1,252",,,,,,,,,,,,,,,
DUK,27Jul2015,Eastern,N,"346,511","348,754","342,031","-6,723",,,,,,,,,,"4,812","1,283","5,177","-9,432","-1,982",-342,63,"-5,389",-913,,,,,,,,,,,,,,,
DUK,28Jul2015,Eastern,N,"351,830","352,683","352,959",276,,,,,,,,,,"8,020","1,147","8,130","-10,075","-2,305",-37,"1,315","-5,035",-884,,,,,,,,,,,,,,,
DUK,29Jul2015,Eastern,N,"359,847","353,204","349,693","-3,511",,,,,,,,,,"6,320",953,"4,679","-9,659","-2,500",188,"2,252","-4,583","-1,161",,,,,,,,,,,,,,,
DUK,30Jul2015,Eastern,N,"369,585","376,069","365,664","-10,405",,,,,,,,,,"5,111",129,"-3,105","-7,405","-1,967",447,"3,241","-5,532","-1,322",,,,,,,,,,,,,,,
DUK,31Jul2015,Eastern,N,"333,307","346,504","336,447","-10,057",,,,,,,,,,"4,528",232,"-4,579","-7,296","-2,247",764,"4,183","-5,386",-256,,,,,,,,,,,,,,,
DUK,01Aug2015,Eastern,N,"306,336","313,026","302,899","-10,127",,,,,,,,,,"2,962",123,"-4,433","-6,664","-2,174","1,527","3,580","-4,064",-984,,,,,,,,,,,,,,,
DUK,02Aug2015,Eastern,N,"295,434","301,868","305,444","3,576",,,,,,,,,,"8,243",210,-593,"-6,927",-899,"1,810","6,293","-3,694",-867,,,,,,,,,,,,,,,
DUK,03Aug2015,Eastern,N,"345,290","349,355","349,223",-132,,,,,,,,,,"4,431","1,587",406,"-7,894","-2,179",634,"8,417","-4,466","-1,068",,,,,,,,,,,,,,,
DUK,04Aug2015,Eastern,N,"366,592","369,102","367,296","-1,806",,,,,,,,,,"10,106","-1,374","-3,096","-7,346","-1,845",485,"7,411","-5,114","-1,033",,,,,,,,,,,,,,,
DUK,05Aug2015,Eastern,N,"379,383","364,830","371,039","6,209",,,,,,,,,,"15,224","-1,298","-5,679","-7,283",-791,951,"11,277","-5,102","-1,090",,,,,,,,,,,,,,,
DUK,06Aug2015,Eastern,N,"353,694","333,271","324,482","-8,789",,,,,,,,,,"3,713",7,"-7,380","-8,058",-923,"1,138","9,012","-5,489",-809,,,,,,,,,,,,,,,
DUK,07Aug2015,Eastern,N,"320,826","307,329","277,402","-29,927",,,,,,,,,,"-16,376","1,068","-9,252","-6,787","-2,339","1,247","8,196","-4,852",-832,,,,,,,,,,,,,,,
DUK,08Aug2015,Eastern,N,"305,443","298,661","275,621","-23,040",,,,,,,,,,"-15,831","2,013","-7,359","-5,441","-3,011","1,877","9,688","-3,504","-1,472",,,,,,,,,,,,,,,
DUK,09Aug2015,Eastern,N,"302,116","296,703","287,242","-9,461",,,,,,,,,,"-9,556","2,787","-5,196","-5,951","-1,836","2,350","12,150","-2,885","-1,324",,,,,,,,,,,,,,,
DUK,10Aug2015,Eastern,N,"337,060","323,038","316,931","-6,107",,,,,,,,,,"-7,588","2,963",757,"-9,539","-1,086","1,479","12,914","-4,131","-1,876",,,,,,,,,,,,,,,
DUK,11Aug2015,Eastern,N,"334,164","327,978","330,322","2,344",,,,,,,,,,"4,552","2,180","1,818","-8,861","-1,427",987,"8,784","-4,677","-1,012",,,,,,,,,,,,,,,
DUK,12Aug2015,Eastern,N,"328,010","323,312","323,121",-191,,,,,,,,,,"6,135",854,207,"-9,387",-911,622,"8,338","-4,862","-1,187",,,,,,,,,,,,,,,
DUK,13Aug2015,Eastern,N,"316,251","314,385","314,355",-30,,,,,,,,,,"1,548","1,441",-137,"-9,277",-519,"1,588","10,370","-4,675",-369,,,,,,,,,,,,,,,
DUK,14Aug2015,Eastern,N,"313,731","320,099","314,944","-5,155",,,,,,,,,,"-1,221","1,087","2,732","-8,592","-1,493","1,413","6,470","-5,075",-476,,,,,,,,,,,,,,,
DUK,15Aug2015,Eastern,N,"304,283","298,426","296,464","-1,962",,,,,,,,,,"2,241","1,718","1,709","-8,176","-2,026","1,801","4,873","-3,712",-390,,,,,,,,,,,,,,,
DUK,16Aug2015,Eastern,N,"307,951","299,340","294,657","-4,683",,,,,,,,,,"1,861","1,976","1,683","-7,729","-2,086","1,416","2,455","-3,866",-393,,,,,,,,,,,,,,,
DUK,17Aug2015,Eastern,N,"338,858","338,187","337,034","-1,153",,,,,,,,,,"13,154","1,127","1,504","-9,947","-2,015",651,"1,906","-6,394","-1,139",,,,,,,,,,,,,,,
DUK,18Aug2015,Eastern,N,"325,800","324,135","318,896","-5,239",,,,,,,,,,"11,325","1,346",93,"-10,093","-2,118",157,"1,282","-6,043","-1,188",,,,,,,,,,,,,,,
DUK,19Aug2015,Eastern,N,"334,855","336,206","327,541","-8,665",,,,,,,,,,"9,779",483,"-3,077","-9,882","-1,452",240,"2,725","-6,062","-1,419",,,,,,,,,,,,,,,
DUK,20Aug2015,Eastern,N,"339,671","343,013","332,810","-10,203",,,,,,,,,,"13,662",-580,"-7,594","-9,517","-2,272",596,"3,340","-6,600","-1,238",,,,,,,,,,,,,,,
DUK,21Aug2015,Eastern,N,"320,061","331,235","331,683",448,,,,,,,,,,"10,987",552,"-7,906","-6,968",-628,"1,073","8,530","-5,016",-176,,,,,,,,,,,,,,,
DUK,22Aug2015,Eastern,N,"290,068","299,616","291,595","-8,021",,,,,,,,,,"-2,315",347,"-8,275","-6,788","-1,147","2,487","12,100","-3,203","-1,227",,,,,,,,,,,,,,,
DUK,23Aug2015,Eastern,N,"296,291","285,731","278,608","-7,123",,,,,,,,,,"-3,808","2,043","-6,458","-7,143","-1,145","2,573","10,878","-2,751","-1,312",,,,,,,,,,,,,,,
DUK,24Aug2015,Eastern,N,"334,882","342,934","327,673","-15,261",,,,,,,,,,705,-956,"-6,779","-7,733","-1,098",423,"6,287","-4,536","-1,574",,,,,,,,,,,,,,,
