BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,MISO,TVA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
EEI,01Jul2015,Central,Y,,,"12,360","12,285",,,,,,,,,,"4,705","7,174",406,,,,,,,,,,,,,,,
EEI,02Jul2015,Central,Y,,,"11,017","10,951",,,,,,,,,,"4,694","6,116",141,,,,,,,,,,,,,,,
EEI,03Jul2015,Central,Y,,,"6,846","6,802",,,,,,,,,,"3,943","3,870","-1,011",,,,,,,,,,,,,,,
EEI,04Jul2015,Central,Y,,,"7,707","7,651",,,,,,,,,,"3,894","4,763","-1,006",,,,,,,,,,,,,,,
EEI,05Jul2015,Central,Y,,,"8,460","8,405",,,,,,,,,,"4,208","5,645","-1,448",,,,,,,,,,,,,,,
EEI,06Jul2015,Central,Y,,,"16,081","15,977",,,,,,,,,,"5,127","10,464",386,,,,,,,,,,,,,,,
EEI,07Jul2015,Central,Y,,,"10,964","10,901",,,,,,,,,,"5,100","4,816",985,,,,,,,,,,,,,,,
EEI,08Jul2015,Central,Y,,,"7,896","7,853",,,,,,,,,,"4,922","2,198",733,,,,,,,,,,,,,,,
EEI,09Jul2015,Central,Y,,,"8,000","7,950",,,,,,,,,,"5,103","2,130",717,,,,,,,,,,,,,,,
EEI,10Jul2015,Central,Y,,,"11,429","11,358",,,,,,,,,,"5,286","5,255",817,,,,,,,,,,,,,,,
EEI,11Jul2015,Central,Y,,,"12,870","12,797",,,,,,,,,,"4,808","7,746",243,,,,,,,,,,,,,,,
EEI,12Jul2015,Central,Y,,,"14,519","14,423",,,,,,,,,,"4,651","10,532",-760,,,,,,,,,,,,,,,
EEI,13Jul2015,Central,Y,,,"16,208","16,089",,,,,,,,,,"4,645","12,663","-1,219",,,,,,,,,,,,,,,
EEI,14Jul2015,Central,Y,,,"17,029","16,911",,,,,,,,,,"4,925","12,678",-692,,,,,,,,,,,,,,,
EEI,15Jul2015,Central,Y,,,"15,838","15,734",,,,,,,,,,"4,900","10,211",623,,,,,,,,,,,,,,,
EEI,16Jul2015,Central,Y,,,"15,946","15,846",,,,,,,,,,"5,077","9,634","1,135",,,,,,,,,,,,,,,
EEI,17Jul2015,Central,Y,,,"17,287","17,168",,,,,,,,,,"4,981","12,384",-197,,,,,,,,,,,,,,,
EEI,18Jul2015,Central,Y,,,"16,215","16,113",,,,,,,,,,"5,298","10,450",365,,,,,,,,,,,,,,,
EEI,19Jul2015,Central,Y,,,"15,328","15,232",,,,,,,,,,"5,334","8,958",940,,,,,,,,,,,,,,,
EEI,20Jul2015,Central,Y,,,"16,390","16,287",,,,,,,,,,"5,245","9,616","1,426",,,,,,,,,,,,,,,
EEI,21Jul2015,Central,Y,,,"15,714","15,620",,,,,,,,,,"5,238","9,596",786,,,,,,,,,,,,,,,
EEI,22Jul2015,Central,Y,,,"14,007","13,924",,,,,,,,,,"5,210","8,331",383,,,,,,,,,,,,,,,
EEI,23Jul2015,Central,Y,,,"15,619","15,514",,,,,,,,,,"4,638","11,218",-342,,,,,,,,,,,,,,,
EEI,24Jul2015,Central,Y,,,"17,066","16,946",,,,,,,,,,"4,987","12,562",-603,,,,,,,,,,,,,,,
EEI,25Jul2015,Central,Y,,,"15,931","15,829",,,,,,,,,,"4,895","11,310",-376,,,,,,,,,,,,,,,
EEI,26Jul2015,Central,Y,,,"11,894","11,825",,,,,,,,,,"4,941","6,653",231,,,,,,,,,,,,,,,
EEI,27Jul2015,Central,Y,,,"14,673","14,584",,,,,,,,,,"5,164","9,606",-186,,,,,,,,,,,,,,,
EEI,28Jul2015,Central,Y,,,"15,141","15,019",,,,,,,,,,"5,159","10,798",-938,,,,,,,,,,,,,,,
EEI,29Jul2015,Central,Y,,,"16,650","16,539",,,,,,,,,,"5,260","10,289",990,,,,,,,,,,,,,,,
EEI,30Jul2015,Central,Y,,,"16,230","16,124",,,,,,,,,,"5,043","9,879","1,202",,,,,,,,,,,,,,,
EEI,31Jul2015,Central,Y,,,"16,112","16,007",,,,,,,,,,"4,551","11,142",314,,,,,,,,,,,,,,,
EEI,01Aug2015,Central,Y,,,"13,621","13,526",,,,,,,,,,"4,028","9,393",105,,,,,,,,,,,,,,,
EEI,02Aug2015,Central,Y,,,"13,668","13,564",,,,,,,,,,"3,955","10,777","-1,168",,,,,,,,,,,,,,,
EEI,03Aug2015,Central,Y,,,"15,474","15,368",,,,,,,,,,"4,347","11,146",-125,,,,,,,,,,,,,,,
EEI,04Aug2015,Central,Y,,,"15,383","15,283",,,,,,,,,,"4,461","10,999",-177,,,,,,,,,,,,,,,
EEI,05Aug2015,Central,Y,,,"15,601","15,509",,,,,,,,,,"4,326","10,132","1,051",,,,,,,,,,,,,,,
EEI,06Aug2015,Central,Y,,,"15,647","15,548",,,,,,,,,,"4,008","9,994","1,546",,,,,,,,,,,,,,,
EEI,07Aug2015,Central,Y,,,"14,776","14,675",,,,,,,,,,"3,884","11,027",-236,,,,,,,,,,,,,,,
EEI,08Aug2015,Central,Y,,,"15,523","15,422",,,,,,,,,,"4,098","10,399",925,,,,,,,,,,,,,,,
EEI,09Aug2015,Central,Y,,,"16,363","16,257",,,,,,,,,,"4,316","11,064",877,,,,,,,,,,,,,,,
EEI,10Aug2015,Central,Y,,,"16,707","16,598",,,,,,,,,,"4,566","11,362",670,,,,,,,,,,,,,,,
EEI,11Aug2015,Central,Y,,,"16,382","16,275",,,,,,,,,,"4,570","11,032",673,,,,,,,,,,,,,,,
EEI,12Aug2015,Central,Y,,,"14,831","14,728",,,,,,,,,,"4,339","9,834",555,,,,,,,,,,,,,,,
EEI,13Aug2015,Central,Y,,,"15,399","15,296",,,,,,,,,,"4,409","10,473",414,,,,,,,,,,,,,,,
EEI,14Aug2015,Central,Y,,,"15,445","15,327",,,,,,,,,,"4,114","10,679",534,,,,,,,,,,,,,,,
EEI,15Aug2015,Central,Y,,,"14,491","14,391",,,,,,,,,,"4,005","9,760",626,,,,,,,,,,,,,,,
EEI,16Aug2015,Central,Y,,,"13,970","13,873",,,,,,,,,,"4,070","9,262",541,,,,,,,,,,,,,,,
EEI,17Aug2015,Central,Y,,,"15,814","15,715",,,,,,,,,,"4,341","10,618",756,,,,,,,,,,,,,,,
EEI,18Aug2015,Central,Y,,,"12,633","12,655",,,,,,,,,,"4,451","8,204",0,,,,,,,,,,,,,,,
EEI,19Aug2015,Central,Y,,,"12,052","11,974",,,,,,,,,,"4,535","6,694",745,,,,,,,,,,,,,,,
EEI,20Aug2015,Central,Y,,,"14,178","14,101",,,,,,,,,,"4,553","8,624",924,,,,,,,,,,,,,,,
EEI,21Aug2015,Central,Y,,,"10,458","10,383",,,,,,,,,,"4,284","7,141","-1,042",,,,,,,,,,,,,,,
EEI,22Aug2015,Central,Y,,,"7,524","7,477",,,,,,,,,,"4,263","4,126",-912,,,,,,,,,,,,,,,
EEI,23Aug2015,Central,Y,,,"7,100","7,066",,,,,,,,,,"4,509","2,443",114,,,,,,,,,,,,,,,
EEI,24Aug2015,Central,Y,,,"12,354","12,282",,,,,,,,,,"4,646","5,764","1,872",,,,,,,,,,,,,,,
EEI,25Aug2015,Central,Y,,,"11,694","11,623",,,,,,,,,,"4,346","5,936","1,341",,,,,,,,,,,,,,,
EEI,26Aug2015,Central,Y,,,"9,484","9,419",,,,,,,,,,"3,843","5,992",-416,,,,,,,,,,,,,,,
EEI,27Aug2015,Central,Y,,,"7,318","7,252",,,,,,,,,,"3,727","3,416",109,,,,,,,,,,,,,,,
EEI,28Aug2015,Central,Y,,,"7,450","7,396",,,,,,,,,,"4,864","1,487","1,045",,,,,,,,,,,,,,,
EEI,29Aug2015,Central,Y,,,"8,568","8,501",,,,,,,,,,"4,740","2,490","1,271",,,,,,,,,,,,,,,
EEI,30Aug2015,Central,Y,,,"9,598","9,518",,,,,,,,,,"4,753","3,944",821,,,,,,,,,,,,,,,
EEI,31Aug2015,Central,Y,,,"14,239","14,120",,,,,,,,,,"5,056","8,278",786,,,,,,,,,,,,,,,
EEI,01Sep2015,Central,Y,,,"14,461","14,351",,,,,,,,,,"4,936","9,711",-296,,,,,,,,,,,,,,,
EEI,02Sep2015,Central,Y,,,"15,012","14,914",,,,,,,,,,"4,858","9,638",418,,,,,,,,,,,,,,,
EEI,03Sep2015,Central,Y,,,"13,546","13,451",,,,,,,,,,"4,897","9,448",-894,,,,,,,,,,,,,,,
EEI,04Sep2015,Central,Y,,,"12,232","12,148",,,,,,,,,,"4,990","7,449",-291,,,,,,,,,,,,,,,
EEI,05Sep2015,Central,Y,,,"13,753","13,665",,,,,,,,,,"4,917","8,366",382,,,,,,,,,,,,,,,
EEI,06Sep2015,Central,Y,,,"11,845","11,765",,,,,,,,,,"4,728","6,887",150,,,,,,,,,,,,,,,
EEI,07Sep2015,Central,Y,,,"13,478","13,396",,,,,,,,,,"4,994","7,704",698,,,,,,,,,,,,,,,
EEI,08Sep2015,Central,Y,,,"13,160","13,163",,,,,,,,,,"5,467","6,294","1,402",,,,,,,,,,,,,,,
EEI,09Sep2015,Central,Y,,,"12,710","12,639",,,,,,,,,,"5,227","7,101",311,,,,,,,,,,,,,,,
EEI,10Sep2015,Central,Y,,,"13,505","13,441",,,,,,,,,,"5,333","6,689","1,419",,,,,,,,,,,,,,,
EEI,11Sep2015,Central,Y,,,"11,664","11,605",,,,,,,,,,"5,298","5,111","1,196",,,,,,,,,,,,,,,
EEI,12Sep2015,Central,Y,,,"6,934","6,891",,,,,,,,,,"4,246","3,266",-621,,,,,,,,,,,,,,,
EEI,13Sep2015,Central,Y,,,"6,953","6,909",,,,,,,,,,"3,972","3,061",-124,,,,,,,,,,,,,,,
EEI,14Sep2015,Central,Y,,,"12,754","12,676",,,,,,,,,,"4,591","7,416",669,,,,,,,,,,,,,,,
EEI,15Sep2015,Central,Y,,,"13,048","12,975",,,,,,,,,,"4,803","6,766","1,406",,,,,,,,,,,,,,,
EEI,16Sep2015,Central,Y,,,"14,663","14,586",,,,,,,,,,"4,951","7,572","2,063",,,,,,,,,,,,,,,
EEI,17Sep2015,Central,Y,,,"16,180","16,082",,,,,,,,,,"5,015","9,378","1,689",,,,,,,,,,,,,,,
EEI,18Sep2015,Central,Y,,,"16,116","16,025",,,,,,,,,,"5,300","9,110","1,615",,,,,,,,,,,,,,,
EEI,19Sep2015,Central,Y,,,"11,518","11,457",,,,,,,,,,"4,925","4,325","2,207",,,,,,,,,,,,,,,
EEI,20Sep2015,Central,Y,,,"9,809","9,754",,,,,,,,,,"4,521","4,182","1,051",,,,,,,,,,,,,,,
EEI,21Sep2015,Central,Y,,,"15,938","15,846",,,,,,,,,,"5,359","6,543","3,944",,,,,,,,,,,,,,,
EEI,22Sep2015,Central,Y,,,"15,265","15,172",,,,,,,,,,"5,750","5,037","4,385",,,,,,,,,,,,,,,
EEI,23Sep2015,Central,Y,,,"14,340","14,243",,,,,,,,,,"5,225","8,809",209,,,,,,,,,,,,,,,
EEI,24Sep2015,Central,Y,,,"12,830","12,738",,,,,,,,,,"4,821","7,660",257,,,,,,,,,,,,,,,
EEI,25Sep2015,Central,Y,,,"13,179","13,114",,,,,,,,,,"4,458","8,163",493,,,,,,,,,,,,,,,
EEI,26Sep2015,Central,Y,,,"11,300","11,241",,,,,,,,,,"4,364","6,696",181,,,,,,,,,,,,,,,
EEI,27Sep2015,Central,Y,,,"10,757","10,698",,,,,,,,,,"4,292","6,562",-156,,,,,,,,,,,,,,,
EEI,28Sep2015,Central,Y,,,"15,989","15,893",,,,,,,,,,"4,846","9,720","1,327",,,,,,,,,,,,,,,
EEI,29Sep2015,Central,Y,,,"12,960","12,898",,,,,,,,,,"5,065","5,765","2,068",,,,,,,,,,,,,,,
EEI,30Sep2015,Central,Y,,,"14,311","14,261",,,,,,,,,,"5,070","6,260","2,931",,,,,,,,,,,,,,,
EEI,01Oct2015,Central,Y,,,"16,543","16,474",,,,,,,,,,"4,815","6,954","4,705",,,,,,,,,,,,,,,
EEI,02Oct2015,Central,Y,,,"8,592","8,571",,,,,,,,,,"4,060","1,324","3,187",,,,,,,,,,,,,,,
EEI,03Oct2015,Central,Y,,,"7,324","7,307",,,,,,,,,,"2,819","1,055","3,433",,,,,,,,,,,,,,,
EEI,04Oct2015,Central,Y,,,"8,205","8,179",,,,,,,,,,"3,246","1,121","3,812",,,,,,,,,,,,,,,
EEI,05Oct2015,Central,Y,,,"14,249","14,198",,,,,,,,,,"4,564","4,376","5,258",,,,,,,,,,,,,,,
EEI,06Oct2015,Central,Y,,,"14,332","14,294",,,,,,,,,,"5,026","2,845","6,423",,,,,,,,,,,,,,,
EEI,07Oct2015,Central,Y,,,"14,630","14,590",,,,,,,,,,"5,197","4,147","5,246",,,,,,,,,,,,,,,
EEI,08Oct2015,Central,Y,,,"13,904","13,866",,,,,,,,,,"4,810","4,084","4,972",,,,,,,,,,,,,,,
EEI,09Oct2015,Central,Y,,,"13,811","13,773",,,,,,,,,,"4,303","4,359","5,111",,,,,,,,,,,,,,,
EEI,10Oct2015,Central,Y,,,"11,131","11,103",,,,,,,,,,"4,409","2,952","3,742",,,,,,,,,,,,,,,
EEI,11Oct2015,Central,Y,,,"9,002","8,985",,,,,,,,,,"4,313","1,499","3,173",,,,,,,,,,,,,,,
EEI,12Oct2015,Central,Y,,,"14,513","14,470",,,,,,,,,,"4,494","5,258","4,718",,,,,,,,,,,,,,,
EEI,13Oct2015,Central,Y,,,"16,716","16,650",,,,,,,,,,"4,502","6,737","5,411",,,,,,,,,,,,,,,
EEI,14Oct2015,Central,Y,,,"18,950","18,882",,,,,,,,,,"4,688","8,966","5,228",,,,,,,,,,,,,,,
EEI,15Oct2015,Central,Y,,,"16,539","16,492",,,,,,,,,,"4,783","6,377","5,332",,,,,,,,,,,,,,,
EEI,16Oct2015,Central,Y,,,"16,427","16,371",,,,,,,,,,"4,795","6,663","4,913",,,,,,,,,,,,,,,
EEI,17Oct2015,Central,Y,,,"10,691","10,685",,,,,,,,,,"4,416","2,954","3,315",,,,,,,,,,,,,,,
EEI,18Oct2015,Central,Y,,,"7,173","7,163",,,,,,,,,,"4,506",-456,"3,113",,,,,,,,,,,,,,,
EEI,19Oct2015,Central,Y,,,"15,270","15,212",,,,,,,,,,"4,870","5,527","4,815",,,,,,,,,,,,,,,
EEI,20Oct2015,Central,Y,,,"15,291","15,218",,,,,,,,,,"4,789","5,307","5,122",,,,,,,,,,,,,,,
EEI,21Oct2015,Central,Y,,,"15,486","15,426",,,,,,,,,,"4,448","6,135","4,843",,,,,,,,,,,,,,,
EEI,22Oct2015,Central,Y,,,"16,307","16,243",,,,,,,,,,"4,655","6,639","4,949",,,,,,,,,,,,,,,
EEI,23Oct2015,Central,Y,,,"14,352","14,295",,,,,,,,,,"4,809","4,853","4,633",,,,,,,,,,,,,,,
EEI,24Oct2015,Central,Y,,,"7,036","7,027",,,,,,,,,,"4,694",-828,"3,161",,,,,,,,,,,,,,,
EEI,25Oct2015,Central,Y,,,"7,543","7,525",,,,,,,,,,"4,420",-611,"3,716",,,,,,,,,,,,,,,
EEI,26Oct2015,Central,Y,,,"14,939","14,874",,,,,,,,,,"5,149","4,604","5,121",,,,,,,,,,,,,,,
EEI,27Oct2015,Central,Y,,,"14,754","14,691",,,,,,,,,,"5,088","4,728","4,875",,,,,,,,,,,,,,,
EEI,28Oct2015,Central,Y,,,"13,175","13,121",,,,,,,,,,"5,266","3,028","4,827",,,,,,,,,,,,,,,
EEI,29Oct2015,Central,Y,,,"11,403","11,358",,,,,,,,,,"4,876","2,459","4,023",,,,,,,,,,,,,,,
EEI,30Oct2015,Central,Y,,,"10,302","10,253",,,,,,,,,,"4,673","3,013","2,567",,,,,,,,,,,,,,,
EEI,31Oct2015,Central,Y,,,"5,903","5,885",,,,,,,,,,"4,175",-344,"2,054",,,,,,,,,,,,,,,
EEI,01Nov2015,Central,Y,,,"5,157","5,140",,,,,,,,,,"4,017","-1,224","2,352",,,,,,,,,,,,,,,
EEI,02Nov2015,Central,Y,,,"11,358","11,312",,,,,,,,,,"4,347","2,901","4,064",,,,,,,,,,,,,,,
EEI,03Nov2015,Central,Y,,,"9,755","9,706",,,,,,,,,,"4,152","1,565","4,007",,,,,,,,,,,,,,,
EEI,04Nov2015,Central,Y,,,"8,773","8,750",,,,,,,,,,"4,216","1,312","3,222",,,,,,,,,,,,,,,
EEI,05Nov2015,Central,Y,,,"9,087","9,056",,,,,,,,,,"4,301",162,"4,593",,,,,,,,,,,,,,,
EEI,06Nov2015,Central,Y,,,"8,319","8,286",,,,,,,,,,"3,999",733,"3,554",,,,,,,,,,,,,,,
EEI,07Nov2015,Central,Y,,,"6,406","6,381",,,,,,,,,,"3,644",385,"2,352",,,,,,,,,,,,,,,
EEI,08Nov2015,Central,Y,,,"6,382","6,362",,,,,,,,,,"3,920",463,"1,979",,,,,,,,,,,,,,,
EEI,09Nov2015,Central,Y,,,"11,975","11,907",,,,,,,,,,"4,562","4,221","3,124",,,,,,,,,,,,,,,
EEI,10Nov2015,Central,Y,,,"15,578","15,488",,,,,,,,,,"4,321","7,344","3,823",,,,,,,,,,,,,,,
EEI,11Nov2015,Central,Y,,,"13,023","12,958",,,,,,,,,,"4,731","3,127","5,100",,,,,,,,,,,,,,,
EEI,12Nov2015,Central,Y,,,"8,212","8,168",,,,,,,,,,"4,153","1,073","2,942",,,,,,,,,,,,,,,
EEI,13Nov2015,Central,Y,,,"6,855","6,820",,,,,,,,,,"4,236",931,"1,653",,,,,,,,,,,,,,,
EEI,14Nov2015,Central,Y,,,"4,601","4,579",,,,,,,,,,"3,964","-1,157","1,772",,,,,,,,,,,,,,,
EEI,15Nov2015,Central,Y,,,"4,560","4,545",,,,,,,,,,"4,001","-1,643","2,187",,,,,,,,,,,,,,,
EEI,16Nov2015,Central,Y,,,"5,333","5,308",,,,,,,,,,"4,556","-2,473","3,225",,,,,,,,,,,,,,,
EEI,17Nov2015,Central,Y,,,"7,536","7,513",,,,,,,,,,"4,719","-1,643","4,437",,,,,,,,,,,,,,,
EEI,18Nov2015,Central,Y,,,"7,810","7,775",,,,,,,,,,"4,957","-2,657","5,475",,,,,,,,,,,,,,,
EEI,19Nov2015,Central,Y,,,"5,991","5,964",,,,,,,,,,"4,798","-2,929","4,095",,,,,,,,,,,,,,,
EEI,20Nov2015,Central,Y,,,"11,085","11,023",,,,,,,,,,"5,264","1,021","4,738",,,,,,,,,,,,,,,
EEI,21Nov2015,Central,Y,,,"14,877","14,793",,,,,,,,,,"5,211","3,508","6,074",,,,,,,,,,,,,,,
EEI,22Nov2015,Central,Y,,,"17,191","17,101",,,,,,,,,,"5,660","4,640","6,801",,,,,,,,,,,,,,,
EEI,23Nov2015,Central,Y,,,"16,857","16,768",,,,,,,,,,"5,586","6,091","5,091",,,,,,,,,,,,,,,
EEI,24Nov2015,Central,Y,,,"15,388","15,299",,,,,,,,,,"5,289","6,156","3,854",,,,,,,,,,,,,,,
EEI,25Nov2015,Central,Y,,,"19,374","19,270",,,,,,,,,,"4,845","8,567","5,858",,,,,,,,,,,,,,,
EEI,26Nov2015,Central,Y,,,"7,166","7,119",,,,,,,,,,"3,554",458,"3,107",,,,,,,,,,,,,,,
EEI,27Nov2015,Central,Y,,,"9,828","9,770",,,,,,,,,,"3,746","3,660","2,364",,,,,,,,,,,,,,,
EEI,28Nov2015,Central,Y,,,"10,081","10,028",,,,,,,,,,"3,699","5,620",709,,,,,,,,,,,,,,,
EEI,29Nov2015,Central,Y,,,"10,556","10,494",,,,,,,,,,"3,383","6,287",824,,,,,,,,,,,,,,,
EEI,30Nov2015,Central,Y,,,"14,941","14,873",,,,,,,,,,"3,816","8,972","2,085",,,,,,,,,,,,,,,
EEI,01Dec2015,Central,Y,,,"11,034","10,979",,,,,,,,,,"3,827","5,820","1,332",,,,,,,,,,,,,,,
EEI,02Dec2015,Central,Y,,,"18,595","18,495",,,,,,,,,,"5,140","8,736","4,619",,,,,,,,,,,,,,,
EEI,03Dec2015,Central,Y,,,"17,295","17,209",,,,,,,,,,"5,269","9,208","2,732",,,,,,,,,,,,,,,
EEI,04Dec2015,Central,Y,,,"13,510","13,442",,,,,,,,,,"5,208","6,755","1,479",,,,,,,,,,,,,,,
EEI,05Dec2015,Central,Y,,,"9,462","9,413",,,,,,,,,,"4,723",852,"3,838",,,,,,,,,,,,,,,
EEI,06Dec2015,Central,Y,,,"8,423","8,381",,,,,,,,,,"4,315",970,"3,096",,,,,,,,,,,,,,,
EEI,07Dec2015,Central,Y,,,"13,631","13,565",,,,,,,,,,"4,738","4,496","4,331",,,,,,,,,,,,,,,
EEI,08Dec2015,Central,Y,,,"10,908","10,817",,,,,,,,,,"4,244","3,246","3,327",,,,,,,,,,,,,,,
EEI,09Dec2015,Central,Y,,,"9,694","9,649",,,,,,,,,,"4,367","3,047","2,235",,,,,,,,,,,,,,,
EEI,10Dec2015,Central,Y,,,"8,109","8,081",,,,,,,,,,"4,701",301,"3,079",,,,,,,,,,,,,,,
EEI,11Dec2015,Central,Y,,,"5,834","5,796",,,,,,,,,,"4,236",200,"1,360",,,,,,,,,,,,,,,
EEI,12Dec2015,Central,Y,,,"4,600","4,564",,,,,,,,,,"3,741","-1,000","1,823",,,,,,,,,,,,,,,
EEI,13Dec2015,Central,Y,,,"4,620","4,588",,,,,,,,,,"3,926","-1,738","2,400",,,,,,,,,,,,,,,
EEI,14Dec2015,Central,Y,,,"6,092","6,063",,,,,,,,,,"4,457",-506,"2,112",,,,,,,,,,,,,,,
EEI,15Dec2015,Central,Y,,,"6,747","6,702",,,,,,,,,,"4,120","1,589",993,,,,,,,,,,,,,,,
EEI,16Dec2015,Central,Y,,,"6,795","6,754",,,,,,,,,,"4,649",-947,"3,052",,,,,,,,,,,,,,,
EEI,17Dec2015,Central,Y,,,"8,383","8,332",,,,,,,,,,"4,775",571,"2,986",,,,,,,,,,,,,,,
EEI,18Dec2015,Central,Y,,,"8,126","8,087",,,,,,,,,,"5,196",-195,"3,086",,,,,,,,,,,,,,,
EEI,19Dec2015,Central,Y,,,"5,055","5,027",,,,,,,,,,"4,635","-1,436","1,828",,,,,,,,,,,,,,,
EEI,20Dec2015,Central,Y,,,"5,933","5,906",,,,,,,,,,"4,784","-2,532","3,654",,,,,,,,,,,,,,,
EEI,21Dec2015,Central,Y,,,"8,693","8,652",,,,,,,,,,"4,784",952,"2,916",,,,,,,,,,,,,,,
EEI,22Dec2015,Central,Y,,,"7,626","7,589",,,,,,,,,,"4,706",955,"1,928",,,,,,,,,,,,,,,
EEI,23Dec2015,Central,Y,,,"4,566","4,546",,,,,,,,,,"4,154","-2,871","3,263",,,,,,,,,,,,,,,
EEI,24Dec2015,Central,Y,,,"4,595","4,566",,,,,,,,,,"3,479","-1,551","2,638",,,,,,,,,,,,,,,
EEI,25Dec2015,Central,Y,,,"4,616","4,586",,,,,,,,,,"3,667","-1,761","2,680",,,,,,,,,,,,,,,
EEI,26Dec2015,Central,Y,,,"4,612","4,580",,,,,,,,,,"4,102","-2,675","3,153",,,,,,,,,,,,,,,
EEI,27Dec2015,Central,Y,,,"4,531","4,492",,,,,,,,,,"3,826","-2,690","3,356",,,,,,,,,,,,,,,
EEI,28Dec2015,Central,Y,,,"3,096","3,083",,,,,,,,,,"4,242","-3,174","2,015",,,,,,,,,,,,,,,
EEI,29Dec2015,Central,Y,,,"4,297","4,283",,,,,,,,,,"4,572","-1,306","1,017",,,,,,,,,,,,,,,
EEI,30Dec2015,Central,Y,,,"9,851","9,809",,,,,,,,,,"5,166","2,486","2,157",,,,,,,,,,,,,,,
EEI,31Dec2015,Central,Y,,,"7,978","7,944",,,,,,,,,,"5,037",471,"2,436",,,,,,,,,,,,,,,
EEI,01Jan2016,Central,Y,,,"5,554","5,533",,,,,,,,,,"4,784","-1,163","1,912",,,,,,,,,,,,,,,
EEI,02Jan2016,Central,Y,,,"4,655","4,642",,,,,,,,,,"4,950","-2,270","1,962",,,,,,,,,,,,,,,
EEI,03Jan2016,Central,Y,,,"5,523","5,499",,,,,,,,,,"4,725",-598,"1,372",,,,,,,,,,,,,,,
EEI,04Jan2016,Central,Y,,,"12,140","12,094",,,,,,,,,,"5,306","4,944","1,844",,,,,,,,,,,,,,,
EEI,05Jan2016,Central,Y,,,"12,042","12,006",,,,,,,,,,"5,304","5,280","1,422",,,,,,,,,,,,,,,
EEI,06Jan2016,Central,Y,,,"7,723","7,695",,,,,,,,,,"4,681","3,444",-430,,,,,,,,,,,,,,,
EEI,07Jan2016,Central,Y,,,"9,661","9,601",,,,,,,,,,"4,448","6,310","-1,157",,,,,,,,,,,,,,,
EEI,08Jan2016,Central,Y,,,"7,325","7,278",,,,,,,,,,"3,687","3,418",173,,,,,,,,,,,,,,,
EEI,09Jan2016,Central,Y,,,"6,399","6,356",,,,,,,,,,"3,700","3,005",-349,,,,,,,,,,,,,,,
EEI,10Jan2016,Central,Y,,,"10,727","10,665",,,,,,,,,,"4,260","6,986",-581,,,,,,,,,,,,,,,
EEI,11Jan2016,Central,Y,,,"19,070","18,954",,,,,,,,,,"5,566","11,197","2,191",,,,,,,,,,,,,,,
EEI,12Jan2016,Central,Y,,,"13,614","13,505",,,,,,,,,,"4,899","7,647",959,,,,,,,,,,,,,,,
EEI,13Jan2016,Central,Y,,,"11,921","11,827",,,,,,,,,,"4,923","6,508",396,,,,,,,,,,,,,,,
EEI,14Jan2016,Central,Y,,,"8,719","8,664",,,,,,,,,,"3,981","3,414","1,269",,,,,,,,,,,,,,,
