BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,PNM,SWPP,TEPC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
EPE,01Jul2015,Arizona,N,"30,075","29,630","13,864","-15,796",,,,,,,,,,"-7,340",-241,"-8,215",,,,,,,,,,,,,,,
EPE,02Jul2015,Arizona,N,"30,966","30,775","13,389","-17,414",,,,,,,,,,"-8,129",0,"-9,285",,,,,,,,,,,,,,,
EPE,03Jul2015,Arizona,N,"27,336","27,696","11,540","-16,176",,,,,,,,,,"-7,006",0,"-9,170",,,,,,,,,,,,,,,
EPE,04Jul2015,Arizona,N,"25,727","26,560","11,648","-14,930",,,,,,,,,,"-5,366",0,"-9,564",,,,,,,,,,,,,,,
EPE,05Jul2015,Arizona,N,"27,619","26,710","12,208","-14,525",,,,,,,,,,"-4,352",0,"-10,173",,,,,,,,,,,,,,,
EPE,06Jul2015,Arizona,N,"30,362","30,352","13,243","-17,139",,,,,,,,,,"-7,125",0,"-10,014",,,,,,,,,,,,,,,
EPE,07Jul2015,Arizona,N,"29,162","30,800","15,963","-14,864",,,,,,,,,,"-6,371",0,"-8,493",,,,,,,,,,,,,,,
EPE,08Jul2015,Arizona,N,"29,657","27,556","13,516","-14,067",,,,,,,,,,"-5,865",0,"-8,202",,,,,,,,,,,,,,,
EPE,09Jul2015,Arizona,N,"28,745","27,317","13,173","-14,170",,,,,,,,,,"-6,410",0,"-7,760",,,,,,,,,,,,,,,
EPE,10Jul2015,Arizona,N,"27,453","26,909","13,272","-13,665",,,,,,,,,,"-4,957",0,"-8,708",,,,,,,,,,,,,,,
