BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,CEN,CFE,SWPP,Subregion COAS,Subregion EAST,Subregion FWES,Subregion NRTH,Subregion NCEN,Subregion SOUT,Subregion SCEN,Subregion WEST,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
ERCO,01Jul2015,Central,N,"1,147,856","1,056,306","1,060,952","4,637",,,,,,,,,,,"4,083",554,,,,,,,,,,,,,,,,,,,,,,,
ERCO,02Jul2015,Central,N,"1,132,515","1,083,426","1,087,499","4,062",,,,,,,,,,,"4,076",-13,,,,,,,,,,,,,,,,,,,,,,,
ERCO,03Jul2015,Central,N,"1,092,201","1,073,843","1,078,611","4,755",,,,,,,,,,,"4,083",674,,,,,,,,,,,,,,,,,,,,,,,
ERCO,04Jul2015,Central,N,"1,077,788","1,064,433","1,063,840",-599,,,,,,,,,,,74,-676,,,,,,,,,,,,,,,,,,,,,,,
ERCO,05Jul2015,Central,N,"1,091,990","1,090,425","1,090,545",114,,,,,,,,,,,46,65,,,,,,,,,,,,,,,,,,,,,,,
ERCO,06Jul2015,Central,N,"1,171,537","1,173,300","1,178,413","5,095",,,,,,,,,,,"4,072","1,024",,,,,,,,,,,,,,,,,,,,,,,
ERCO,07Jul2015,Central,N,"1,128,934","1,149,244","1,152,160","2,905",,,,,,,,,,,"4,079","-1,177",,,,,,,,,,,,,,,,,,,,,,,
ERCO,08Jul2015,Central,N,"1,120,481","1,123,930","1,126,998","3,059",,,,,,,,,,,"4,076","-1,019",,,,,,,,,,,,,,,,,,,,,,,
ERCO,09Jul2015,Central,N,"1,138,438","1,162,935","1,167,405","4,460",,,,,,,,,,,"4,062",400,,,,,,,,,,,,,,,,,,,,,,,
ERCO,10Jul2015,Central,N,"1,143,067","1,155,620","1,157,965","2,336",,,,,,,,,,,"1,669",659,,,,,,,,,,,,,,,,,,,,,,,
ERCO,11Jul2015,Central,N,"1,120,005","1,126,875","1,127,550",733,,,,,,,,,,,123,610,,,,,,,,,,,,,,,,,,,,,,,
ERCO,12Jul2015,Central,N,"1,144,676","1,140,452","1,142,975","2,636",,,,,,,,,,,121,"2,514",,,,,,,,,,,,,,,,,,,,,,,
ERCO,13Jul2015,Central,N,"1,239,073","1,225,224","1,224,944",-243,,,,,,,,,,,61,-306,,,,,,,,,,,,,,,,,,,,,,,
ERCO,14Jul2015,Central,N,"1,240,377","1,226,666","1,228,224","1,542",,,,,,,,,,,1,"1,535",,,,,,,,,,,,,,,,,,,,,,,
ERCO,15Jul2015,Central,N,"1,224,230","1,214,784","1,215,006",210,,,,,,,,,,,86,120,,,,,,,,,,,,,,,,,,,,,,,
ERCO,16Jul2015,Central,N,"1,224,266","1,217,895","1,216,584","-1,322",,,,,,,,,,,85,"-1,406",,,,,,,,,,,,,,,,,,,,,,,
ERCO,17Jul2015,Central,N,"1,233,714","1,222,971","1,225,020","2,035",,,,,,,,,,,83,"1,946",,,,,,,,,,,,,,,,,,,,,,,
ERCO,18Jul2015,Central,N,"1,206,538","1,208,587","1,208,535",-64,,,,,,,,,,,70,-139,,,,,,,,,,,,,,,,,,,,,,,
ERCO,19Jul2015,Central,N,"1,202,565","1,191,983","1,189,397","-2,704",,,,,,,,,,,48,"-2,756",,,,,,,,,,,,,,,,,,,,,,,
ERCO,20Jul2015,Central,N,"1,262,149","1,256,879","1,254,119","-2,774",,,,,,,,,,,59,"-2,833",,,,,,,,,,,,,,,,,,,,,,,
ERCO,21Jul2015,Central,N,"1,266,601","1,242,304","1,235,688","-6,626",,,,,,,,,,,84,"-6,713",,,,,,,,,,,,,,,,,,,,,,,
ERCO,22Jul2015,Central,N,"1,258,713","1,252,075","1,246,158","-5,579",,,,,,,,,,,121,"-5,698",,,,,,,,,,,,,,,,,,,,,,,
ERCO,23Jul2015,Central,N,"1,264,979","1,264,575","1,258,834","-5,756",,,,,,,,,,,121,"-5,874",,,,,,,,,,,,,,,,,,,,,,,
ERCO,24Jul2015,Central,N,"1,261,016","1,255,950","1,249,678","-6,287",,,,,,,,,,,121,"-6,408",,,,,,,,,,,,,,,,,,,,,,,
ERCO,25Jul2015,Central,N,"1,198,270","1,214,219","1,209,707","-4,531",,,,,,,,,,,100,"-4,632",,,,,,,,,,,,,,,,,,,,,,,
ERCO,26Jul2015,Central,N,"1,195,092","1,217,446","1,211,876","-5,594",,,,,,,,,,,57,"-5,650",,,,,,,,,,,,,,,,,,,,,,,
ERCO,27Jul2015,Central,N,"1,249,057","1,280,459","1,275,095","-5,377",,,,,,,,,,,81,"-5,460",,,,,,,,,,,,,,,,,,,,,,,
ERCO,28Jul2015,Central,N,"1,269,870","1,273,836","1,270,425","-3,422",,,,,,,,,,,85,"-3,506",,,,,,,,,,,,,,,,,,,,,,,
ERCO,29Jul2015,Central,N,"1,277,826","1,281,303","1,275,836","-5,478",,,,,,,,,,,99,"-5,579",,,,,,,,,,,,,,,,,,,,,,,
ERCO,30Jul2015,Central,N,"1,301,219","1,281,439","1,273,117","-8,334",,,,,,,,,,,-182,"-8,154",,,,,,,,,,,,,,,,,,,,,,,
ERCO,31Jul2015,Central,N,"1,261,008","1,255,722","1,250,816","-4,912",,,,,,,,,,,-46,"-4,865",,,,,,,,,,,,,,,,,,,,,,,
ERCO,01Aug2015,Central,N,"1,184,349","1,149,527","1,145,903","-3,635",,,,,,,,,,,77,"-3,714",,,,,,,,,,,,,,,,,,,,,,,
ERCO,02Aug2015,Central,N,"1,179,401","1,143,253","1,139,172","-4,093",,,,,,,,,,,46,"-4,143",,,,,,,,,,,,,,,,,,,,,,,
ERCO,03Aug2015,Central,N,"1,233,522","1,228,074","1,222,910","-5,175",,,,,,,,,,,68,"-5,244",,,,,,,,,,,,,,,,,,,,,,,
ERCO,04Aug2015,Central,N,"1,252,960","1,254,569","1,248,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCO,05Aug2015,Central,N,"1,266,796","1,306,456","1,299,803","-6,727",,,,,,,,,,,"3,661","-10,387",,,,,,,,,,,,,,,,,,,,,,,
ERCO,06Aug2015,Central,N,"1,301,998","1,312,686","1,304,058","-8,643",,,,,,,,,,,213,"-8,860",,,,,,,,,,,,,,,,,,,,,,,
ERCO,07Aug2015,Central,N,"1,295,965","1,304,067","1,295,277","-8,808",,,,,,,,,,,218,"-9,024",,,,,,,,,,,,,,,,,,,,,,,
ERCO,08Aug2015,Central,N,"1,243,346","1,263,641","1,257,073","-6,583",,,,,,,,,,,73,"-6,653",,,,,,,,,,,,,,,,,,,,,,,
ERCO,09Aug2015,Central,N,"1,235,789","1,244,957","1,239,116","-5,856",,,,,,,,,,,48,"-5,904",,,,,,,,,,,,,,,,,,,,,,,
ERCO,10Aug2015,Central,N,"1,288,424","1,306,262","1,298,806","-7,473",,,,,,,,,,,64,"-7,538",,,,,,,,,,,,,,,,,,,,,,,
ERCO,11Aug2015,Central,N,"1,290,068","1,298,729","1,290,734","-8,004",,,,,,,,,,,98,"-8,109",,,,,,,,,,,,,,,,,,,,,,,
ERCO,12Aug2015,Central,N,"1,281,995","1,287,776","1,279,433","-8,357",,,,,,,,,,,108,"-8,471",,,,,,,,,,,,,,,,,,,,,,,
ERCO,13Aug2015,Central,N,"1,272,126","1,278,012","1,269,019","-9,004",,,,,,,,,,,"2,676","-11,682",,,,,,,,,,,,,,,,,,,,,,,
ERCO,14Aug2015,Central,N,"1,253,968","1,247,915","1,240,976","-6,941",,,,,,,,,,,"3,626","-10,568",,,,,,,,,,,,,,,,,,,,,,,
ERCO,15Aug2015,Central,N,"1,174,945","1,164,630","1,157,817","-6,825",,,,,,,,,,,77,"-6,907",,,,,,,,,,,,,,,,,,,,,,,
ERCO,16Aug2015,Central,N,"1,142,246","1,129,298","1,122,112","-7,199",,,,,,,,,,,42,"-7,246",,,,,,,,,,,,,,,,,,,,,,,
ERCO,17Aug2015,Central,N,"1,199,204","1,203,405","1,197,185","-6,228",,,,,,,,,,,65,"-6,288",,,,,,,,,,,,,,,,,,,,,,,
ERCO,18Aug2015,Central,N,"1,250,364","1,241,677","1,234,560","-7,122",,,,,,,,,,,107,"-7,227",,,,,,,,,,,,,,,,,,,,,,,
ERCO,19Aug2015,Central,N,"1,218,725","1,184,066","1,180,197","-3,886",,,,,,,,,,,118,"-4,002",,,,,,,,,,,,,,,,,,,,,,,
ERCO,20Aug2015,Central,N,"1,066,171","969,695","967,341","-2,364",,,,,,,,,,,107,"-2,471",,,,,,,,,,,,,,,,,,,,,,,
ERCO,21Aug2015,Central,N,"1,151,266","1,054,257","1,049,687","-4,581",,,,,,,,,,,105,"-4,684",,,,,,,,,,,,,,,,,,,,,,,
ERCO,22Aug2015,Central,N,"1,120,022","1,142,924","1,138,110","-4,825",,,,,,,,,,,91,"-4,915",,,,,,,,,,,,,,,,,,,,,,,
ERCO,23Aug2015,Central,N,"1,146,952","1,185,356","1,179,355",,,,,,,,,,,,53,"-6,065",,,,,,,,,,,,,,,,,,,,,,,
ERCO,24Aug2015,Central,N,"1,213,222","1,239,014","1,232,144","-6,877",,,,,,,,,,,69,"-6,953",,,,,,,,,,,,,,,,,,,,,,,
ERCO,25Aug2015,Central,N,"1,198,033","1,169,262","1,163,616","-5,658",,,,,,,,,,,102,"-5,763",,,,,,,,,,,,,,,,,,,,,,,
ERCO,26Aug2015,Central,N,"1,186,036","1,141,886","1,135,750","-6,146",,,,,,,,,,,112,"-6,258",,,,,,,,,,,,,,,,,,,,,,,
