BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPC,FPL,JEA,TEC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
FMPP,01Jul2015,Eastern,N,"60,008","60,990","58,848","-2,142",,,,,,,,,,"14,123","-8,261","-2,370","-5,628",,,,,,,,,,,,,,,
FMPP,02Jul2015,Eastern,N,"61,531","56,939","54,862","-2,077",,,,,,,,,,"12,469","-7,135","-2,304","-5,106",,,,,,,,,,,,,,,
FMPP,03Jul2015,Eastern,N,"62,091","56,046","54,013","-2,034",,,,,,,,,,"14,074","-8,592","-2,398","-5,110",,,,,,,,,,,,,,,
FMPP,04Jul2015,Eastern,N,"59,991","53,318","51,212","-2,106",,,,,,,,,,"12,599","-7,843","-2,057","-4,800",,,,,,,,,,,,,,,
FMPP,05Jul2015,Eastern,N,"59,134","54,487","52,368","-2,118",,,,,,,,,,"11,035","-7,624","-2,153","-3,371",,,,,,,,,,,,,,,
FMPP,06Jul2015,Eastern,N,"62,529","55,567","53,571","-1,997",,,,,,,,,,"13,009","-7,903","-2,003","-5,093",,,,,,,,,,,,,,,
FMPP,07Jul2015,Eastern,N,"58,295","53,462","51,505","-1,959",,,,,,,,,,"11,832","-6,529","-2,012","-5,244",,,,,,,,,,,,,,,
FMPP,08Jul2015,Eastern,N,"58,816","57,586","56,123","-1,463",,,,,,,,,,"7,830","-1,052","-2,285","-5,953",,,,,,,,,,,,,,,
FMPP,09Jul2015,Eastern,N,"57,593","60,127","58,746","-1,381",,,,,,,,,,"8,458","-1,098","-2,434","-6,303",,,,,,,,,,,,,,,
FMPP,10Jul2015,Eastern,N,"64,113","61,142","58,801","-2,343",,,,,,,,,,"9,843","-3,437","-2,532","-6,211",,,,,,,,,,,,,,,
FMPP,11Jul2015,Eastern,N,"60,822","58,517","56,243","-2,273",,,,,,,,,,"11,230","-6,163","-2,285","-5,050",,,,,,,,,,,,,,,
FMPP,12Jul2015,Eastern,N,"60,607","55,948","53,694","-2,254",,,,,,,,,,"11,976","-6,926","-2,321","-4,975",,,,,,,,,,,,,,,
FMPP,13Jul2015,Eastern,N,"62,902","60,857","58,763","-2,094",,,,,,,,,,"13,586","-8,379","-2,584","-4,714",,,,,,,,,,,,,,,
FMPP,14Jul2015,Eastern,N,"59,032","60,828","58,755","-2,074",,,,,,,,,,"13,552","-8,747","-2,472","-4,403",,,,,,,,,,,,,,,
FMPP,15Jul2015,Eastern,N,"62,360","57,947","56,018","-1,927",,,,,,,,,,"12,580","-8,646","-2,355","-3,570",,,,,,,,,,,,,,,
FMPP,16Jul2015,Eastern,N,"62,662","57,059","55,126","-1,933",,,,,,,,,,"12,040","-8,434","-2,250","-3,284",,,,,,,,,,,,,,,
FMPP,17Jul2015,Eastern,N,"57,825","55,581","54,113","-1,469",,,,,,,,,,"14,355","-9,487","-2,516","-3,817",,,,,,,,,,,,,,,
FMPP,18Jul2015,Eastern,N,"55,218","54,306","52,507","-1,799",,,,,,,,,,"16,184","-13,193","-2,358","-2,427",,,,,,,,,,,,,,,
FMPP,19Jul2015,Eastern,N,"55,592","56,440","54,475","-1,964",,,,,,,,,,"15,775","-12,372","-2,530","-2,832",,,,,,,,,,,,,,,
FMPP,20Jul2015,Eastern,N,"59,957","60,023","59,354",-667,,,,,,,,,,"13,474","-7,950","-2,256","-3,932",,,,,,,,,,,,,,,
FMPP,21Jul2015,Eastern,N,"60,815","59,105","58,797",-308,,,,,,,,,,"13,004","-7,514","-2,345","-3,449",,,,,,,,,,,,,,,
FMPP,22Jul2015,Eastern,N,"61,567","58,572","57,979",-593,,,,,,,,,,"13,560","-8,558","-2,336","-3,255",,,,,,,,,,,,,,,
FMPP,23Jul2015,Eastern,N,"59,890","60,631","59,394","-1,236",,,,,,,,,,"14,034","-7,736","-2,460","-5,072",,,,,,,,,,,,,,,
FMPP,24Jul2015,Eastern,N,"58,937","55,150","53,602","-1,547",,,,,,,,,,"11,327","-7,522","-2,148","-3,202",,,,,,,,,,,,,,,
FMPP,25Jul2015,Eastern,N,"54,136","52,168","50,576","-1,591",,,,,,,,,,"11,943","-8,066","-1,994","-3,471",,,,,,,,,,,,,,,
