BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FMPP,FPL,GVL,NSB,SEC,SOCO,TAL,TEC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
FPC,01Jul2015,Eastern,N,"145,029","180,801","133,770","-47,031",,,,,,,,,,"-14,117","-11,747",-149,594,"-17,555","-7,961","-3,708","7,612",,,,,,,,,,,,,,,
FPC,02Jul2015,Eastern,N,"141,576","168,156","120,435","-47,721",,,,,,,,,,"-12,465","-13,903",-332,455,"-17,111","-8,391","-3,555","7,581",,,,,,,,,,,,,,,
FPC,03Jul2015,Eastern,N,"140,065","169,923","122,823","-47,100",,,,,,,,,,"-14,066","-11,555",-614,470,"-16,525","-7,348","-3,861","6,399",,,,,,,,,,,,,,,
FPC,04Jul2015,Eastern,N,"137,569","163,066","116,180","-46,886",,,,,,,,,,"-12,594","-14,057",-510,523,"-17,234","-6,553","-3,547","7,086",,,,,,,,,,,,,,,
FPC,05Jul2015,Eastern,N,"134,544","160,813","118,462","-42,351",,,,,,,,,,"-11,030","-16,236",-452,531,"-16,189","-6,634","-3,261","10,920",,,,,,,,,,,,,,,
FPC,06Jul2015,Eastern,N,"140,789","163,158","119,325","-43,833",,,,,,,,,,"-13,002","-11,696",-476,522,"-15,718","-7,375","-3,595","7,507",,,,,,,,,,,,,,,
FPC,07Jul2015,Eastern,N,"138,448","158,160","113,982","-44,178",,,,,,,,,,"-11,826","-10,354",-558,550,"-16,356","-7,231","-3,654","5,251",,,,,,,,,,,,,,,
FPC,08Jul2015,Eastern,N,"134,529","167,652","122,356","-45,296",,,,,,,,,,"-7,827","-12,692",-512,679,"-16,740","-7,304","-3,511","2,611",,,,,,,,,,,,,,,
FPC,09Jul2015,Eastern,N,"141,157","179,843","131,856","-47,987",,,,,,,,,,"-8,454","-13,704",-410,665,"-17,579","-8,688","-3,706","3,889",,,,,,,,,,,,,,,
FPC,10Jul2015,Eastern,N,"144,254","182,943","134,490","-48,453",,,,,,,,,,"-9,837","-12,068",-459,677,"-15,818","-7,801","-3,762",615,,,,,,,,,,,,,,,
FPC,11Jul2015,Eastern,N,"142,718","178,386","131,094","-47,292",,,,,,,,,,"-11,225","-15,396",-707,740,"-15,265","-7,479","-3,856","5,896",,,,,,,,,,,,,,,
FPC,12Jul2015,Eastern,N,"141,873","161,824","116,563","-45,261",,,,,,,,,,"-11,968","-13,924",-411,721,"-15,468","-6,866","-3,839","6,494",,,,,,,,,,,,,,,
