BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FMPP,FPC,GVL,HST,JEA,NSB,SEC,SOCO,TEC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
FPL,01Jul2015,Eastern,N,"401,858","400,334","361,290","-36,039",,,,,,,,,,"8,211","11,747","1,055","1,863","-2,170",812,"-16,186","-32,830","-8,541",,,,,,,,,,,,,,,
FPL,02Jul2015,Eastern,N,"404,291","402,900","364,071","-35,575",,,,,,,,,,"7,058","13,903","1,066","1,914",-410,918,"-18,235","-33,487","-8,302",,,,,,,,,,,,,,,
FPL,03Jul2015,Eastern,N,"397,492","393,779","351,568","-36,246",,,,,,,,,,"8,521","11,555","1,194","1,871","-1,044","1,004","-18,327","-32,436","-8,585",,,,,,,,,,,,,,,
FPL,04Jul2015,Eastern,N,"376,277","369,219","333,879","-31,843",,,,,,,,,,"7,767","14,057",906,"1,812",-890,964,"-16,016","-32,452","-7,991",,,,,,,,,,,,,,,
FPL,05Jul2015,Eastern,N,"382,153","390,277","355,046","-30,825",,,,,,,,,,"7,555","16,236",839,"1,922",-690,897,"-17,066","-31,508","-9,014",,,,,,,,,,,,,,,
FPL,06Jul2015,Eastern,N,"391,417","388,017","351,956","-33,013",,,,,,,,,,"7,861","11,696",985,"1,835",68,796,"-17,669","-31,764","-6,821",,,,,,,,,,,,,,,
FPL,07Jul2015,Eastern,N,"389,171","377,791","344,223","-30,111",,,,,,,,,,"6,498","10,354","1,084","1,743","-1,803",689,"-19,418","-25,904","-3,354",,,,,,,,,,,,,,,
FPL,08Jul2015,Eastern,N,"388,170","395,706","357,225","-34,080",,,,,,,,,,"1,027","12,692","1,045","1,806","-2,969",694,"-19,212","-26,861","-2,302",,,,,,,,,,,,,,,
FPL,09Jul2015,Eastern,N,"398,487","417,202","381,348","-35,854",,,,,,,,,,"1,072","13,704",898,"1,864",147,838,"-19,554","-33,519","-1,312",,,,,,,,,,,,,,,
FPL,10Jul2015,Eastern,N,"403,338","423,564","392,993","-30,571",,,,,,,,,,"3,383","12,068","1,015","1,822","-1,415",856,"-20,073","-28,988",761,,,,,,,,,,,,,,,
FPL,11Jul2015,Eastern,N,"391,582","412,434","383,652","-28,782",,,,,,,,,,"6,114","15,396","1,007","1,783","-2,741",835,"-20,413","-25,670","-5,093",,,,,,,,,,,,,,,
FPL,12Jul2015,Eastern,N,"391,670","401,230","370,015","-31,215",,,,,,,,,,"6,877","13,924","1,115","1,819","-2,431",818,"-19,485","-26,926","-6,930",,,,,,,,,,,,,,,
FPL,13Jul2015,Eastern,N,"404,065","418,943","384,680","-34,263",,,,,,,,,,"8,330","13,210","1,001","1,712","-2,382",949,"-20,141","-28,509","-8,433",,,,,,,,,,,,,,,
FPL,14Jul2015,Eastern,N,"403,642","405,029","376,589","-28,440",,,,,,,,,,"8,712","11,289",840,"1,714",-694,964,"-20,708","-25,671","-4,878",,,,,,,,,,,,,,,
FPL,15Jul2015,Eastern,N,"388,366","387,181","355,838","-31,343",,,,,,,,,,"8,599","16,634",977,"1,624","-1,381","1,031","-19,316","-29,442","-10,069",,,,,,,,,,,,,,,
FPL,16Jul2015,Eastern,N,"373,579","363,015","334,053","-28,962",,,,,,,,,,"8,382","15,154",898,"1,582",-159,782,"-18,215","-27,940","-9,446",,,,,,,,,,,,,,,
FPL,17Jul2015,Eastern,N,"358,700","371,184","339,245","-31,939",,,,,,,,,,"9,442","12,135","1,208","1,520","-3,979",852,"-18,511","-25,743","-8,863",,,,,,,,,,,,,,,
FPL,18Jul2015,Eastern,N,"353,094","363,018","332,937","-30,081",,,,,,,,,,"13,151","10,322","1,117","1,564","-4,353",896,"-18,895","-25,333","-8,548",,,,,,,,,,,,,,,
FPL,19Jul2015,Eastern,N,"362,336","383,733","351,164","-32,569",,,,,,,,,,"12,326","11,356","1,018","1,681","-3,952",849,"-20,688","-26,129","-9,028",,,,,,,,,,,,,,,
FPL,20Jul2015,Eastern,N,"390,499","410,801","374,937","-35,864",,,,,,,,,,"7,879","11,585","1,011","1,738","-5,250",906,"-20,109","-26,342","-7,282",,,,,,,,,,,,,,,
FPL,21Jul2015,Eastern,N,"398,988","413,423","376,136","-37,287",,,,,,,,,,"7,428","13,815",887,"1,774","-3,762",734,"-19,548","-28,254","-10,361",,,,,,,,,,,,,,,
FPL,22Jul2015,Eastern,N,"402,369","409,750","371,661","-38,089",,,,,,,,,,"8,469","14,686",962,"1,682","-3,286",869,"-20,177","-30,612","-10,682",,,,,,,,,,,,,,,
