BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AVA,BPAT,PACW,PSEI,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GCPD,01Jul2015,Pacific,N,"16,721","16,940","24,866","7,941",,,,,,,,,,-363,"2,640","6,125",-461,,,,,,,,,,,,,,,
GCPD,02Jul2015,Pacific,N,"16,738","16,994","29,873","12,889",,,,,,,,,,-357,"7,980","6,072",-806,,,,,,,,,,,,,,,
GCPD,03Jul2015,Pacific,N,"16,547","16,734","23,118","6,396",,,,,,,,,,-531,"4,193","5,540","-2,806",,,,,,,,,,,,,,,
GCPD,04Jul2015,Pacific,N,"16,100","16,370","22,569","6,204",,,,,,,,,,-498,"4,184","4,528","-2,010",,,,,,,,,,,,,,,
GCPD,05Jul2015,Pacific,N,"15,300","15,813","27,661","11,849",,,,,,,,,,-216,"8,968","4,912","-1,815",,,,,,,,,,,,,,,
GCPD,06Jul2015,Pacific,N,"16,007","16,418","24,198","7,777",,,,,,,,,,-548,"4,621","5,341","-1,637",,,,,,,,,,,,,,,
GCPD,07Jul2015,Pacific,N,"16,097","16,534","21,057","4,553",,,,,,,,,,-524,"1,339","4,547",-809,,,,,,,,,,,,,,,
GCPD,08Jul2015,Pacific,N,"16,254","16,765","23,569","6,770",,,,,,,,,,-190,"1,899","5,530",-469,,,,,,,,,,,,,,,
GCPD,09Jul2015,Pacific,N,"16,460","16,817","24,484","7,671",,,,,,,,,,-457,"3,390","5,380",-642,,,,,,,,,,,,,,,
GCPD,10Jul2015,Pacific,N,"16,157","16,744","17,256",539,,,,,,,,,,-435,599,"3,693","-3,318",,,,,,,,,,,,,,,
GCPD,11Jul2015,Pacific,N,"15,338","15,560","14,436","-1,118",,,,,,,,,,-767,956,"2,809","-4,116",,,,,,,,,,,,,,,
GCPD,12Jul2015,Pacific,N,"14,738","15,140","13,972","-1,161",,,,,,,,,,-559,-541,"3,301","-3,362",,,,,,,,,,,,,,,
GCPD,13Jul2015,Pacific,N,"15,158","15,662","23,575","7,879",,,,,,,,,,-486,"7,616","4,705","-3,956",,,,,,,,,,,,,,,
GCPD,14Jul2015,Pacific,N,"15,122","15,965","23,049","7,069",,,,,,,,,,-418,"4,728","5,318","-2,559",,,,,,,,,,,,,,,
GCPD,15Jul2015,Pacific,N,"15,478","16,255","24,469","8,183",,,,,,,,,,-483,"8,674","5,213","-5,221",,,,,,,,,,,,,,,
GCPD,16Jul2015,Pacific,N,"15,479","16,121","25,675","9,522",,,,,,,,,,-665,"10,442","5,105","-5,360",,,,,,,,,,,,,,,
GCPD,17Jul2015,Pacific,N,"15,506","16,219","25,901","9,689",,,,,,,,,,-569,"4,947","5,533",-222,,,,,,,,,,,,,,,
GCPD,18Jul2015,Pacific,N,"15,352","16,046","22,455","6,428",,,,,,,,,,-531,"2,856","5,761","-1,658",,,,,,,,,,,,,,,
GCPD,19Jul2015,Pacific,N,"15,692","16,186","23,859","7,673",,,,,,,,,,-380,"4,383","5,671","-2,001",,,,,,,,,,,,,,,
GCPD,20Jul2015,Pacific,N,"16,055","16,370","23,131","6,732",,,,,,,,,,-586,"8,982","4,562","-6,226",,,,,,,,,,,,,,,
GCPD,21Jul2015,Pacific,N,"15,583","15,841","21,022","5,157",,,,,,,,,,-560,"7,891","4,186","-6,360",,,,,,,,,,,,,,,
GCPD,22Jul2015,Pacific,N,"15,145","15,690","16,812","1,125",,,,,,,,,,-638,"1,507","3,780","-3,524",,,,,,,,,,,,,,,
GCPD,23Jul2015,Pacific,N,"15,168","15,532","22,219","6,654",,,,,,,,,,-654,"6,841","4,040","-3,573",,,,,,,,,,,,,,,
GCPD,24Jul2015,Pacific,N,"15,080","15,605","20,896","5,246",,,,,,,,,,-657,"7,424","4,081","-5,602",,,,,,,,,,,,,,,
GCPD,25Jul2015,Pacific,N,"14,466","14,533","21,369","6,812",,,,,,,,,,-745,"11,099","3,128","-6,670",,,,,,,,,,,,,,,
GCPD,26Jul2015,Pacific,N,"13,629","13,841","20,704","6,858",,,,,,,,,,-655,"10,109","2,603","-5,199",,,,,,,,,,,,,,,
GCPD,27Jul2015,Pacific,N,"13,966","14,402","19,762","5,358",,,,,,,,,,-735,"6,317","3,474","-3,698",,,,,,,,,,,,,,,
GCPD,28Jul2015,Pacific,N,"14,414","15,100","22,565","7,466",,,,,,,,,,-575,"4,024","4,600",-583,,,,,,,,,,,,,,,
GCPD,29Jul2015,Pacific,N,"14,946","15,605","24,835","9,226",,,,,,,,,,-275,"4,545","5,094",-138,,,,,,,,,,,,,,,
GCPD,30Jul2015,Pacific,N,"15,550","16,167","25,197","9,040",,,,,,,,,,-179,"4,132","5,076",11,,,,,,,,,,,,,,,
GCPD,31Jul2015,Pacific,N,"15,799","16,391","23,204","6,830",,,,,,,,,,-138,"2,803","5,073",-908,,,,,,,,,,,,,,,
GCPD,01Aug2015,Pacific,N,"15,642","16,093","22,620","6,526",,,,,,,,,,-167,"4,466","4,584","-2,357",,,,,,,,,,,,,,,
GCPD,02Aug2015,Pacific,N,"15,329","15,770","14,022","-1,713",,,,,,,,,,-222,"-4,006","4,544","-2,029",,,,,,,,,,,,,,,
GCPD,03Aug2015,Pacific,N,"15,640","15,730","23,891","8,137",,,,,,,,,,-299,"10,103","3,791","-5,458",,,,,,,,,,,,,,,
GCPD,04Aug2015,Pacific,N,"15,242","15,706","22,739","6,996",,,,,,,,,,-255,"9,168","4,099","-6,016",,,,,,,,,,,,,,,
GCPD,05Aug2015,Pacific,N,"14,711","15,210","24,534","9,266",,,,,,,,,,-295,"12,469","3,891","-6,799",,,,,,,,,,,,,,,
GCPD,06Aug2015,Pacific,N,"14,499","15,001","26,945","11,922",,,,,,,,,,-140,"8,813","4,983","-1,734",,,,,,,,,,,,,,,
GCPD,07Aug2015,Pacific,N,"14,915","15,237","29,041","13,795",,,,,,,,,,13,"9,335","5,406",-959,,,,,,,,,,,,,,,
GCPD,08Aug2015,Pacific,N,"14,775","15,199","22,507","7,293",,,,,,,,,,-217,"6,002","3,663","-2,155",,,,,,,,,,,,,,,
GCPD,09Aug2015,Pacific,N,"14,516","14,667","21,695","7,032",,,,,,,,,,-92,"4,568","4,086","-1,530",,,,,,,,,,,,,,,
GCPD,10Aug2015,Pacific,N,"15,125","15,278","24,083","8,797",,,,,,,,,,2,"3,575","5,327",-107,,,,,,,,,,,,,,,
GCPD,11Aug2015,Pacific,N,"15,444","15,708","23,537","7,830",,,,,,,,,,27,"2,980","5,607",-784,,,,,,,,,,,,,,,
GCPD,12Aug2015,Pacific,N,"15,997","15,975","23,660","7,690",,,,,,,,,,8,"3,318","5,747","-1,383",,,,,,,,,,,,,,,
GCPD,13Aug2015,Pacific,N,"15,997","15,920","27,735","11,799",,,,,,,,,,21,"6,511","5,916",-649,,,,,,,,,,,,,,,
GCPD,14Aug2015,Pacific,N,"15,228","15,418","30,755","15,303",,,,,,,,,,-376,"15,671","3,673","-3,665",,,,,,,,,,,,,,,
GCPD,15Aug2015,Pacific,N,"14,025","14,362","32,047","17,634",,,,,,,,,,-336,"19,590","3,534","-5,154",,,,,,,,,,,,,,,
GCPD,16Aug2015,Pacific,N,"14,062","14,043","30,998","16,904",,,,,,,,,,-288,"13,241","4,343",-392,,,,,,,,,,,,,,,
GCPD,17Aug2015,Pacific,N,"14,757","15,011","31,188","16,168",,,,,,,,,,-108,"11,510","5,148",-382,,,,,,,,,,,,,,,
GCPD,18Aug2015,Pacific,N,"15,159","15,495","31,804","16,291",,,,,,,,,,-189,"11,421","5,196",-137,,,,,,,,,,,,,,,
GCPD,19Aug2015,Pacific,N,"15,463","15,532","33,457","17,904",,,,,,,,,,-120,"15,079","5,622","-2,677",,,,,,,,,,,,,,,
GCPD,20Aug2015,Pacific,N,"15,005","15,411","35,259","19,793",,,,,,,,,,-276,"22,893","4,207","-7,031",,,,,,,,,,,,,,,
GCPD,21Aug2015,Pacific,N,"14,634","14,825","31,750","16,875",,,,,,,,,,-232,"18,941","4,588","-6,422",,,,,,,,,,,,,,,
GCPD,22Aug2015,Pacific,N,"14,089","14,122","34,016","19,874",,,,,,,,,,-119,"15,184","5,196",-387,,,,,,,,,,,,,,,
GCPD,23Aug2015,Pacific,N,"13,743","13,651","32,444","18,787",,,,,,,,,,-90,"13,965","5,103",-191,,,,,,,,,,,,,,,
GCPD,24Aug2015,Pacific,N,"14,114","14,173","28,680","14,503",,,,,,,,,,11,"10,699","5,601","-1,808",,,,,,,,,,,,,,,
GCPD,25Aug2015,Pacific,N,"14,402","14,634","31,448","16,809",,,,,,,,,,29,"10,978","6,208",-406,,,,,,,,,,,,,,,
GCPD,26Aug2015,Pacific,N,"14,567","14,826","32,559","17,712",,,,,,,,,,-38,"11,912","5,959",-121,,,,,,,,,,,,,,,
GCPD,27Aug2015,Pacific,N,"14,731","15,061","31,246","16,166",,,,,,,,,,29,"13,418","5,069","-2,350",,,,,,,,,,,,,,,
GCPD,28Aug2015,Pacific,N,"14,654","14,386","28,365","13,965",,,,,,,,,,90,"9,816","4,939",-880,,,,,,,,,,,,,,,
GCPD,29Aug2015,Pacific,N,"13,450","12,989","21,527","8,519",,,,,,,,,,-112,"9,825","3,835","-5,029",,,,,,,,,,,,,,,
GCPD,30Aug2015,Pacific,N,"12,201","12,241","23,243","10,989",,,,,,,,,,-146,"12,527","2,890","-4,282",,,,,,,,,,,,,,,
GCPD,31Aug2015,Pacific,N,"12,603","12,966","22,185","9,203",,,,,,,,,,-49,"8,973","3,932","-3,653",,,,,,,,,,,,,,,
GCPD,01Sep2015,Pacific,N,"12,831","13,405","26,059","12,627",,,,,,,,,,-74,"13,810","2,977","-4,086",,,,,,,,,,,,,,,
GCPD,02Sep2015,Pacific,N,"13,068","13,443","23,725","10,258",,,,,,,,,,-82,"13,426","3,354","-6,440",,,,,,,,,,,,,,,
GCPD,03Sep2015,Pacific,N,"12,844","13,326","23,294","9,956",,,,,,,,,,-248,"11,153","3,216","-4,165",,,,,,,,,,,,,,,
GCPD,04Sep2015,Pacific,N,"12,701","13,295","19,552","6,257",,,,,,,,,,-209,"3,742","3,145",-421,,,,,,,,,,,,,,,
GCPD,05Sep2015,Pacific,N,"12,089","11,994","16,647","4,647",,,,,,,,,,-181,"7,530","2,788","-5,490",,,,,,,,,,,,,,,
GCPD,06Sep2015,Pacific,N,"10,993","11,243","17,751","6,503",,,,,,,,,,-354,"6,725","2,760","-2,628",,,,,,,,,,,,,,,
GCPD,07Sep2015,Pacific,N,"10,797","11,695","19,549","7,843",,,,,,,,,,-229,"6,956","3,102","-1,986",,,,,,,,,,,,,,,
GCPD,08Sep2015,Pacific,N,"12,058","12,390","17,244","4,836",,,,,,,,,,-129,"3,781","4,088","-2,904",,,,,,,,,,,,,,,
GCPD,09Sep2015,Pacific,N,"12,553","13,034","19,359","6,313",,,,,,,,,,-9,"3,382","4,561","-1,621",,,,,,,,,,,,,,,
GCPD,10Sep2015,Pacific,N,"12,917","13,379","22,145","8,772",,,,,,,,,,17,"3,535","5,455",-235,,,,,,,,,,,,,,,
GCPD,11Sep2015,Pacific,N,"12,873","13,466","22,469","9,000",,,,,,,,,,157,"2,996","5,752",95,,,,,,,,,,,,,,,
GCPD,12Sep2015,Pacific,N,"12,470","12,833","24,111","11,264",,,,,,,,,,166,"8,433","5,006","-2,341",,,,,,,,,,,,,,,
GCPD,13Sep2015,Pacific,N,"11,665","12,045","13,224","1,143",,,,,,,,,,-65,"6,664","1,969","-7,425",,,,,,,,,,,,,,,
GCPD,14Sep2015,Pacific,N,"11,720","12,136","21,427","9,259",,,,,,,,,,-75,"9,299","3,355","-3,320",,,,,,,,,,,,,,,
GCPD,15Sep2015,Pacific,N,"11,503","12,085","19,179","7,723",,,,,,,,,,-88,"6,767","2,845","-2,439",,,,,,,,,,,,,,,
GCPD,16Sep2015,Pacific,N,"11,469","12,016","19,668","7,622",,,,,,,,,,-14,"4,277","3,241",118,,,,,,,,,,,,,,,
GCPD,17Sep2015,Pacific,N,"11,498","11,970","16,198","4,219",,,,,,,,,,-67,"3,047","2,433","-1,194",,,,,,,,,,,,,,,
GCPD,18Sep2015,Pacific,N,"11,284","12,063","20,264","8,171",,,,,,,,,,37,"6,340","3,384","-1,590",,,,,,,,,,,,,,,
GCPD,19Sep2015,Pacific,N,"11,027","11,687","13,374","1,655",,,,,,,,,,26,"3,359","2,920","-4,650",,,,,,,,,,,,,,,
GCPD,20Sep2015,Pacific,N,"10,810","11,766","14,495","2,698",,,,,,,,,,-76,"6,484","1,698","-5,408",,,,,,,,,,,,,,,
GCPD,21Sep2015,Pacific,N,"11,878","12,327","21,889","9,508",,,,,,,,,,195,"8,797","3,154","-2,638",,,,,,,,,,,,,,,
GCPD,22Sep2015,Pacific,N,"11,782","12,211","24,333","12,092",,,,,,,,,,-44,"9,059","3,369",-292,,,,,,,,,,,,,,,
GCPD,23Sep2015,Pacific,N,"11,735","12,476","22,897","10,394",,,,,,,,,,-171,"7,859","3,086",-380,,,,,,,,,,,,,,,
GCPD,24Sep2015,Pacific,N,"11,834","12,344","24,033","11,671",,,,,,,,,,-120,"8,140","3,699",-48,,,,,,,,,,,,,,,
GCPD,25Sep2015,Pacific,N,"11,786","12,444","22,524","10,050",,,,,,,,,,-14,"7,571","4,065","-1,572",,,,,,,,,,,,,,,
GCPD,26Sep2015,Pacific,N,"11,128","11,787","13,971","2,164",,,,,,,,,,-143,"5,574","2,905","-6,172",,,,,,,,,,,,,,,
GCPD,27Sep2015,Pacific,N,"10,847","11,541","19,564","8,013",,,,,,,,,,-133,"4,695","3,584",-133,,,,,,,,,,,,,,,
GCPD,28Sep2015,Pacific,N,"11,397","12,132","25,811","13,641",,,,,,,,,,-323,"10,205","4,585",-826,,,,,,,,,,,,,,,
GCPD,29Sep2015,Pacific,N,"11,716","12,773","23,110","10,312",,,,,,,,,,-452,"6,243","4,371",150,,,,,,,,,,,,,,,
GCPD,30Sep2015,Pacific,N,"11,976","12,755","21,213","8,453",,,,,,,,,,-486,"4,202","4,591",146,,,,,,,,,,,,,,,
GCPD,01Oct2015,Pacific,N,"12,853","12,897","22,509","9,598",,,,,,,,,,-297,"5,646","4,354",-105,,,,,,,,,,,,,,,
GCPD,02Oct2015,Pacific,N,"12,552","12,577","19,365","6,745",,,,,,,,,,-281,"9,755","1,486","-4,215",,,,,,,,,,,,,,,
GCPD,03Oct2015,Pacific,N,"12,555","12,037","21,831","9,760",,,,,,,,,,-103,"11,729","2,352","-4,218",,,,,,,,,,,,,,,
GCPD,04Oct2015,Pacific,N,"11,648","11,797","17,908","6,099",,,,,,,,,,-176,"5,359","2,455","-1,539",,,,,,,,,,,,,,,
GCPD,05Oct2015,Pacific,N,"12,227","12,163","22,943","10,774",,,,,,,,,,-113,"6,898","3,794",195,,,,,,,,,,,,,,,
GCPD,06Oct2015,Pacific,N,"12,315","12,420","21,290","8,857",,,,,,,,,,-242,"7,813","1,675",-389,,,,,,,,,,,,,,,
GCPD,07Oct2015,Pacific,N,"12,357","12,320","18,595","6,253",,,,,,,,,,-283,"8,435",-800,"-1,099",,,,,,,,,,,,,,,
GCPD,08Oct2015,Pacific,N,"12,113","12,312","19,131","6,797",,,,,,,,,,-344,"6,999",119,23,,,,,,,,,,,,,,,
GCPD,09Oct2015,Pacific,N,"12,251","12,273","17,227","4,937",,,,,,,,,,-174,"6,256",83,"-1,228",,,,,,,,,,,,,,,
GCPD,10Oct2015,Pacific,N,"11,694","11,677","10,134","-1,561",,,,,,,,,,-222,"4,393",-770,"-4,962",,,,,,,,,,,,,,,
GCPD,11Oct2015,Pacific,N,"11,330","11,443","11,487",23,,,,,,,,,,-248,"5,196","-1,015","-3,910",,,,,,,,,,,,,,,
GCPD,12Oct2015,Pacific,N,"12,018","12,323","17,621","5,272",,,,,,,,,,-139,"7,035",91,"-1,715",,,,,,,,,,,,,,,
GCPD,13Oct2015,Pacific,N,"12,423","12,678","21,633","8,921",,,,,,,,,,-88,"10,016",454,"-1,461",,,,,,,,,,,,,,,
GCPD,14Oct2015,Pacific,N,"12,501","12,665","26,798","14,106",,,,,,,,,,-267,"14,005",797,-429,,,,,,,,,,,,,,,
GCPD,15Oct2015,Pacific,N,"12,542","12,544","22,699","10,126",,,,,,,,,,-234,"10,736",637,"-1,013",,,,,,,,,,,,,,,
GCPD,16Oct2015,Pacific,N,"12,454","12,324","21,718","9,379",,,,,,,,,,-124,"8,230","2,011",-738,,,,,,,,,,,,,,,
GCPD,17Oct2015,Pacific,N,"11,759","11,595","19,842","8,237",,,,,,,,,,-342,"8,052","2,371","-1,844",,,,,,,,,,,,,,,
GCPD,18Oct2015,Pacific,N,"11,467","11,416","15,341","3,845",,,,,,,,,,-417,"4,932","1,939","-2,535",,,,,,,,,,,,,,,
