BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,MISO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GLHB,29Feb2020,Central,Y,,,139,136,139,,,,,,,,,202,-66,2.26,,,142,,,,142,25,165,,139,3,2.26,
GLHB,01Mar2020,Central,Y,,,"3,345","3,325","3,345",,,,,,,,,"4,360","-1,035",2.25,,,"3,414",,,,"3,414",393,"3,789",,"3,345",20,2.25,
GLHB,02Mar2020,Central,Y,,,"4,439","4,422","4,439",,,,,,,,,"4,066",356,2.24,,,"4,518",,,,"4,518",2,"4,503",,"4,439",17,2.24,
GLHB,03Mar2020,Central,Y,,,"6,114","6,087","6,114",,,,,,,,,"4,223","1,864",2.24,,,"6,213",,,,"6,213",0,"6,186",,"6,114",27,2.24,
GLHB,04Mar2020,Central,Y,,,"5,560","5,533","5,560",,,,,,,,,"4,040","1,493",2.24,,,"5,656",,,,"5,656",0,"5,628",,"5,560",27,2.24,
GLHB,05Mar2020,Central,Y,,,"7,777","7,732","7,777",,,,,,,,,"4,579","3,153",2.25,,,"7,923",,,,"7,923",0,"7,877",,"7,777",45,2.25,
GLHB,06Mar2020,Central,Y,,,"8,256","8,208","8,256",,,,,,,,,"4,791","3,417",2.25,,,"8,408",,,,"8,408",0,"8,359",,"8,256",48,2.25,
GLHB,07Mar2020,Central,Y,,,"7,067","7,029","7,067",,,,,,,,,"4,613","2,416",2.25,,,"7,205",,,,"7,205",0,"7,166",,"7,067",38,2.25,
GLHB,08Mar2020,Central,Y,,,"5,261","5,232","5,261",,,,,,,,,"3,989","1,243",2.25,,,"5,362",,,,"5,362",0,"5,332",,"5,261",29,2.25,
GLHB,09Mar2020,Central,Y,,,"8,526",,"8,526",,,,,,,,,,,2.24,,,"8,674",,,,"8,674",,,,"8,526",,2.24,
GLHB,10Mar2020,Central,Y,,,"9,528","9,478","9,528",,,,,,,,,"4,294","5,184",2.24,,,"9,689",,,,"9,689",0,"9,638",,"9,528",50,2.24,
GLHB,11Mar2020,Central,Y,,,"9,837","9,780","9,837",,,,,,,,,"4,781","4,999",2.24,,,"10,002",,,,"10,002",0,"9,944",,"9,837",57,2.24,
GLHB,12Mar2020,Central,Y,,,"8,785","8,739","8,785",,,,,,,,,"4,845","3,894",2.24,,,"8,933",,,,"8,933",0,"8,886",,"8,785",46,2.24,
GLHB,13Mar2020,Central,Y,,,"6,689","6,653","6,689",,,,,,,,,"4,070","2,583",2.24,,,"6,793",,,,"6,793",0,"6,756",,"6,689",36,2.24,
GLHB,14Mar2020,Central,Y,,,"6,051","6,023","6,051",,,,,,,,,"3,885","2,138",2.24,,,"6,138",,,,"6,138",13,"6,123",,"6,051",28,2.24,
GLHB,15Mar2020,Central,Y,,,"4,892","4,875","4,892",,,,,,,,,"3,699","1,176",2.24,,,"4,960",,,,"4,960",39,"4,981",,"4,892",17,2.24,
GLHB,16Mar2020,Central,Y,,,"7,391","7,362","7,391",,,,,,,,,"3,765","3,597",2.24,,,"7,499",,,,"7,499",0,"7,469",,"7,391",29,2.24,
GLHB,17Mar2020,Central,Y,,,"7,325","7,288","7,325",,,,,,,,,"3,616","3,672",2.24,,,"7,440",,,,"7,440",0,"7,402",,"7,325",37,2.24,
GLHB,18Mar2020,Central,Y,,,"9,419","9,382","9,419",,,,,,,,,"3,777","5,605",2.24,,,"9,573",,,,"9,573",0,"9,536",,"9,419",37,2.24,
GLHB,19Mar2020,Central,Y,,,"7,471","7,444","7,471",,,,,,,,,"3,760","3,684",2.24,,,"7,606",,,,"7,606",0,"7,578",,"7,471",27,2.24,
GLHB,20Mar2020,Central,Y,,,"4,944","4,922","4,944",,,,,,,,,"3,199","1,723",2.24,,,"5,021",,,,"5,021",0,"4,998",,"4,944",22,2.24,
GLHB,21Mar2020,Central,Y,,,"4,419","4,397","4,419",,,,,,,,,"3,052","1,345",2.24,,,"4,482",,,,"4,482",0,"4,460",,"4,419",22,2.24,
GLHB,22Mar2020,Central,Y,,,"4,922","4,894","4,922",,,,,,,,,"3,387","1,507",2.23,,,"4,990",,,,"4,990",0,"4,961",,"4,922",28,2.23,
GLHB,23Mar2020,Central,Y,,,"6,503","6,479","6,503",,,,,,,,,"3,112","3,367",2.24,,,"6,601",,,,"6,601",0,"6,577",,"6,503",24,2.24,
GLHB,24Mar2020,Central,Y,,,"5,787","5,769","5,787",,,,,,,,,"3,159","2,610",2.24,,,"5,880",,,,"5,880",0,"5,861",,"5,787",18,2.24,
GLHB,25Mar2020,Central,Y,,,"5,099","5,076","5,099",,,,,,,,,"3,208","1,868",2.24,,,"5,188",,,,"5,188",0,"5,164",,"5,099",23,2.24,
GLHB,26Mar2020,Central,Y,,,"5,231","5,207","5,231",,,,,,,,,"2,942","2,265",2.24,,,"5,307",,,,"5,307",0,"5,282",,"5,231",24,2.24,
GLHB,27Mar2020,Central,Y,,,"4,783","4,755","4,783",,,,,,,,,"3,374","1,381",2.23,,,"4,845",,,,"4,845",0,"4,817",,"4,783",28,2.23,
GLHB,28Mar2020,Central,Y,,,"3,393","3,368","3,393",,,,,,,,,"3,336",32,2.24,,,"3,453",,,,"3,453",61,"3,489",,"3,393",25,2.24,
GLHB,29Mar2020,Central,Y,,,"3,466","3,445","3,466",,,,,,,,,"3,153",292,2.24,,,"3,523",,,,"3,523",4,"3,505",,"3,466",21,2.24,
GLHB,30Mar2020,Central,Y,,,"3,654","3,636","3,654",,,,,,,,,"3,066",570,2.24,,,"3,715",,,,"3,715",15,"3,712",,"3,654",18,2.24,
