BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PNM,SRP,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GRID,01Jul2015,Pacific,Y,,,"13,356","13,356",,,,,,,,,,"13,356",,,,,,,,,,,,,,,,,
GRID,02Jul2015,Pacific,Y,,,"13,556","13,556",,,,,,,,,,"13,556",,,,,,,,,,,,,,,,,
GRID,03Jul2015,Pacific,Y,,,"13,531","13,531",,,,,,,,,,"13,531",,,,,,,,,,,,,,,,,
GRID,04Jul2015,Pacific,Y,,,"12,205","12,205",,,,,,,,,,"12,205",,,,,,,,,,,,,,,,,
GRID,05Jul2015,Pacific,Y,,,"13,151","13,151",,,,,,,,,,"13,151",,,,,,,,,,,,,,,,,
GRID,06Jul2015,Pacific,Y,,,"13,176","13,176",,,,,,,,,,"13,176",,,,,,,,,,,,,,,,,
GRID,07Jul2015,Pacific,Y,,,"13,177","13,177",,,,,,,,,,"13,177",,,,,,,,,,,,,,,,,
GRID,08Jul2015,Pacific,Y,,,"13,060","13,060",,,,,,,,,,"13,060",,,,,,,,,,,,,,,,,
GRID,09Jul2015,Pacific,Y,,,"13,114","13,114",,,,,,,,,,"13,114",,,,,,,,,,,,,,,,,
GRID,10Jul2015,Pacific,Y,,,"13,187","13,187",,,,,,,,,,"13,187",,,,,,,,,,,,,,,,,
GRID,11Jul2015,Pacific,Y,,,"13,141","13,141",,,,,,,,,,"13,141",,,,,,,,,,,,,,,,,
GRID,12Jul2015,Pacific,Y,,,"13,192","13,192",,,,,,,,,,"13,192",,,,,,,,,,,,,,,,,
GRID,13Jul2015,Pacific,Y,,,"13,327","13,327",,,,,,,,,,"13,327",,,,,,,,,,,,,,,,,
GRID,14Jul2015,Pacific,Y,,,"13,588","13,588",,,,,,,,,,"13,588",,,,,,,,,,,,,,,,,
GRID,15Jul2015,Pacific,Y,,,"13,437","13,437",,,,,,,,,,"13,437",,,,,,,,,,,,,,,,,
GRID,16Jul2015,Pacific,Y,,,"13,065","13,065",,,,,,,,,,"13,065",,,,,,,,,,,,,,,,,
GRID,17Jul2015,Pacific,Y,,,"13,151","13,151",,,,,,,,,,"13,151",,,,,,,,,,,,,,,,,
GRID,18Jul2015,Pacific,Y,,,"12,957","12,957",,,,,,,,,,"12,957",,,,,,,,,,,,,,,,,
GRID,19Jul2015,Pacific,Y,,,"12,709","12,709",,,,,,,,,,"12,709",,,,,,,,,,,,,,,,,
GRID,20Jul2015,Pacific,Y,,,"13,039","13,039",,,,,,,,,,"13,039",,,,,,,,,,,,,,,,,
GRID,21Jul2015,Pacific,Y,,,"12,947","12,947",,,,,,,,,,"12,947",,,,,,,,,,,,,,,,,
GRID,22Jul2015,Pacific,Y,,,"12,324","12,324",,,,,,,,,,"12,324",,,,,,,,,,,,,,,,,
GRID,23Jul2015,Pacific,Y,,,"12,184","12,184",,,,,,,,,,"12,184",,,,,,,,,,,,,,,,,
GRID,24Jul2015,Pacific,Y,,,"12,162","12,162",,,,,,,,,,"12,162",,,,,,,,,,,,,,,,,
GRID,25Jul2015,Pacific,Y,,,"12,146","12,146",,,,,,,,,,"12,146",,,,,,,,,,,,,,,,,
GRID,26Jul2015,Pacific,Y,,,"12,145","12,145",,,,,,,,,,"12,145",,,,,,,,,,,,,,,,,
GRID,27Jul2015,Pacific,Y,,,"12,696","12,696",,,,,,,,,,"12,696",,,,,,,,,,,,,,,,,
GRID,28Jul2015,Pacific,Y,,,"13,648","13,648",,,,,,,,,,"13,648",,,,,,,,,,,,,,,,,
GRID,29Jul2015,Pacific,Y,,,"13,407","13,407",,,,,,,,,,"13,407",,,,,,,,,,,,,,,,,
GRID,30Jul2015,Pacific,Y,,,"13,607","13,607",,,,,,,,,,"13,607",,,,,,,,,,,,,,,,,
GRID,31Jul2015,Pacific,Y,,,"13,387","13,387",,,,,,,,,,"13,387",,,,,,,,,,,,,,,,,
GRID,01Aug2015,Pacific,Y,,,"13,248","13,248",,,,,,,,,,"13,248",,,,,,,,,,,,,,,,,
GRID,02Aug2015,Pacific,Y,,,"13,350","13,350",,,,,,,,,,"13,350",,,,,,,,,,,,,,,,,
GRID,03Aug2015,Pacific,Y,,,"13,037","13,037",,,,,,,,,,"13,037",,,,,,,,,,,,,,,,,
GRID,04Aug2015,Pacific,Y,,,"13,418","13,418",,,,,,,,,,"13,418",,,,,,,,,,,,,,,,,
GRID,05Aug2015,Pacific,Y,,,"13,175","13,175",,,,,,,,,,"13,175",,,,,,,,,,,,,,,,,
GRID,06Aug2015,Pacific,Y,,,"13,254","13,254",,,,,,,,,,"13,254",,,,,,,,,,,,,,,,,
GRID,07Aug2015,Pacific,Y,,,"13,280","13,280",,,,,,,,,,"13,280",,,,,,,,,,,,,,,,,
GRID,08Aug2015,Pacific,Y,,,"13,298","13,298",,,,,,,,,,"13,298",,,,,,,,,,,,,,,,,
GRID,09Aug2015,Pacific,Y,,,"12,964","12,964",,,,,,,,,,"12,964",,,,,,,,,,,,,,,,,
GRID,10Aug2015,Pacific,Y,,,"13,429","13,429",,,,,,,,,,"13,429",,,,,,,,,,,,,,,,,
GRID,11Aug2015,Pacific,Y,,,"13,682","13,682",,,,,,,,,,"13,682",,,,,,,,,,,,,,,,,
GRID,12Aug2015,Pacific,Y,,,"13,536","13,536",,,,,,,,,,"13,536",,,,,,,,,,,,,,,,,
GRID,13Aug2015,Pacific,Y,,,"13,477","13,477",,,,,,,,,,"13,477",,,,,,,,,,,,,,,,,
GRID,14Aug2015,Pacific,Y,,,"12,600","12,600",,,,,,,,,,"12,600",,,,,,,,,,,,,,,,,
GRID,15Aug2015,Pacific,Y,,,"12,420","12,420",,,,,,,,,,"12,420",,,,,,,,,,,,,,,,,
GRID,16Aug2015,Pacific,Y,,,"13,275","13,275",,,,,,,,,,"13,275",,,,,,,,,,,,,,,,,
GRID,17Aug2015,Pacific,Y,,,"13,262","13,262",,,,,,,,,,"13,262",,,,,,,,,,,,,,,,,
GRID,18Aug2015,Pacific,Y,,,"12,618","12,618",,,,,,,,,,"12,618",,,,,,,,,,,,,,,,,
GRID,19Aug2015,Pacific,Y,,,"12,599","12,599",,,,,,,,,,"12,599",,,,,,,,,,,,,,,,,
GRID,20Aug2015,Pacific,Y,,,"12,347","12,347",,,,,,,,,,"12,347",,,,,,,,,,,,,,,,,
GRID,21Aug2015,Pacific,Y,,,"11,419","11,419",,,,,,,,,,"11,419",,,,,,,,,,,,,,,,,
GRID,22Aug2015,Pacific,Y,,,"12,512","12,512",,,,,,,,,,"12,512",,,,,,,,,,,,,,,,,
GRID,23Aug2015,Pacific,Y,,,"12,069","12,069",,,,,,,,,,"12,069",,,,,,,,,,,,,,,,,
GRID,24Aug2015,Pacific,Y,,,"12,843","12,843",,,,,,,,,,"12,843",,,,,,,,,,,,,,,,,
GRID,25Aug2015,Pacific,Y,,,"13,363","13,363",,,,,,,,,,"13,363",,,,,,,,,,,,,,,,,
GRID,26Aug2015,Pacific,Y,,,"13,381","13,381",,,,,,,,,,"13,381",,,,,,,,,,,,,,,,,
GRID,27Aug2015,Pacific,Y,,,"13,783","13,783",,,,,,,,,,"13,783",,,,,,,,,,,,,,,,,
GRID,28Aug2015,Pacific,Y,,,"13,596","13,596",,,,,,,,,,"13,596",,,,,,,,,,,,,,,,,
GRID,29Aug2015,Pacific,Y,,,"13,629","13,629",,,,,,,,,,"13,629",,,,,,,,,,,,,,,,,
GRID,30Aug2015,Pacific,Y,,,"12,652","12,652",,,,,,,,,,"12,652",,,,,,,,,,,,,,,,,
GRID,31Aug2015,Pacific,Y,,,"11,973","11,973",,,,,,,,,,"11,973",,,,,,,,,,,,,,,,,
GRID,01Sep2015,Pacific,Y,,,"12,851","12,851",,,,,,,,,,"12,851",,,,,,,,,,,,,,,,,
GRID,02Sep2015,Pacific,Y,,,"13,548","13,548",,,,,,,,,,"13,548",,,,,,,,,,,,,,,,,
GRID,03Sep2015,Pacific,Y,,,"13,314","13,314",,,,,,,,,,"13,314",,,,,,,,,,,,,,,,,
GRID,04Sep2015,Pacific,Y,,,"13,219","13,219",,,,,,,,,,"13,219",,,,,,,,,,,,,,,,,
GRID,05Sep2015,Pacific,Y,,,"13,118","13,118",,,,,,,,,,"13,118",,,,,,,,,,,,,,,,,
GRID,06Sep2015,Pacific,Y,,,"13,676","13,676",,,,,,,,,,"13,676",,,,,,,,,,,,,,,,,
GRID,07Sep2015,Pacific,Y,,,"13,482","13,482",,,,,,,,,,"13,482",,,,,,,,,,,,,,,,,
GRID,08Sep2015,Pacific,Y,,,"13,496","13,496",,,,,,,,,,"13,496",,,,,,,,,,,,,,,,,
GRID,09Sep2015,Pacific,Y,,,"13,502","13,502",,,,,,,,,,"13,502",,,,,,,,,,,,,,,,,
GRID,10Sep2015,Pacific,Y,,,"13,919","13,919",,,,,,,,,,"13,919",,,,,,,,,,,,,,,,,
GRID,11Sep2015,Pacific,Y,,,"13,760","13,760",,,,,,,,,,"13,760",,,,,,,,,,,,,,,,,
GRID,12Sep2015,Pacific,Y,,,"13,557","13,557",,,,,,,,,,"13,557",,,,,,,,,,,,,,,,,
GRID,13Sep2015,Pacific,Y,,,"12,543","12,543",,,,,,,,,,"12,543",,,,,,,,,,,,,,,,,
GRID,14Sep2015,Pacific,Y,,,"12,329","12,329",,,,,,,,,,"12,329",,,,,,,,,,,,,,,,,
