BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GRIF,01Jul2015,Arizona,Y,,,"12,260","12,260",,,,,,,,,,"12,260",,,,,,,,,,,,,,,
GRIF,02Jul2015,Arizona,Y,,,"13,195","13,195",,,,,,,,,,"13,195",,,,,,,,,,,,,,,
GRIF,03Jul2015,Arizona,Y,,,"11,803","11,803",,,,,,,,,,"11,803",,,,,,,,,,,,,,,
GRIF,04Jul2015,Arizona,Y,,,"11,804","11,804",,,,,,,,,,"11,804",,,,,,,,,,,,,,,
GRIF,05Jul2015,Arizona,Y,,,"11,797","11,797",,,,,,,,,,"11,797",,,,,,,,,,,,,,,
GRIF,06Jul2015,Arizona,Y,,,"11,797","11,797",,,,,,,,,,"11,797",,,,,,,,,,,,,,,
GRIF,07Jul2015,Arizona,Y,,,"11,894","11,894",,,,,,,,,,"11,894",,,,,,,,,,,,,,,
GRIF,08Jul2015,Arizona,Y,,,"11,599","11,599",,,,,,,,,,"11,599",,,,,,,,,,,,,,,
GRIF,09Jul2015,Arizona,Y,,,"12,605","12,605",,,,,,,,,,"12,605",,,,,,,,,,,,,,,
GRIF,10Jul2015,Arizona,Y,,,"10,201","10,201",,,,,,,,,,"10,201",,,,,,,,,,,,,,,
GRIF,11Jul2015,Arizona,Y,,,"9,110","9,110",,,,,,,,,,"9,110",,,,,,,,,,,,,,,
GRIF,12Jul2015,Arizona,Y,,,"10,899","10,899",,,,,,,,,,"10,899",,,,,,,,,,,,,,,
GRIF,13Jul2015,Arizona,Y,,,"11,431","11,431",,,,,,,,,,"11,431",,,,,,,,,,,,,,,
GRIF,14Jul2015,Arizona,Y,,,"11,562","11,562",,,,,,,,,,"11,562",,,,,,,,,,,,,,,
GRIF,15Jul2015,Arizona,Y,,,"11,586","11,586",,,,,,,,,,"11,586",,,,,,,,,,,,,,,
GRIF,16Jul2015,Arizona,Y,,,"11,832","11,832",,,,,,,,,,"11,832",,,,,,,,,,,,,,,
GRIF,17Jul2015,Arizona,Y,,,"11,764","11,764",,,,,,,,,,"11,764",,,,,,,,,,,,,,,
GRIF,18Jul2015,Arizona,Y,,,"11,727","11,727",,,,,,,,,,"11,727",,,,,,,,,,,,,,,
GRIF,19Jul2015,Arizona,Y,,,"11,446","11,446",,,,,,,,,,"11,446",,,,,,,,,,,,,,,
GRIF,20Jul2015,Arizona,Y,,,"11,298","11,298",,,,,,,,,,"11,298",,,,,,,,,,,,,,,
GRIF,21Jul2015,Arizona,Y,,,"10,973","10,973",,,,,,,,,,"10,973",,,,,,,,,,,,,,,
GRIF,22Jul2015,Arizona,Y,,,"11,125","11,125",,,,,,,,,,"11,125",,,,,,,,,,,,,,,
GRIF,23Jul2015,Arizona,Y,,,"11,478","11,478",,,,,,,,,,"11,478",,,,,,,,,,,,,,,
GRIF,24Jul2015,Arizona,Y,,,"11,427","11,427",,,,,,,,,,"11,427",,,,,,,,,,,,,,,
GRIF,25Jul2015,Arizona,Y,,,"11,584","11,584",,,,,,,,,,"11,584",,,,,,,,,,,,,,,
GRIF,26Jul2015,Arizona,Y,,,"11,247","11,247",,,,,,,,,,"11,247",,,,,,,,,,,,,,,
GRIF,27Jul2015,Arizona,Y,,,"11,419","11,419",,,,,,,,,,"11,419",,,,,,,,,,,,,,,
GRIF,28Jul2015,Arizona,Y,,,"11,573","11,573",,,,,,,,,,"11,573",,,,,,,,,,,,,,,
GRIF,29Jul2015,Arizona,Y,,,"12,018","12,018",,,,,,,,,,"12,018",,,,,,,,,,,,,,,
GRIF,30Jul2015,Arizona,Y,,,"11,792","11,792",,,,,,,,,,"11,792",,,,,,,,,,,,,,,
GRIF,31Jul2015,Arizona,Y,,,"11,825","11,825",,,,,,,,,,"11,825",,,,,,,,,,,,,,,
GRIF,01Aug2015,Arizona,Y,,,"11,816","11,816",,,,,,,,,,"11,816",,,,,,,,,,,,,,,
GRIF,02Aug2015,Arizona,Y,,,"11,812","11,812",,,,,,,,,,"11,812",,,,,,,,,,,,,,,
GRIF,03Aug2015,Arizona,Y,,,"11,862","11,862",,,,,,,,,,"11,862",,,,,,,,,,,,,,,
GRIF,04Aug2015,Arizona,Y,,,"12,027","12,027",,,,,,,,,,"12,027",,,,,,,,,,,,,,,
GRIF,05Aug2015,Arizona,Y,,,"12,028","12,028",,,,,,,,,,"12,028",,,,,,,,,,,,,,,
GRIF,06Aug2015,Arizona,Y,,,"12,018","12,018",,,,,,,,,,"12,018",,,,,,,,,,,,,,,
GRIF,07Aug2015,Arizona,Y,,,"12,028","12,028",,,,,,,,,,"12,028",,,,,,,,,,,,,,,
GRIF,08Aug2015,Arizona,Y,,,"11,082","11,082",,,,,,,,,,"11,082",,,,,,,,,,,,,,,
GRIF,09Aug2015,Arizona,Y,,,"11,691","11,691",,,,,,,,,,"11,691",,,,,,,,,,,,,,,
GRIF,10Aug2015,Arizona,Y,,,"12,038","12,038",,,,,,,,,,"12,038",,,,,,,,,,,,,,,
GRIF,11Aug2015,Arizona,Y,,,"12,031","12,031",,,,,,,,,,"12,031",,,,,,,,,,,,,,,
GRIF,12Aug2015,Arizona,Y,,,"12,036","12,036",,,,,,,,,,"12,036",,,,,,,,,,,,,,,
GRIF,13Aug2015,Arizona,Y,,,"12,020","12,020",,,,,,,,,,"12,020",,,,,,,,,,,,,,,
GRIF,14Aug2015,Arizona,Y,,,"12,035","12,035",,,,,,,,,,"12,035",,,,,,,,,,,,,,,
GRIF,15Aug2015,Arizona,Y,,,"12,041","12,041",,,,,,,,,,"12,041",,,,,,,,,,,,,,,
GRIF,16Aug2015,Arizona,Y,,,"12,077","12,077",,,,,,,,,,"12,077",,,,,,,,,,,,,,,
GRIF,17Aug2015,Arizona,Y,,,"12,241","12,241",,,,,,,,,,"12,241",,,,,,,,,,,,,,,
GRIF,18Aug2015,Arizona,Y,,,"12,265","12,265",,,,,,,,,,"12,265",,,,,,,,,,,,,,,
GRIF,19Aug2015,Arizona,Y,,,"12,262","12,262",,,,,,,,,,"12,262",,,,,,,,,,,,,,,
GRIF,20Aug2015,Arizona,Y,,,"12,030","12,030",,,,,,,,,,"12,030",,,,,,,,,,,,,,,
GRIF,21Aug2015,Arizona,Y,,,"12,011","12,011",,,,,,,,,,"12,011",,,,,,,,,,,,,,,
GRIF,22Aug2015,Arizona,Y,,,"12,037","12,037",,,,,,,,,,"12,037",,,,,,,,,,,,,,,
GRIF,23Aug2015,Arizona,Y,,,"12,040","12,040",,,,,,,,,,"12,040",,,,,,,,,,,,,,,
GRIF,24Aug2015,Arizona,Y,,,"12,035","12,035",,,,,,,,,,"12,035",,,,,,,,,,,,,,,
GRIF,25Aug2015,Arizona,Y,,,"11,778","11,778",,,,,,,,,,"11,778",,,,,,,,,,,,,,,
GRIF,26Aug2015,Arizona,Y,,,"11,581","11,581",,,,,,,,,,"11,581",,,,,,,,,,,,,,,
GRIF,27Aug2015,Arizona,Y,,,"11,577","11,577",,,,,,,,,,"11,577",,,,,,,,,,,,,,,
GRIF,28Aug2015,Arizona,Y,,,"11,563","11,563",,,,,,,,,,"11,563",,,,,,,,,,,,,,,
GRIF,29Aug2015,Arizona,Y,,,"11,824","11,824",,,,,,,,,,"11,824",,,,,,,,,,,,,,,
GRIF,30Aug2015,Arizona,Y,,,"11,999","11,999",,,,,,,,,,"11,999",,,,,,,,,,,,,,,
GRIF,31Aug2015,Arizona,Y,,,"11,801","11,801",,,,,,,,,,"11,801",,,,,,,,,,,,,,,
