BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GRMA,01Jul2015,Arizona,Y,,,"26,170","26,170",,,,,,,,,,"33,359",,,,,,,,,,,,,,,
GRMA,02Jul2015,Arizona,Y,,,"25,475","25,475",,,,,,,,,,"32,788",,,,,,,,,,,,,,,
GRMA,03Jul2015,Arizona,Y,,,"25,902","25,902",,,,,,,,,,"33,284",,,,,,,,,,,,,,,
GRMA,04Jul2015,Arizona,Y,,,"20,623","20,623",,,,,,,,,,"27,967",,,,,,,,,,,,,,,
GRMA,05Jul2015,Arizona,Y,,,"16,822","16,822",,,,,,,,,,"23,383",,,,,,,,,,,,,,,
GRMA,06Jul2015,Arizona,Y,,,"23,639","23,639",,,,,,,,,,"30,268",,,,,,,,,,,,,,,
GRMA,07Jul2015,Arizona,Y,,,"23,310","23,310",,,,,,,,,,"31,027",,,,,,,,,,,,,,,
GRMA,08Jul2015,Arizona,Y,,,"19,975","19,975",,,,,,,,,,"27,275",,,,,,,,,,,,,,,
GRMA,09Jul2015,Arizona,Y,,,"18,044","18,044",,,,,,,,,,"25,966",,,,,,,,,,,,,,,
GRMA,10Jul2015,Arizona,Y,,,"17,385","17,385",,,,,,,,,,"24,721",,,,,,,,,,,,,,,
GRMA,11Jul2015,Arizona,Y,,,"19,511","19,511",,,,,,,,,,"26,989",,,,,,,,,,,,,,,
GRMA,12Jul2015,Arizona,Y,,,"9,129","9,129",,,,,,,,,,"15,961",,,,,,,,,,,,,,,
GRMA,13Jul2015,Arizona,Y,,,"18,713","18,713",,,,,,,,,,"25,833",,,,,,,,,,,,,,,
GRMA,14Jul2015,Arizona,Y,,,"20,852","20,852",,,,,,,,,,"27,827",,,,,,,,,,,,,,,
GRMA,15Jul2015,Arizona,Y,,,"19,788","19,788",,,,,,,,,,"29,164",,,,,,,,,,,,,,,
GRMA,16Jul2015,Arizona,Y,,,"22,805","22,805",,,,,,,,,,"31,381",,,,,,,,,,,,,,,
GRMA,17Jul2015,Arizona,Y,,,"20,631","20,631",,,,,,,,,,"27,380",,,,,,,,,,,,,,,
GRMA,18Jul2015,Arizona,Y,,,"18,263","18,263",,,,,,,,,,"25,641",,,,,,,,,,,,,,,
GRMA,19Jul2015,Arizona,Y,,,"9,966","9,966",,,,,,,,,,"17,714",,,,,,,,,,,,,,,
GRMA,20Jul2015,Arizona,Y,,,"16,910","16,910",,,,,,,,,,"24,779",,,,,,,,,,,,,,,
GRMA,21Jul2015,Arizona,Y,,,"19,663","19,663",,,,,,,,,,"27,104",,,,,,,,,,,,,,,
