BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPC,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GVL,01Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,02Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,03Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,04Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,05Jul2015,Eastern,N,,,,,,,,,,,,,,459,-843,,,,,,,,,,,,,,,
GVL,06Jul2015,Eastern,N,,"5,958","5,448",-509,,,,,,,,,,482,-992,,,,,,,,,,,,,,,
GVL,07Jul2015,Eastern,N,"7,088","6,285","5,749",-535,,,,,,,,,,558,"-1,093",,,,,,,,,,,,,,,
GVL,08Jul2015,Eastern,N,"6,244","6,601","6,082",-519,,,,,,,,,,526,"-1,046",,,,,,,,,,,,,,,
GVL,09Jul2015,Eastern,N,"6,308","6,835","6,367",-467,,,,,,,,,,418,-884,,,,,,,,,,,,,,,
GVL,10Jul2015,Eastern,N,"6,308","7,119","6,596",-526,,,,,,,,,,470,-999,,,,,,,,,,,,,,,
GVL,11Jul2015,Eastern,N,"6,237","6,729","6,446",-283,,,,,,,,,,708,-992,,,,,,,,,,,,,,,
GVL,12Jul2015,Eastern,N,"6,035","6,477","5,784",-697,,,,,,,,,,413,"-1,107",,,,,,,,,,,,,,,
GVL,13Jul2015,Eastern,N,"6,279","7,016","6,684",-329,,,,,,,,,,669,-997,,,,,,,,,,,,,,,
GVL,14Jul2015,Eastern,N,"6,279","7,319","6,987",-333,,,,,,,,,,506,-838,,,,,,,,,,,,,,,
GVL,15Jul2015,Eastern,N,"7,069","6,332","6,150",-182,,,,,,,,,,794,-978,,,,,,,,,,,,,,,
GVL,16Jul2015,Eastern,N,"7,046","6,720","6,301",-419,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,17Jul2015,Eastern,N,"6,926","6,773","6,332",,,,,,,,,,,422,"-1,213",,,,,,,,,,,,,,,
GVL,18Jul2015,Eastern,N,,"6,514","5,973",-545,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,19Jul2015,Eastern,N,"6,256","6,556","6,020",,,,,,,,,,,400,"-1,016",,,,,,,,,,,,,,,
GVL,20Jul2015,Eastern,N,,"6,478","5,987",-492,,,,,,,,,,522,"-1,008",,,,,,,,,,,,,,,
GVL,21Jul2015,Eastern,N,"6,222","6,634","6,235",-401,,,,,,,,,,486,-881,,,,,,,,,,,,,,,
GVL,22Jul2015,Eastern,N,"6,586","7,543","7,235",-311,,,,,,,,,,653,-964,,,,,,,,,,,,,,,
GVL,23Jul2015,Eastern,N,"6,981","7,665","7,003",-663,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,24Jul2015,Eastern,N,"7,218","7,706","7,021",,,,,,,,,,,554,-839,,,,,,,,,,,,,,,
GVL,25Jul2015,Eastern,N,,"6,010","5,357",-655,,,,,,,,,,273,-928,,,,,,,,,,,,,,,
GVL,26Jul2015,Eastern,N,"6,699","5,876","5,215",-659,,,,,,,,,,191,-852,,,,,,,,,,,,,,,
GVL,27Jul2015,Eastern,N,"6,482","6,554","5,830",-724,,,,,,,,,,281,"-1,009",,,,,,,,,,,,,,,
GVL,28Jul2015,Eastern,N,"6,487","6,784","6,099",-687,,,,,,,,,,436,"-1,118",,,,,,,,,,,,,,,
GVL,29Jul2015,Eastern,N,"6,487","6,959","5,657","-1,305",,,,,,,,,,23,"-1,325",,,,,,,,,,,,,,,
GVL,30Jul2015,Eastern,N,"6,525","6,770","6,116",-654,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,31Jul2015,Eastern,N,"6,405","6,830","6,200",,,,,,,,,,,146,-789,,,,,,,,,,,,,,,
GVL,01Aug2015,Eastern,N,,"5,529","5,098",-435,,,,,,,,,,489,-923,,,,,,,,,,,,,,,
GVL,02Aug2015,Eastern,N,"5,616","5,521","5,030",-488,,,,,,,,,,445,-937,,,,,,,,,,,,,,,
GVL,03Aug2015,Eastern,N,"5,966","5,867","5,305",-561,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,04Aug2015,Eastern,N,"6,308","5,883","5,323",,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,05Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,06Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,07Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,08Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,09Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,10Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,11Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,12Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,13Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,14Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,15Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,16Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,17Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,18Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,19Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,20Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,21Aug2015,Eastern,N,,,,,,,,,,,,,,-676,"-1,896",,,,,,,,,,,,,,,
