BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,NWMT,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GWA,01Jul2015,Mountain,Y,,,658,658,,,,,,,,,,658,,,,,,,,,,,,,,,
GWA,02Jul2015,Mountain,Y,,,106,106,,,,,,,,,,106,,,,,,,,,,,,,,,
GWA,03Jul2015,Mountain,Y,,,221,221,,,,,,,,,,221,,,,,,,,,,,,,,,
GWA,04Jul2015,Mountain,Y,,,"1,732","1,732",,,,,,,,,,"1,732",,,,,,,,,,,,,,,
GWA,05Jul2015,Mountain,Y,,,795,795,,,,,,,,,,795,,,,,,,,,,,,,,,
GWA,06Jul2015,Mountain,Y,,,274,274,,,,,,,,,,274,,,,,,,,,,,,,,,
GWA,07Jul2015,Mountain,Y,,,583,583,,,,,,,,,,583,,,,,,,,,,,,,,,
GWA,08Jul2015,Mountain,Y,,,311,311,,,,,,,,,,311,,,,,,,,,,,,,,,
GWA,09Jul2015,Mountain,Y,,,198,198,,,,,,,,,,198,,,,,,,,,,,,,,,
GWA,10Jul2015,Mountain,Y,,,215,215,,,,,,,,,,215,,,,,,,,,,,,,,,
GWA,11Jul2015,Mountain,Y,,,"1,526","1,526",,,,,,,,,,"1,526",,,,,,,,,,,,,,,
GWA,12Jul2015,Mountain,Y,,,"3,702","3,702",,,,,,,,,,"3,702",,,,,,,,,,,,,,,
GWA,13Jul2015,Mountain,Y,,,"1,632","1,632",,,,,,,,,,"1,632",,,,,,,,,,,,,,,
GWA,14Jul2015,Mountain,Y,,,462,462,,,,,,,,,,462,,,,,,,,,,,,,,,
GWA,15Jul2015,Mountain,Y,,,651,651,,,,,,,,,,651,,,,,,,,,,,,,,,
GWA,16Jul2015,Mountain,Y,,,"2,318","2,318",,,,,,,,,,"2,318",,,,,,,,,,,,,,,
GWA,17Jul2015,Mountain,Y,,,"2,921","2,921",,,,,,,,,,"2,921",,,,,,,,,,,,,,,
GWA,18Jul2015,Mountain,Y,,,"1,542","1,542",,,,,,,,,,"1,542",,,,,,,,,,,,,,,
GWA,19Jul2015,Mountain,Y,,,"1,105","1,105",,,,,,,,,,"1,105",,,,,,,,,,,,,,,
