BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,SRP,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
HGMA,01Jul2015,Arizona,Y,,,"19,377","19,377",,,,,,,,,,"19,377",,,,,,,,,,,,,,,
HGMA,02Jul2015,Arizona,Y,,,"19,369","19,369",,,,,,,,,,"19,369",,,,,,,,,,,,,,,
HGMA,03Jul2015,Arizona,Y,,,"17,163","17,163",,,,,,,,,,"17,163",,,,,,,,,,,,,,,
HGMA,04Jul2015,Arizona,Y,,,"16,177","16,177",,,,,,,,,,"16,177",,,,,,,,,,,,,,,
HGMA,05Jul2015,Arizona,Y,,,"14,435","14,435",,,,,,,,,,"14,435",,,,,,,,,,,,,,,
HGMA,06Jul2015,Arizona,Y,,,"14,756","14,756",,,,,,,,,,"14,756",,,,,,,,,,,,,,,
HGMA,07Jul2015,Arizona,Y,,,"12,913","12,913",,,,,,,,,,"12,913",,,,,,,,,,,,,,,
HGMA,08Jul2015,Arizona,Y,,,"12,842","12,842",,,,,,,,,,"12,842",,,,,,,,,,,,,,,
HGMA,09Jul2015,Arizona,Y,,,"12,828","12,828",,,,,,,,,,"12,828",,,,,,,,,,,,,,,
HGMA,10Jul2015,Arizona,Y,,,"12,799","12,799",,,,,,,,,,"12,799",,,,,,,,,,,,,,,
HGMA,11Jul2015,Arizona,Y,,,"12,802","12,802",,,,,,,,,,"12,802",,,,,,,,,,,,,,,
HGMA,12Jul2015,Arizona,Y,,,"12,402","12,402",,,,,,,,,,"12,402",,,,,,,,,,,,,,,
HGMA,13Jul2015,Arizona,Y,,,"12,803","12,803",,,,,,,,,,"12,803",,,,,,,,,,,,,,,
HGMA,14Jul2015,Arizona,Y,,,"18,264","18,264",,,,,,,,,,"18,264",,,,,,,,,,,,,,,
HGMA,15Jul2015,Arizona,Y,,,"19,576","19,576",,,,,,,,,,"19,576",,,,,,,,,,,,,,,
HGMA,16Jul2015,Arizona,Y,,,"19,310","19,310",,,,,,,,,,"19,310",,,,,,,,,,,,,,,
HGMA,17Jul2015,Arizona,Y,,,"12,963","12,963",,,,,,,,,,"12,963",,,,,,,,,,,,,,,
HGMA,18Jul2015,Arizona,Y,,,"12,952","12,952",,,,,,,,,,"12,952",,,,,,,,,,,,,,,
HGMA,19Jul2015,Arizona,Y,,,"12,565","12,565",,,,,,,,,,"12,565",,,,,,,,,,,,,,,
HGMA,20Jul2015,Arizona,Y,,,"13,270","13,270",,,,,,,,,,"13,270",,,,,,,,,,,,,,,
HGMA,21Jul2015,Arizona,Y,,,"18,587","18,587",,,,,,,,,,"18,587",,,,,,,,,,,,,,,
HGMA,22Jul2015,Arizona,Y,,,"14,423","14,423",,,,,,,,,,"14,423",,,,,,,,,,,,,,,
HGMA,23Jul2015,Arizona,Y,,,"13,189","13,189",,,,,,,,,,"13,189",,,,,,,,,,,,,,,
HGMA,24Jul2015,Arizona,Y,,,"12,948","12,948",,,,,,,,,,"12,948",,,,,,,,,,,,,,,
HGMA,25Jul2015,Arizona,Y,,,"12,177","12,177",,,,,,,,,,"12,177",,,,,,,,,,,,,,,
HGMA,26Jul2015,Arizona,Y,,,"12,801","12,801",,,,,,,,,,"12,801",,,,,,,,,,,,,,,
HGMA,27Jul2015,Arizona,Y,,,"16,485","16,485",,,,,,,,,,"16,485",,,,,,,,,,,,,,,
HGMA,28Jul2015,Arizona,Y,,,"19,516","19,516",,,,,,,,,,"19,516",,,,,,,,,,,,,,,
