BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
HST,01Jul2015,Eastern,N,,"1,869",10,"-1,858",,,,,,,,,,,,,,,,,,,,,,,,,
HST,02Jul2015,Eastern,N,"1,754","1,754",10,,,,,,,,,,,"-1,951",,,,,,,,,,,,,,,
HST,03Jul2015,Eastern,N,,"1,870",0,"-1,870",,,,,,,,,,"-1,870",,,,,,,,,,,,,,,
HST,04Jul2015,Eastern,N,"1,828","1,812",0,"-1,812",,,,,,,,,,"-1,812",,,,,,,,,,,,,,,
HST,05Jul2015,Eastern,N,"1,788","1,921",0,"-1,921",,,,,,,,,,"-1,921",,,,,,,,,,,,,,,
HST,06Jul2015,Eastern,N,"1,850","1,834",0,"-1,834",,,,,,,,,,"-1,834",,,,,,,,,,,,,,,
HST,07Jul2015,Eastern,N,"1,772","1,744",0,"-1,744",,,,,,,,,,"-1,744",,,,,,,,,,,,,,,
HST,08Jul2015,Eastern,N,"1,689","1,816",11,"-1,805",,,,,,,,,,"-1,800",,,,,,,,,,,,,,,
HST,09Jul2015,Eastern,N,"1,819","1,886",24,"-1,862",,,,,,,,,,"-1,831",,,,,,,,,,,,,,,
HST,10Jul2015,Eastern,N,"1,776","1,865",46,"-1,818",,,,,,,,,,"-1,818",,,,,,,,,,,,,,,
HST,11Jul2015,Eastern,N,"1,745","1,803",21,"-1,782",,,,,,,,,,"-1,782",,,,,,,,,,,,,,,
HST,12Jul2015,Eastern,N,"1,749","1,818",0,"-1,818",,,,,,,,,,"-1,818",,,,,,,,,,,,,,,
HST,13Jul2015,Eastern,N,"1,752","1,712",0,"-1,712",,,,,,,,,,"-1,712",,,,,,,,,,,,,,,
