BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,CISO,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
IID,01Jul2015,Pacific,N,"15,442","13,472","19,820","6,348",,,,,,,,,,695,"5,830",-177,,,,,,,,,,,,,,,
IID,02Jul2015,Pacific,N,"15,360","15,069","21,699","6,630",,,,,,,,,,450,"5,733",447,,,,,,,,,,,,,,,
IID,03Jul2015,Pacific,N,"14,499","15,024","21,558","6,534",,,,,,,,,,485,"5,678",371,,,,,,,,,,,,,,,
IID,04Jul2015,Pacific,N,"13,448","11,866","18,414","6,548",,,,,,,,,,739,"4,866",943,,,,,,,,,,,,,,,
IID,05Jul2015,Pacific,N,"13,475","10,713","17,983","7,270",,,,,,,,,,659,"5,786",825,,,,,,,,,,,,,,,
IID,06Jul2015,Pacific,N,"12,992","11,158","18,232","7,074",,,,,,,,,,324,"5,877",873,,,,,,,,,,,,,,,
IID,07Jul2015,Pacific,N,"13,803","11,476","18,649","7,173",,,,,,,,,,732,"5,705",736,,,,,,,,,,,,,,,
IID,08Jul2015,Pacific,N,"13,533","9,689","17,903","8,214",,,,,,,,,,822,"6,643",749,,,,,,,,,,,,,,,
IID,09Jul2015,Pacific,N,"12,654","8,284","17,683","9,399",,,,,,,,,,755,"7,773",871,,,,,,,,,,,,,,,
IID,10Jul2015,Pacific,N,"11,437","7,952","18,184","10,232",,,,,,,,,,698,"8,785",749,,,,,,,,,,,,,,,
IID,11Jul2015,Pacific,N,"11,273","8,304","17,622","9,318",,,,,,,,,,685,"8,314",319,,,,,,,,,,,,,,,
IID,12Jul2015,Pacific,N,"11,424","8,917","17,716","8,799",,,,,,,,,,612,"7,444",743,,,,,,,,,,,,,,,
IID,13Jul2015,Pacific,N,"12,315","10,517","17,377","6,860",,,,,,,,,,731,"5,767",362,,,,,,,,,,,,,,,
