BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AVA,BPAT,NEVP,NWMT,PACE,PACW,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
IPCO,01Jul2015,Pacific,N,"75,607","75,253","38,034","-37,219",,,,,,,,,,"-3,798",-745,"-3,031",-319,"-3,409","-25,917",,,,,,,,,,,,,,,
IPCO,02Jul2015,Pacific,N,"75,835","72,394","38,511","-33,883",,,,,,,,,,"-2,824",-477,"-3,300",-314,-135,"-26,833",,,,,,,,,,,,,,,
IPCO,03Jul2015,Pacific,N,"73,362","71,252","36,506","-34,746",,,,,,,,,,"-3,065","-1,089","-2,823",-315,"-2,623","-24,831",,,,,,,,,,,,,,,
IPCO,04Jul2015,Pacific,N,"67,752","67,169","35,853","-31,316",,,,,,,,,,"-3,360",-900,"-1,952",-301,"-2,801","-22,002",,,,,,,,,,,,,,,
IPCO,05Jul2015,Pacific,N,"60,919","59,413","33,774","-25,639",,,,,,,,,,"-2,987",-323,-495,-287,"-5,096","-16,451",,,,,,,,,,,,,,,
IPCO,06Jul2015,Pacific,N,"63,203","65,678","34,962","-30,716",,,,,,,,,,"-2,664",-608,"-1,368",-307,"-3,010","-22,928",,,,,,,,,,,,,,,
IPCO,07Jul2015,Pacific,N,"67,332","67,911","39,042","-28,869",,,,,,,,,,"-2,549",-383,-534,-290,"-4,021","-21,092",,,,,,,,,,,,,,,
IPCO,08Jul2015,Pacific,N,"63,722","62,801","34,987","-27,814",,,,,,,,,,"-2,197",111,"-1,472",-285,"-4,166","-19,805",,,,,,,,,,,,,,,
IPCO,09Jul2015,Pacific,N,"61,410","61,645","33,906","-27,739",,,,,,,,,,"-1,821",445,-666,-246,"-5,122","-20,329",,,,,,,,,,,,,,,
IPCO,10Jul2015,Pacific,N,"58,892","57,928","32,647","-25,281",,,,,,,,,,"-2,723",-650,194,-252,"-6,213","-15,637",,,,,,,,,,,,,,,
IPCO,11Jul2015,Pacific,N,"55,686","53,584","31,241","-22,343",,,,,,,,,,"-2,416",-363,377,-240,"-7,848","-11,853",,,,,,,,,,,,,,,
