BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,HQT,NBSO,NYIS,Subregion 4004,Subregion 4001,Subregion 4002,Subregion 4008,Subregion 4005,Subregion 4006,Subregion 4003,Subregion 4007,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
ISNE,01Jul2015,Eastern,N,"367,230","375,496","340,728","-34,768",,,,,,,,,,"-36,171","-8,301","9,707",,,,,,,,,,,,,,,,,,,,,,,
ISNE,02Jul2015,Eastern,N,"362,810","364,451","330,656","-33,795",,,,,,,,,,"-34,402","-9,029","9,635",,,,,,,,,,,,,,,,,,,,,,,
ISNE,03Jul2015,Eastern,N,"316,550","330,178","306,973","-23,205",,,,,,,,,,"-25,473","-10,391","12,662",,,,,,,,,,,,,,,,,,,,,,,
ISNE,04Jul2015,Eastern,N,"311,490","301,690","281,633","-20,057",,,,,,,,,,"-20,137","-8,100","8,181",,,,,,,,,,,,,,,,,,,,,,,
ISNE,05Jul2015,Eastern,N,"321,810","323,679","308,219","-15,460",,,,,,,,,,"-20,424","-6,947","11,910",,,,,,,,,,,,,,,,,,,,,,,
ISNE,06Jul2015,Eastern,N,"390,550","396,126","371,331","-24,795",,,,,,,,,,"-32,586","-7,119","14,910",,,,,,,,,,,,,,,,,,,,,,,
ISNE,07Jul2015,Eastern,N,"409,470","422,538","380,940","-41,598",,,,,,,,,,"-38,711","-9,769","6,884",,,,,,,,,,,,,,,,,,,,,,,
ISNE,08Jul2015,Eastern,N,"431,170","437,567","392,024","-45,543",,,,,,,,,,"-41,217","-12,711","8,385",,,,,,,,,,,,,,,,,,,,,,,
ISNE,09Jul2015,Eastern,N,"380,270","376,913","346,712","-30,201",,,,,,,,,,"-35,526","-2,563","7,891",,,,,,,,,,,,,,,,,,,,,,,
ISNE,10Jul2015,Eastern,N,"378,240","380,061","347,039","-33,022",,,,,,,,,,"-37,516","-5,107","9,603",,,,,,,,,,,,,,,,,,,,,,,
ISNE,11Jul2015,Eastern,N,"361,260","364,692","320,189","-44,503",,,,,,,,,,"-37,219","-7,985",701,,,,,,,,,,,,,,,,,,,,,,,
ISNE,12Jul2015,Eastern,N,"381,870","387,318","332,664","-54,654",,,,,,,,,,"-38,105","-14,297","-2,250",,,,,,,,,,,,,,,,,,,,,,,
ISNE,13Jul2015,Eastern,N,"427,210","424,778","376,416","-48,362",,,,,,,,,,"-41,491","-11,115","4,242",,,,,,,,,,,,,,,,,,,,,,,
ISNE,14Jul2015,Eastern,N,"401,060","411,559","362,164","-49,395",,,,,,,,,,"-40,012","-7,415","-1,970",,,,,,,,,,,,,,,,,,,,,,,
ISNE,15Jul2015,Eastern,N,"407,660","424,444","363,492","-60,952",,,,,,,,,,"-41,695","-8,972","-10,287",,,,,,,,,,,,,,,,,,,,,,,
ISNE,16Jul2015,Eastern,N,"360,780","360,272","311,153","-49,119",,,,,,,,,,"-39,024","-10,933",838,,,,,,,,,,,,,,,,,,,,,,,
ISNE,17Jul2015,Eastern,N,"357,500","357,838","315,196","-42,642",,,,,,,,,,"-32,827","-8,673","-1,140",,,,,,,,,,,,,,,,,,,,,,,
ISNE,18Jul2015,Eastern,N,"349,550","350,117","315,434","-34,683",,,,,,,,,,"-29,021","-10,527","4,868",,,,,,,,,,,,,,,,,,,,,,,
ISNE,19Jul2015,Eastern,N,"402,500","410,612","367,081","-43,531",,,,,,,,,,"-34,607","-14,251","5,327",,,,,,,,,,,,,,,,,,,,,,,
ISNE,20Jul2015,Eastern,N,"474,280","486,722","419,830","-66,892",,,,,,,,,,"-43,467","-17,517","-5,933",,,,,,,,,,,,,,,,,,,,,,,
ISNE,21Jul2015,Eastern,N,"445,790","450,423","380,355","-70,068",,,,,,,,,,"-43,215","-19,943","-6,910",,,,,,,,,,,,,,,,,,,,,,,
ISNE,22Jul2015,Eastern,N,"398,330","405,320","348,913","-56,407",,,,,,,,,,"-41,568","-12,178","-2,661",,,,,,,,,,,,,,,,,,,,,,,
ISNE,23Jul2015,Eastern,N,"376,480","382,529","343,864","-38,665",,,,,,,,,,"-31,822","-11,023","4,180",,,,,,,,,,,,,,,,,,,,,,,
ISNE,24Jul2015,Eastern,N,"367,370","371,238","337,093","-34,145",,,,,,,,,,"-29,708","-8,698","4,262",,,,,,,,,,,,,,,,,,,,,,,
ISNE,25Jul2015,Eastern,N,"335,780","334,082","307,926","-26,156",,,,,,,,,,"-29,673","-10,053","13,570",,,,,,,,,,,,,,,,,,,,,,,
ISNE,26Jul2015,Eastern,N,"341,990","346,720","316,127","-30,593",,,,,,,,,,"-32,550","-9,766","11,720",,,,,,,,,,,,,,,,,,,,,,,
ISNE,27Jul2015,Eastern,N,"411,730","415,886","374,750","-41,136",,,,,,,,,,"-39,707","-14,548","13,120",,,,,,,,,,,,,,,,,,,,,,,
ISNE,28Jul2015,Eastern,N,"442,280","451,503","395,743","-55,760",,,,,,,,,,"-43,755","-17,874","5,868",,,,,,,,,,,,,,,,,,,,,,,
ISNE,29Jul2015,Eastern,N,"469,270","477,102","414,514","-62,588",,,,,,,,,,"-43,899","-18,272",-415,,,,,,,,,,,,,,,,,,,,,,,
ISNE,30Jul2015,Eastern,N,"480,920","478,182","408,013","-70,169",,,,,,,,,,"-44,373","-19,653","-6,141",,,,,,,,,,,,,,,,,,,,,,,
ISNE,31Jul2015,Eastern,N,"440,010","437,709","385,319","-52,390",,,,,,,,,,"-39,719","-16,762","4,092",,,,,,,,,,,,,,,,,,,,,,,
ISNE,01Aug2015,Eastern,N,"381,760","384,736","346,664","-38,072",,,,,,,,,,"-38,601","-9,003","9,530",,,,,,,,,,,,,,,,,,,,,,,
ISNE,02Aug2015,Eastern,N,"359,500","371,066","332,849","-38,217",,,,,,,,,,"-35,687","-7,940","5,414",,,,,,,,,,,,,,,,,,,,,,,
ISNE,03Aug2015,Eastern,N,"438,150","443,483","395,161","-48,322",,,,,,,,,,"-42,636","-10,740","5,054",,,,,,,,,,,,,,,,,,,,,,,
ISNE,04Aug2015,Eastern,N,"435,870","437,994","382,015","-55,979",,,,,,,,,,"-44,493","-13,475","1,987",,,,,,,,,,,,,,,,,,,,,,,
ISNE,05Aug2015,Eastern,N,"399,550","403,805","348,250","-55,555",,,,,,,,,,"-43,393","-11,633",-528,,,,,,,,,,,,,,,,,,,,,,,
ISNE,06Aug2015,Eastern,N,"375,630","377,731","340,768","-36,963",,,,,,,,,,"-36,488","-9,095","8,619",,,,,,,,,,,,,,,,,,,,,,,
ISNE,07Aug2015,Eastern,N,"364,770","366,869","332,267","-34,602",,,,,,,,,,"-34,238","-8,776","8,411",,,,,,,,,,,,,,,,,,,,,,,
ISNE,08Aug2015,Eastern,N,"332,250","335,132","302,499","-32,633",,,,,,,,,,"-32,299","-8,270","7,936",,,,,,,,,,,,,,,,,,,,,,,
ISNE,09Aug2015,Eastern,N,"324,000","324,410","292,437","-31,973",,,,,,,,,,"-31,973","-9,141","9,141",,,,,,,,,,,,,,,,,,,,,,,
ISNE,10Aug2015,Eastern,N,"370,120","375,129","333,993","-41,136",,,,,,,,,,"-36,496","-8,559","3,921",,,,,,,,,,,,,,,,,,,,,,,
ISNE,11Aug2015,Eastern,N,"377,520","380,610","338,294","-42,316",,,,,,,,,,"-37,349","-7,538","2,571",,,,,,,,,,,,,,,,,,,,,,,
ISNE,12Aug2015,Eastern,N,"392,440","398,781","351,204","-47,577",,,,,,,,,,"-41,237","-9,454","3,116",,,,,,,,,,,,,,,,,,,,,,,
ISNE,13Aug2015,Eastern,N,"375,890","390,391","346,642","-43,749",,,,,,,,,,"-42,186","-6,535","4,971",,,,,,,,,,,,,,,,,,,,,,,
ISNE,14Aug2015,Eastern,N,"381,240","392,961","350,397","-42,564",,,,,,,,,,"-41,682","-8,355","7,476",,,,,,,,,,,,,,,,,,,,,,,
ISNE,15Aug2015,Eastern,N,"380,030","395,618","342,394","-53,224",,,,,,,,,,"-43,810","-9,464",48,,,,,,,,,,,,,,,,,,,,,,,
ISNE,16Aug2015,Eastern,N,"403,650","407,802","358,003","-49,799",,,,,,,,,,"-44,129","-6,302",635,,,,,,,,,,,,,,,,,,,,,,,
ISNE,17Aug2015,Eastern,N,"473,040","472,076","412,169","-59,907",,,,,,,,,,"-44,347","-4,633","-10,929",,,,,,,,,,,,,,,,,,,,,,,
