BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FMPP,FPL,SEC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
JEA,01Jul2015,Eastern,N,,"45,647","41,468","19,083",,,,,,,,,,"2,370","-2,289","3,122",,,,,,,,,,,,,,,
JEA,02Jul2015,Eastern,N,,"45,239","39,166","17,549",,,,,,,,,,"2,304","-4,183","2,647",,,,,,,,,,,,,,,
JEA,03Jul2015,Eastern,N,,"46,077","40,255","17,750",,,,,,,,,,"2,398","-3,392","3,062",,,,,,,,,,,,,,,
JEA,04Jul2015,Eastern,N,,"38,777","32,754","16,300",,,,,,,,,,"2,057","-3,401","2,308",,,,,,,,,,,,,,,
JEA,05Jul2015,Eastern,N,,"38,684","33,376","17,334",,,,,,,,,,"2,153","-3,433","2,743",,,,,,,,,,,,,,,
JEA,06Jul2015,Eastern,N,,"41,817","36,955","16,093",,,,,,,,,,"2,003","-4,383","2,603",,,,,,,,,,,,,,,
JEA,07Jul2015,Eastern,N,,"44,042","40,349","18,040",,,,,,,,,,"2,012","-2,301","2,295",,,,,,,,,,,,,,,
JEA,08Jul2015,Eastern,N,,"44,295","40,925","19,571",,,,,,,,,,"2,285","-1,152","2,492",,,,,,,,,,,,,,,
JEA,09Jul2015,Eastern,N,,"47,123","39,658","17,203",,,,,,,,,,"2,434","-5,062","2,814",,,,,,,,,,,,,,,
JEA,10Jul2015,Eastern,N,,"49,329","44,257","16,757",,,,,,,,,,"2,532","-3,116","2,775",,,,,,,,,,,,,,,
JEA,11Jul2015,Eastern,N,,"44,293","40,609","18,424",,,,,,,,,,"2,285","-1,277","2,470",,,,,,,,,,,,,,,
JEA,12Jul2015,Eastern,N,,"43,414","40,165","18,645",,,,,,,,,,"2,321","-1,833","2,637",,,,,,,,,,,,,,,
JEA,13Jul2015,Eastern,N,,"46,123","42,888","19,668",,,,,,,,,,"2,584","-2,014","2,718",,,,,,,,,,,,,,,
JEA,14Jul2015,Eastern,N,,"49,397","44,876","15,251",,,,,,,,,,"2,472","-3,913","2,516",,,,,,,,,,,,,,,
JEA,15Jul2015,Eastern,N,,"48,789","45,022","18,947",,,,,,,,,,"2,355","-3,187","2,747",,,,,,,,,,,,,,,
