BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,BPAT,CISO,NEVP,PACE,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
LDWP,01Jul2015,Pacific,N,"100,886","92,419","68,162","-25,508",,,,,,,,,,"-25,002","-7,172","22,777","15,300","3,328","-34,739",,,,,,,,,,,,,,,
LDWP,02Jul2015,Pacific,N,"98,985","93,115","73,144","-19,873",,,,,,,,,,"-25,965",-920,"21,374","15,668","5,457","-35,487",,,,,,,,,,,,,,,
LDWP,03Jul2015,Pacific,N,"94,047","84,272","63,953","-20,533",,,,,,,,,,"-26,696",0,"22,223","15,618","3,861","-35,539",,,,,,,,,,,,,,,
LDWP,04Jul2015,Pacific,N,"78,669","74,084","58,651","-15,655",,,,,,,,,,"-25,413",0,"25,269","15,080","-1,244","-29,347",,,,,,,,,,,,,,,
LDWP,05Jul2015,Pacific,N,"75,765","70,627","56,542","-14,323",,,,,,,,,,"-25,035",0,"28,338","15,984","-3,501","-30,109",,,,,,,,,,,,,,,
LDWP,06Jul2015,Pacific,N,"88,644","79,923","65,547","-14,553",,,,,,,,,,"-25,920",0,"24,646","15,740","2,722","-31,741",,,,,,,,,,,,,,,
LDWP,07Jul2015,Pacific,N,"83,592","80,541","69,393","-11,548",,,,,,,,,,"-25,698",0,"25,867","15,238","4,934","-31,885",,,,,,,,,,,,,,,
LDWP,08Jul2015,Pacific,N,"79,313","77,772","65,818","-12,141",,,,,,,,,,"-25,876",0,"29,622","14,498","2,614","-32,999",,,,,,,,,,,,,,,
LDWP,09Jul2015,Pacific,N,"79,535","77,490","68,425","-9,229",,,,,,,,,,"-24,950",0,"35,848","14,031",988,"-35,146",,,,,,,,,,,,,,,
LDWP,10Jul2015,Pacific,N,"81,828","77,691","63,580","-14,042",,,,,,,,,,"-24,230","-14,570","45,035","12,729","-2,194","-30,812",,,,,,,,,,,,,,,
LDWP,11Jul2015,Pacific,N,"76,586","74,179","57,897","-16,507",,,,,,,,,,"-23,859","-19,735","50,620","11,846","-3,183","-32,196",,,,,,,,,,,,,,,
LDWP,12Jul2015,Pacific,N,"75,866","74,967","58,738","-16,515",,,,,,,,,,"-22,077","-15,935","44,169","12,346","-4,247","-30,771",,,,,,,,,,,,,,,
LDWP,13Jul2015,Pacific,N,"87,374","88,064","68,636","-19,724",,,,,,,,,,"-23,344","-19,835","44,461","10,175",818,"-31,999",,,,,,,,,,,,,,,
LDWP,14Jul2015,Pacific,N,"88,041","87,617","64,142","-23,872",,,,,,,,,,"-22,853","-19,899","42,445","8,303",729,"-32,597",,,,,,,,,,,,,,,
LDWP,15Jul2015,Pacific,N,"89,993","86,329","63,201","-23,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDWP,16Jul2015,Pacific,N,"87,939","87,552","60,999","-26,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDWP,17Jul2015,Pacific,N,"89,560","87,844","65,152","-22,692",,,,,,,,,,"-24,139","-17,532","47,749","9,347","-3,114","-35,003",,,,,,,,,,,,,,,
