BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,EEI,GLHB,MISO,OVEC,PJM,TVA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
LGEE,01Jul2015,Eastern,N,"99,740","96,504","103,951","7,197",,,,,,,,,,"-4,527",,"8,605","-1,161","8,722","-4,441",,,,,,,,,,,,,,,
LGEE,02Jul2015,Eastern,N,"103,439","100,486","106,147","5,542",,,,,,,,,,"-4,711",,"10,774","-3,780","7,925","-4,675",,,,,,,,,,,,,,,
LGEE,03Jul2015,Eastern,N,"103,439","90,734","97,390","6,536",,,,,,,,,,"-3,957",,"12,370","-1,354","2,975","-3,501",,,,,,,,,,,,,,,
LGEE,04Jul2015,Eastern,N,"103,439","88,277","97,645","9,239",,,,,,,,,,"-3,881",,"13,790",977,"3,011","-4,657",,,,,,,,,,,,,,,
LGEE,05Jul2015,Eastern,N,"103,439","87,728","96,194","8,342",,,,,,,,,,"-4,211",,"13,642","-1,013","3,881","-3,930",,,,,,,,,,,,,,,
LGEE,06Jul2015,Eastern,N,"103,439","110,642","119,887","9,119",,,,,,,,,,"-5,089",,"10,808","2,083","4,688","-3,369",,,,,,,,,,,,,,,
LGEE,07Jul2015,Eastern,N,"103,439","108,308","118,729","10,300",,,,,,,,,,"-5,123",,"7,359","3,373","7,283","-2,592",,,,,,,,,,,,,,,
LGEE,08Jul2015,Eastern,N,"103,439","108,711","117,506","8,674",,,,,,,,,,"-4,878",,"5,108","3,811","5,596",-965,,,,,,,,,,,,,,,
LGEE,09Jul2015,Eastern,N,"103,439","112,888","121,236","8,217",,,,,,,,,,"-5,121",,"4,395","5,486","5,893","-2,438",,,,,,,,,,,,,,,
LGEE,10Jul2015,Eastern,N,"103,439","109,158","115,430","6,152",,,,,,,,,,"-5,306",,"2,941","3,712","7,953","-3,149",,,,,,,,,,,,,,,
LGEE,11Jul2015,Eastern,N,"103,439","100,959","109,019","7,927",,,,,,,,,,"-4,808",,"4,045","2,174","8,997","-2,481",,,,,,,,,,,,,,,
LGEE,12Jul2015,Eastern,N,"103,439","104,374","110,561","6,057",,,,,,,,,,"-4,652",,"5,927","-1,415","8,663","-2,467",,,,,,,,,,,,,,,
LGEE,13Jul2015,Eastern,N,"103,439","116,821","123,504","6,562",,,,,,,,,,"-4,617",,"7,073",86,"6,704","-2,697",,,,,,,,,,,,,,,
LGEE,14Jul2015,Eastern,N,"103,439","119,783","125,909","5,995",,,,,,,,,,"-4,962",,"4,414","2,730","5,942","-2,129",,,,,,,,,,,,,,,
LGEE,15Jul2015,Eastern,N,"103,439","110,699","118,448","7,625",,,,,,,,,,"-4,892",,"9,189","2,643","3,643","-2,957",,,,,,,,,,,,,,,
LGEE,16Jul2015,Eastern,N,"103,439","115,057","120,231","5,044",,,,,,,,,,"-5,081",,"8,003","1,559","4,123","-3,560",,,,,,,,,,,,,,,
LGEE,17Jul2015,Eastern,N,"103,439","123,413","130,120","6,578",,,,,,,,,,"-4,930",,"6,975","5,038","4,857","-5,361",,,,,,,,,,,,,,,
LGEE,18Jul2015,Eastern,N,"103,439","118,232","127,153","8,806",,,,,,,,,,"-5,302",,"5,346","4,733","7,013","-2,984",,,,,,,,,,,,,,,
LGEE,19Jul2015,Eastern,N,"103,439","118,820","128,040","9,086",,,,,,,,,,"-5,328",,"4,055","5,407","6,182","-1,230",,,,,,,,,,,,,,,
LGEE,20Jul2015,Eastern,N,"103,439","124,859","133,645","8,661",,,,,,,,,,"-5,265",,"4,505","8,500","3,592","-2,671",,,,,,,,,,,,,,,
LGEE,21Jul2015,Eastern,N,"103,439","124,732","132,584","7,727",,,,,,,,,,"-5,260",,"3,133","8,145","4,827","-3,117",,,,,,,,,,,,,,,
LGEE,22Jul2015,Eastern,N,"103,439","116,272","124,337","7,945",,,,,,,,,,"-5,208",,"-1,585","11,131","6,275","-2,670",,,,,,,,,,,,,,,
LGEE,23Jul2015,Eastern,N,"103,439","113,782","122,407","8,506",,,,,,,,,,"-4,660",,148,"11,920","4,494","-3,395",,,,,,,,,,,,,,,
LGEE,24Jul2015,Eastern,N,"103,439","115,477","126,015","10,412",,,,,,,,,,"-4,958",,-188,"13,962","5,894","-4,298",,,,,,,,,,,,,,,
LGEE,25Jul2015,Eastern,N,"103,439","109,679","114,158","4,348",,,,,,,,,,"-4,882",,"-2,189","8,720","5,681","-2,983",,,,,,,,,,,,,,,
LGEE,26Jul2015,Eastern,N,"103,439","112,249","118,693","6,311",,,,,,,,,,"-4,931",,"-1,856","8,744","7,796","-3,443",,,,,,,,,,,,,,,
LGEE,27Jul2015,Eastern,N,"103,439","127,605","132,401","4,662",,,,,,,,,,"-5,152",,"2,653","8,262","4,298","-5,378",,,,,,,,,,,,,,,
LGEE,28Jul2015,Eastern,N,"103,439","130,534","135,221","4,561",,,,,,,,,,"-5,191",,"1,220","10,789","4,470","-6,729",,,,,,,,,,,,,,,
LGEE,29Jul2015,Eastern,N,"103,439","128,000","132,533","4,398",,,,,,,,,,"-5,228",,"1,306","12,306","2,331","-6,317",,,,,,,,,,,,,,,
LGEE,30Jul2015,Eastern,N,"103,439","119,692","123,881","4,053",,,,,,,,,,"-5,082",,-889,"9,953","4,986","-4,915",,,,,,,,,,,,,,,
LGEE,31Jul2015,Eastern,N,"103,439","114,702","117,291","2,449",,,,,,,,,,"-4,591",,119,"8,303","3,482","-4,865",,,,,,,,,,,,,,,
LGEE,01Aug2015,Eastern,N,"103,439","106,203","110,670","4,337",,,,,,,,,,"-3,996",,"-1,525","6,495","6,420","-3,056",,,,,,,,,,,,,,,
LGEE,02Aug2015,Eastern,N,"103,439","102,453","110,223","7,640",,,,,,,,,,"-3,941",,-748,"7,413","8,226","-3,310",,,,,,,,,,,,,,,
LGEE,03Aug2015,Eastern,N,"103,439","120,275","127,481","7,074",,,,,,,,,,"-4,348",,"5,253","3,791","8,288","-5,910",,,,,,,,,,,,,,,
LGEE,04Aug2015,Eastern,N,"103,439","122,529","129,202","6,544",,,,,,,,,,"-4,462",,"3,824","5,025","7,180","-5,025",,,,,,,,,,,,,,,
LGEE,05Aug2015,Eastern,N,"103,439","114,168","122,496","8,220",,,,,,,,,,"-4,334",,"5,844","5,824","4,933","-4,048",,,,,,,,,,,,,,,
LGEE,06Aug2015,Eastern,N,"103,439","104,712","112,128","7,293",,,,,,,,,,"-4,003",,"4,690","5,243","5,531","-4,169",,,,,,,,,,,,,,,
LGEE,07Aug2015,Eastern,N,"103,439","102,123","110,971","8,724",,,,,,,,,,"-3,897",,"2,642","6,578","7,855","-4,456",,,,,,,,,,,,,,,
LGEE,08Aug2015,Eastern,N,"103,439","100,950","107,803","6,720",,,,,,,,,,"-4,053",,"2,360","4,548","7,269","-3,403",,,,,,,,,,,,,,,
LGEE,09Aug2015,Eastern,N,"103,439","103,423","109,666","6,108",,,,,,,,,,"-4,311",,594,"3,723","8,865","-2,762",,,,,,,,,,,,,,,
LGEE,10Aug2015,Eastern,N,"103,439","119,363","124,375","4,882",,,,,,,,,,"-4,569",,"4,614","3,488","8,425","-7,076",,,,,,,,,,,,,,,
LGEE,11Aug2015,Eastern,N,"103,439","118,747","126,544","7,675",,,,,,,,,,"-4,572",,"-1,106","8,647","11,147","-6,443",,,,,,,,,,,,,,,
LGEE,12Aug2015,Eastern,N,"103,439","111,085","116,128","4,919",,,,,,,,,,"-4,368",,"-3,085","9,774","7,800","-5,203",,,,,,,,,,,,,,,
LGEE,13Aug2015,Eastern,N,"103,439","107,684","111,140","3,333",,,,,,,,,,"-4,412",,"1,933","7,413","5,074","-6,675",,,,,,,,,,,,,,,
LGEE,14Aug2015,Eastern,N,"103,439","106,633","110,469","3,712",,,,,,,,,,"-4,098",,156,"10,088","4,892","-7,325",,,,,,,,,,,,,,,
LGEE,15Aug2015,Eastern,N,"103,439","102,081","104,579","2,370",,,,,,,,,,"-4,023",,"-3,774","8,373","6,672","-4,878",,,,,,,,,,,,,,,
LGEE,16Aug2015,Eastern,N,"103,439","105,479","109,672","4,060",,,,,,,,,,"-4,065",,"-4,312","8,892","9,068","-5,522",,,,,,,,,,,,,,,
LGEE,17Aug2015,Eastern,N,"103,439","110,709","112,143","1,310",,,,,,,,,,"-4,325",,"-7,266","10,111","8,742","-5,955",,,,,,,,,,,,,,,
LGEE,18Aug2015,Eastern,N,"103,439","115,588","117,342","1,629",,,,,,,,,,"-4,436",,-982,"7,871","5,051","-5,877",,,,,,,,,,,,,,,
LGEE,19Aug2015,Eastern,N,"103,439","115,840","123,162","7,192",,,,,,,,,,"-4,550",,"2,622","9,459","4,425","-4,765",,,,,,,,,,,,,,,
LGEE,20Aug2015,Eastern,N,"103,439","108,013","112,997","4,864",,,,,,,,,,"-4,570",,191,"3,468","9,497","-3,724",,,,,,,,,,,,,,,
LGEE,21Aug2015,Eastern,N,"103,439","100,953","107,800","6,732",,,,,,,,,,"-4,294",,"2,380","3,207","8,688","-3,249",,,,,,,,,,,,,,,
LGEE,22Aug2015,Eastern,N,"103,439","94,836","102,239","7,284",,,,,,,,,,"-4,243",,"2,395","1,842","9,947","-2,657",,,,,,,,,,,,,,,
LGEE,23Aug2015,Eastern,N,"103,439","102,250","109,852","7,478",,,,,,,,,,"-4,478",,"5,129","-1,436","11,210","-2,947",,,,,,,,,,,,,,,
LGEE,24Aug2015,Eastern,N,"103,439","105,341","114,430","8,971",,,,,,,,,,"-4,690",,"3,331","3,172","10,829","-3,671",,,,,,,,,,,,,,,
LGEE,25Aug2015,Eastern,N,"103,439","96,316","104,213","7,783",,,,,,,,,,"-4,347",,"2,837","6,115","9,020","-5,840",,,,,,,,,,,,,,,
