BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AEC,AECI,EEI,GLHB,IESO,LGEE,MHEB,PJM,SOCO,SPA,SWPP,TVA,WAUE,Subregion 0001,Subregion 0004,Subregion 0006,Subregion 0027,Subregion 0035,Subregion 8910,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
MISO,01Jul2015,Eastern,N,"1,915,192","1,813,988","1,706,165","-40,757",,,,,,,,,,"-1,520","-7,567","-7,060",,"-31,891","-8,604","-30,276","-24,861","-9,820","-8,837","4,896","24,857",,,,,,,,,,,,,,,,,,,,,,
MISO,02Jul2015,Eastern,N,"1,944,792","1,862,617","1,756,980","-49,820",,,,,,,,,,"-2,806","-3,892","-6,118",,"-32,563","-10,775","-29,418","-14,722","-12,034","-9,114","3,504","29,532",,,,,,,,,,,,,,,,,,,,,,
MISO,03Jul2015,Eastern,N,"1,874,179","1,760,535","1,637,395","-82,318",,,,,,,,,,"-2,959","-1,217","-3,864",,"-33,841","-12,370","-29,280","-24,053","-13,416","-8,055","6,713","16,525",,,,,,,,,,,,,,,,,,,,,,
MISO,04Jul2015,Eastern,N,"1,626,428","1,693,576","1,556,108","-81,935",,,,,,,,,,"-3,034","-1,136","-4,781",,"-32,552","-13,790","-33,873","-38,627","-14,601","-7,403","8,087","18,335",,,,,,,,,,,,,,,,,,,,,,
MISO,05Jul2015,Eastern,N,"1,740,094","1,786,432","1,655,533","-78,066",,,,,,,,,,"-2,950","-5,724","-5,571",,"-30,233","-13,641","-29,625","-43,996","-21,886","-7,438","9,689","27,098",,,,,,,,,,,,,,,,,,,,,,
MISO,06Jul2015,Eastern,N,"2,117,137","2,055,826","1,941,484","-58,832",,,,,,,,,,"-2,699","-8,977","-10,242",,"-29,941","-10,809","-32,681","-11,244","-18,980","-6,298","3,681","27,514",,,,,,,,,,,,,,,,,,,,,,
MISO,07Jul2015,Eastern,N,"2,036,306","1,983,981","1,890,627","-68,129",,,,,,,,,,"-2,449","-8,510","-4,975",,"-31,117","-7,359","-33,121","-7,108","-12,248","-8,144","-1,012","34,502",,,,,,,,,,,,,,,,,,,,,,
MISO,08Jul2015,Eastern,N,"1,926,223","1,877,701","1,789,326","-74,006",,,,,,,,,,"-2,177","-4,106","-2,132",,"-30,808","-5,109","-35,895","-9,933","-13,128","-8,166","-1,541","34,736",,,,,,,,,,,,,,,,,,,,,,
MISO,09Jul2015,Eastern,N,"1,940,490","1,948,817","1,851,550","-76,765",,,,,,,,,,"-2,364","-3,784","-2,127",,"-34,327","-3,886","-35,559","-8,204","-13,057","-7,824","-6,545","34,584",,,,,,,,,,,,,,,,,,,,,,
MISO,10Jul2015,Eastern,N,"1,981,389","2,007,527","1,910,892","-71,614",,,,,,,,,,"-2,313","-5,777","-5,197",,"-30,114","-2,610","-35,667","-5,946","-16,096","-7,697","-3,997","34,650",,,,,,,,,,,,,,,,,,,,,,
