BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,CISO,IPCO,LDWP,PACE,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NEVP,01Jul2015,Pacific,N,"152,768","152,142","127,664","-24,389",,,,,,,,,,"-1,775","-7,230","3,051","-15,315","-1,311","-1,809",,,,,,,,,,,,,,,
NEVP,02Jul2015,Pacific,N,"149,904","144,678","119,451","-25,120",,,,,,,,,,"-1,774","-7,062","3,255","-15,668",-878,"-2,993",,,,,,,,,,,,,,,
NEVP,03Jul2015,Pacific,N,"144,670","144,798","120,801","-23,916",,,,,,,,,,"-1,994","-6,103","2,802","-15,618","-2,343",-660,,,,,,,,,,,,,,,
NEVP,04Jul2015,Pacific,N,"138,899","129,284","109,436","-19,794",,,,,,,,,,"-1,991","-4,618","1,900","-15,080","-4,059","4,054",,,,,,,,,,,,,,,
NEVP,05Jul2015,Pacific,N,"134,201","122,909","100,280","-22,563",,,,,,,,,,"-2,548","-4,266",484,"-15,984","-3,155","2,906",,,,,,,,,,,,,,,
NEVP,06Jul2015,Pacific,N,"136,274","124,332","100,721","-23,547",,,,,,,,,,"-2,589","-5,442","1,368","-15,740","-2,423","1,279",,,,,,,,,,,,,,,
NEVP,07Jul2015,Pacific,N,"128,733","123,524","100,335","-23,119",,,,,,,,,,"-2,738","-4,679",534,"-15,238","-2,959","1,961",,,,,,,,,,,,,,,
NEVP,08Jul2015,Pacific,N,"122,720","122,332","98,014","-24,191",,,,,,,,,,"-2,180","-6,521","1,472","-14,498","-2,793",329,,,,,,,,,,,,,,,
NEVP,09Jul2015,Pacific,N,"117,409","111,646","87,260","-24,256",,,,,,,,,,"-2,159","-5,773",666,"-14,031","-3,525",566,,,,,,,,,,,,,,,
NEVP,10Jul2015,Pacific,N,"112,955","110,653","88,160","-22,362",,,,,,,,,,"-2,149","-6,542",-194,"-12,729","-2,687","1,939",,,,,,,,,,,,,,,
NEVP,11Jul2015,Pacific,N,"112,136","110,731","89,082","-21,529",,,,,,,,,,"-2,057","-6,869",-377,"-11,846","-3,544","3,164",,,,,,,,,,,,,,,
NEVP,12Jul2015,Pacific,N,"114,962","114,064","90,703","-23,247",,,,,,,,,,"-2,092","-6,575","-1,436","-12,346","-3,848","3,050",,,,,,,,,,,,,,,
