BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPC,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NSB,01Jul2015,Eastern,N,"1,463","1,406",0,"-1,406",,,,,,,,,,-594,-812,,,,,,,,,,,,,,,
NSB,02Jul2015,Eastern,N,"1,406","1,373",0,"-1,373",,,,,,,,,,-455,-918,,,,,,,,,,,,,,,
NSB,03Jul2015,Eastern,N,"1,373","1,474",0,"-1,474",,,,,,,,,,-470,"-1,004",,,,,,,,,,,,,,,
NSB,04Jul2015,Eastern,N,"1,474","1,487",0,"-1,487",,,,,,,,,,-523,-964,,,,,,,,,,,,,,,
NSB,05Jul2015,Eastern,N,"1,487","1,428",0,"-1,428",,,,,,,,,,-531,-897,,,,,,,,,,,,,,,
NSB,06Jul2015,Eastern,N,"1,428","1,318",0,"-1,318",,,,,,,,,,-522,-796,,,,,,,,,,,,,,,
NSB,07Jul2015,Eastern,N,"1,318","1,239",0,"-1,239",,,,,,,,,,-550,-689,,,,,,,,,,,,,,,
NSB,08Jul2015,Eastern,N,"1,239","1,373",0,"-1,373",,,,,,,,,,-679,-694,,,,,,,,,,,,,,,
NSB,09Jul2015,Eastern,N,"1,373","1,503",0,"-1,503",,,,,,,,,,-665,-838,,,,,,,,,,,,,,,
NSB,10Jul2015,Eastern,N,"1,503","1,533",0,"-1,533",,,,,,,,,,-677,-856,,,,,,,,,,,,,,,
NSB,11Jul2015,Eastern,N,"1,533","1,575",0,"-1,575",,,,,,,,,,-740,-835,,,,,,,,,,,,,,,
NSB,12Jul2015,Eastern,N,"1,575","1,539",0,"-1,539",,,,,,,,,,-721,-818,,,,,,,,,,,,,,,
NSB,13Jul2015,Eastern,N,"1,539","1,526",0,"-1,526",,,,,,,,,,-577,-949,,,,,,,,,,,,,,,
NSB,14Jul2015,Eastern,N,"1,526","1,492",0,"-1,492",,,,,,,,,,-528,-964,,,,,,,,,,,,,,,
NSB,15Jul2015,Eastern,N,"1,492","1,498",0,"-1,498",,,,,,,,,,-467,"-1,031",,,,,,,,,,,,,,,
NSB,16Jul2015,Eastern,N,"1,498","1,422",0,"-1,422",,,,,,,,,,-640,-782,,,,,,,,,,,,,,,
NSB,17Jul2015,Eastern,N,"1,422","1,370",0,"-1,370",,,,,,,,,,-518,-852,,,,,,,,,,,,,,,
NSB,18Jul2015,Eastern,N,"1,370","1,328",0,"-1,328",,,,,,,,,,-432,-896,,,,,,,,,,,,,,,
NSB,19Jul2015,Eastern,N,"1,328","1,473",0,"-1,473",,,,,,,,,,-624,-849,,,,,,,,,,,,,,,
NSB,20Jul2015,Eastern,N,"1,473","1,467",0,"-1,467",,,,,,,,,,-561,-906,,,,,,,,,,,,,,,
NSB,21Jul2015,Eastern,N,"1,467","1,366",0,"-1,366",,,,,,,,,,-632,-734,,,,,,,,,,,,,,,
NSB,22Jul2015,Eastern,N,"1,366","1,463",0,"-1,463",,,,,,,,,,-594,-869,,,,,,,,,,,,,,,
NSB,23Jul2015,Eastern,N,"1,463","1,598",0,"-1,598",,,,,,,,,,-670,-928,,,,,,,,,,,,,,,
NSB,24Jul2015,Eastern,N,"1,598","1,437",0,"-1,437",,,,,,,,,,-620,-817,,,,,,,,,,,,,,,
NSB,25Jul2015,Eastern,N,"1,437","1,449",0,"-1,449",,,,,,,,,,-695,-754,,,,,,,,,,,,,,,
NSB,26Jul2015,Eastern,N,"1,449","1,457",0,"-1,457",,,,,,,,,,-725,-732,,,,,,,,,,,,,,,
NSB,27Jul2015,Eastern,N,"1,457","1,377",0,"-1,377",,,,,,,,,,-691,-686,,,,,,,,,,,,,,,
NSB,28Jul2015,Eastern,N,"1,377","1,303",0,"-1,303",,,,,,,,,,-758,-545,,,,,,,,,,,,,,,
NSB,29Jul2015,Eastern,N,"1,303","1,434",0,"-1,434",,,,,,,,,,-924,-510,,,,,,,,,,,,,,,
NSB,30Jul2015,Eastern,N,"1,434","1,401",0,"-1,401",,,,,,,,,,-838,-563,,,,,,,,,,,,,,,
NSB,31Jul2015,Eastern,N,"1,401","1,345",0,"-1,345",,,,,,,,,,-710,-635,,,,,,,,,,,,,,,
NSB,01Aug2015,Eastern,N,"1,345","1,223",0,"-1,223",,,,,,,,,,-449,-774,,,,,,,,,,,,,,,
NSB,02Aug2015,Eastern,N,"1,223","1,100",0,"-1,100",,,,,,,,,,-479,-621,,,,,,,,,,,,,,,
NSB,03Aug2015,Eastern,N,"1,100","1,159",0,"-1,159",,,,,,,,,,-595,-564,,,,,,,,,,,,,,,
NSB,04Aug2015,Eastern,N,"1,159","1,370",0,"-1,370",,,,,,,,,,-610,-760,,,,,,,,,,,,,,,
NSB,05Aug2015,Eastern,N,"1,370","1,456",0,"-1,456",,,,,,,,,,-549,-907,,,,,,,,,,,,,,,
NSB,06Aug2015,Eastern,N,"1,456","1,511",0,"-1,511",,,,,,,,,,-622,-889,,,,,,,,,,,,,,,
NSB,07Aug2015,Eastern,N,"1,511","1,406",0,"-1,406",,,,,,,,,,-540,-866,,,,,,,,,,,,,,,
NSB,08Aug2015,Eastern,N,"1,406","1,374",0,"-1,374",,,,,,,,,,-633,-741,,,,,,,,,,,,,,,
NSB,09Aug2015,Eastern,N,"1,374","1,443",0,"-1,443",,,,,,,,,,-579,-864,,,,,,,,,,,,,,,
NSB,10Aug2015,Eastern,N,"1,443","1,463",0,"-1,463",,,,,,,,,,-557,-906,,,,,,,,,,,,,,,
NSB,11Aug2015,Eastern,N,"1,463","1,507",0,"-1,507",,,,,,,,,,-559,-948,,,,,,,,,,,,,,,
NSB,12Aug2015,Eastern,N,"1,507","1,541",0,"-1,541",,,,,,,,,,-719,-822,,,,,,,,,,,,,,,
NSB,13Aug2015,Eastern,N,"1,541","1,236",0,"-1,236",,,,,,,,,,-621,-615,,,,,,,,,,,,,,,
NSB,14Aug2015,Eastern,N,"1,236","1,326",0,"-1,326",,,,,,,,,,-676,-650,,,,,,,,,,,,,,,
NSB,15Aug2015,Eastern,N,"1,326","1,303",0,"-1,303",,,,,,,,,,-589,-714,,,,,,,,,,,,,,,
NSB,16Aug2015,Eastern,N,"1,303","1,300",0,"-1,300",,,,,,,,,,-567,-733,,,,,,,,,,,,,,,
NSB,17Aug2015,Eastern,N,"1,300","1,386",0,"-1,386",,,,,,,,,,-591,-795,,,,,,,,,,,,,,,
NSB,18Aug2015,Eastern,N,"1,386","1,434",0,"-1,434",,,,,,,,,,-721,-713,,,,,,,,,,,,,,,
NSB,19Aug2015,Eastern,N,"1,434","1,443",0,"-1,443",,,,,,,,,,-666,-777,,,,,,,,,,,,,,,
NSB,20Aug2015,Eastern,N,"1,443","1,394",0,"-1,394",,,,,,,,,,-573,-821,,,,,,,,,,,,,,,
NSB,21Aug2015,Eastern,N,"1,394","1,470",0,"-1,470",,,,,,,,,,-541,-929,,,,,,,,,,,,,,,
NSB,22Aug2015,Eastern,N,"1,470","1,560",0,"-1,560",,,,,,,,,,-640,-920,,,,,,,,,,,,,,,
NSB,23Aug2015,Eastern,N,"1,560","1,503",0,"-1,503",,,,,,,,,,-554,-949,,,,,,,,,,,,,,,
NSB,24Aug2015,Eastern,N,"1,503","1,285",0,"-1,285",,,,,,,,,,-319,-966,,,,,,,,,,,,,,,
NSB,25Aug2015,Eastern,N,"1,285","1,504",0,"-1,504",,,,,,,,,,-374,"-1,130",,,,,,,,,,,,,,,
NSB,26Aug2015,Eastern,N,"1,504","1,472",0,"-1,472",,,,,,,,,,-328,"-1,144",,,,,,,,,,,,,,,
NSB,27Aug2015,Eastern,N,"1,472","1,206",0,"-1,206",,,,,,,,,,-335,-871,,,,,,,,,,,,,,,
NSB,28Aug2015,Eastern,N,"1,206","1,206",0,"-1,206",,,,,,,,,,-506,-798,,,,,,,,,,,,,,,
NSB,29Aug2015,Eastern,N,"1,206","1,362",0,"-1,362",,,,,,,,,,-590,-772,,,,,,,,,,,,,,,
NSB,30Aug2015,Eastern,N,"1,362","1,197",0,"-1,197",,,,,,,,,,-391,-806,,,,,,,,,,,,,,,
NSB,31Aug2015,Eastern,N,"1,197","1,316",0,"-1,316",,,,,,,,,,-491,-825,,,,,,,,,,,,,,,
NSB,01Sep2015,Eastern,N,"1,316","1,401",0,"-1,401",,,,,,,,,,-626,-775,,,,,,,,,,,,,,,
NSB,02Sep2015,Eastern,N,"1,401","1,492",0,"-1,492",,,,,,,,,,-480,"-1,012",,,,,,,,,,,,,,,
NSB,03Sep2015,Eastern,N,"1,492","1,440",0,"-1,440",,,,,,,,,,-455,-985,,,,,,,,,,,,,,,
