BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AESO,AVA,BPAT,GWA,IPCO,PACE,WAUW,WWA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NWMT,01Jul2015,Mountain,N,"35,245","35,896","67,694","31,798",,,,,,,,,,247,"1,306","29,339",-658,319,-33,"1,976",-702,,,,,,,,,,,,,,,
NWMT,02Jul2015,Mountain,N,"35,250","35,284","61,718","26,434",,,,,,,,,,"1,995","1,059","22,373",-106,314,-386,"1,230",-45,,,,,,,,,,,,,,,
NWMT,03Jul2015,Mountain,N,"34,690","34,173","57,140","22,967",,,,,,,,,,850,"1,044","18,217",-221,315,"1,084","2,114",-436,,,,,,,,,,,,,,,
NWMT,04Jul2015,Mountain,N,"33,065","33,187","51,742","18,555",,,,,,,,,,35,"1,149","17,001","-1,732",301,835,"2,729","-1,763",,,,,,,,,,,,,,,
NWMT,05Jul2015,Mountain,N,"32,770","29,532","53,402","23,870",,,,,,,,,,-123,"1,671","22,141",-795,287,-254,"1,977","-1,034",,,,,,,,,,,,,,,
NWMT,06Jul2015,Mountain,N,"33,120","31,359","55,757","24,398",,,,,,,,,,-372,"1,199","24,608",-274,307,-991,326,-405,,,,,,,,,,,,,,,
NWMT,07Jul2015,Mountain,N,"31,025","32,099","62,000","29,901",,,,,,,,,,12,901,"25,941",-583,290,"1,901","1,998",-559,,,,,,,,,,,,,,,
NWMT,08Jul2015,Mountain,N,"31,650","32,710","64,597","31,887",,,,,,,,,,536,926,"29,438",-311,285,-361,"1,862",-488,,,,,,,,,,,,,,,
NWMT,09Jul2015,Mountain,N,"31,315","34,301","65,810","31,509",,,,,,,,,,881,803,"29,130",-198,249,"-1,308","2,329",-387,,,,,,,,,,,,,,,
NWMT,10Jul2015,Mountain,N,"32,125","33,120","65,374","32,254",,,,,,,,,,"1,049",879,"26,758",-215,250,839,"3,157",-463,,,,,,,,,,,,,,,
