BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,HQT,IESO,ISNE,PJM,Subregion ZONF,Subregion ZONC,Subregion ZONI,Subregion ZONB,Subregion ZONG,Subregion ZONK,Subregion ZONH,Subregion ZONE,Subregion ZONJ,Subregion ZOND,Subregion ZONA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NYIS,01Jul2015,Eastern,N,"16,045","484,098","411,813","-72,285",,,,,,,,,,"-28,657","-29,084","-10,383","-4,166",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,02Jul2015,Eastern,N,"466,517","461,459","387,863","-73,596",,,,,,,,,,"-27,849","-26,681","-9,938","-9,128",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,03Jul2015,Eastern,N,"423,075","423,980","355,345","-68,635",,,,,,,,,,"-26,686","-24,070","-12,923","-4,954",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,04Jul2015,Eastern,N,"380,061","395,757","351,531","-44,226",,,,,,,,,,"-20,294","-16,148","-9,123","1,336",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,05Jul2015,Eastern,N,"403,467","424,871","368,716","-56,155",,,,,,,,,,"-24,296","-17,421","-12,986","-1,449",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,06Jul2015,Eastern,N,"496,328","509,372","432,764","-76,608",,,,,,,,,,"-30,789","-19,941","-15,517","-10,441",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,07Jul2015,Eastern,N,"533,412","558,434","480,853","-77,581",,,,,,,,,,"-33,700","-26,012","-6,872","-10,997",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,08Jul2015,Eastern,N,"535,088","540,368","458,177","-82,191",,,,,,,,,,"-31,531","-26,563","-8,240","-15,859",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,09Jul2015,Eastern,N,"512,256","487,521","414,390","-73,131",,,,,,,,,,"-31,106","-23,190","-7,686","-11,150",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,10Jul2015,Eastern,N,"504,080","494,358","418,577","-75,781",,,,,,,,,,"-29,713","-22,539","-9,509","-14,021",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,11Jul2015,Eastern,N,"463,394","468,794","402,779","-66,015",,,,,,,,,,"-29,965","-22,239",-666,"-13,142",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,12Jul2015,Eastern,N,"470,259","480,888","414,909","-65,979",,,,,,,,,,"-30,328","-21,374","2,238","-16,512",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,13Jul2015,Eastern,N,"522,561","547,291","460,000","-87,291",,,,,,,,,,"-33,291","-27,459","-4,168","-22,374",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,14Jul2015,Eastern,N,"520,553","532,530","451,609","-80,921",,,,,,,,,,"-35,704","-28,127","2,057","-19,145",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,15Jul2015,Eastern,N,"512,977","505,752","432,089","-73,663",,,,,,,,,,"-32,629","-28,981","10,166","-22,217",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,16Jul2015,Eastern,N,"473,754","460,062","398,681","-61,381",,,,,,,,,,"-30,189","-21,599",-847,"-8,746",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,17Jul2015,Eastern,N,"466,521","469,795","413,533","-56,262",,,,,,,,,,"-29,309","-21,782","1,065","-6,238",,,,,,,,,,,,,,,,,,,,,,,,,,
