BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,PJM,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
OVEC,01Jul2015,Eastern,N,"1,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,02Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,03Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,04Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,05Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,06Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,07Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,08Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,09Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,10Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,11Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,12Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,13Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,14Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,15Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVEC,16Jul2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
