BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,IPCO,LDWP,NEVP,NWMT,PACW,WACM,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PACE,01Jul2015,Mountain,N,"178,302","176,857","149,023","-27,834",,,,,,,,,,"5,690","3,409","-3,301","1,379",33,"-18,436","-16,291",,,,,,,,,,,,,,,
PACE,02Jul2015,Mountain,N,"174,454","173,851","147,258","-26,593",,,,,,,,,,"5,479",135,"-5,416",757,386,"-10,882","-16,732",,,,,,,,,,,,,,,
PACE,03Jul2015,Mountain,N,"171,387","166,503","145,820","-20,683",,,,,,,,,,"7,357","2,623","-3,853","2,400","-1,084","-15,341","-12,457",,,,,,,,,,,,,,,
PACE,04Jul2015,Mountain,N,"158,123","156,233","140,788","-15,445",,,,,,,,,,"8,264","2,801","1,124","3,987",-835,"-18,390","-12,056",,,,,,,,,,,,,,,
PACE,05Jul2015,Mountain,N,"158,054","149,706","143,859","-5,847",,,,,,,,,,"6,994","5,096","3,531","3,202",254,"-16,306","-8,276",,,,,,,,,,,,,,,
PACE,06Jul2015,Mountain,N,"168,505","156,992","133,660","-23,332",,,,,,,,,,"6,049","2,952","-2,718","2,445",991,"-19,666","-12,997",,,,,,,,,,,,,,,
PACE,07Jul2015,Mountain,N,"163,571","154,661","131,706","-22,955",,,,,,,,,,"7,119","4,145","-4,904","2,975","-1,901","-16,338","-13,646",,,,,,,,,,,,,,,
PACE,08Jul2015,Mountain,N,"159,210","148,165","131,185","-16,980",,,,,,,,,,"7,258","4,073","-2,630","2,709",361,"-16,748","-11,609",,,,,,,,,,,,,,,
PACE,09Jul2015,Mountain,N,"155,228","144,960","134,875","-10,085",,,,,,,,,,"7,809","5,094","-1,029","3,553","1,308","-16,399","-10,017",,,,,,,,,,,,,,,
PACE,10Jul2015,Mountain,N,"150,400","140,195","130,981","-9,214",,,,,,,,,,"8,336","6,139","2,186","2,704",-839,"-23,005","-4,325",,,,,,,,,,,,,,,
