BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AVA,AVRN,BPAT,CISO,GCPD,IPCO,PACE,PGE,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PACW,01Jul2015,Pacific,N,"73,180","55,245","58,410","3,165",,,,,,,,,,"-2,600",,"-36,874","1,166","-5,689","25,953","18,180","2,959",,,,,,,,,,,,,,,
PACW,02Jul2015,Pacific,N,"72,468","59,193","53,097","-6,096",,,,,,,,,,"-1,967",,"-40,653",871,"-5,536","26,929","10,731","3,529",,,,,,,,,,,,,,,
PACW,03Jul2015,Pacific,N,"67,630","53,095","58,309","5,214",,,,,,,,,,"-1,287",,"-32,814",802,"-4,976","24,609","15,808","3,072",,,,,,,,,,,,,,,
PACW,04Jul2015,Pacific,N,"63,763","48,184","61,379","13,195",,,,,,,,,,50,,"-27,202","1,356","-4,110","21,807","18,390","2,906",,,,,,,,,,,,,,,
PACW,05Jul2015,Pacific,N,"61,960","47,176","52,507","5,331",,,,,,,,,,-986,,"-26,633","1,278","-4,204","16,628","16,225","3,023",,,,,,,,,,,,,,,
PACW,06Jul2015,Pacific,N,"68,645","52,583","59,410","6,827",,,,,,,,,,"-1,843",,"-33,643","1,181","-4,917","22,928","19,778","3,343",,,,,,,,,,,,,,,
PACW,07Jul2015,Pacific,N,"69,607","51,850","57,246","5,396",,,,,,,,,,-663,,"-29,831",302,"-4,173","21,092","15,959","2,710",,,,,,,,,,,,,,,
PACW,08Jul2015,Pacific,N,"68,131","49,458","55,942","6,484",,,,,,,,,,"-1,826",,"-26,062",-67,"-5,062","19,805","16,843","2,853",,,,,,,,,,,,,,,
PACW,09Jul2015,Pacific,N,"64,887","48,079","56,298","8,219",,,,,,,,,,"-1,842",,"-26,130","1,240","-4,942","20,329","16,599","2,863",,,,,,,,,,,,,,,
PACW,10Jul2015,Pacific,N,"62,691","44,024","61,663","17,639",,,,,,,,,,17,,"-21,955","1,600","-3,255","15,637","23,177","2,418",,,,,,,,,,,,,,,
PACW,11Jul2015,Pacific,N,"55,426","39,215","58,758","19,543",,,,,,,,,,-549,,"-13,366","1,620","-2,511","11,853","20,527","1,969",,,,,,,,,,,,,,,
PACW,12Jul2015,Pacific,N,"52,874","39,100","54,049","14,949",,,,,,,,,,"-1,445",,"-17,200","1,551","-2,911","11,543","21,206","2,205",,,,,,,,,,,,,,,
PACW,13Jul2015,Pacific,N,"60,074","46,987","56,597","9,610",,,,,,,,,,"-1,492",,"-24,404","1,389","-4,285","13,392","23,625","1,385",,,,,,,,,,,,,,,
PACW,14Jul2015,Pacific,N,"60,591","44,025","56,422","12,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,15Jul2015,Pacific,N,"60,926","60,926","56,689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,16Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,17Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,18Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,19Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,20Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,21Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,22Jul2015,Pacific,N,,,,,,,,,,,,,,"1,203",,"-23,451","1,490","-3,780","10,306","25,945","1,578",,,,,,,,,,,,,,,
PACW,23Jul2015,Pacific,N,,"43,427","60,286","16,859",,,,,,,,,,-221,,"-24,185","1,530","-4,040","11,211","30,588","1,976",,,,,,,,,,,,,,,
PACW,24Jul2015,Pacific,N,"57,636","44,075","59,457","15,382",,,,,,,,,,568,,"-26,548","1,568","-4,081","11,213","30,516","2,146",,,,,,,,,,,,,,,
PACW,25Jul2015,Pacific,N,"52,642","39,172","59,320","20,148",,,,,,,,,,"1,583",,"-19,279","1,570","-3,128","10,727","26,851","1,824",,,,,,,,,,,,,,,
PACW,26Jul2015,Pacific,N,"49,861","49,861","59,342",,,,,,,,,,,"1,176",,"-15,100","1,499","-2,603","7,184","26,826","2,003",,,,,,,,,,,,,,,
PACW,27Jul2015,Pacific,N,"56,342","56,342",,,,,,,,,,,,-28,,"-16,610","1,652","-3,474","2,858","22,406","2,276",,,,,,,,,,,,,,,
PACW,28Jul2015,Pacific,N,"61,781","61,781",,,,,,,,,,,,"-2,028",,"-21,393","1,630","-4,600","12,044","18,961","2,232",,,,,,,,,,,,,,,
PACW,29Jul2015,Pacific,N,"65,448","49,306","52,771","3,465",,,,,,,,,,"-2,296",,"-26,082",846,"-5,094","14,764","19,066","2,261",,,,,,,,,,,,,,,
PACW,30Jul2015,Pacific,N,"69,753","53,405","54,335",930,,,,,,,,,,"-1,907",,"-29,562",852,"-5,076","13,378","20,446","2,799",,,,,,,,,,,,,,,
PACW,31Jul2015,Pacific,N,"66,728","55,648","54,560","-1,088",,,,,,,,,,"-1,990",,"-30,636","1,042","-5,073","14,574","18,310","2,685",,,,,,,,,,,,,,,
PACW,01Aug2015,Pacific,N,"62,453","49,192","57,046","7,854",,,,,,,,,,"-1,085",,"-23,363","1,002","-4,584","14,338","18,837","2,709",,,,,,,,,,,,,,,
PACW,02Aug2015,Pacific,N,"59,911","59,911","57,123",,,,,,,,,,,"-1,560",,"-23,309","1,331","-4,544","14,440","22,386","2,196",,,,,,,,,,,,,,,
PACW,03Aug2015,Pacific,N,"65,266","65,266",,,,,,,,,,,,921,,"-23,557",460,"-3,791","11,017","17,807","2,201",,,,,,,,,,,,,,,
PACW,04Aug2015,Pacific,N,"61,567","61,567",,,,,,,,,,,,"1,213",,"-26,763",466,"-4,099","12,631","21,639","2,289",,,,,,,,,,,,,,,
PACW,05Aug2015,Pacific,N,"59,254","47,569","54,982","7,413",,,,,,,,,,"1,230",,"-23,085",0,"-3,891","10,116","21,070","2,009",,,,,,,,,,,,,,,
