BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PACW,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PGE,01Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,02Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,03Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,04Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,05Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,06Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,07Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,08Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,09Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,10Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,11Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,12Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,13Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,14Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,15Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,16Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,17Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,18Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,19Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,20Jul2015,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,21Jul2015,Pacific,N,,,,,,,,,,,,,,"-31,984","-1,925",,,,,,,,,,,,,,,
PGE,22Jul2015,Pacific,N,,"54,979","37,475","-17,504",,,,,,,,,,"-25,051","-1,578",,,,,,,,,,,,,,,
PGE,23Jul2015,Pacific,N,,"57,475","37,307","-20,168",,,,,,,,,,"-28,017","-1,976",,,,,,,,,,,,,,,
PGE,24Jul2015,Pacific,N,,"58,408","36,726","-21,682",,,,,,,,,,"-29,771","-2,146",,,,,,,,,,,,,,,
PGE,25Jul2015,Pacific,N,,"51,745","33,823","-17,922",,,,,,,,,,"-27,217","-1,824",,,,,,,,,,,,,,,
PGE,26Jul2015,Pacific,N,,"49,784","31,782","-18,002",,,,,,,,,,"-24,663","-2,003",,,,,,,,,,,,,,,
PGE,27Jul2015,Pacific,N,,"56,133","38,714","-17,419",,,,,,,,,,"-24,965","-2,276",,,,,,,,,,,,,,,
PGE,28Jul2015,Pacific,N,,"60,373","46,047","-14,326",,,,,,,,,,"-22,783","-2,232",,,,,,,,,,,,,,,
PGE,29Jul2015,Pacific,N,,"69,055","52,182","-16,873",,,,,,,,,,"-25,837","-2,261",,,,,,,,,,,,,,,
PGE,30Jul2015,Pacific,N,,"74,385","51,873","-22,512",,,,,,,,,,"-30,948","-2,799",,,,,,,,,,,,,,,
PGE,31Jul2015,Pacific,N,,"73,962","49,802","-24,160",,,,,,,,,,"-32,440","-2,685",,,,,,,,,,,,,,,
PGE,01Aug2015,Pacific,N,,"66,217","46,455","-19,762",,,,,,,,,,"-27,161","-2,709",,,,,,,,,,,,,,,
PGE,02Aug2015,Pacific,N,,"58,358","43,350","-15,008",,,,,,,,,,"-22,360","-2,196",,,,,,,,,,,,,,,
PGE,03Aug2015,Pacific,N,,"63,271","39,096","-24,175",,,,,,,,,,"-32,636","-2,201",,,,,,,,,,,,,,,
PGE,04Aug2015,Pacific,N,,"61,377","42,177","-19,200",,,,,,,,,,"-27,477","-2,289",,,,,,,,,,,,,,,
PGE,05Aug2015,Pacific,N,,"59,041","37,102","-21,939",,,,,,,,,,"-31,109","-2,009",,,,,,,,,,,,,,,
PGE,06Aug2015,Pacific,N,,"58,938","47,295","-11,643",,,,,,,,,,"-22,047","-1,837",,,,,,,,,,,,,,,
PGE,07Aug2015,Pacific,N,,"61,106","50,925","-10,181",,,,,,,,,,"-18,507","-2,606",,,,,,,,,,,,,,,
PGE,08Aug2015,Pacific,N,,"55,833","37,740","-18,093",,,,,,,,,,"-26,056","-2,496",,,,,,,,,,,,,,,
PGE,09Aug2015,Pacific,N,,"57,008","43,043","-13,965",,,,,,,,,,"-22,567","-2,175",,,,,,,,,,,,,,,
PGE,10Aug2015,Pacific,N,,"64,774","51,429","-13,345",,,,,,,,,,"-22,593","-2,031",,,,,,,,,,,,,,,
PGE,11Aug2015,Pacific,N,,"66,628","51,397","-15,231",,,,,,,,,,"-24,526","-1,838",,,,,,,,,,,,,,,
PGE,12Aug2015,Pacific,N,,"69,533","51,213","-18,320",,,,,,,,,,"-27,949","-1,762",,,,,,,,,,,,,,,
PGE,13Aug2015,Pacific,N,,"65,872","48,372","-17,500",,,,,,,,,,"-28,871","-1,594",,,,,,,,,,,,,,,
PGE,14Aug2015,Pacific,N,,"57,634","40,740","-16,894",,,,,,,,,,"-28,474","-1,049",,,,,,,,,,,,,,,
PGE,15Aug2015,Pacific,N,,"53,068","37,882","-15,186",,,,,,,,,,"-24,442",-946,,,,,,,,,,,,,,,
PGE,16Aug2015,Pacific,N,,"53,603","44,306","-9,297",,,,,,,,,,"-19,289","-1,378",,,,,,,,,,,,,,,
PGE,17Aug2015,Pacific,N,,"63,245","51,678","-23,870",,,,,,,,,,"-21,731","-2,139",,,,,,,,,,,,,,,
PGE,18Aug2015,Pacific,N,,"68,174","47,729","-32,344",,,,,,,,,,"-30,159","-2,185",,,,,,,,,,,,,,,
PGE,19Aug2015,Pacific,N,,"71,527","50,125","-34,120",,,,,,,,,,"-31,607","-2,513",,,,,,,,,,,,,,,
PGE,20Aug2015,Pacific,N,,"62,191","42,626","-31,935",,,,,,,,,,"-29,968","-1,967",,,,,,,,,,,,,,,
PGE,21Aug2015,Pacific,N,,"57,377","41,297","-27,699",,,,,,,,,,"-26,004","-1,695",,,,,,,,,,,,,,,
PGE,22Aug2015,Pacific,N,,"53,430","48,267","-18,159",,,,,,,,,,"-16,188","-1,971",,,,,,,,,,,,,,,
PGE,23Aug2015,Pacific,N,,"55,585","49,667","-18,347",,,,,,,,,,"-16,267","-2,080",,,,,,,,,,,,,,,
PGE,24Aug2015,Pacific,N,,"59,481","47,816","-23,081",,,,,,,,,,"-21,010","-2,072",,,,,,,,,,,,,,,
PGE,25Aug2015,Pacific,N,,"59,272","49,504","-21,825",,,,,,,,,,"-19,340","-2,485",,,,,,,,,,,,,,,
PGE,26Aug2015,Pacific,N,,"61,130","50,163","-23,343",,,,,,,,,,"-20,837","-2,506",,,,,,,,,,,,,,,
PGE,27Aug2015,Pacific,N,,"63,052","50,207","-24,981",,,,,,,,,,"-23,037","-1,944",,,,,,,,,,,,,,,
PGE,28Aug2015,Pacific,N,,"61,708","50,910","-22,985",,,,,,,,,,"-20,821","-2,164",,,,,,,,,,,,,,,
PGE,29Aug2015,Pacific,N,,"52,852","39,327","-19,833",,,,,,,,,,"-17,469","-2,364",,,,,,,,,,,,,,,
PGE,30Aug2015,Pacific,N,,"50,072","38,172","-19,559",,,,,,,,,,"-17,182","-2,377",,,,,,,,,,,,,,,
PGE,31Aug2015,Pacific,N,,"55,707","43,328","-23,338",,,,,,,,,,"-21,062","-2,276",,,,,,,,,,,,,,,
PGE,01Sep2015,Pacific,N,,"56,977","43,641","-24,557",,,,,,,,,,"-21,194","-3,363",,,,,,,,,,,,,,,
PGE,02Sep2015,Pacific,N,,"55,359","40,750","-25,522",,,,,,,,,,"-22,292","-3,230",,,,,,,,,,,,,,,
PGE,03Sep2015,Pacific,N,,"53,436","42,923","-20,683",,,,,,,,,,"-17,247","-3,436",,,,,,,,,,,,,,,
PGE,04Sep2015,Pacific,N,,"52,104","44,822","-17,007",,,,,,,,,,"-14,024","-2,983",,,,,,,,,,,,,,,
