BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,CPLE,CPLW,DUK,LGEE,MISO,NYIS,OVEC,TVA,Subregion AP,Subregion AEP,Subregion ATSI,Subregion AE,Subregion BC,Subregion CE,Subregion DAY,Subregion DPL,Subregion DOM,Subregion DEOK,Subregion DUQ,Subregion EKPC,Subregion JC,Subregion ME,Subregion PE,Subregion PN,Subregion PL,Subregion PEP,Subregion PS,Subregion RECO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PJM,01Jul2015,Eastern,N,"875,997","2,285,812","2,257,294","-28,522",,,,,,,,,,"-28,133","4,560","3,274","-8,866","29,917","5,039","-17,669","-16,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,02Jul2015,Eastern,N,"831,982","2,138,721","2,127,930","-10,793",,,,,,,,,,"-13,911","4,373","2,303","-7,591","24,958","10,249","-15,653","-15,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,03Jul2015,Eastern,N,"772,603","1,997,077","2,000,357","3,278",,,,,,,,,,"-11,557","4,822",-938,"-2,674","35,522","5,707","-17,965","-9,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,04Jul2015,Eastern,N,"696,846","1,940,023","1,957,622","17,601",,,,,,,,,,"-5,309","4,446",-689,"-2,714","46,966",-861,"-14,846","-9,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,05Jul2015,Eastern,N,"717,246","2,044,175","2,053,721","9,546",,,,,,,,,,"-9,848","4,813","-1,711","-3,582","47,869","1,886","-17,707","-12,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,06Jul2015,Eastern,N,"841,469","2,469,266","2,434,747","-34,518",,,,,,,,,,"-16,538","4,720","-2,149","-4,327","15,640","11,144","-25,549","-17,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,07Jul2015,Eastern,N,"928,083","2,570,119","2,518,528","-51,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,08Jul2015,Eastern,N,"923,842","2,446,841","2,523,917",,,,,,,,,,,"-22,740","6,042","1,192","-5,286","14,471","16,693","-19,918","-17,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,09Jul2015,Eastern,N,"920,227","2,479,361","2,455,669","-23,691",,,,,,,,,,"-16,150","5,573","1,964","-5,718","15,432","12,061","-19,499","-17,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,10Jul2015,Eastern,N,"862,966","2,415,517","2,400,136","-15,382",,,,,,,,,,"-12,572","5,551","1,031","-7,780","17,165","14,799","-18,412","-15,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,11Jul2015,Eastern,N,"801,434","2,220,708","2,232,237","11,527",,,,,,,,,,"-7,572","6,236","2,765","-8,863","30,959","13,967","-15,433","-10,537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,12Jul2015,Eastern,N,"819,411","2,204,233","2,218,359","14,129",,,,,,,,,,"-9,153","6,555","2,488","-8,547","27,162","17,270","-13,117","-8,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,13Jul2015,Eastern,N,"880,676","2,476,848","2,494,449","17,601",,,,,,,,,,"-11,087","6,520","7,378","-6,582","25,186","23,159","-25,549","-1,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,14Jul2015,Eastern,N,"891,469","2,547,272","2,536,018","-11,253",,,,,,,,,,"-23,442","5,750","5,914","-6,333","16,295","20,002","-22,634","-6,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,15Jul2015,Eastern,N,"888,156","2,396,412","2,364,429","-31,985",,,,,,,,,,"-26,299","5,683","4,681","-3,816","5,083","23,155","-28,444","-12,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,16Jul2015,Eastern,N,"805,112","2,276,624","2,247,173","-29,454",,,,,,,,,,"-21,536","5,879","5,655","-4,057","16,266","9,599","-28,967","-12,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,17Jul2015,Eastern,N,"818,965","2,455,703","2,418,373","-37,336",,,,,,,,,,"-13,934","5,109",600,"-4,758","12,537","7,108","-33,881","-10,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,18Jul2015,Eastern,N,"858,869","2,531,248","2,490,724","-40,524",,,,,,,,,,"-22,223","5,287","1,628","-6,981","16,775","14,469","-34,869","-14,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,19Jul2015,Eastern,N,"959,276","2,642,646","2,571,806","-70,843",,,,,,,,,,"-32,829","5,755","3,530","-6,098","-4,174","20,146","-34,807","-22,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM,20Jul2015,Eastern,N,"1,089,942","2,876,400","2,772,267","-104,129",,,,,,,,,,"-38,091","5,293",608,"-3,528","-23,464","22,589","-38,925","-28,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
