BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,EPE,GRID,PSCO,SRP,SWPP,TEPC,WACM,Subregion Frep,Subregion Jica,Subregion KAFB,Subregion KCEC,Subregion LAC,Subregion NTUA,Subregion PNM,Subregion TSGT,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PNM,01Jul2015,Arizona,N,"46,437","48,426","43,279","-5,147",,,,,,,,,,"-8,776","7,340",,"-3,434",,-309,"-4,527","4,732",,,,,,,,,,,,,,,,,,,,,,,
PNM,02Jul2015,Arizona,N,"46,504","46,873","47,980","1,107",,,,,,,,,,"-10,451","8,129",,"-2,880",,-277,-926,"7,688",,,,,,,,,,,,,,,,,,,,,,,
PNM,03Jul2015,Arizona,N,"43,124","44,440","42,539","-1,901",,,,,,,,,,"-12,535","7,006",,"-2,656",,-347,"1,011","5,800",,,,,,,,,,,,,,,,,,,,,,,
PNM,04Jul2015,Arizona,N,"41,491","42,729","41,496","-1,233",,,,,,,,,,"-11,211","5,366",,"-2,786",,-293,"2,540","5,310",,,,,,,,,,,,,,,,,,,,,,,
PNM,05Jul2015,Arizona,N,"41,982","42,574","46,135","3,561",,,,,,,,,,"-9,569","4,352",,"-2,500",,-49,"2,588","8,896",,,,,,,,,,,,,,,,,,,,,,,
PNM,06Jul2015,Arizona,N,"44,920","44,713","46,232","1,519",,,,,,,,,,"-10,934","7,125",,"-2,692",,-364,"2,386","6,175",,,,,,,,,,,,,,,,,,,,,,,
PNM,07Jul2015,Arizona,N,"41,873","41,997","39,484","-2,513",,,,,,,,,,"-11,424","6,371",,"-2,736",,-324,"1,467","4,297",,,,,,,,,,,,,,,,,,,,,,,
PNM,08Jul2015,Arizona,N,"42,566","40,804","38,316","-2,488",,,,,,,,,,"-10,707","5,865",,"-2,852",,-254,820,"4,804",,,,,,,,,,,,,,,,,,,,,,,
PNM,09Jul2015,Arizona,N,"41,567","39,228","34,533","-4,695",,,,,,,,,,"-11,768","6,410",,"-2,856",,-88,829,"2,926",,,,,,,,,,,,,,,,,,,,,,,
PNM,10Jul2015,Arizona,N,"40,069","39,068","34,243","-4,825",,,,,,,,,,"-11,183","4,957",,"-2,578",,-90,614,"3,586",,,,,,,,,,,,,,,,,,,,,,,
PNM,11Jul2015,Arizona,N,"39,255","38,955","33,634","-5,321",,,,,,,,,,"-12,261","6,492",,"-2,562",,-94,823,"2,444",,,,,,,,,,,,,,,,,,,,,,,
PNM,12Jul2015,Arizona,N,"39,910","40,924","35,574","-5,350",,,,,,,,,,"-12,829","6,585",,"-2,920",,401,977,"2,600",,,,,,,,,,,,,,,,,,,,,,,
PNM,13Jul2015,Arizona,N,"43,066","43,116","36,989","-6,127",,,,,,,,,,"-13,164","8,010",,"-2,586",,91,"-1,967","3,637",,,,,,,,,,,,,,,,,,,,,,,
