BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,PNM,SWPP,WACM,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PSCO,01Jul2015,Mountain,N,"134,259","141,027","126,029","-15,696",,,,,,,,,,"3,441",-198,"-18,939",,,,,,,,,,,,,,,
PSCO,02Jul2015,Mountain,N,"126,655","130,465","117,955","-12,510",,,,,,,,,,"2,890","-1,014","-14,386",,,,,,,,,,,,,,,
PSCO,03Jul2015,Mountain,N,"119,552","127,637","114,430","-13,207",,,,,,,,,,"2,668",-845,"-15,030",,,,,,,,,,,,,,,
PSCO,04Jul2015,Mountain,N,"119,222","124,511","106,925","-17,586",,,,,,,,,,"2,777",0,"-20,363",,,,,,,,,,,,,,,
PSCO,05Jul2015,Mountain,N,"123,923","123,421","102,770","-20,651",,,,,,,,,,"2,503",0,"-23,154",,,,,,,,,,,,,,,
PSCO,06Jul2015,Mountain,N,"122,351","116,752","99,300","-17,452",,,,,,,,,,"2,693",0,"-20,145",,,,,,,,,,,,,,,
PSCO,07Jul2015,Mountain,N,"115,137","113,473","94,730","-18,743",,,,,,,,,,"2,729",0,"-21,472",,,,,,,,,,,,,,,
PSCO,08Jul2015,Mountain,N,"111,162","113,037","96,169","-16,868",,,,,,,,,,"2,859",0,"-19,727",,,,,,,,,,,,,,,
PSCO,09Jul2015,Mountain,N,"105,754","116,357","98,088","-18,269",,,,,,,,,,"2,845",0,"-21,114",,,,,,,,,,,,,,,
PSCO,10Jul2015,Mountain,N,"117,515","124,597","104,665","-19,932",,,,,,,,,,"2,581",-100,"-22,413",,,,,,,,,,,,,,,
PSCO,11Jul2015,Mountain,N,"117,178","121,873","103,704","-18,169",,,,,,,,,,"2,562",0,"-20,731",,,,,,,,,,,,,,,
PSCO,12Jul2015,Mountain,N,"123,741","125,455","110,198","-15,257",,,,,,,,,,"2,923",0,"-18,180",,,,,,,,,,,,,,,
