BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,CHPD,GCPD,SCL,TPWR,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PSEI,01Jul2015,Pacific,N,"54,807","86,566","50,991","-35,575",,,,,,,,,,"-37,777","2,925",603,88,"-1,414",,,,,,,,,,,,,,,
PSEI,02Jul2015,Pacific,N,"57,476","85,682","52,503","-33,179",,,,,,,,,,"-36,411","3,368",957,323,"-1,416",,,,,,,,,,,,,,,
PSEI,03Jul2015,Pacific,N,"51,664","81,776","51,453","-30,323",,,,,,,,,,"-35,131","3,140","2,945",148,"-1,425",,,,,,,,,,,,,,,
PSEI,04Jul2015,Pacific,N,"42,540","71,831","42,218","-29,613",,,,,,,,,,"-34,644","3,968","2,177",183,"-1,297",,,,,,,,,,,,,,,
PSEI,05Jul2015,Pacific,N,"48,926","74,938","47,409","-27,529",,,,,,,,,,"-32,516","3,727","1,983",539,"-1,262",,,,,,,,,,,,,,,
PSEI,06Jul2015,Pacific,N,"57,831","81,980","50,694","-31,286",,,,,,,,,,"-35,125","2,825","1,765",857,"-1,608",,,,,,,,,,,,,,,
PSEI,07Jul2015,Pacific,N,"56,066","80,358","48,925","-31,433",,,,,,,,,,"-32,856","1,677",898,419,"-1,571",,,,,,,,,,,,,,,
PSEI,08Jul2015,Pacific,N,"58,354","84,354","53,979","-30,375",,,,,,,,,,"-33,633","3,542",613,474,"-1,371",,,,,,,,,,,,,,,
PSEI,09Jul2015,Pacific,N,"59,809","84,797","56,141","-28,656",,,,,,,,,,"-31,506","2,916",767,562,"-1,395",,,,,,,,,,,,,,,
PSEI,10Jul2015,Pacific,N,"61,152","77,606","55,499","-22,107",,,,,,,,,,"-26,968","1,681","3,402","1,049","-1,271",,,,,,,,,,,,,,,
PSEI,11Jul2015,Pacific,N,"50,595","71,467","48,225","-23,242",,,,,,,,,,"-29,084","2,407","4,218",377,"-1,160",,,,,,,,,,,,,,,
PSEI,12Jul2015,Pacific,N,"55,956","74,043","56,028","-18,015",,,,,,,,,,"-23,616","2,731","3,488",589,"-1,207",,,,,,,,,,,,,,,
PSEI,13Jul2015,Pacific,N,"56,764","79,645","58,480","-21,165",,,,,,,,,,"-27,851","2,458","4,076","1,245","-1,093",,,,,,,,,,,,,,,
PSEI,14Jul2015,Pacific,N,"58,115","81,148","58,174","-22,974",,,,,,,,,,"-28,323","2,715","2,703",956,"-1,025",,,,,,,,,,,,,,,
PSEI,15Jul2015,Pacific,N,"57,576","77,715","58,598","-19,117",,,,,,,,,,"-27,287","3,031","5,372",769,"-1,002",,,,,,,,,,,,,,,
PSEI,16Jul2015,Pacific,N,"49,242","72,888","53,011","-19,877",,,,,,,,,,"-28,263","3,243","5,521",638,"-1,016",,,,,,,,,,,,,,,
PSEI,17Jul2015,Pacific,N,"51,399","75,493","50,116","-25,377",,,,,,,,,,"-29,690","3,310",378,"1,584",-959,,,,,,,,,,,,,,,
PSEI,18Jul2015,Pacific,N,"52,478","78,239","49,217","-29,022",,,,,,,,,,"-33,686","2,274","1,772","1,595",-977,,,,,,,,,,,,,,,
PSEI,19Jul2015,Pacific,N,"60,039","84,443","59,039","-25,404",,,,,,,,,,"-32,069","4,114","2,184","1,442","-1,075",,,,,,,,,,,,,,,
PSEI,20Jul2015,Pacific,N,"54,582","81,667","52,428","-29,239",,,,,,,,,,"-37,941","2,269","6,363","1,299","-1,229",,,,,,,,,,,,,,,
PSEI,21Jul2015,Pacific,N,"56,607","77,067","54,873","-22,194",,,,,,,,,,"-31,154","2,013","6,480","1,554","-1,087",,,,,,,,,,,,,,,
PSEI,22Jul2015,Pacific,N,"55,957","75,826","55,564","-20,262",,,,,,,,,,"-26,329","2,359","3,651","1,100","-1,043",,,,,,,,,,,,,,,
PSEI,23Jul2015,Pacific,N,"57,861","78,071","52,515","-25,556",,,,,,,,,,"-31,418","2,353","3,704",931,"-1,126",,,,,,,,,,,,,,,
PSEI,24Jul2015,Pacific,N,"49,736","77,362","51,758","-25,604",,,,,,,,,,"-34,037","3,011","5,775",658,"-1,011",,,,,,,,,,,,,,,
PSEI,25Jul2015,Pacific,N,"43,616","65,625","43,561","-22,064",,,,,,,,,,"-30,953","2,266","6,830",719,-926,,,,,,,,,,,,,,,
PSEI,26Jul2015,Pacific,N,"44,401","68,235","45,147","-23,088",,,,,,,,,,"-29,227","1,666","5,335",224,"-1,086",,,,,,,,,,,,,,,
PSEI,27Jul2015,Pacific,N,"47,527","75,483","48,375","-27,108",,,,,,,,,,"-33,210","2,372","3,832","1,026","-1,128",,,,,,,,,,,,,,,
PSEI,28Jul2015,Pacific,N,"57,804","77,827","55,935","-21,892",,,,,,,,,,"-24,481","2,417",712,305,-845,,,,,,,,,,,,,,,
PSEI,29Jul2015,Pacific,N,"61,700","84,373","59,683","-24,690",,,,,,,,,,"-28,733","3,131",306,"1,758","-1,152",,,,,,,,,,,,,,,
PSEI,30Jul2015,Pacific,N,"58,616","86,227","57,266","-28,961",,,,,,,,,,"-32,170","2,793",142,"1,435","-1,161",,,,,,,,,,,,,,,
PSEI,31Jul2015,Pacific,N,"60,018","86,722","56,771","-29,951",,,,,,,,,,"-34,211","2,781","1,064","1,656","-1,241",,,,,,,,,,,,,,,
PSEI,01Aug2015,Pacific,N,"54,476","79,091","52,974","-26,117",,,,,,,,,,"-31,344","2,320","2,489","1,629","-1,211",,,,,,,,,,,,,,,
PSEI,02Aug2015,Pacific,N,"55,119","77,105","53,209","-23,896",,,,,,,,,,"-29,560","2,781","2,179","1,878","-1,174",,,,,,,,,,,,,,,
PSEI,03Aug2015,Pacific,N,"57,121","81,975","55,298","-26,677",,,,,,,,,,"-35,260","2,595","5,595","1,284",-891,,,,,,,,,,,,,,,
