BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,CPLE,DUK,SCEG,SEPA,SOCO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SC,01Jul2015,Eastern,N,"86,491","79,292","61,882","-17,410",,,,,,,,,,"-1,289","8,779","-13,476","-1,005","-10,391",,,,,,,,,,,,,,,
SC,02Jul2015,Eastern,N,"86,002","83,594","61,921","-21,673",,,,,,,,,,"-4,701","7,807","-15,073",-67,"-9,639",,,,,,,,,,,,,,,
SC,03Jul2015,Eastern,N,"83,478","76,763","57,730","-19,033",,,,,,,,,,"-6,275","7,674","-14,623","1,299","-7,108",,,,,,,,,,,,,,,
SC,04Jul2015,Eastern,N,"82,398","80,435","62,711","-17,724",,,,,,,,,,"-5,061","5,875","-16,203","2,108","-4,443",,,,,,,,,,,,,,,
SC,05Jul2015,Eastern,N,"80,345","80,516","63,188","-17,328",,,,,,,,,,"-4,662","6,612","-16,130","2,048","-5,197",,,,,,,,,,,,,,,
SC,06Jul2015,Eastern,N,"81,845","83,431","66,083","-17,348",,,,,,,,,,"-2,344","7,230","-15,164",54,"-7,123",,,,,,,,,,,,,,,
SC,07Jul2015,Eastern,N,"83,990","87,170","69,839","-17,331",,,,,,,,,,268,"8,488","-15,381",-625,"-10,081",,,,,,,,,,,,,,,
SC,08Jul2015,Eastern,N,"85,064","88,108","71,189","-16,919",,,,,,,,,,"-1,710","9,274","-15,326",-21,"-9,120",,,,,,,,,,,,,,,
SC,09Jul2015,Eastern,N,"89,610","92,600","74,734","-17,866",,,,,,,,,,"-1,510","7,261","-14,522",-115,"-8,980",,,,,,,,,,,,,,,
SC,10Jul2015,Eastern,N,"92,293","94,722","77,244","-17,478",,,,,,,,,,"-2,662","7,574","-12,446",183,"-10,127",,,,,,,,,,,,,,,
SC,11Jul2015,Eastern,N,"91,138","93,485","74,838","-18,647",,,,,,,,,,"-6,360","6,671","-15,394","2,069","-5,633",,,,,,,,,,,,,,,
SC,12Jul2015,Eastern,N,"85,995","88,742","72,704","-16,038",,,,,,,,,,"-6,208","6,024","-15,466","2,407","-2,795",,,,,,,,,,,,,,,
SC,13Jul2015,Eastern,N,"87,856","91,532","73,996","-17,536",,,,,,,,,,"-6,456","7,936","-15,651",707,"-4,026",,,,,,,,,,,,,,,
SC,14Jul2015,Eastern,N,"90,643","87,457","70,109","-17,348",,,,,,,,,,"-4,788","9,291","-15,820","1,047","-6,992",,,,,,,,,,,,,,,
SC,15Jul2015,Eastern,N,"88,752","89,379","74,216","-15,163",,,,,,,,,,-893,"8,000","-14,888",500,"-7,882",,,,,,,,,,,,,,,
SC,16Jul2015,Eastern,N,"87,240","90,780","72,887","-17,893",,,,,,,,,,"-2,335","7,320","-16,033",536,"-7,431",,,,,,,,,,,,,,,
SC,17Jul2015,Eastern,N,"84,259","90,526","74,721","-15,805",,,,,,,,,,"-1,654","6,185","-14,915",692,"-6,113",,,,,,,,,,,,,,,
SC,18Jul2015,Eastern,N,"85,110","88,520","72,488","-16,032",,,,,,,,,,-542,"5,978","-15,282","1,760","-7,946",,,,,,,,,,,,,,,
SC,19Jul2015,Eastern,N,"87,761","87,284","71,067","-16,217",,,,,,,,,,"1,553","6,139","-15,363","1,413","-9,959",,,,,,,,,,,,,,,
SC,20Jul2015,Eastern,N,"91,268","95,599","75,831","-19,768",,,,,,,,,,"2,187","8,025","-14,308","-1,686","-13,991",,,,,,,,,,,,,,,
SC,21Jul2015,Eastern,N,"93,039","96,322","78,436","-17,886",,,,,,,,,,313,"9,084","-13,808","-1,324","-12,151",,,,,,,,,,,,,,,
SC,22Jul2015,Eastern,N,"90,671","95,026","76,607","-18,419",,,,,,,,,,"-2,490","8,881","-14,336",-714,"-9,761",,,,,,,,,,,,,,,
SC,23Jul2015,Eastern,N,"87,994","91,227","74,007","-17,220",,,,,,,,,,"-2,349","7,832","-13,472",-674,"-8,557",,,,,,,,,,,,,,,
SC,24Jul2015,Eastern,N,"83,398","83,223","68,245","-14,978",,,,,,,,,,"-1,969","9,244","-13,561",233,"-8,925",,,,,,,,,,,,,,,
SC,25Jul2015,Eastern,N,"83,864","79,814","65,937","-13,877",,,,,,,,,,-816,"6,735","-13,105","1,600","-8,291",,,,,,,,,,,,,,,
SC,26Jul2015,Eastern,N,"83,692","80,640","65,822","-14,818",,,,,,,,,,"-1,400","6,887","-13,321",927,"-7,912",,,,,,,,,,,,,,,
SC,27Jul2015,Eastern,N,"86,621","89,171","73,621","-15,549",,,,,,,,,,"-1,553","9,432","-12,938",-646,"-9,844",,,,,,,,,,,,,,,
SC,28Jul2015,Eastern,N,"87,029","89,712","75,834","-13,878",,,,,,,,,,130,"10,075","-11,046",-478,"-12,571",,,,,,,,,,,,,,,
SC,29Jul2015,Eastern,N,"87,120","89,860","75,820","-14,040",,,,,,,,,,540,"9,659","-12,352",-421,"-11,466",,,,,,,,,,,,,,,
SC,30Jul2015,Eastern,N,"88,451","91,894","76,257","-15,637",,,,,,,,,,501,"7,405","-12,964",-201,"-10,378",,,,,,,,,,,,,,,
SC,31Jul2015,Eastern,N,"87,182","88,926","72,355","-16,571",,,,,,,,,,-89,"7,296","-13,567",276,"-10,487",,,,,,,,,,,,,,,
SC,01Aug2015,Eastern,N,"84,601","86,948","71,958","-14,990",,,,,,,,,,"-1,068","6,664","-14,189","1,620","-8,017",,,,,,,,,,,,,,,
SC,02Aug2015,Eastern,N,"83,757","84,460","69,473","-14,987",,,,,,,,,,"-2,745","6,927","-15,313","1,882","-5,736",,,,,,,,,,,,,,,
SC,03Aug2015,Eastern,N,"83,972","83,628","67,728","-15,900",,,,,,,,,,"-2,144","7,894","-13,809",367,"-8,208",,,,,,,,,,,,,,,
SC,04Aug2015,Eastern,N,"87,023","87,608","70,856","-16,752",,,,,,,,,,-478,"7,346","-14,415",115,"-9,320",,,,,,,,,,,,,,,
SC,05Aug2015,Eastern,N,"89,741","90,685","74,027","-16,658",,,,,,,,,,"-1,698","7,283","-14,918",586,"-7,911",,,,,,,,,,,,,,,
