BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,CPLE,DUK,SC,SEPA,SOCO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SCEG,01Jul2015,Eastern,N,"79,501","74,067","77,847","7,728",,,,,,,,,,"4,139","1,984","13,476",935,"-12,806",,,,,,,,,,,,,,,
SCEG,02Jul2015,Eastern,N,"78,054","74,095","78,071","7,791",,,,,,,,,,"3,368",999,"15,073",732,"-12,381",,,,,,,,,,,,,,,
SCEG,03Jul2015,Eastern,N,"72,668","65,212","72,926","7,756",,,,,,,,,,"1,628","1,174","14,623",604,"-10,273",,,,,,,,,,,,,,,
SCEG,04Jul2015,Eastern,N,"73,428","67,903","75,605","7,732",,,,,,,,,,"1,893",468,"16,203",299,"-11,131",,,,,,,,,,,,,,,
SCEG,05Jul2015,Eastern,N,"70,429","67,690","75,557","7,893",,,,,,,,,,"2,134",980,"16,130",433,"-11,784",,,,,,,,,,,,,,,
SCEG,06Jul2015,Eastern,N,"75,474","75,143","82,964","7,851",,,,,,,,,,"2,916","1,824","15,164",669,"-12,722",,,,,,,,,,,,,,,
SCEG,07Jul2015,Eastern,N,"77,202","79,927","87,318","7,402",,,,,,,,,,"3,878","1,209","15,381",958,"-14,024",,,,,,,,,,,,,,,
SCEG,08Jul2015,Eastern,N,"81,500","83,308","88,213","7,533",,,,,,,,,,"3,496",852,"15,326","1,170","-13,311",,,,,,,,,,,,,,,
SCEG,09Jul2015,Eastern,N,"83,001","85,312","85,346","4,001",,,,,,,,,,"2,919",-747,"14,521",919,"-13,611",,,,,,,,,,,,,,,
SCEG,10Jul2015,Eastern,N,"86,453","87,417","85,480","2,071",,,,,,,,,,"2,653",-714,"12,446",927,"-13,241",,,,,,,,,,,,,,,
SCEG,11Jul2015,Eastern,N,"84,258","84,773","88,650","7,817",,,,,,,,,,"1,628",195,"15,394",853,"-10,253",,,,,,,,,,,,,,,
SCEG,12Jul2015,Eastern,N,"79,700","82,337","85,842","7,438",,,,,,,,,,"1,007",-617,"15,466",655,"-9,073",,,,,,,,,,,,,,,
SCEG,13Jul2015,Eastern,N,"84,129","87,802","90,863","7,000",,,,,,,,,,"1,626",-447,"15,651",755,"-10,585",,,,,,,,,,,,,,,
SCEG,14Jul2015,Eastern,N,"86,230","84,079","87,872","7,764",,,,,,,,,,"2,524",-163,"15,820",743,"-11,160",,,,,,,,,,,,,,,
SCEG,15Jul2015,Eastern,N,"86,001","84,370","88,118","7,761",,,,,,,,,,"4,139",208,"14,888",812,"-12,286",,,,,,,,,,,,,,,
SCEG,16Jul2015,Eastern,N,"82,552","84,657","88,525","7,795",,,,,,,,,,"3,564",-100,"16,033",798,"-12,500",,,,,,,,,,,,,,,
SCEG,17Jul2015,Eastern,N,"80,071","82,940","86,660","7,654",,,,,,,,,,"2,577",437,"14,915",831,"-11,106",,,,,,,,,,,,,,,
SCEG,18Jul2015,Eastern,N,"78,888","81,322","85,149","7,756",,,,,,,,,,"3,165",525,"15,282","1,144","-12,360",,,,,,,,,,,,,,,
SCEG,19Jul2015,Eastern,N,"80,778","79,872","83,696","7,762",,,,,,,,,,"4,154",785,"15,363",960,"-13,500",,,,,,,,,,,,,,,
SCEG,20Jul2015,Eastern,N,"87,331","87,461","90,400","6,892",,,,,,,,,,"5,373","1,313","14,308","1,445","-15,547",,,,,,,,,,,,,,,
SCEG,21Jul2015,Eastern,N,"88,617","91,790","93,269","5,400",,,,,,,,,,"4,640",101,"13,808","1,024","-14,173",,,,,,,,,,,,,,,
