BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PSEI,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SCL,01Jul2015,Pacific,N,"25,788","26,231","14,395","-11,493",,,,,,,,,,"-12,905",-88,,,,,,,,,,,,,,,
SCL,02Jul2015,Pacific,N,"26,311","26,440","14,155","-11,940",,,,,,,,,,"-13,109",-323,,,,,,,,,,,,,,,
SCL,03Jul2015,Pacific,N,"26,323","25,809","14,756","-10,697",,,,,,,,,,"-12,011",-148,,,,,,,,,,,,,,,
SCL,04Jul2015,Pacific,N,"25,045","24,201","13,792","-10,057",,,,,,,,,,"-11,359",-183,,,,,,,,,,,,,,,
SCL,05Jul2015,Pacific,N,"25,265","24,451","13,078","-11,008",,,,,,,,,,"-11,958",-539,,,,,,,,,,,,,,,
SCL,06Jul2015,Pacific,N,"28,165","27,527","12,211","-14,912",,,,,,,,,,"-15,531",-857,,,,,,,,,,,,,,,
SCL,07Jul2015,Pacific,N,"27,480","26,076","10,525","-15,138",,,,,,,,,,"-16,209",-419,,,,,,,,,,,,,,,
SCL,08Jul2015,Pacific,N,"26,070","25,323","11,856","-13,122",,,,,,,,,,"-13,982",-474,,,,,,,,,,,,,,,
SCL,09Jul2015,Pacific,N,"26,075","25,592","10,060","-15,181",,,,,,,,,,"-15,964",-562,,,,,,,,,,,,,,,
SCL,10Jul2015,Pacific,N,"26,130","25,037","10,035","-14,681",,,,,,,,,,"-14,823","-1,049",,,,,,,,,,,,,,,
SCL,11Jul2015,Pacific,N,"23,497","22,754","11,422","-11,000",,,,,,,,,,"-11,979",-377,,,,,,,,,,,,,,,
