BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPC,FPL,JEA,TEC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SEC,01Jul2015,Eastern,N,"4,025","4,383","33,592","29,273",,,,,,,,,,"17,555","16,186","-3,122","-1,346",,,,,,,,,,,,,,,
SEC,02Jul2015,Eastern,N,"3,969","3,993","34,149","30,260",,,,,,,,,,"17,111","18,235","-2,647","-2,440",,,,,,,,,,,,,,,
SEC,03Jul2015,Eastern,N,"3,909","4,318","34,881","30,672",,,,,,,,,,"16,525","18,327","-3,063","-1,118",,,,,,,,,,,,,,,
SEC,04Jul2015,Eastern,N,"3,873","3,561","32,834","29,375",,,,,,,,,,"17,234","16,016","-2,308","-1,566",,,,,,,,,,,,,,,
SEC,05Jul2015,Eastern,N,"3,770","3,783","31,561","27,872",,,,,,,,,,"16,189","17,066","-2,743","-2,640",,,,,,,,,,,,,,,
SEC,06Jul2015,Eastern,N,"3,741","3,992","32,465","28,571",,,,,,,,,,"15,718","17,670","-2,603","-2,215",,,,,,,,,,,,,,,
SEC,07Jul2015,Eastern,N,"3,777","4,014","34,401","30,484",,,,,,,,,,"16,356","19,418","-2,295","-2,994",,,,,,,,,,,,,,,
SEC,08Jul2015,Eastern,N,"3,750","4,147","36,289","32,257",,,,,,,,,,"16,740","19,212","-2,491","-1,206",,,,,,,,,,,,,,,
SEC,09Jul2015,Eastern,N,"3,933","4,424","37,244","32,936",,,,,,,,,,"17,579","19,554","-2,815","-1,382",,,,,,,,,,,,,,,
SEC,10Jul2015,Eastern,N,"3,997","4,523","37,714","33,369",,,,,,,,,,"15,818","20,073","-2,775",251,,,,,,,,,,,,,,,
SEC,11Jul2015,Eastern,N,"4,117","4,124","35,720","31,715",,,,,,,,,,"15,265","20,413","-2,470","-1,495",,,,,,,,,,,,,,,
SEC,12Jul2015,Eastern,N,"4,131","4,194","34,158",,,,,,,,,,,"15,468","19,485","-2,637","-2,239",,,,,,,,,,,,,,,
SEC,13Jul2015,Eastern,N,"4,209","4,318","35,932","31,739",,,,,,,,,,"16,060","20,141","-2,718","-1,743",,,,,,,,,,,,,,,
