BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,DUK,SC,SCEG,SOCO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SEPA,01Jul2015,Central,Y,,,"6,218","4,169",,,,,,,,,,-287,540,-824,"4,740",,,,,,,,,,,,,,,
SEPA,02Jul2015,Central,Y,,,"6,771","4,734",,,,,,,,,,-49,997,-923,"4,709",,,,,,,,,,,,,,,
SEPA,03Jul2015,Central,Y,,,"5,719","3,684",,,,,,,,,,-781,35,-737,"5,167",,,,,,,,,,,,,,,
SEPA,04Jul2015,Central,Y,,,"3,882","1,819",,,,,,,,,,"-1,454","-1,277",-590,"5,140",,,,,,,,,,,,,,,
SEPA,05Jul2015,Central,Y,,,"1,752",-342,,,,,,,,,,"-1,974","-2,096",-264,"3,992",,,,,,,,,,,,,,,
SEPA,06Jul2015,Central,Y,,,"1,769",-318,,,,,,,,,,"-1,762","-2,013",-396,"3,853",,,,,,,,,,,,,,,
SEPA,07Jul2015,Central,Y,,,"5,245","3,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,08Jul2015,Central,Y,,,"5,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,09Jul2015,Central,Y,,,,,,,,,,,,,,-394,31,"-1,179","5,140",,,,,,,,,,,,,,,
SEPA,10Jul2015,Central,Y,,,"5,460","3,390",,,,,,,,,,-699,97,-913,"4,905",,,,,,,,,,,,,,,
SEPA,11Jul2015,Central,Y,,,"1,974",-111,,,,,,,,,,"-2,257","-2,059",-847,"5,052",,,,,,,,,,,,,,,
SEPA,12Jul2015,Central,Y,,,"1,839",-230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,13Jul2015,Central,Y,,,"6,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,14Jul2015,Central,Y,,,,,,,,,,,,,,"-1,239",-697,-759,"6,653",,,,,,,,,,,,,,,
SEPA,15Jul2015,Central,Y,,,"5,624","3,561",,,,,,,,,,-959,"-1,033",-733,"6,286",,,,,,,,,,,,,,,
SEPA,16Jul2015,Central,Y,,,"5,232","3,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,17Jul2015,Central,Y,,,"5,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,18Jul2015,Central,Y,,,,,,,,,,,,,,"-1,436",-683,-831,"5,854",,,,,,,,,,,,,,,
SEPA,19Jul2015,Central,Y,,,"1,504",-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,20Jul2015,Central,Y,,,"6,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,21Jul2015,Central,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,22Jul2015,Central,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,23Jul2015,Central,Y,,,,,,,,,,,,,,-463,708,"-1,200","4,899",,,,,,,,,,,,,,,
SEPA,24Jul2015,Central,Y,,,"5,568","3,534",,,,,,,,,,-136,660,"-1,174","4,184",,,,,,,,,,,,,,,
SEPA,25Jul2015,Central,Y,,,"5,463","3,679",,,,,,,,,,-577,-249,"-1,064","5,569",,,,,,,,,,,,,,,
SEPA,26Jul2015,Central,Y,,,"1,664",-419,,,,,,,,,,"-1,010","-1,559","-1,197","3,347",,,,,,,,,,,,,,,
SEPA,27Jul2015,Central,Y,,,"1,665",-383,,,,,,,,,,-30,-896,"-1,377","1,920",,,,,,,,,,,,,,,
SEPA,28Jul2015,Central,Y,,,"6,273","4,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,29Jul2015,Central,Y,,,"6,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,30Jul2015,Central,Y,,,,,,,,,,,,,,-149,458,-754,"4,576",,,,,,,,,,,,,,,
SEPA,31Jul2015,Central,Y,,,"4,813","2,760",,,,,,,,,,-485,171,"-1,080","4,154",,,,,,,,,,,,,,,
SEPA,01Aug2015,Central,Y,,,"1,915",-165,,,,,,,,,,"-1,526","-1,603","-1,199","4,163",,,,,,,,,,,,,,,
SEPA,02Aug2015,Central,Y,,,"1,878",-190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,03Aug2015,Central,Y,,,"6,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,04Aug2015,Central,Y,,,,,,,,,,,,,,-489,-125,"-1,255","5,991",,,,,,,,,,,,,,,
SEPA,05Aug2015,Central,Y,,,"6,243","4,186",,,,,,,,,,-489,-125,"-1,255","5,991",,,,,,,,,,,,,,,
SEPA,06Aug2015,Central,Y,,,"5,390","3,344",,,,,,,,,,"-1,110",-714,-916,"6,084",,,,,,,,,,,,,,,
SEPA,07Aug2015,Central,Y,,,"4,191","2,125",,,,,,,,,,"-1,265","-1,195",-985,"5,570",,,,,,,,,,,,,,,
SEPA,08Aug2015,Central,Y,,,"1,810",-252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,09Aug2015,Central,Y,,,"2,186",,,,,,,,,,,"-2,356","-2,891",-881,"5,856",,,,,,,,,,,,,,,
SEPA,10Aug2015,Central,Y,,,"5,876","3,820",,,,,,,,,,"-2,356","-2,891",-881,"5,856",,,,,,,,,,,,,,,
SEPA,11Aug2015,Central,Y,,,"6,224","4,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,12Aug2015,Central,Y,,,"7,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,13Aug2015,Central,Y,,,,,,,,,,,,,,"-1,575",-831,-435,"6,663",,,,,,,,,,,,,,,
SEPA,14Aug2015,Central,Y,,,"3,465","1,395",,,,,,,,,,"-1,397",-889,-516,"4,197",,,,,,,,,,,,,,,
SEPA,15Aug2015,Central,Y,,,"1,595",-480,,,,,,,,,,"-1,799","-2,094",-821,"4,234",,,,,,,,,,,,,,,
SEPA,16Aug2015,Central,Y,,,"1,595",-488,,,,,,,,,,"-1,405","-1,697",-619,"3,233",,,,,,,,,,,,,,,
SEPA,17Aug2015,Central,Y,,,"5,474","3,423",,,,,,,,,,-628,166,-772,"4,657",,,,,,,,,,,,,,,
SEPA,18Aug2015,Central,Y,,,"6,112","4,080",,,,,,,,,,-163,579,-529,"4,193",,,,,,,,,,,,,,,
SEPA,19Aug2015,Central,Y,,,"6,328","4,317",,,,,,,,,,-227,931,-880,"4,493",,,,,,,,,,,,,,,
SEPA,20Aug2015,Central,Y,,,,"3,771",,,,,,,,,,-628,970,-857,"4,286",,,,,,,,,,,,,,,
SEPA,21Aug2015,Central,Y,,,,"2,851",,,,,,,,,,"-1,087",-386,-923,"5,247",,,,,,,,,,,,,,,
SEPA,22Aug2015,Central,Y,,,,-307,,,,,,,,,,"-2,490","-2,737",-250,"5,170",,,,,,,,,,,,,,,
SEPA,23Aug2015,Central,Y,,,,-583,,,,,,,,,,"-2,544","-3,019",-486,"5,466",,,,,,,,,,,,,,,
SEPA,24Aug2015,Central,Y,,,,"3,974",,,,,,,,,,-401,269,-673,"4,779",,,,,,,,,,,,,,,
SEPA,25Aug2015,Central,Y,,,,"4,275",,,,,,,,,,-364,715,-835,"4,759",,,,,,,,,,,,,,,
SEPA,26Aug2015,Central,Y,,,,"3,525",,,,,,,,,,-785,260,-891,"4,941",,,,,,,,,,,,,,,
SEPA,27Aug2015,Central,Y,,,,"3,332",,,,,,,,,,-993,-503,-402,"5,230",,,,,,,,,,,,,,,
SEPA,28Aug2015,Central,Y,,,,"3,347",,,,,,,,,,"-1,380",-99,-316,"5,142",,,,,,,,,,,,,,,
SEPA,29Aug2015,Central,Y,,,,-714,,,,,,,,,,"-2,021","-2,281",-712,"4,300",,,,,,,,,,,,,,,
SEPA,30Aug2015,Central,Y,,,,"-1,387",,,,,,,,,,"-1,703","-2,458",-496,"3,270",,,,,,,,,,,,,,,
SEPA,31Aug2015,Central,Y,,,,"2,078",,,,,,,,,,-556,-539,-677,"3,850",,,,,,,,,,,,,,,
SEPA,01Sep2015,Central,Y,,,,"2,040",,,,,,,,,,-101,-243,-902,"3,286",,,,,,,,,,,,,,,
SEPA,02Sep2015,Central,Y,,,,"2,129",,,,,,,,,,"-1,038","1,170","-1,423","3,420",,,,,,,,,,,,,,,
SEPA,03Sep2015,Central,Y,,,,"3,969",,,,,,,,,,-881,807,-604,"4,647",,,,,,,,,,,,,,,
SEPA,04Sep2015,Central,Y,,,,"3,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,05Sep2015,Central,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,06Sep2015,Central,Y,,,,,,,,,,,,,,"-1,852","-2,427",-457,"4,073",,,,,,,,,,,,,,,
