BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AEC,DUK,FPC,FPL,MISO,SC,SCEG,SEPA,TAL,TVA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SOCO,01Jul2015,Central,N,"737,305","709,688","748,746","39,058",,,,,,,,,,,,"7,989","32,875","3,474","10,268","12,777","-4,709","3,472","-22,183",,,,,,,,,,,,,,,
SOCO,02Jul2015,Central,N,"720,410","716,963","759,181","42,218",,,,,,,,,,,,"8,396","33,638","8,383","9,624","12,254","-5,145","3,418","-17,506",,,,,,,,,,,,,,,
SOCO,03Jul2015,Central,N,"687,570","685,869","727,365","41,496",,,,,,,,,,,,"7,326","32,548","11,538","6,978","10,324","-5,142","3,664","-15,113",,,,,,,,,,,,,,,
SOCO,04Jul2015,Central,N,"664,982","616,351","653,181","36,830",,,,,,,,,,,,"6,512","32,327","9,783","4,462","11,164","-3,992","3,518","-16,705",,,,,,,,,,,,,,,
SOCO,05Jul2015,Central,N,"646,062","602,291","641,961","39,670",,,,,,,,,,,,"6,644","31,512","14,467","5,169","11,752","-3,853","3,092","-20,285",,,,,,,,,,,,,,,
SOCO,06Jul2015,Central,N,"699,808","726,804","773,709","46,905",,,,,,,,,,,,"7,398","31,618","10,070","7,364","12,823","-4,592","3,382","-15,409",,,,,,,,,,,,,,,
SOCO,07Jul2015,Central,N,"736,871","780,182","822,080","41,898",,,,,,,,,,,,"7,258","25,914","7,197","10,086","14,082","-3,550","3,562","-19,666",,,,,,,,,,,,,,,
SOCO,08Jul2015,Central,N,"766,510","815,320","845,162","29,842",,,,,,,,,,,,"7,345","27,054","11,535","9,076","13,307","-5,140","3,410","-26,694",,,,,,,,,,,,,,,
SOCO,09Jul2015,Central,N,"792,472","826,105","858,596","32,491",,,,,,,,,,,,"8,696","33,421","11,241","9,068","13,628","-4,905","3,603","-31,385",,,,,,,,,,,,,,,
SOCO,10Jul2015,Central,N,"787,202","826,871","849,404","22,533",,,,,,,,,,,,"7,741","28,745","8,922","9,959","13,085","-5,774","3,625","-29,146",,,,,,,,,,,,,,,
SOCO,11Jul2015,Central,N,"768,922","801,449","820,189","18,740",,,,,,,,,,,,"7,505","25,887","8,526","5,568","10,221","-5,051","3,728","-24,149",,,,,,,,,,,,,,,
SOCO,12Jul2015,Central,N,"754,807","789,694","808,665","18,971",,,,,,,,,,,,"6,805","26,732","8,529","2,702","9,048","-5,116","3,624","-18,787",,,,,,,,,,,,,,,
SOCO,13Jul2015,Central,N,"838,439","849,186","879,875","30,689",,,,,,,,,,,,"7,974","28,494","10,433","4,103","10,666","-6,653","3,526","-12,319",,,,,,,,,,,,,,,
SOCO,14Jul2015,Central,N,"851,063","847,787","871,126","23,339",,,,,,,,,,,,"7,900","25,734","8,649","7,192","11,241","-6,286","3,586","-17,912",,,,,,,,,,,,,,,
SOCO,15Jul2015,Central,N,"853,329","814,618","845,943","31,325",,,,,,,,,,,,"7,837","29,633","8,006","7,775","12,277","-5,888","3,685","-20,671",,,,,,,,,,,,,,,
SOCO,16Jul2015,Central,N,"818,384","817,898","842,593","24,695",,,,,,,,,,,,"7,684","27,712","6,739","7,311","12,410","-5,867","3,782","-22,868",,,,,,,,,,,,,,,
SOCO,17Jul2015,Central,N,"826,028","820,663","856,030","35,367",,,,,,,,,,,,"8,283","25,905","12,181","5,654","11,154","-5,854","3,901","-11,767",,,,,,,,,,,,,,,
SOCO,18Jul2015,Central,N,"796,261","803,671","840,655","36,984",,,,,,,,,,,,"7,398","25,250","10,910","8,122","12,411","-5,044","3,633","-18,781",,,,,,,,,,,,,,,
SOCO,19Jul2015,Central,N,"792,286","776,667","819,918","43,251",,,,,,,,,,,,"6,985","26,058","7,945","10,010","13,546","-3,457","3,532","-17,190",,,,,,,,,,,,,,,
SOCO,20Jul2015,Central,N,"841,701","842,906","899,507","56,601",,,,,,,,,,,,"8,451","26,363","10,212","14,012","15,592","-3,101","3,668","-17,319",,,,,,,,,,,,,,,
SOCO,21Jul2015,Central,N,"829,549","855,921","901,962","46,041",,,,,,,,,,,,"9,229","28,435","7,039","12,087","14,087","-3,768","3,966","-20,811",,,,,,,,,,,,,,,
SOCO,22Jul2015,Central,N,"828,844","836,395","873,582","37,187",,,,,,,,,,,,"9,130","30,596","4,276","9,579","12,760","-4,899","3,915","-21,887",,,,,,,,,,,,,,,
SOCO,23Jul2015,Central,N,"810,644","801,030","842,643","41,613",,,,,,,,,,,,"8,616","28,943","2,131","8,606","13,246","-4,184","3,869","-15,114",,,,,,,,,,,,,,,
SOCO,24Jul2015,Central,N,"797,537","818,474","857,722","39,248",,,,,,,,,,,,"7,753","25,607","8,940","8,936","11,815","-5,572","3,552","-12,330",,,,,,,,,,,,,,,
SOCO,25Jul2015,Central,N,"762,209","779,124","816,941","37,817",,,,,,,,,,,,"7,583","24,045","9,821","8,257","12,289","-3,345","3,229","-16,585",,,,,,,,,,,,,,,
SOCO,26Jul2015,Central,N,"755,416","777,020","812,113","35,093",,,,,,,,,,,,"6,519","24,271","5,586","7,939","12,641","-1,920","3,205","-20,626",,,,,,,,,,,,,,,
SOCO,27Jul2015,Central,N,"812,165","837,717","873,552","35,835",,,,,,,,,,,,"8,380","24,680","4,456","9,930","10,728","-3,848","3,234","-15,624",,,,,,,,,,,,,,,
