BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AECI,MISO,SWPP,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SPA,01Jul2015,Central,N,"2,319","2,230","31,579","29,792",,,,,,,,,,"9,289","9,261","10,802",,,,,,,,,,,,,,,
SPA,02Jul2015,Central,N,"2,265","2,177","27,287","25,110",,,,,,,,,,"4,786","8,933","11,391",,,,,,,,,,,,,,,
SPA,03Jul2015,Central,N,"1,981","1,851","26,988","25,137",,,,,,,,,,"5,274","8,099","11,764",,,,,,,,,,,,,,,
SPA,04Jul2015,Central,N,"1,675","2,195","26,860","24,665",,,,,,,,,,"5,158","7,411","12,247",,,,,,,,,,,,,,,
SPA,05Jul2015,Central,N,"1,573","1,544","27,592","26,048",,,,,,,,,,"7,658","7,465","10,925",,,,,,,,,,,,,,,
SPA,06Jul2015,Central,N,"2,300","1,908","27,316","25,408",,,,,,,,,,"7,921","6,203","11,083",,,,,,,,,,,,,,,
SPA,07Jul2015,Central,N,"2,045","2,123","27,588","25,465",,,,,,,,,,"6,143","8,163","11,161",,,,,,,,,,,,,,,
SPA,08Jul2015,Central,N,"2,019","2,437","28,627","26,190",,,,,,,,,,"5,358","8,187","12,647",,,,,,,,,,,,,,,
SPA,09Jul2015,Central,N,"2,003","2,099","25,836","23,737",,,,,,,,,,"2,397","7,836","13,503",,,,,,,,,,,,,,,
SPA,10Jul2015,Central,N,"2,011","2,150","27,455","25,305",,,,,,,,,,"4,829","7,720","12,756",,,,,,,,,,,,,,,
SPA,11Jul2015,Central,N,"1,785","2,088","30,360","28,272",,,,,,,,,,"8,798","7,929","11,545",,,,,,,,,,,,,,,
SPA,12Jul2015,Central,N,"1,792","2,632","28,574","25,942",,,,,,,,,,"8,767","7,127","10,050",,,,,,,,,,,,,,,
SPA,13Jul2015,Central,N,"2,391","2,003","28,443","26,440",,,,,,,,,,"9,294","6,592","10,553",,,,,,,,,,,,,,,
SPA,14Jul2015,Central,N,"2,542","2,078","29,774","27,696",,,,,,,,,,"10,421","6,929","10,341",,,,,,,,,,,,,,,
SPA,15Jul2015,Central,N,"2,223","1,996","28,204","26,208",,,,,,,,,,"9,785","7,394","9,030",,,,,,,,,,,,,,,
SPA,16Jul2015,Central,N,"2,211","2,056","27,028","24,972",,,,,,,,,,"9,057","7,747","8,166",,,,,,,,,,,,,,,
SPA,17Jul2015,Central,N,"2,086","2,058","27,796","25,738",,,,,,,,,,"10,374","6,794","8,570",,,,,,,,,,,,,,,
SPA,18Jul2015,Central,N,"1,829","1,861","26,807","24,946",,,,,,,,,,"8,842","9,014","7,090",,,,,,,,,,,,,,,
SPA,19Jul2015,Central,N,"1,784","1,915","27,475","25,560",,,,,,,,,,"7,262","9,968","8,348",,,,,,,,,,,,,,,
SPA,20Jul2015,Central,N,"2,247","2,314","28,399","26,085",,,,,,,,,,"7,032","9,669","9,332",,,,,,,,,,,,,,,
SPA,21Jul2015,Central,N,"2,212","2,615","31,573","28,958",,,,,,,,,,"10,723","9,199","9,170",,,,,,,,,,,,,,,
SPA,22Jul2015,Central,N,"2,204","2,086","31,314","29,228",,,,,,,,,,"11,084","8,252","9,892",,,,,,,,,,,,,,,
SPA,23Jul2015,Central,N,"2,293","2,149","30,685","28,536",,,,,,,,,,"12,423","7,271","8,841",,,,,,,,,,,,,,,
SPA,24Jul2015,Central,N,"2,093","2,108","30,143","28,035",,,,,,,,,,"10,871","7,957","9,207",,,,,,,,,,,,,,,
SPA,25Jul2015,Central,N,"1,878","1,941","29,847","27,906",,,,,,,,,,"10,823","7,423","9,660",,,,,,,,,,,,,,,
SPA,26Jul2015,Central,N,"1,823","1,867","29,753","27,886",,,,,,,,,,"9,751","9,796","8,340",,,,,,,,,,,,,,,
SPA,27Jul2015,Central,N,"2,349","2,260","29,661","27,401",,,,,,,,,,"9,024","9,766","8,612",,,,,,,,,,,,,,,
SPA,28Jul2015,Central,N,"2,421","2,460","30,721","28,261",,,,,,,,,,"10,510","9,936","7,815",,,,,,,,,,,,,,,
SPA,29Jul2015,Central,N,"2,345","2,500","30,302","27,802",,,,,,,,,,"9,560","9,825","8,417",,,,,,,,,,,,,,,
SPA,30Jul2015,Central,N,"2,285","2,254","31,905","29,651",,,,,,,,,,"10,480","10,309","8,861",,,,,,,,,,,,,,,
SPA,31Jul2015,Central,N,"2,229","2,163","31,997","29,834",,,,,,,,,,"12,171","8,846","8,817",,,,,,,,,,,,,,,
SPA,01Aug2015,Central,N,"1,817","1,965","29,449","27,484",,,,,,,,,,"9,565","9,786","8,133",,,,,,,,,,,,,,,
SPA,02Aug2015,Central,N,"1,764","1,909","29,334","27,425",,,,,,,,,,"10,644","9,272","7,510",,,,,,,,,,,,,,,
SPA,03Aug2015,Central,N,"2,272","2,228","31,228","29,000",,,,,,,,,,"9,948","9,792","9,259",,,,,,,,,,,,,,,
SPA,04Aug2015,Central,N,"2,318","2,283","31,785","29,502",,,,,,,,,,"9,675","9,523","10,303",,,,,,,,,,,,,,,
SPA,05Aug2015,Central,N,"2,189","2,090","31,663","29,573",,,,,,,,,,"9,252","10,358","9,966",,,,,,,,,,,,,,,
SPA,06Aug2015,Central,N,"2,207","2,175","31,193","29,018",,,,,,,,,,"8,618","10,588","9,811",,,,,,,,,,,,,,,
SPA,07Aug2015,Central,N,"2,073","2,086","30,198","28,112",,,,,,,,,,"8,439","9,559","10,114",,,,,,,,,,,,,,,
SPA,08Aug2015,Central,N,"1,865","1,871","28,279","26,408",,,,,,,,,,"7,814","10,014","8,580",,,,,,,,,,,,,,,
SPA,09Aug2015,Central,N,"1,856","1,925","29,132","27,207",,,,,,,,,,"7,832","10,076","9,299",,,,,,,,,,,,,,,
SPA,10Aug2015,Central,N,"2,217","2,022","28,466","26,444",,,,,,,,,,"7,426","9,540","9,480",,,,,,,,,,,,,,,
SPA,11Aug2015,Central,N,"2,244","2,071","26,644","24,573",,,,,,,,,,"7,125","8,884","8,564",,,,,,,,,,,,,,,
SPA,12Aug2015,Central,N,"2,056","2,003","27,405","25,402",,,,,,,,,,"7,633","8,274","9,496",,,,,,,,,,,,,,,
SPA,13Aug2015,Central,N,"2,005","2,018","24,929","22,911",,,,,,,,,,"6,677","8,310","7,922",,,,,,,,,,,,,,,
SPA,14Aug2015,Central,N,"1,941","1,911","24,483","22,572",,,,,,,,,,"7,870","6,919","7,783",,,,,,,,,,,,,,,
SPA,15Aug2015,Central,N,"1,671","1,752","22,435","20,683",,,,,,,,,,"6,482","7,550","6,651",,,,,,,,,,,,,,,
SPA,16Aug2015,Central,N,"1,631","1,766","23,037","21,271",,,,,,,,,,"5,627","8,292","7,353",,,,,,,,,,,,,,,
SPA,17Aug2015,Central,N,"2,058","2,095","25,717","23,622",,,,,,,,,,"6,049","9,124","8,448",,,,,,,,,,,,,,,
SPA,18Aug2015,Central,N,"2,125","2,248","25,190","22,942",,,,,,,,,,"4,796","9,936","8,209",,,,,,,,,,,,,,,
SPA,19Aug2015,Central,N,"1,929","1,895","24,181","22,286",,,,,,,,,,"4,267","10,787","7,234",,,,,,,,,,,,,,,
SPA,20Aug2015,Central,N,"1,924","1,834","24,249","22,415",,,,,,,,,,"5,302","9,446","7,666",,,,,,,,,,,,,,,
SPA,21Aug2015,Central,N,"1,798","1,737","23,286","21,549",,,,,,,,,,"5,081","9,388","7,080",,,,,,,,,,,,,,,
SPA,22Aug2015,Central,N,"1,546","1,839","18,225","16,386",,,,,,,,,,"2,059","8,535","5,792",,,,,,,,,,,,,,,
SPA,23Aug2015,Central,N,"1,426","1,925","18,595","16,670",,,,,,,,,,823,"10,215","5,632",,,,,,,,,,,,,,,
SPA,24Aug2015,Central,N,"1,926","1,955","19,902","17,947",,,,,,,,,,"1,311","9,843","6,794",,,,,,,,,,,,,,,
SPA,25Aug2015,Central,N,"2,146","1,960","19,167","17,207",,,,,,,,,,"1,437","8,626","7,143",,,,,,,,,,,,,,,
SPA,26Aug2015,Central,N,"1,956","2,038","20,972","18,934",,,,,,,,,,"2,424","7,383","9,127",,,,,,,,,,,,,,,
SPA,27Aug2015,Central,N,"1,884","1,972","19,972","18,000",,,,,,,,,,"2,387","8,015","7,596",,,,,,,,,,,,,,,
SPA,28Aug2015,Central,N,"1,912","2,089","20,684","18,595",,,,,,,,,,"2,117","9,176","7,302",,,,,,,,,,,,,,,
SPA,29Aug2015,Central,N,"1,609","1,911","17,902","15,991",,,,,,,,,,-64,"8,419","7,636",,,,,,,,,,,,,,,
SPA,30Aug2015,Central,N,"1,632","1,753","21,157","19,404",,,,,,,,,,"3,267","9,522","6,614",,,,,,,,,,,,,,,
SPA,31Aug2015,Central,N,"2,140","1,955","25,208","23,253",,,,,,,,,,"7,087","8,861","7,306",,,,,,,,,,,,,,,
SPA,01Sep2015,Central,N,"2,168","2,007","24,730","22,723",,,,,,,,,,"8,142","7,136","7,443",,,,,,,,,,,,,,,
