BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,CISO,DEAA,GRID,HGMA,PNM,TEPC,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SRP,01Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRP,02Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRP,03Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRP,04Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRP,05Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRP,06Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRP,07Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRP,08Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRP,09Jul2015,Arizona,N,,,,,,,,,,,,,,"-11,605","48,027","-8,938",,"-12,828",148,"8,265","-9,302",,,,,,,,,,,,,,,
SRP,10Jul2015,Arizona,N,,"97,578","105,638","8,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRP,11Jul2015,Arizona,N,"93,958","99,972","110,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRP,12Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRP,13Jul2015,Arizona,N,,,,,,,,,,,,,,"-5,077","46,952","-9,860",,"-12,803",148,"9,025","-10,088",,,,,,,,,,,,,,,
SRP,14Jul2015,Arizona,N,,"114,012","130,117","16,105",,,,,,,,,,"-5,796","51,687","-10,754",,"-18,264",153,"9,990","-11,203",,,,,,,,,,,,,,,
