BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AECI,EPE,ERCO,MISO,PNM,PSCO,SPA,SPC,WACM,WAUE,WAUW,Subregion CSWS,Subregion SPRM,Subregion EDE,Subregion GRDA,Subregion INDN,Subregion MPS,Subregion KACY,Subregion KCPL,Subregion LES,Subregion NPPD,Subregion OKGE,Subregion OPPD,Subregion SPS,Subregion SECI,Subregion WR,Subregion WAUE,Subregion WFEC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SWPP,01Jul2015,Central,N,"799,271","797,230","768,780","-28,452",,,,,,,,,,425,241,-562,"-5,567",353,176,"-10,779",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,02Jul2015,Central,N,"769,951","741,933","719,938","-21,986",,,,,,,,,,-172,0,2,"-3,358",292,"1,015","-11,350",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,03Jul2015,Central,N,"679,018","684,222","661,016","-23,207",,,,,,,,,,139,0,-689,"-6,719",352,846,"-11,733",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,04Jul2015,Central,N,"679,620","662,481","638,739","-23,744",,,,,,,,,,891,0,660,"-7,738",299,-10,"-12,065",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,05Jul2015,Central,N,"713,988","720,749","698,008","-22,743",,,,,,,,,,"5,856",0,-77,"-9,111",52,-24,"-10,765",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,06Jul2015,Central,N,"766,373","766,009","744,998","-21,012",,,,,,,,,,"4,717",0,"-1,027","-2,957",368,-24,"-11,080",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,07Jul2015,Central,N,"661,236","659,419","643,375","-16,037",,,,,,,,,,"4,144",0,"1,170","2,023",329,-18,"-11,149",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,08Jul2015,Central,N,"628,816","645,281","622,271","-23,010",,,,,,,,,,-652,0,"1,004","2,027",257,-5,"-12,622",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,09Jul2015,Central,N,"679,629","679,612","665,379","-14,237",,,,,,,,,,"2,098",0,-417,"6,993",151,-1,"-13,484",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,10Jul2015,Central,N,"725,042","712,477","695,640","-16,834",,,,,,,,,,"3,174",0,-674,"3,782",90,100,"-12,731",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,11Jul2015,Central,N,"736,116","746,859","726,911","-19,950",,,,,,,,,,"4,235",0,-619,"5,544",92,0,"-11,520",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,12Jul2015,Central,N,"765,884","785,859","759,205","-26,658",,,,,,,,,,"3,763",0,"-2,531",773,-407,0,"-10,024",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,13Jul2015,Central,N,"867,195","869,114","839,545","-29,574",,,,,,,,,,"-1,598",0,298,738,-93,1,"-10,532",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,14Jul2015,Central,N,"961,419","874,191","843,709","-30,482",,,,,,,,,,"-1,233",0,"-1,534","-1,049",-217,5,"-10,322",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,15Jul2015,Central,N,"839,888","847,673","826,710","-20,957",,,,,,,,,,"-2,140",0,-122,"6,393",-60,5,"-9,025",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,16Jul2015,Central,N,"850,651","854,652","828,272","-26,379",,,,,,,,,,"-3,496",0,"1,389",936,-668,-199,"-8,171",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,17Jul2015,Central,N,"852,384","865,796","839,855","-25,987",,,,,,,,,,"-6,244",0,"-1,947","7,796",-200,-593,"-8,544",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,18Jul2015,Central,N,"815,905","827,267","813,254","-14,015",,,,,,,,,,"1,335",0,123,"12,185",97,0,"-7,077",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,19Jul2015,Central,N,"794,762","803,953","785,844","-18,111",,,,,,,,,,"-1,483",0,"2,674","6,999",-230,8,"-8,346",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,20Jul2015,Central,N,"852,898","840,433","818,552","-21,886",,,,,,,,,,"-2,045",0,"2,849","3,276",121,-396,"-9,248",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,21Jul2015,Central,N,"770,853","763,989","749,723","-14,271",,,,,,,,,,"-6,768",0,"6,728","6,311",93,0,"-8,908",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,22Jul2015,Central,N,"784,271","782,732","761,909","-20,835",,,,,,,,,,"-4,800",0,"6,044",-669,87,4,"-9,880",,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,23Jul2015,Central,N,"829,118","842,541","820,010","-22,595",,,,,,,,,,"-1,574",0,"5,889","-3,484",-30,0,"-8,830",,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,24Jul2015,Central,N,"876,492","884,326","863,299","-21,075",,,,,,,,,,694,0,"6,432","-9,826",53,0,"-9,181",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,25Jul2015,Central,N,"848,397","831,376","817,095","-14,277",,,,,,,,,,"3,198",0,"4,652","-5,625",88,0,"-9,612",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,26Jul2015,Central,N,"831,117","826,594","807,973","-18,622",,,,,,,,,,"2,929",42,"5,674","-8,687",-389,-293,"-8,321",,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,27Jul2015,Central,N,"900,819","883,773","864,439","-19,329",,,,,,,,,,"2,134","1,291","5,491","-11,021",-5,3,"-8,606",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,28Jul2015,Central,N,"901,066","898,531","885,864","-12,690",,,,,,,,,,"3,892","1,229","3,520",578,14,-6,"-7,813",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,29Jul2015,Central,N,"830,960","849,699","832,607","-17,044",,,,,,,,,,"2,734","1,176","5,605",217,90,0,"-8,407",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,30Jul2015,Central,N,"802,347","824,258","802,079","-22,178",,,,,,,,,,"-2,025","1,176","8,197","-5,608",443,0,"-8,841",,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,31Jul2015,Central,N,"791,637","808,123","785,543","-22,576",,,,,,,,,,"-2,004","1,176","4,895",-798,37,1,"-8,788",,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,01Aug2015,Central,N,"754,590","766,750","746,193","-20,558",,,,,,,,,,-931,5,"3,719",839,44,-249,"-8,119",,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,02Aug2015,Central,N,"772,137","765,067","747,722","-17,348",,,,,,,,,,769,0,"4,165","2,494",288,-248,"-7,490",,"1,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWPP,03Aug2015,Central,N,"826,292","809,883","785,858","-24,028",,,,,,,,,,"-4,600",0,"5,270","-1,191",334,1,"-9,235",,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
