BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPC,SOCO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
TAL,01Jul2015,Eastern,N,"8,633","8,342","8,857",253,,,,,,,,,,"3,709","-3,456",,,,,,,,,,,,,,,
TAL,02Jul2015,Eastern,N,"8,410","7,885","8,429",131,,,,,,,,,,"3,563","-3,430",,,,,,,,,,,,,,,
TAL,03Jul2015,Eastern,N,"8,084","8,436","8,810",227,,,,,,,,,,"3,864","-3,637",,,,,,,,,,,,,,,
TAL,04Jul2015,Eastern,N,"7,948","7,569","7,631",-2,,,,,,,,,,"3,548","-3,552",,,,,,,,,,,,,,,
TAL,05Jul2015,Eastern,N,"7,451","6,819","7,039",156,,,,,,,,,,"3,260","-3,103",,,,,,,,,,,,,,,
TAL,06Jul2015,Eastern,N,"7,860","8,069","8,462",227,,,,,,,,,,"3,606","-3,378",,,,,,,,,,,,,,,
TAL,07Jul2015,Eastern,N,"8,546","9,046","9,444",107,,,,,,,,,,"3,662","-3,558",,,,,,,,,,,,,,,
TAL,08Jul2015,Eastern,N,"8,771","8,934","9,348",100,,,,,,,,,,"3,517","-3,417",,,,,,,,,,,,,,,
TAL,09Jul2015,Eastern,N,"8,583","8,702","9,052",107,,,,,,,,,,"3,712","-3,604",,,,,,,,,,,,,,,
TAL,10Jul2015,Eastern,N,"8,903","9,223","9,609",140,,,,,,,,,,"3,769","-3,628",,,,,,,,,,,,,,,
TAL,11Jul2015,Eastern,N,"8,889","9,452","9,690",132,,,,,,,,,,"3,863","-3,730",,,,,,,,,,,,,,,
TAL,12Jul2015,Eastern,N,"9,487","9,715","9,986",192,,,,,,,,,,"3,844","-3,650",,,,,,,,,,,,,,,
TAL,13Jul2015,Eastern,N,"9,891","9,858","10,210",188,,,,,,,,,,"3,710","-3,523",,,,,,,,,,,,,,,
TAL,14Jul2015,Eastern,N,"9,252","9,181","9,276",-173,,,,,,,,,,"3,266","-3,584",,,,,,,,,,,,,,,
TAL,15Jul2015,Eastern,N,"9,378","9,582","9,668",-275,,,,,,,,,,"3,418","-3,693",,,,,,,,,,,,,,,
TAL,16Jul2015,Eastern,N,"9,111","8,794","8,268",-838,,,,,,,,,,"2,936","-3,778",,,,,,,,,,,,,,,
TAL,17Jul2015,Eastern,N,"9,131","9,294","8,631","-1,033",,,,,,,,,,"2,835","-3,892",,,,,,,,,,,,,,,
TAL,18Jul2015,Eastern,N,"8,886","9,256","9,367",31,,,,,,,,,,"3,632","-3,603",,,,,,,,,,,,,,,
TAL,19Jul2015,Eastern,N,"9,224","9,259","9,294",-36,,,,,,,,,,"3,506","-3,543",,,,,,,,,,,,,,,
TAL,20Jul2015,Eastern,N,"9,132","9,776","9,580",-326,,,,,,,,,,"3,330","-3,656",,,,,,,,,,,,,,,
TAL,21Jul2015,Eastern,N,"9,772","10,307","10,138",-413,,,,,,,,,,"3,559","-3,969",,,,,,,,,,,,,,,
TAL,22Jul2015,Eastern,N,"9,822","10,131","10,394",-136,,,,,,,,,,"3,793","-3,928",,,,,,,,,,,,,,,
TAL,23Jul2015,Eastern,N,"9,446","9,705","9,447",-314,,,,,,,,,,"3,775","-4,093",,,,,,,,,,,,,,,
TAL,24Jul2015,Eastern,N,"8,942","8,947","9,043",-328,,,,,,,,,,"3,245","-3,570",,,,,,,,,,,,,,,
TAL,25Jul2015,Eastern,N,"8,419","8,424","8,618",90,,,,,,,,,,"3,313","-3,221",,,,,,,,,,,,,,,
TAL,26Jul2015,Eastern,N,"8,677","8,575","8,635",-12,,,,,,,,,,"3,211","-3,222",,,,,,,,,,,,,,,
TAL,27Jul2015,Eastern,N,"9,407","9,445","9,627",179,,,,,,,,,,"3,427","-3,248",,,,,,,,,,,,,,,
TAL,28Jul2015,Eastern,N,"9,815","10,214","9,532",-683,,,,,,,,,,"2,932","-3,616",,,,,,,,,,,,,,,
TAL,29Jul2015,Eastern,N,"9,946","10,378","9,416",-962,,,,,,,,,,"3,085","-4,048",,,,,,,,,,,,,,,
TAL,30Jul2015,Eastern,N,"9,267","9,417","9,600",183,,,,,,,,,,"3,424","-3,244",,,,,,,,,,,,,,,
TAL,31Jul2015,Eastern,N,"8,920","9,596","9,746",145,,,,,,,,,,"3,451","-3,304",,,,,,,,,,,,,,,
TAL,01Aug2015,Eastern,N,"8,411","8,620","8,820",198,,,,,,,,,,"3,421","-3,225",,,,,,,,,,,,,,,
TAL,02Aug2015,Eastern,N,"8,551","8,513","8,698",182,,,,,,,,,,"3,333","-3,152",,,,,,,,,,,,,,,
TAL,03Aug2015,Eastern,N,"9,367","9,799","10,005",208,,,,,,,,,,"3,452","-3,244",,,,,,,,,,,,,,,
TAL,04Aug2015,Eastern,N,"9,471","9,423","9,634",208,,,,,,,,,,"3,407","-3,197",,,,,,,,,,,,,,,
TAL,05Aug2015,Eastern,N,"9,082","9,043","9,230",186,,,,,,,,,,"3,488","-3,302",,,,,,,,,,,,,,,
TAL,06Aug2015,Eastern,N,"8,897","8,727","8,862",132,,,,,,,,,,"3,538","-3,402",,,,,,,,,,,,,,,
TAL,07Aug2015,Eastern,N,"8,922","9,139","9,320",182,,,,,,,,,,"3,749","-3,571",,,,,,,,,,,,,,,
TAL,08Aug2015,Eastern,N,"8,563","8,432","8,662",235,,,,,,,,,,"3,548","-3,310",,,,,,,,,,,,,,,
TAL,09Aug2015,Eastern,N,"8,746","8,880","9,131",252,,,,,,,,,,"3,498","-3,245",,,,,,,,,,,,,,,
TAL,10Aug2015,Eastern,N,"9,487","9,903","10,113",209,,,,,,,,,,"3,706","-3,496",,,,,,,,,,,,,,,
TAL,11Aug2015,Eastern,N,"9,361","9,822","9,894",72,,,,,,,,,,"3,550","-3,480",,,,,,,,,,,,,,,
TAL,12Aug2015,Eastern,N,"9,382","9,849","10,049",197,,,,,,,,,,"3,694","-3,496",,,,,,,,,,,,,,,
TAL,13Aug2015,Eastern,N,"9,509","9,930","10,112",175,,,,,,,,,,"3,697","-3,520",,,,,,,,,,,,,,,
TAL,14Aug2015,Eastern,N,"8,845","9,215","9,359",140,,,,,,,,,,"3,349","-3,209",,,,,,,,,,,,,,,
TAL,15Aug2015,Eastern,N,"8,153","8,478","8,575",95,,,,,,,,,,"3,229","-3,137",,,,,,,,,,,,,,,
TAL,16Aug2015,Eastern,N,"8,051","8,392","8,412",18,,,,,,,,,,"3,025","-3,004",,,,,,,,,,,,,,,
TAL,17Aug2015,Eastern,N,"8,835","8,534","8,550",15,,,,,,,,,,"3,157","-3,143",,,,,,,,,,,,,,,
TAL,18Aug2015,Eastern,N,"8,767","9,013","9,270",253,,,,,,,,,,"3,731","-3,478",,,,,,,,,,,,,,,
TAL,19Aug2015,Eastern,N,"9,032","9,114","9,336",220,,,,,,,,,,"3,948","-3,728",,,,,,,,,,,,,,,
TAL,20Aug2015,Eastern,N,"9,098","9,292","9,477",187,,,,,,,,,,"3,855","-3,669",,,,,,,,,,,,,,,
TAL,21Aug2015,Eastern,N,"9,313","9,822","10,191",371,,,,,,,,,,"4,039","-3,668",,,,,,,,,,,,,,,
TAL,22Aug2015,Eastern,N,"9,159","9,542","9,850",305,,,,,,,,,,"3,997","-3,691",,,,,,,,,,,,,,,
TAL,23Aug2015,Eastern,N,"9,196","8,770","8,931",160,,,,,,,,,,"3,749","-3,587",,,,,,,,,,,,,,,
TAL,24Aug2015,Eastern,N,"9,437","9,607","9,313",-296,,,,,,,,,,"3,590","-3,889",,,,,,,,,,,,,,,
TAL,25Aug2015,Eastern,N,"9,585","10,253","10,080",-177,,,,,,,,,,"3,952","-4,130",,,,,,,,,,,,,,,
TAL,26Aug2015,Eastern,N,"8,997","9,140","9,253",115,,,,,,,,,,"3,910","-3,795",,,,,,,,,,,,,,,
TAL,27Aug2015,Eastern,N,"8,634","8,771","7,695","-1,087",,,,,,,,,,"2,851","-3,936",,,,,,,,,,,,,,,
TAL,28Aug2015,Eastern,N,"8,730","8,589","7,640",-975,,,,,,,,,,"2,716","-3,691",,,,,,,,,,,,,,,
TAL,29Aug2015,Eastern,N,"7,397","7,561","7,120",-446,,,,,,,,,,"2,905","-3,348",,,,,,,,,,,,,,,
TAL,30Aug2015,Eastern,N,"7,917","8,363","7,878",-485,,,,,,,,,,"3,027","-3,513",,,,,,,,,,,,,,,
TAL,31Aug2015,Eastern,N,"8,985","9,119","7,912","-1,209",,,,,,,,,,"2,742","-3,952",,,,,,,,,,,,,,,
TAL,01Sep2015,Eastern,N,"8,765","8,746","7,576","-1,173",,,,,,,,,,"2,765","-3,935",,,,,,,,,,,,,,,
TAL,02Sep2015,Eastern,N,"8,853","9,232","8,157","-1,082",,,,,,,,,,"3,003","-4,084",,,,,,,,,,,,,,,
TAL,03Sep2015,Eastern,N,"9,305","9,035","7,907","-1,129",,,,,,,,,,"2,876","-4,007",,,,,,,,,,,,,,,
TAL,04Sep2015,Eastern,N,"9,000","9,046","8,045","-1,005",,,,,,,,,,"3,047","-4,051",,,,,,,,,,,,,,,
TAL,05Sep2015,Eastern,N,"8,415","8,623","6,706","-1,949",,,,,,,,,,"2,177","-4,129",,,,,,,,,,,,,,,
TAL,06Sep2015,Eastern,N,"8,128","8,080","7,943",-137,,,,,,,,,,"2,914","-3,057",,,,,,,,,,,,,,,
TAL,07Sep2015,Eastern,N,"7,557","7,833","7,761",-76,,,,,,,,,,"3,129","-3,208",,,,,,,,,,,,,,,
TAL,08Sep2015,Eastern,N,"8,255","8,359","8,345",-17,,,,,,,,,,"3,364","-3,380",,,,,,,,,,,,,,,
TAL,09Sep2015,Eastern,N,"8,587","8,910","8,984",70,,,,,,,,,,"3,773","-3,707",,,,,,,,,,,,,,,
TAL,10Sep2015,Eastern,N,"8,551","9,122","9,226",102,,,,,,,,,,"4,005","-3,899",,,,,,,,,,,,,,,
TAL,11Sep2015,Eastern,N,"8,386","8,895","9,029",134,,,,,,,,,,"4,551","-4,414",,,,,,,,,,,,,,,
TAL,12Sep2015,Eastern,N,"7,266","7,301","7,629",323,,,,,,,,,,"3,468","-3,145",,,,,,,,,,,,,,,
TAL,13Sep2015,Eastern,N,"6,787","6,844","7,071",226,,,,,,,,,,"3,128","-2,901",,,,,,,,,,,,,,,
TAL,14Sep2015,Eastern,N,"7,080","7,242","7,551",306,,,,,,,,,,"3,287","-2,981",,,,,,,,,,,,,,,
TAL,15Sep2015,Eastern,N,"7,589","7,967","8,212",246,,,,,,,,,,"3,635","-3,392",,,,,,,,,,,,,,,
TAL,16Sep2015,Eastern,N,"7,733","8,219","8,392",170,,,,,,,,,,"3,226","-3,055",,,,,,,,,,,,,,,
TAL,17Sep2015,Eastern,N,"7,897","8,492","8,747",254,,,,,,,,,,"3,284","-3,033",,,,,,,,,,,,,,,
TAL,18Sep2015,Eastern,N,"8,184","8,327","8,610",284,,,,,,,,,,"3,207","-2,923",,,,,,,,,,,,,,,
TAL,19Sep2015,Eastern,N,"8,089","8,048","8,425",374,,,,,,,,,,"3,591","-3,215",,,,,,,,,,,,,,,
TAL,20Sep2015,Eastern,N,"8,070","8,057","8,337",280,,,,,,,,,,"3,545","-3,266",,,,,,,,,,,,,,,
TAL,21Sep2015,Eastern,N,"8,581","8,477","8,482",4,,,,,,,,,,"3,343","-3,340",,,,,,,,,,,,,,,
TAL,22Sep2015,Eastern,N,"8,229","8,447","8,648",197,,,,,,,,,,"2,637","-2,437",,,,,,,,,,,,,,,
TAL,23Sep2015,Eastern,N,"8,259","8,518","8,537",16,,,,,,,,,,"3,214","-3,198",,,,,,,,,,,,,,,
TAL,24Sep2015,Eastern,N,"7,771","7,908","8,102",192,,,,,,,,,,"3,297","-3,102",,,,,,,,,,,,,,,
TAL,25Sep2015,Eastern,N,"7,142","7,101","7,406",303,,,,,,,,,,"3,126","-2,821",,,,,,,,,,,,,,,
TAL,26Sep2015,Eastern,N,"6,894","7,078","7,402",325,,,,,,,,,,"3,426","-3,103",,,,,,,,,,,,,,,
TAL,27Sep2015,Eastern,N,"7,125","7,041","7,312",265,,,,,,,,,,"3,355","-3,088",,,,,,,,,,,,,,,
TAL,28Sep2015,Eastern,N,"7,513","7,824","7,988",160,,,,,,,,,,"3,094","-2,936",,,,,,,,,,,,,,,
TAL,29Sep2015,Eastern,N,"8,154","8,232","8,357",121,,,,,,,,,,"3,249","-3,124",,,,,,,,,,,,,,,
TAL,30Sep2015,Eastern,N,"8,607","8,517","8,664",145,,,,,,,,,,"3,398","-3,249",,,,,,,,,,,,,,,
TAL,01Oct2015,Eastern,N,"8,080","8,343","8,543",199,,,,,,,,,,"3,557","-3,357",,,,,,,,,,,,,,,
TAL,02Oct2015,Eastern,N,"6,954","7,219","7,214",-5,,,,,,,,,,"2,773","-2,782",,,,,,,,,,,,,,,
TAL,03Oct2015,Eastern,N,"5,983","5,991","6,304",308,,,,,,,,,,"2,799","-2,492",,,,,,,,,,,,,,,
TAL,04Oct2015,Eastern,N,"5,799","5,753","6,356",602,,,,,,,,,,"2,619","-2,018",,,,,,,,,,,,,,,
TAL,05Oct2015,Eastern,N,"6,365","6,534","6,872",339,,,,,,,,,,972,-633,,,,,,,,,,,,,,,
TAL,06Oct2015,Eastern,N,"6,621","6,705","7,051",341,,,,,,,,,,341,0,,,,,,,,,,,,,,,
TAL,07Oct2015,Eastern,N,"6,869","7,200","7,727",527,,,,,,,,,,527,0,,,,,,,,,,,,,,,
TAL,08Oct2015,Eastern,N,"7,043","7,305","7,610",303,,,,,,,,,,"1,529","-1,228",,,,,,,,,,,,,,,
TAL,09Oct2015,Eastern,N,"7,461","7,984","8,070",83,,,,,,,,,,"2,120","-2,037",,,,,,,,,,,,,,,
TAL,10Oct2015,Eastern,N,"7,321","7,546","7,705",158,,,,,,,,,,"2,515","-2,358",,,,,,,,,,,,,,,
TAL,11Oct2015,Eastern,N,"6,495","6,351","6,672",324,,,,,,,,,,"2,211","-1,887",,,,,,,,,,,,,,,
TAL,12Oct2015,Eastern,N,"6,618","6,787","7,067",276,,,,,,,,,,"1,986","-1,711",,,,,,,,,,,,,,,
TAL,13Oct2015,Eastern,N,"7,036","7,561","7,747",182,,,,,,,,,,"2,078","-1,893",,,,,,,,,,,,,,,
TAL,14Oct2015,Eastern,N,"7,154","7,615","7,781",164,,,,,,,,,,"2,108","-1,946",,,,,,,,,,,,,,,
TAL,15Oct2015,Eastern,N,"6,833","6,992","7,343",351,,,,,,,,,,"2,105","-1,749",,,,,,,,,,,,,,,
TAL,16Oct2015,Eastern,N,"6,900","7,255","7,595",336,,,,,,,,,,"2,034","-1,701",,,,,,,,,,,,,,,
TAL,17Oct2015,Eastern,N,"6,193","6,198","6,123",-110,,,,,,,,,,"1,568","-1,682",,,,,,,,,,,,,,,
TAL,18Oct2015,Eastern,N,"5,742","5,783","5,494",-319,,,,,,,,,,"1,311","-1,629",,,,,,,,,,,,,,,
TAL,19Oct2015,Eastern,N,"6,103","6,192","6,101",-99,,,,,,,,,,"1,556","-1,657",,,,,,,,,,,,,,,
TAL,20Oct2015,Eastern,N,"6,268","6,517","5,866",-661,,,,,,,,,,"1,274","-1,934",,,,,,,,,,,,,,,
TAL,21Oct2015,Eastern,N,"6,730","6,884","6,180",-715,,,,,,,,,,"1,376","-2,088",,,,,,,,,,,,,,,
TAL,22Oct2015,Eastern,N,"7,179","7,344","6,469",-886,,,,,,,,,,"1,799","-2,685",,,,,,,,,,,,,,,
TAL,23Oct2015,Eastern,N,"7,149","7,322","6,374",-968,,,,,,,,,,"1,823","-2,788",,,,,,,,,,,,,,,
TAL,24Oct2015,Eastern,N,"6,708","6,774","5,909",-874,,,,,,,,,,"1,777","-2,650",,,,,,,,,,,,,,,
TAL,25Oct2015,Eastern,N,"6,781","6,882","5,848","-1,045",,,,,,,,,,"1,882","-2,923",,,,,,,,,,,,,,,
TAL,26Oct2015,Eastern,N,"7,252","7,121","6,719",-419,,,,,,,,,,"2,727","-3,151",,,,,,,,,,,,,,,
