BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FMPP,FPC,FPL,SEC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
TEC,01Jul2015,Eastern,N,"71,095","74,185","82,124","7,937",,,,,,,,,,"5,628","-7,612","8,541","1,346",,,,,,,,,,,,,,,
TEC,02Jul2015,Eastern,N,"71,670","68,014","76,261","8,246",,,,,,,,,,"5,106","-7,581","8,302","2,440",,,,,,,,,,,,,,,
TEC,03Jul2015,Eastern,N,"67,940","65,679","74,097","8,418",,,,,,,,,,"5,110","-6,399","8,585","1,119",,,,,,,,,,,,,,,
TEC,04Jul2015,Eastern,N,"66,650","64,782","72,059","7,276",,,,,,,,,,"4,800","-7,086","7,991","1,566",,,,,,,,,,,,,,,
TEC,05Jul2015,Eastern,N,"66,220","63,344","67,466","4,122",,,,,,,,,,"3,371","-10,920","9,014","2,640",,,,,,,,,,,,,,,
TEC,06Jul2015,Eastern,N,"70,542","64,867","71,490","6,617",,,,,,,,,,"5,093","-7,507","6,821","2,215",,,,,,,,,,,,,,,
TEC,07Jul2015,Eastern,N,"69,150","63,756","70,121","6,363",,,,,,,,,,"5,244","-5,251","3,354","2,994",,,,,,,,,,,,,,,
TEC,08Jul2015,Eastern,N,"68,680","66,699","73,587","6,885",,,,,,,,,,"5,953","-2,611","2,302","1,206",,,,,,,,,,,,,,,
TEC,09Jul2015,Eastern,N,"68,390","71,487","76,621","5,131",,,,,,,,,,"6,303","-3,889","1,312","1,382",,,,,,,,,,,,,,,
TEC,10Jul2015,Eastern,N,"70,520","72,428","77,072","4,639",,,,,,,,,,"6,211",-615,-761,-251,,,,,,,,,,,,,,,
TEC,11Jul2015,Eastern,N,"68,750","67,791","73,562","5,768",,,,,,,,,,"5,050","-5,896","5,093","1,495",,,,,,,,,,,,,,,
TEC,12Jul2015,Eastern,N,"68,190","62,679","70,357","7,674",,,,,,,,,,"4,975","-6,494","6,930","2,239",,,,,,,,,,,,,,,
TEC,13Jul2015,Eastern,N,"69,770","70,231","78,233","8,003",,,,,,,,,,"4,714","-6,917","8,433","1,743",,,,,,,,,,,,,,,
TEC,14Jul2015,Eastern,N,"71,200","67,273","73,771","6,499",,,,,,,,,,"4,404","-5,165","4,878","2,348",,,,,,,,,,,,,,,
TEC,15Jul2015,Eastern,N,"72,260","66,582","73,271","6,691",,,,,,,,,,"3,570","-9,711","10,069","2,769",,,,,,,,,,,,,,,
TEC,16Jul2015,Eastern,N,"69,080","63,101","67,038","3,935",,,,,,,,,,"3,285","-10,392","9,446","1,584",,,,,,,,,,,,,,,
TEC,17Jul2015,Eastern,N,"66,360","62,694","67,693","5,000",,,,,,,,,,"3,817","-9,205","8,863","1,508",,,,,,,,,,,,,,,
