BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,EPE,PNM,SRP,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
TEPC,01Jul2015,Arizona,N,"44,081","45,086","37,974","-7,326",,,,,,,,,,"-12,370","8,459","5,089","-1,983","-6,522",,,,,,,,,,,,,,,
TEPC,02Jul2015,Arizona,N,"44,081","47,148","36,000","-11,372",,,,,,,,,,"-12,879","9,076","1,356","-2,082","-6,839",,,,,,,,,,,,,,,
TEPC,03Jul2015,Arizona,N,"44,081","47,587","33,866","-13,965",,,,,,,,,,"-13,484","8,932",-544,"-1,803","-7,064",,,,,,,,,,,,,,,
TEPC,04Jul2015,Arizona,N,"44,081","44,890","33,668","-11,431",,,,,,,,,,"-12,226","9,440","-1,946",-405,"-6,293",,,,,,,,,,,,,,,
TEPC,05Jul2015,Arizona,N,"44,081","42,592","33,576","-9,251",,,,,,,,,,"-11,312","9,947","-2,020",636,"-6,502",,,,,,,,,,,,,,,
TEPC,06Jul2015,Arizona,N,"44,081","45,808","32,496","-13,548",,,,,,,,,,"-12,879","9,744","-1,812","-2,180","-6,419",,,,,,,,,,,,,,,
TEPC,07Jul2015,Arizona,N,"44,081","48,080","35,741","-12,638",,,,,,,,,,"-12,949","7,922",-912,-591,"-6,107",,,,,,,,,,,,,,,
TEPC,08Jul2015,Arizona,N,"44,081","48,269","36,131","-12,415",,,,,,,,,,"-13,875","8,070",-291,-610,"-5,709",,,,,,,,,,,,,,,
TEPC,09Jul2015,Arizona,N,"44,081","45,350","33,820","-11,785",,,,,,,,,,"-13,245","7,824",-277,"-1,070","-5,009",,,,,,,,,,,,,,,
TEPC,10Jul2015,Arizona,N,"44,081","43,623","35,763","-8,098",,,,,,,,,,"-13,522","8,694",-112,"1,020","-4,174",,,,,,,,,,,,,,,
TEPC,11Jul2015,Arizona,N,"44,081","45,479","29,140","-16,609",,,,,,,,,,"-14,385","5,372",-519,"-2,690","-4,388",,,,,,,,,,,,,,,
TEPC,12Jul2015,Arizona,N,"44,081","44,569","29,349","-15,456",,,,,,,,,,"-13,998","6,227",-526,"-2,709","-4,446",,,,,,,,,,,,,,,
TEPC,13Jul2015,Arizona,N,"44,081","47,201","36,671","-10,753",,,,,,,,,,"-13,230","6,335","2,347",-293,"-5,920",,,,,,,,,,,,,,,
TEPC,14Jul2015,Arizona,N,"44,081","47,416","34,983","-12,670",,,,,,,,,,"-13,674","8,479",500,"-1,691","-6,286",,,,,,,,,,,,,,,
TEPC,15Jul2015,Arizona,N,"44,081","45,376","34,214","-11,366",,,,,,,,,,"-12,909","9,495",9,"-1,857","-6,101",,,,,,,,,,,,,,,
TEPC,16Jul2015,Arizona,N,"44,081","48,432","34,995","-13,691",,,,,,,,,,"-13,535","7,257","-1,342",277,"-6,347",,,,,,,,,,,,,,,
TEPC,17Jul2015,Arizona,N,"44,081","46,441","36,601","-10,056",,,,,,,,,,"-12,514","8,722",-450,548,"-6,361",,,,,,,,,,,,,,,
TEPC,18Jul2015,Arizona,N,"44,081","42,647","35,200","-7,668",,,,,,,,,,"-12,355","10,088",-623,552,"-5,331",,,,,,,,,,,,,,,
TEPC,19Jul2015,Arizona,N,"44,081","43,142","32,871","-10,502",,,,,,,,,,"-13,343","7,963",-950,779,"-4,950",,,,,,,,,,,,,,,
TEPC,20Jul2015,Arizona,N,"44,081","47,165","35,894","-11,540",,,,,,,,,,"-14,777","9,580",-611,-299,"-5,431",,,,,,,,,,,,,,,
TEPC,21Jul2015,Arizona,N,"44,081","48,443","34,778","-13,894",,,,,,,,,,"-14,912","9,109","-2,975",869,"-5,986",,,,,,,,,,,,,,,
TEPC,22Jul2015,Arizona,N,"44,081","47,349","33,534","-14,053",,,,,,,,,,"-14,505","9,222","-3,622",876,"-6,018",,,,,,,,,,,,,,,
TEPC,23Jul2015,Arizona,N,"44,081","44,414","33,536","-11,114",,,,,,,,,,"-13,331","9,490","-3,559","1,863","-5,574",,,,,,,,,,,,,,,
TEPC,24Jul2015,Arizona,N,"44,081","47,278","32,176","-15,312",,,,,,,,,,"-14,598","9,246","-3,183",-830,"-5,940",,,,,,,,,,,,,,,
TEPC,25Jul2015,Arizona,N,"44,081","47,214","33,277","-14,124",,,,,,,,,,"-14,714","12,273","-3,734","-2,607","-5,342",,,,,,,,,,,,,,,
TEPC,26Jul2015,Arizona,N,"44,081","45,522","35,073","-10,665",,,,,,,,,,"-14,584","12,396","-2,097","-1,551","-4,828",,,,,,,,,,,,,,,
TEPC,27Jul2015,Arizona,N,"44,081","48,863","36,540","-12,509",,,,,,,,,,"-14,967","9,422","-1,768",-327,"-4,875",,,,,,,,,,,,,,,
TEPC,28Jul2015,Arizona,N,"44,081","48,690","36,824","-12,061",,,,,,,,,,"-14,047","9,770","-2,419",-100,"-5,268",,,,,,,,,,,,,,,
TEPC,29Jul2015,Arizona,N,"44,081","44,087","37,131","-7,165",,,,,,,,,,"-11,482","9,143","-1,531","2,003","-5,296",,,,,,,,,,,,,,,
TEPC,30Jul2015,Arizona,N,"44,081","47,298","38,596","-8,901",,,,,,,,,,"-12,422","7,436",-642,"2,266","-5,538",,,,,,,,,,,,,,,
TEPC,31Jul2015,Arizona,N,"44,081","47,697","37,712","-10,179",,,,,,,,,,"-11,330","7,182",-927,601,"-5,709",,,,,,,,,,,,,,,
TEPC,01Aug2015,Arizona,N,"44,081","44,468","36,772","-7,908",,,,,,,,,,"-11,743","6,527",766,"1,135","-4,595",,,,,,,,,,,,,,,
TEPC,02Aug2015,Arizona,N,"44,081","47,019","36,941","-10,271",,,,,,,,,,"-12,870","6,453",288,"1,558","-5,698",,,,,,,,,,,,,,,
TEPC,03Aug2015,Arizona,N,"44,081","50,644","36,832","-14,004",,,,,,,,,,"-13,774","6,543","-1,721",858,"-5,904",,,,,,,,,,,,,,,
TEPC,04Aug2015,Arizona,N,"44,081","51,786","30,291","-21,684",,,,,,,,,,"-15,154","5,892","-4,452","-1,667","-6,303",,,,,,,,,,,,,,,
TEPC,05Aug2015,Arizona,N,"44,081","52,623","28,651","-24,156",,,,,,,,,,"-15,243","5,001","-5,583","-2,521","-5,810",,,,,,,,,,,,,,,
TEPC,06Aug2015,Arizona,N,"44,081","48,332","30,962","-17,575",,,,,,,,,,"-12,431","5,161","-3,125",16,"-7,195",,,,,,,,,,,,,,,
TEPC,07Aug2015,Arizona,N,"44,081","47,829","28,607","-19,462",,,,,,,,,,"-12,829","7,601","-4,667","-3,020","-6,551",,,,,,,,,,,,,,,
TEPC,08Aug2015,Arizona,N,"44,081","44,117","28,190","-16,109",,,,,,,,,,"-11,539","7,749","-2,622","-4,096","-5,598",,,,,,,,,,,,,,,
TEPC,09Aug2015,Arizona,N,"44,081","45,013","27,804","-17,378",,,,,,,,,,"-12,520","7,135",-635,"-5,213","-6,146",,,,,,,,,,,,,,,
TEPC,10Aug2015,Arizona,N,"44,081","47,293","30,113","-17,371",,,,,,,,,,"-12,572","6,677","1,116","-5,803","-6,788",,,,,,,,,,,,,,,
TEPC,11Aug2015,Arizona,N,"44,081","45,385","26,934","-18,610",,,,,,,,,,"-12,705","7,874",-753,"-7,090","-5,929",,,,,,,,,,,,,,,
TEPC,12Aug2015,Arizona,N,"44,081","46,175","31,244","-15,093",,,,,,,,,,"-11,599","6,474","1,113","-4,189","-6,893",,,,,,,,,,,,,,,
TEPC,13Aug2015,Arizona,N,"44,081","50,490","38,540","-12,095",,,,,,,,,,"-13,499","6,000","2,246",-963,"-5,877",,,,,,,,,,,,,,,
TEPC,14Aug2015,Arizona,N,"44,081","53,542","38,073","-15,628",,,,,,,,,,"-15,037","6,652",633,-457,"-7,418",,,,,,,,,,,,,,,
TEPC,15Aug2015,Arizona,N,"44,081","53,885","28,726","-25,347",,,,,,,,,,"-15,505","5,846","-6,793","-2,331","-6,563",,,,,,,,,,,,,,,
TEPC,16Aug2015,Arizona,N,"44,081","53,581","35,963","-17,745",,,,,,,,,,"-14,867","4,969","-3,466","1,947","-6,333",,,,,,,,,,,,,,,
TEPC,17Aug2015,Arizona,N,"44,081","53,854","38,102","-15,918",,,,,,,,,,"-14,328","6,054","-1,918","1,077","-6,799",,,,,,,,,,,,,,,
TEPC,18Aug2015,Arizona,N,"44,081","52,183","32,337","-20,025",,,,,,,,,,"-14,919","6,783","-3,365","-2,048","-6,481",,,,,,,,,,,,,,,
TEPC,19Aug2015,Arizona,N,"44,081","51,340","26,657","-24,838",,,,,,,,,,"-15,224","6,360","-5,984","-4,106","-5,884",,,,,,,,,,,,,,,
TEPC,20Aug2015,Arizona,N,"44,081","49,697","27,941","-21,940",,,,,,,,,,"-14,790","5,971","-5,018","-2,663","-5,438",,,,,,,,,,,,,,,
TEPC,21Aug2015,Arizona,N,"44,081","50,485","27,630","-23,086",,,,,,,,,,"-15,520","7,154","-5,189","-3,759","-5,771",,,,,,,,,,,,,,,
TEPC,22Aug2015,Arizona,N,"44,081","48,497","24,283","-24,439",,,,,,,,,,"-14,781","6,265","-6,928","-3,596","-5,399",,,,,,,,,,,,,,,
TEPC,23Aug2015,Arizona,N,"44,081","45,964","23,662","-22,555",,,,,,,,,,"-13,779","4,626","-7,813",-943,"-4,642",,,,,,,,,,,,,,,
TEPC,24Aug2015,Arizona,N,"44,081","49,948","29,572","-20,588",,,,,,,,,,"-15,050","5,719","-2,098","-2,719","-6,441",,,,,,,,,,,,,,,
TEPC,25Aug2015,Arizona,N,"44,081","44,539","35,338","-9,473",,,,,,,,,,"-12,650","8,020",614,556,"-6,010",,,,,,,,,,,,,,,
TEPC,26Aug2015,Arizona,N,"44,081","47,363","36,530","-11,068",,,,,,,,,,"-13,417","7,693",-256,736,"-5,823",,,,,,,,,,,,,,,
TEPC,27Aug2015,Arizona,N,"44,081","48,647","36,665","-12,207",,,,,,,,,,"-13,673","7,571","-1,708","1,723","-6,120",,,,,,,,,,,,,,,
TEPC,28Aug2015,Arizona,N,"44,081","49,387","37,143","-12,443",,,,,,,,,,"-14,065","6,801","-1,689","2,182","-5,676",,,,,,,,,,,,,,,
TEPC,29Aug2015,Arizona,N,"44,081","48,434","36,767","-11,856",,,,,,,,,,"-13,996","6,198","-1,367","2,541","-5,235",,,,,,,,,,,,,,,
TEPC,30Aug2015,Arizona,N,"44,081","47,536","31,415","-16,345",,,,,,,,,,"-13,554","6,213","-4,054","-7,301","-5,421",,,,,,,,,,,,,,,
TEPC,31Aug2015,Arizona,N,"44,081","48,560","28,934","-23,104",,,,,,,,,,"-13,554","6,213","-5,366","-7,301","-5,421",,,,,,,,,,,,,,,
TEPC,01Sep2015,Arizona,N,"44,773","49,783","34,001","-27,522",,,,,,,,,,"-13,554","6,213","-5,366","-7,301","-5,421",,,,,,,,,,,,,,,
TEPC,02Sep2015,Arizona,N,"47,539","48,594","40,393","-19,852",,,,,,,,,,"-14,395","7,679","-5,852","-9,299","-6,000",,,,,,,,,,,,,,,
TEPC,03Sep2015,Arizona,N,"47,539","44,717","37,618","-20,567",,,,,,,,,,"-12,375","7,145","-3,542","-5,417","-4,134",,,,,,,,,,,,,,,
TEPC,04Sep2015,Arizona,N,"51,075","42,633","36,758","-18,654",,,,,,,,,,"-10,900","7,401","-2,032","-6,037","-5,379",,,,,,,,,,,,,,,
TEPC,05Sep2015,Arizona,N,"46,744","40,620","34,357","-15,595",,,,,,,,,,"-10,572","6,821","2,203","-7,940","-5,136",,,,,,,,,,,,,,,
TEPC,06Sep2015,Arizona,N,"46,744","45,025","32,874","-18,550",,,,,,,,,,"-11,593","4,061","3,463","-8,283","-5,336",,,,,,,,,,,,,,,
TEPC,07Sep2015,Arizona,N,"46,744","48,507","33,490","-23,407",,,,,,,,,,"-13,445","4,580","1,647","-9,207","-5,953",,,,,,,,,,,,,,,
TEPC,08Sep2015,Arizona,N,"46,744","48,125","34,806","-23,093",,,,,,,,,,"-13,256","6,108","1,208","-8,904","-6,811",,,,,,,,,,,,,,,
TEPC,09Sep2015,Arizona,N,"56,045","46,410","38,015","-18,068",,,,,,,,,,"-12,454","6,713","1,678","-7,678","-6,429",,,,,,,,,,,,,,,
TEPC,10Sep2015,Arizona,N,"57,269","44,677","37,950","-18,103",,,,,,,,,,"-11,607","7,360","1,220","-7,559","-6,660",,,,,,,,,,,,,,,
TEPC,11Sep2015,Arizona,N,"50,374","47,165","37,746","-19,099",,,,,,,,,,"-11,516","3,265","1,970","-6,170","-5,924",,,,,,,,,,,,,,,
TEPC,12Sep2015,Arizona,N,"50,478","48,542","38,891","-22,289",,,,,,,,,,"-13,098","2,193","-2,226","-9,655","-5,987",,,,,,,,,,,,,,,
TEPC,13Sep2015,Arizona,N,"50,478","46,207","36,220","-21,239",,,,,,,,,,"-12,385","3,978","-2,174","-5,062","-5,611",,,,,,,,,,,,,,,
TEPC,14Sep2015,Arizona,N,"50,478","49,752","37,176","-22,296",,,,,,,,,,"-10,875","5,221","-1,741","-6,137","-6,082",,,,,,,,,,,,,,,
TEPC,15Sep2015,Arizona,N,"48,604","49,752","37,176","-22,296",,,,,,,,,,"-10,853","5,628","-2,165","-6,937","-5,875",,,,,,,,,,,,,,,
TEPC,16Sep2015,Arizona,N,"49,581","45,609","40,354","-17,216",,,,,,,,,,"-11,511","7,960","-2,830","-8,237","-3,970",,,,,,,,,,,,,,,
TEPC,17Sep2015,Arizona,N,"47,882","45,940","36,987","-17,370",,,,,,,,,,"-11,795","7,768","-2,087","-8,311","-4,171",,,,,,,,,,,,,,,
TEPC,18Sep2015,Arizona,N,"55,741","46,959","38,221","-18,759",,,,,,,,,,"-11,422","7,768","-3,517","-6,284","-5,157",,,,,,,,,,,,,,,
TEPC,19Sep2015,Arizona,N,"47,294","44,875","36,926","-17,363",,,,,,,,,,"-10,545","7,012","-3,625","-5,495","-5,497",,,,,,,,,,,,,,,
TEPC,20Sep2015,Arizona,N,"39,357","46,918","39,775","-19,571",,,,,,,,,,"-10,611","5,121","-4,527","-4,391","-5,270",,,,,,,,,,,,,,,
TEPC,21Sep2015,Arizona,N,"42,298","42,594","38,947","-17,113",,,,,,,,,,"-10,108","7,317","-3,644","-5,036","-5,344",,,,,,,,,,,,,,,
TEPC,22Sep2015,Arizona,N,"44,447","42,487","40,724","-15,058",,,,,,,,,,"-9,898","7,476","-4,205","-3,257","-5,636",,,,,,,,,,,,,,,
TEPC,23Sep2015,Arizona,N,"48,952","42,039","39,230","-15,170",,,,,,,,,,"-9,843","6,435","-3,066","-3,095","-6,048",,,,,,,,,,,,,,,
TEPC,24Sep2015,Arizona,N,"51,631","45,991","38,282","-18,094",,,,,,,,,,"-9,892","4,436","-2,095","-3,971","-5,653",,,,,,,,,,,,,,,
TEPC,25Sep2015,Arizona,N,"44,365","46,824","38,820","-19,623",,,,,,,,,,"-9,704","4,977","-2,352","-4,556","-6,599",,,,,,,,,,,,,,,
