BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BANC,CISO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
TIDC,01Jul2015,Pacific,N,"11,623","10,890","7,758","-3,141",,,,,,,,,,"4,044","-7,185",,,,,,,,,,,,,,,
TIDC,02Jul2015,Pacific,N,"10,845","10,443","7,576","-2,878",,,,,,,,,,"4,001","-6,879",,,,,,,,,,,,,,,
TIDC,03Jul2015,Pacific,N,"9,772","10,006","7,213","-2,808",,,,,,,,,,"3,396","-6,204",,,,,,,,,,,,,,,
TIDC,04Jul2015,Pacific,N,"9,009","9,186","6,581","-2,620",,,,,,,,,,"2,385","-5,005",,,,,,,,,,,,,,,
TIDC,05Jul2015,Pacific,N,"8,518","8,250","6,147","-2,119",,,,,,,,,,"2,976","-5,095",,,,,,,,,,,,,,,
TIDC,06Jul2015,Pacific,N,"9,339","8,955","6,638","-2,326",,,,,,,,,,"2,533","-4,859",,,,,,,,,,,,,,,
TIDC,07Jul2015,Pacific,N,"9,208","9,092","6,796","-2,305",,,,,,,,,,"2,450","-4,755",,,,,,,,,,,,,,,
TIDC,08Jul2015,Pacific,N,"9,015","8,574","6,494","-2,092",,,,,,,,,,"2,491","-4,583",,,,,,,,,,,,,,,
TIDC,09Jul2015,Pacific,N,"8,500","8,318","6,883","-1,449",,,,,,,,,,"3,350","-4,799",,,,,,,,,,,,,,,
TIDC,10Jul2015,Pacific,N,"8,422","8,021","6,248","-1,784",,,,,,,,,,"2,522","-4,306",,,,,,,,,,,,,,,
TIDC,11Jul2015,Pacific,N,"7,880","7,807","3,819","-3,998",,,,,,,,,,731,"-4,729",,,,,,,,,,,,,,,
TIDC,12Jul2015,Pacific,N,"7,434","7,214","3,487","-3,736",,,,,,,,,,-27,"-3,709",,,,,,,,,,,,,,,
TIDC,13Jul2015,Pacific,N,"8,785","8,837","4,587","-4,265",,,,,,,,,,67,"-4,332",,,,,,,,,,,,,,,
TIDC,14Jul2015,Pacific,N,"9,207","8,939","5,015","-3,931",,,,,,,,,,"-1,144","-2,787",,,,,,,,,,,,,,,
TIDC,15Jul2015,Pacific,N,"9,494","9,083","6,611","-2,482",,,,,,,,,,656,"-3,138",,,,,,,,,,,,,,,
TIDC,16Jul2015,Pacific,N,"10,079","9,821","7,420","-2,411",,,,,,,,,,-638,"-1,773",,,,,,,,,,,,,,,
TIDC,17Jul2015,Pacific,N,"9,933","9,523","7,236","-2,297",,,,,,,,,,705,"-3,002",,,,,,,,,,,,,,,
TIDC,18Jul2015,Pacific,N,"9,080","8,538","6,199","-2,354",,,,,,,,,,34,"-2,388",,,,,,,,,,,,,,,
TIDC,19Jul2015,Pacific,N,"8,231","8,205","6,351","-1,864",,,,,,,,,,"1,438","-3,302",,,,,,,,,,,,,,,
TIDC,20Jul2015,Pacific,N,"9,803","10,601","7,721","-2,892",,,,,,,,,,"1,045","-3,937",,,,,,,,,,,,,,,
TIDC,21Jul2015,Pacific,N,"10,056","10,702","7,388","-3,321",,,,,,,,,,-836,"-2,485",,,,,,,,,,,,,,,
TIDC,22Jul2015,Pacific,N,"9,974","9,548","6,772","-2,790",,,,,,,,,,-182,"-2,608",,,,,,,,,,,,,,,
TIDC,23Jul2015,Pacific,N,"9,304","8,856","6,407","-2,460",,,,,,,,,,"-1,163","-1,297",,,,,,,,,,,,,,,
TIDC,24Jul2015,Pacific,N,"8,900","8,734","6,604","-2,143",,,,,,,,,,-180,"-1,963",,,,,,,,,,,,,,,
TIDC,25Jul2015,Pacific,N,"8,526","8,377","6,227","-2,165",,,,,,,,,,689,"-2,854",,,,,,,,,,,,,,,
TIDC,26Jul2015,Pacific,N,"7,826","7,744","5,968","-1,789",,,,,,,,,,"1,526","-3,315",,,,,,,,,,,,,,,
TIDC,27Jul2015,Pacific,N,"9,255","9,133","6,617","-2,537",,,,,,,,,,"2,677","-5,214",,,,,,,,,,,,,,,
TIDC,28Jul2015,Pacific,N,"10,538","10,009","7,068","-2,954",,,,,,,,,,"1,937","-4,891",,,,,,,,,,,,,,,
TIDC,29Jul2015,Pacific,N,"10,991","10,833","7,920","-2,924",,,,,,,,,,"4,002","-6,926",,,,,,,,,,,,,,,
TIDC,30Jul2015,Pacific,N,"11,151","10,706","7,663","-3,055",,,,,,,,,,"2,894","-5,949",,,,,,,,,,,,,,,
TIDC,31Jul2015,Pacific,N,"10,694","10,011","6,869","-3,149",,,,,,,,,,"2,685","-5,834",,,,,,,,,,,,,,,
TIDC,01Aug2015,Pacific,N,"9,011","8,723","6,142","-2,595",,,,,,,,,,"2,657","-5,252",,,,,,,,,,,,,,,
TIDC,02Aug2015,Pacific,N,"8,231","8,047","6,234","-1,829",,,,,,,,,,"1,885","-3,714",,,,,,,,,,,,,,,
TIDC,03Aug2015,Pacific,N,"9,208","8,872","6,390","-2,496",,,,,,,,,,642,"-3,138",,,,,,,,,,,,,,,
TIDC,04Aug2015,Pacific,N,"8,846","8,394","6,188","-2,219",,,,,,,,,,-742,"-1,477",,,,,,,,,,,,,,,
TIDC,05Aug2015,Pacific,N,"9,043","8,529","6,255","-2,281",,,,,,,,,,-496,"-1,785",,,,,,,,,,,,,,,
TIDC,06Aug2015,Pacific,N,"9,240","8,649","6,323","-2,335",,,,,,,,,,-27,"-2,308",,,,,,,,,,,,,,,
TIDC,07Aug2015,Pacific,N,"9,099","9,045","6,527","-2,528",,,,,,,,,,"1,131","-3,659",,,,,,,,,,,,,,,
TIDC,08Aug2015,Pacific,N,"8,541","8,208","5,700","-2,522",,,,,,,,,,"1,638","-4,160",,,,,,,,,,,,,,,
TIDC,09Aug2015,Pacific,N,"7,976","7,790","5,797","-2,006",,,,,,,,,,"2,158","-4,164",,,,,,,,,,,,,,,
