BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PSEI,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
TPWR,01Jul2015,Pacific,N,"12,759","13,101","5,824","-7,277",,,,,,,,,,"-8,691","1,414",,,,,,,,,,,,,,,
TPWR,02Jul2015,Pacific,N,"12,735","13,346","5,488","-7,858",,,,,,,,,,"-9,274","1,416",,,,,,,,,,,,,,,
TPWR,03Jul2015,Pacific,N,"12,237","12,695","4,611","-8,084",,,,,,,,,,"-9,509","1,425",,,,,,,,,,,,,,,
TPWR,04Jul2015,Pacific,N,"11,083","11,604","3,046","-8,558",,,,,,,,,,"-9,855","1,297",,,,,,,,,,,,,,,
TPWR,05Jul2015,Pacific,N,"11,675","11,793","3,635","-8,158",,,,,,,,,,"-9,420","1,262",,,,,,,,,,,,,,,
TPWR,06Jul2015,Pacific,N,"12,945","12,908","4,155","-8,753",,,,,,,,,,"-10,361","1,608",,,,,,,,,,,,,,,
TPWR,07Jul2015,Pacific,N,"12,935","12,559","3,778","-8,781",,,,,,,,,,"-10,352","1,571",,,,,,,,,,,,,,,
TPWR,08Jul2015,Pacific,N,"12,967","12,665","3,738","-8,927",,,,,,,,,,"-10,298","1,371",,,,,,,,,,,,,,,
TPWR,09Jul2015,Pacific,N,"13,042","12,770","4,208","-8,562",,,,,,,,,,"-9,957","1,395",,,,,,,,,,,,,,,
TPWR,10Jul2015,Pacific,N,"11,809","11,915","3,778","-8,137",,,,,,,,,,"-9,408","1,271",,,,,,,,,,,,,,,
TPWR,11Jul2015,Pacific,N,"10,884","10,921","2,889","-8,032",,,,,,,,,,"-9,192","1,160",,,,,,,,,,,,,,,
TPWR,12Jul2015,Pacific,N,"10,712","11,005","3,104","-7,901",,,,,,,,,,"-9,108","1,207",,,,,,,,,,,,,,,
TPWR,13Jul2015,Pacific,N,"11,960","12,226","4,401","-7,825",,,,,,,,,,"-8,918","1,093",,,,,,,,,,,,,,,
TPWR,14Jul2015,Pacific,N,"12,009","12,344","3,927","-8,417",,,,,,,,,,"-9,442","1,025",,,,,,,,,,,,,,,
TPWR,15Jul2015,Pacific,N,"11,903","12,473","3,579","-8,894",,,,,,,,,,"-9,896","1,002",,,,,,,,,,,,,,,
TPWR,16Jul2015,Pacific,N,"11,904","12,310","3,570","-8,740",,,,,,,,,,"-9,756","1,016",,,,,,,,,,,,,,,
TPWR,17Jul2015,Pacific,N,"11,943","12,133","3,111","-9,022",,,,,,,,,,"-9,981",959,,,,,,,,,,,,,,,
TPWR,18Jul2015,Pacific,N,"11,460","11,989","3,796","-8,193",,,,,,,,,,"-9,170",977,,,,,,,,,,,,,,,
TPWR,19Jul2015,Pacific,N,"11,582","11,995","3,281","-8,714",,,,,,,,,,"-9,789","1,075",,,,,,,,,,,,,,,
TPWR,20Jul2015,Pacific,N,"12,331","12,425","3,662","-8,763",,,,,,,,,,"-9,992","1,229",,,,,,,,,,,,,,,
TPWR,21Jul2015,Pacific,N,"12,305","12,050","3,341","-8,709",,,,,,,,,,"-9,796","1,087",,,,,,,,,,,,,,,
TPWR,22Jul2015,Pacific,N,"11,942","11,943","3,948","-7,995",,,,,,,,,,"-9,038","1,043",,,,,,,,,,,,,,,
TPWR,23Jul2015,Pacific,N,"12,005","12,075","3,255","-8,820",,,,,,,,,,"-9,946","1,126",,,,,,,,,,,,,,,
TPWR,24Jul2015,Pacific,N,"11,720","11,793","3,263","-8,530",,,,,,,,,,"-9,541","1,011",,,,,,,,,,,,,,,
TPWR,25Jul2015,Pacific,N,"10,613","10,840","2,554","-8,286",,,,,,,,,,"-9,212",926,,,,,,,,,,,,,,,
TPWR,26Jul2015,Pacific,N,"10,408","10,562","2,912","-7,650",,,,,,,,,,"-8,736","1,086",,,,,,,,,,,,,,,
TPWR,27Jul2015,Pacific,N,"11,659","11,589","3,232","-8,357",,,,,,,,,,"-9,485","1,128",,,,,,,,,,,,,,,
TPWR,28Jul2015,Pacific,N,"12,083","12,048","4,390","-7,658",,,,,,,,,,"-8,503",845,,,,,,,,,,,,,,,
TPWR,29Jul2015,Pacific,N,"12,553","12,694","5,376","-7,318",,,,,,,,,,"-8,470","1,152",,,,,,,,,,,,,,,
TPWR,30Jul2015,Pacific,N,"12,877","13,116","5,826","-7,290",,,,,,,,,,"-8,451","1,161",,,,,,,,,,,,,,,
TPWR,31Jul2015,Pacific,N,"12,601","13,121","5,667","-7,454",,,,,,,,,,"-8,695","1,241",,,,,,,,,,,,,,,
TPWR,01Aug2015,Pacific,N,"12,044","12,027","3,867","-8,160",,,,,,,,,,"-9,371","1,211",,,,,,,,,,,,,,,
TPWR,02Aug2015,Pacific,N,"12,005","11,694","3,420","-8,274",,,,,,,,,,"-9,448","1,174",,,,,,,,,,,,,,,
TPWR,03Aug2015,Pacific,N,"12,601","12,650","3,397","-9,253",,,,,,,,,,"-10,144",891,,,,,,,,,,,,,,,
TPWR,04Aug2015,Pacific,N,"12,409","12,246","3,158","-9,088",,,,,,,,,,"-9,887",799,,,,,,,,,,,,,,,
TPWR,05Aug2015,Pacific,N,"11,962","11,957","2,772","-9,185",,,,,,,,,,"-9,637",452,,,,,,,,,,,,,,,
TPWR,06Aug2015,Pacific,N,"12,096","12,092","3,957","-8,135",,,,,,,,,,"-8,424",289,,,,,,,,,,,,,,,
TPWR,07Aug2015,Pacific,N,"11,814","12,151","3,383","-8,768",,,,,,,,,,"-9,185",417,,,,,,,,,,,,,,,
TPWR,08Aug2015,Pacific,N,"10,958","11,223","2,251","-8,972",,,,,,,,,,"-9,405",433,,,,,,,,,,,,,,,
TPWR,09Aug2015,Pacific,N,"10,811","11,181","3,249","-7,932",,,,,,,,,,"-8,290",358,,,,,,,,,,,,,,,
TPWR,10Aug2015,Pacific,N,"11,781","12,493","4,084","-8,409",,,,,,,,,,"-8,757",348,,,,,,,,,,,,,,,
TPWR,11Aug2015,Pacific,N,"12,738","12,564","4,587","-7,977",,,,,,,,,,"-8,364",387,,,,,,,,,,,,,,,
TPWR,12Aug2015,Pacific,N,"12,475","12,750","4,003","-8,747",,,,,,,,,,"-9,089",342,,,,,,,,,,,,,,,
TPWR,13Aug2015,Pacific,N,"12,524","12,802","3,816","-8,986",,,,,,,,,,"-9,311",325,,,,,,,,,,,,,,,
TPWR,14Aug2015,Pacific,N,"11,753","11,828","1,974","-9,854",,,,,,,,,,"-10,296",442,,,,,,,,,,,,,,,
TPWR,15Aug2015,Pacific,N,"11,235","10,713","2,382","-8,331",,,,,,,,,,"-8,655",324,,,,,,,,,,,,,,,
TPWR,16Aug2015,Pacific,N,"11,073","10,682","2,456","-8,226",,,,,,,,,,"-8,467",241,,,,,,,,,,,,,,,
TPWR,17Aug2015,Pacific,N,"12,272","11,930","4,038","-7,892",,,,,,,,,,"-8,200",308,,,,,,,,,,,,,,,
TPWR,18Aug2015,Pacific,N,"12,790","12,425","3,562","-8,863",,,,,,,,,,"-9,155",292,,,,,,,,,,,,,,,
TPWR,19Aug2015,Pacific,N,"12,885","13,093","3,349","-9,744",,,,,,,,,,"-10,542",798,,,,,,,,,,,,,,,
TPWR,20Aug2015,Pacific,N,"11,993","12,240","2,123","-10,117",,,,,,,,,,"-11,325","1,208",,,,,,,,,,,,,,,
