BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AECI,CPLW,DUK,EEI,LGEE,MISO,PJM,SOCO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
TVA,01Jul2015,Central,N,"467,142","431,829","449,944","23,420",,,,,,,,,,"-3,671","1,530","3,455",-406,"4,557","-26,387","17,678","22,183",,,,,,,,,,,,,,,
TVA,02Jul2015,Central,N,"446,278","434,483","445,152","15,999",,,,,,,,,,"-3,936","1,331","3,038",-141,"4,687","-26,665","17,531","18,593",,,,,,,,,,,,,,,
TVA,03Jul2015,Central,N,"401,509","394,144","404,802","15,950",,,,,,,,,,"-3,395","1,301","3,211","1,011","3,505","-16,379","10,153","15,114",,,,,,,,,,,,,,,
TVA,04Jul2015,Central,N,"384,372","376,574","389,298","15,352",,,,,,,,,,"-3,136","1,081","2,848","1,006","4,768","-18,381","9,453","16,707",,,,,,,,,,,,,,,
TVA,05Jul2015,Central,N,"399,021","398,036","411,248","14,718",,,,,,,,,,"-3,467","1,396","3,834","1,448","3,800","-27,586","13,583","20,285",,,,,,,,,,,,,,,
TVA,06Jul2015,Central,N,"470,111","464,720","480,508","20,468",,,,,,,,,,"-4,026","1,729","5,271",-386,"3,376","-25,556","22,457","15,409",,,,,,,,,,,,,,,
TVA,07Jul2015,Central,N,"498,722","502,321","513,986","16,142",,,,,,,,,,"-5,151","2,083","6,453",-985,"2,500","-34,501","24,359","19,666",,,,,,,,,,,,,,,
TVA,08Jul2015,Central,N,"518,831","514,523","523,207","13,333",,,,,,,,,,"-5,316","1,905","6,110",-733,"1,003","-34,366","17,719","26,694",,,,,,,,,,,,,,,
TVA,09Jul2015,Central,N,"527,857","533,923","548,536","19,581",,,,,,,,,,"-5,135","1,906","6,260",-717,"2,448","-34,600","17,788","31,385",,,,,,,,,,,,,,,
TVA,10Jul2015,Central,N,"530,524","533,021","545,064","17,038",,,,,,,,,,"-5,214","1,704","6,093",-817,"3,101","-32,905","14,811","29,154",,,,,,,,,,,,,,,
TVA,11Jul2015,Central,N,"504,632","512,873","523,067","13,415",,,,,,,,,,"-4,917","1,388","4,732",-243,"2,547","-31,429","12,285","24,979",,,,,,,,,,,,,,,
TVA,12Jul2015,Central,N,"500,628","502,532","516,718","17,518",,,,,,,,,,"-4,013","1,442","4,645",760,"2,436","-18,481","8,571","18,792",,,,,,,,,,,,,,,
TVA,13Jul2015,Central,N,"551,292","557,148","567,911","16,450",,,,,,,,,,"-3,422",728,"2,643","1,219","2,676","-6,987","4,567","12,319",,,,,,,,,,,,,,,
TVA,14Jul2015,Central,N,"554,691","529,602","541,818","17,989",,,,,,,,,,"-3,755",770,"2,941",692,"2,091","-15,074","10,350","17,912",,,,,,,,,,,,,,,
TVA,15Jul2015,Central,N,"540,372","509,643","517,870","14,029",,,,,,,,,,"-4,352","1,121","2,363",-623,"3,101","-23,952","13,034","20,671",,,,,,,,,,,,,,,
TVA,16Jul2015,Central,N,"523,860","522,545","537,651","20,796",,,,,,,,,,"-4,957","1,109","3,704","-1,135","3,464","-24,047","16,198","22,868",,,,,,,,,,,,,,,
TVA,17Jul2015,Central,N,"546,240","548,298","563,792","21,121",,,,,,,,,,"-3,937","1,015","3,182",197,"5,319","-14,525","12,539","14,841",,,,,,,,,,,,,,,
TVA,18Jul2015,Central,N,"539,172","535,298","548,265","16,175",,,,,,,,,,"-4,791",994,"3,057",-365,"3,041","-24,590","18,861","16,110",,,,,,,,,,,,,,,
TVA,19Jul2015,Central,N,"532,499","530,745","549,757","23,038",,,,,,,,,,"-4,921","1,638","4,553",-940,"1,181","-22,263","24,480","17,190",,,,,,,,,,,,,,,
TVA,20Jul2015,Central,N,"574,135","560,547","577,128","21,777",,,,,,,,,,"-4,912","1,945","5,759","-1,426","2,660","-29,678","29,410","17,319",,,,,,,,,,,,,,,
TVA,21Jul2015,Central,N,"553,446","542,868","562,997","23,855",,,,,,,,,,"-3,507","1,835","5,459",-786,"3,082","-32,164","29,026","20,811",,,,,,,,,,,,,,,
TVA,22Jul2015,Central,N,"518,277","512,269","532,977","26,204",,,,,,,,,,"-3,337","1,669","5,120",-383,"2,731","-26,665","24,337","21,887",,,,,,,,,,,,,,,
TVA,23Jul2015,Central,N,"500,278","486,426","516,760","34,884",,,,,,,,,,"-2,333","2,105","5,339",342,"3,420","-17,148","27,588","15,114",,,,,,,,,,,,,,,
TVA,24Jul2015,Central,N,"504,863","515,997","536,419","25,704",,,,,,,,,,"-3,621","1,628","4,615",603,"4,175","-19,005","23,619","12,326",,,,,,,,,,,,,,,
TVA,25Jul2015,Central,N,"495,208","502,994","527,695","26,600",,,,,,,,,,"-3,522","1,399","3,965",376,"3,166","-18,762","23,197","16,594",,,,,,,,,,,,,,,
TVA,26Jul2015,Central,N,"506,516","502,364","524,747","23,870",,,,,,,,,,"-4,398","2,148","5,208",-231,"3,440","-27,854","25,412","20,626",,,,,,,,,,,,,,,
TVA,27Jul2015,Central,N,"557,627","556,049","566,870","16,704",,,,,,,,,,"-4,553","1,974","5,358",186,"5,353","-35,172","25,371","15,624",,,,,,,,,,,,,,,
TVA,28Jul2015,Central,N,"570,158","560,779","564,851","9,769",,,,,,,,,,"-4,863","1,601","4,984",938,"6,739","-42,238","27,075","12,080",,,,,,,,,,,,,,,
TVA,29Jul2015,Central,N,"565,834","558,234","552,693",309,,,,,,,,,,"-5,194","1,399","4,642",-990,"6,248","-43,308","26,515","8,597",,,,,,,,,,,,,,,
