BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,PACE,PNM,PSCO,SWPP,WALC,WAUE,WAUW,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
WACM,01Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,02Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,03Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,04Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,05Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,06Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,07Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,08Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,09Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,10Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,11Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,12Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,13Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,14Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,15Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,16Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,17Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,18Jul2015,Arizona,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACM,19Jul2015,Arizona,N,,,,,,,,,,,,,,"4,375","4,249","-3,981","23,665",0,"12,744",,-945,,,,,,,,,,,,,,,
WACM,20Jul2015,Arizona,N,,"75,014","133,319","46,678",,,,,,,,,,"3,010","8,978","-1,807","23,373",,"14,480",,"-1,394",,,,,,,,,,,,,,,
