BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,CISO,GRIF,IID,LDWP,NEVP,SRP,TEPC,WACM,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
WALC,01Jul2015,Arizona,N,"28,794","27,248","36,830","9,582",,,,,,,,,,"-21,832","4,011","-12,260",177,"34,739","1,809","7,130","6,572","-10,764",,,,,,,,,,,,,,,
WALC,02Jul2015,Arizona,N,"27,890","28,051","37,353","9,302",,,,,,,,,,"-23,351","4,776","-13,195",-447,"35,487","2,993","7,774","6,845","-11,580",,,,,,,,,,,,,,,
WALC,03Jul2015,Arizona,N,"28,833","27,322","35,907","8,585",,,,,,,,,,"-22,227","4,521","-11,803",-371,"35,539",660,"7,978","7,095","-12,807",,,,,,,,,,,,,,,
WALC,04Jul2015,Arizona,N,"28,130","27,265","27,119",-146,,,,,,,,,,"-19,952","5,509","-11,804",-943,"29,347","-4,054","8,395","6,312","-12,956",,,,,,,,,,,,,,,
WALC,05Jul2015,Arizona,N,"27,915","25,026","27,233","2,207",,,,,,,,,,"-21,998","6,226","-11,797",-825,"30,109","-2,906","9,383","6,549","-12,534",,,,,,,,,,,,,,,
WALC,06Jul2015,Arizona,N,"28,852","26,372","31,213","4,841",,,,,,,,,,"-22,809","7,192","-11,797",-873,"31,741","-1,279","9,495","6,447","-13,276",,,,,,,,,,,,,,,
WALC,07Jul2015,Arizona,N,"28,734","27,288","32,617","5,329",,,,,,,,,,"-22,683","7,353","-11,894",-736,"31,885","-1,961","10,138","6,169","-12,942",,,,,,,,,,,,,,,
WALC,08Jul2015,Arizona,N,"27,248","26,989","32,475","5,486",,,,,,,,,,"-23,439","6,671","-11,599",-749,"32,999",-329,"8,638","5,789","-12,495",,,,,,,,,,,,,,,
WALC,09Jul2015,Arizona,N,"28,051","26,924","32,650","5,726",,,,,,,,,,"-23,651","7,194","-12,605",-871,"35,146",-566,"9,302","5,020","-13,243",,,,,,,,,,,,,,,
WALC,10Jul2015,Arizona,N,"27,322","26,471","32,861","6,390",,,,,,,,,,"-20,333","7,230","-10,201",-749,"30,812","-1,939","11,073","4,188","-13,691",,,,,,,,,,,,,,,
WALC,11Jul2015,Arizona,N,"27,265","26,819","32,225","5,406",,,,,,,,,,"-20,819","4,879","-9,110",-319,"32,196","-3,164","10,612","4,404","-13,273",,,,,,,,,,,,,,,
WALC,12Jul2015,Arizona,N,"25,026","26,596","32,475","5,879",,,,,,,,,,"-17,901","6,732","-10,899",-743,"30,771","-3,050","9,021","4,432","-12,484",,,,,,,,,,,,,,,
WALC,13Jul2015,Arizona,N,"26,372","27,483","31,518","4,035",,,,,,,,,,"-18,086","4,165","-11,431",-362,"31,999","-4,857","10,088","5,901","-13,382",,,,,,,,,,,,,,,
WALC,14Jul2015,Arizona,N,"27,288","27,215","31,785","4,570",,,,,,,,,,"-19,712","6,011","-11,562",-226,"32,597","-6,619","11,203","6,288","-13,410",,,,,,,,,,,,,,,
WALC,15Jul2015,Arizona,N,"26,989","26,190","31,397","5,207",,,,,,,,,,"-20,716","4,204","-11,586",312,"34,096","-5,610","10,812","6,173","-13,339",,,,,,,,,,,,,,,
WALC,16Jul2015,Arizona,N,"26,924","27,172","35,238","8,066",,,,,,,,,,"-20,267","7,787","-11,832",-333,"35,874","-6,614","11,699","6,307","-14,555",,,,,,,,,,,,,,,
WALC,17Jul2015,Arizona,N,"26,471","26,638","34,898","8,260",,,,,,,,,,"-19,681","5,695","-11,764",270,"35,003","-4,450","10,963","6,446","-14,222",,,,,,,,,,,,,,,
WALC,18Jul2015,Arizona,N,"26,819","24,286","24,216",-70,,,,,,,,,,"-20,203","6,129","-11,727",54,"28,010","-3,929","10,143","5,420","-13,967",,,,,,,,,,,,,,,
WALC,19Jul2015,Arizona,N,"26,596","25,369","35,264","9,895",,,,,,,,,,"-17,555","7,606","-11,446",-252,"32,854","-3,429","9,927","4,934","-12,744",,,,,,,,,,,,,,,
WALC,20Jul2015,Arizona,N,"27,483","26,937","33,850","6,913",,,,,,,,,,"-18,221","5,352","-11,298",174,"34,388","-5,495","11,125","5,368","-14,480",,,,,,,,,,,,,,,
WALC,21Jul2015,Arizona,N,"27,215","27,600","26,243","-1,357",,,,,,,,,,"-21,236","5,481","-10,973",-622,"28,771","-3,909","10,038","6,010","-14,917",,,,,,,,,,,,,,,
WALC,22Jul2015,Arizona,N,"26,190","27,411","24,949","-2,462",,,,,,,,,,"-21,430","5,559","-11,125",-854,"29,153","-5,361","10,004","6,031","-14,439",,,,,,,,,,,,,,,
WALC,23Jul2015,Arizona,N,"27,172","26,237","25,043","-1,194",,,,,,,,,,"-20,341","5,261","-11,478",-764,"25,942","-2,754","12,424","5,603","-15,087",,,,,,,,,,,,,,,
WALC,24Jul2015,Arizona,N,"26,638","26,986","22,984","-4,002",,,,,,,,,,"-19,842","4,674","-11,427",-670,"24,859","-4,702","11,827","5,974","-14,695",,,,,,,,,,,,,,,
WALC,25Jul2015,Arizona,N,"24,286","26,313","24,737","-1,576",,,,,,,,,,"-19,177","4,786","-11,584",-462,"26,398","-3,759","11,284","5,400","-14,462",,,,,,,,,,,,,,,
WALC,26Jul2015,Arizona,N,"25,369","25,715","25,336",-379,,,,,,,,,,"-18,658","4,217","-11,247",-549,"25,615","-2,394","10,698","4,875","-12,936",,,,,,,,,,,,,,,
WALC,27Jul2015,Arizona,N,"26,937","27,717","26,168","-1,549",,,,,,,,,,"-21,230","4,797","-11,419",-841,"27,721","-2,436","11,447","4,880","-14,468",,,,,,,,,,,,,,,
WALC,28Jul2015,Arizona,N,"27,600","28,046","27,316",-730,,,,,,,,,,"-22,224","4,433","-11,573",-264,"34,400","-6,500","10,598","5,230","-14,830",,,,,,,,,,,,,,,
WALC,29Jul2015,Arizona,N,"27,411","27,254","29,070","1,816",,,,,,,,,,"-21,268","3,797","-12,018",272,"37,677","-7,069","8,161","5,400","-13,136",,,,,,,,,,,,,,,
WALC,30Jul2015,Arizona,N,"26,237","27,837","30,374","2,537",,,,,,,,,,"-24,894","4,611","-11,792",227,"39,857","-6,866","9,767","5,607","-13,994",,,,,,,,,,,,,,,
WALC,31Jul2015,Arizona,N,"26,986","27,279","27,730",451,,,,,,,,,,"-25,072","4,001","-11,825",37,"39,210","-6,713","8,919","5,721","-13,827",,,,,,,,,,,,,,,
WALC,01Aug2015,Arizona,N,"26,313","25,398","27,237","1,839",,,,,,,,,,"-20,686","4,307","-11,816",65,"38,266","-9,309","7,101","4,587","-10,676",,,,,,,,,,,,,,,
WALC,02Aug2015,Arizona,N,"25,715","26,437","27,243",806,,,,,,,,,,"-19,020","6,245","-11,812",-681,"32,739","-9,456","7,609","5,732","-10,549",,,,,,,,,,,,,,,
WALC,03Aug2015,Arizona,N,"27,717","27,986","30,375","2,389",,,,,,,,,,"-18,776","6,422","-11,862",-461,"32,024","-7,523","8,693","5,868","-11,998",,,,,,,,,,,,,,,
WALC,04Aug2015,Arizona,N,"28,046","28,841","31,867","3,026",,,,,,,,,,"-13,175","5,898","-12,027",-325,"27,055","-10,121","11,831","6,324","-12,434",,,,,,,,,,,,,,,
WALC,05Aug2015,Arizona,N,"27,254","29,399","36,196","6,797",,,,,,,,,,"-12,163","5,487","-12,028",85,"29,860","-9,038","11,463","5,811","-12,679",,,,,,,,,,,,,,,
